eventid,enteredon,enddatetime,startdatetime,parkingheld,subcategoryname
889336,2025-09-11T13:11:40.000,2025-09-18T20:00:00.000,2025-09-18T07:00:00.000,"8 AVENUE between WEST   30 STREET and WEST   31 STREET,  WEST   30 STREET between 7 AVENUE and 8 AVENUE",Not Applicable
888847,2025-09-09T14:15:09.000,2025-09-24T22:30:00.000,2025-09-24T07:00:00.000,EAST   63 STREET between 5 AVENUE and MADISON AVENUE,Episodic series
888924,2025-09-09T16:45:59.000,2025-09-23T23:59:00.000,2025-09-23T12:01:00.000,"EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Theater
889405,2025-09-11T15:39:49.000,2025-09-13T02:00:00.000,,"7 AVENUE between WEST   58 STREET and WEST   59 STREET,  WEST   58 STREET between BROADWAY and 7 AVENUE,  WEST   59 STREET between 6 AVENUE and 7 AVENUE,  7 AVENUE between WEST   58 STREET and WEST   57 STREET,  WEST   57 STREET between 6 AVENUE and 7 AVENUE,  BROADWAY between WEST   66 STREET and WEST   68 STREET,  WEST   67 STREET between BROADWAY and COLUMBUS AVENUE,  WEST   67 STREET between BROADWAY and AMSTERDAM AVENUE,  BROADWAY between WEST   66 STREET and WEST   65 STREET,  BROADWAY between WEST   65 STREET and WEST   63 STREET,  WEST   64 STREET between BROADWAY and CENTRAL PARK WEST,  WEST   57 STREET between 9 AVENUE and 10 AVENUE,  10 AVENUE between WEST   57 STREET and WEST   58 STREET",Episodic series
890340,2025-09-16T14:43:36.000,2025-09-23T20:00:00.000,2025-09-23T06:00:00.000,JEFFERSON AVENUE between MALCOLM X BOULEVARD and PATCHEN AVENUE,Not Applicable
889851,2025-09-15T09:42:43.000,2025-09-17T23:00:00.000,2025-09-17T07:00:00.000,"JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between HUMBOLDT STREET and DIAMOND STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Cable-episodic
888942,2025-09-09T17:17:38.000,2025-09-13T21:00:00.000,2025-09-13T01:00:00.000,WEST   15 STREET between 9 AVENUE and 10 AVENUE,Not Applicable
889937,2025-09-15T11:40:35.000,2025-09-24T19:00:00.000,2025-09-24T06:00:00.000,"Beaver st between Broadway st and Broad st,  Beaver st between News st and Broadway,  Liberty st between Williams st and Nassau st",Not Applicable
889759,2025-09-14T16:13:28.000,2025-09-17T20:00:00.000,2025-09-17T07:00:00.000,EAST    6 STREET between AVENUE A and 1 AVENUE,Feature
889762,2025-09-14T16:47:39.000,2025-09-20T19:00:00.000,2025-09-20T07:00:00.000,ENGERT AVENUE between MCGUINNESS BLVD SOUTH and HUMBOLT STREET,Feature
889600,2025-09-12T15:07:22.000,2025-09-17T21:00:00.000,2025-09-17T06:00:00.000,30 STREET between 47 AVENUE and HUNTERS POINT AVENUE,Episodic series
890971,2025-09-18T17:44:03.000,2025-09-24T01:00:00.000,2025-09-23T09:00:00.000,"35 STREET between 35 AVENUE and 36 AVENUE,  34 AVENUE between 35 STREET and 36 STREET",Episodic series
889574,2025-09-12T14:00:29.000,2025-09-17T20:00:00.000,2025-09-17T06:30:00.000,"COLUMBUS AVENUE between WEST   86 STREET and WEST   90 STREET,  AMSTERDAM AVENUE between WEST   88 STREET and WEST   90 STREET,  AMSTERDAM AVENUE between WEST   86 STREET and WEST   87 STREET,  BROADWAY between WEST   86 STREET and WEST   88 STREET,  WEST   87 STREET between WEST END AVENUE and BROADWAY,  WEST   86 STREET between WEST END AVENUE and RIVERSIDE DRIVE,  BROADWAY between WEST   88 STREET and WEST   89 STREET,  WEST   88 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE",Episodic series
890851,2025-09-18T13:11:41.000,2025-09-23T22:00:00.000,2025-09-23T06:00:00.000,"9 AVENUE between WEST   30 STREET and WEST   31 STREET,  WEST   30 STREET between 9 AVENUE and 8 AVENUE,  WEST   30 STREET between 9 AVENUE and 8 AVENUE,  WEST   30 STREET between 8 AVENUE and 7 AVENUE,  8 AVENUE between WEST   30 STREET and WEST   31 STREET,  9 AVENUE between WEST   31 STREET and WEST   33 STREET,  10 AVENUE between WEST   31 STREET and WEST   33 STREET",Episodic series
891476,2025-09-22T13:19:26.000,2025-09-26T06:00:00.000,2025-09-25T12:01:00.000,"WEST   51 STREET between ROCKEFELLER PLAZA and 6 AVENUE,  WEST   50 STREET between 5 AVENUE and 6 AVENUE",Theater
889399,2025-09-11T15:31:34.000,2025-09-15T17:00:00.000,2025-09-15T06:00:00.000,CONCORD STREET between NAVY STREET and GOLD STREET,Not Applicable
888842,2025-09-09T14:05:06.000,2025-09-21T22:30:00.000,2025-09-21T07:00:00.000,EAST   63 STREET between 5 AVENUE and MADISON AVENUE,Episodic series
889019,2025-09-10T09:47:36.000,2025-09-12T20:00:00.000,2025-09-12T07:00:00.000,43 AVENUE between 21 STREET and 12 STREET,Episodic series
889084,2025-09-10T11:40:04.000,2025-09-19T23:59:00.000,2025-09-19T06:01:00.000,EAST   41 STREET between MADISON AVENUE and PARK AVENUE,Morning Show
889025,2025-09-10T09:59:05.000,2025-09-12T22:00:00.000,2025-09-12T06:00:00.000,"WEST   10 STREET between 5 AVENUE and 6 AVENUE,  WEST   10 STREET between 5 AVENUE and 6 AVENUE,  5 AVENUE between WEST    9 STREET and WEST   10 STREET,  5 AVENUE between WEST   10 STREET and WEST   11 STREET,  5 AVENUE between WEST   11 STREET and WEST   12 STREET,  6 AVENUE between WEST    9 STREET and WEST   10 STREET,  6 AVENUE between WEST   10 STREET and WEST   11 STREET,  6 AVENUE between WEST   11 STREET and WEST   12 STREET,  WEST   12 STREET between 5 AVENUE and 6 AVENUE",Cable-episodic
889643,2025-09-12T19:40:13.000,2025-09-21T12:00:00.000,2025-09-20T08:00:00.000,"HALSEY STREET between NOSTRAND AVENUE and MARCY AVENUE,  HALSEY STREET between ARLINGTON PLACE and NOSTRAND AVENUE",Short
889216,2025-09-10T18:32:36.000,2025-09-18T19:00:00.000,2025-09-18T06:00:00.000,"SMITH STREET between HALLECK STREET and BAY STREET,  SMITH STREET between HALLECK STREET and BAY STREET",Not Applicable
