program_type,of_students_within_grade
Gen Ed/ICT/G&T,10.0
Gen Ed/ICT/G&T,0.9
Gen Ed/ICT/G&T,8.6
Gen Ed/ICT/G&T,2.0
Gen Ed/ICT/G&T,8.8
Gen Ed/ICT/G&T,3.6
Gen Ed/ICT/G&T,0.5
Gen Ed/ICT/G&T,9.1
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,2.8
Gen Ed/ICT/G&T,1.3
Gen Ed/ICT/G&T,4.7
Gen Ed/ICT/G&T,2.4
Gen Ed/ICT/G&T,1.7
Gen Ed/ICT/G&T,0.5
Gen Ed/ICT/G&T,7.4
Gen Ed/ICT/G&T,8.2
Gen Ed/ICT/G&T,8.8
Gen Ed/ICT/G&T,1.4
Gen Ed/ICT/G&T,5.0
Gen Ed/ICT/G&T,12.9
Gen Ed/ICT/G&T,7.4
Gen Ed/ICT/G&T,6.4
Gen Ed/ICT/G&T,5.1
Gen Ed/ICT/G&T,9.7
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,2.1
Gen Ed/ICT/G&T,9.5
Gen Ed/ICT/G&T,8.0
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,6.8
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,15.8
Gen Ed/ICT/G&T,9.0
Gen Ed/ICT/G&T,1.2
Gen Ed/ICT/G&T,17.3
Gen Ed/ICT/G&T,5.6
Gen Ed/ICT/G&T,5.2
Gen Ed/ICT/G&T,10.0
Gen Ed/ICT/G&T,3.0
Gen Ed/ICT/G&T,8.3
Gen Ed/ICT/G&T,28.2
Gen Ed/ICT/G&T,6.9
Gen Ed/ICT/G&T,6.6
Gen Ed/ICT/G&T,5.3
Gen Ed/ICT/G&T,9.0
Gen Ed/ICT/G&T,9.1
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,5.2
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,3.0
Gen Ed/ICT/G&T,0.3
Gen Ed/ICT/G&T,5.5
Gen Ed/ICT/G&T,0.2
Gen Ed/ICT/G&T,4.7
Gen Ed/ICT/G&T,9.1
Gen Ed/ICT/G&T,0.6
Gen Ed/ICT/G&T,4.2
Gen Ed/ICT/G&T,1.7
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,0.1
Gen Ed/ICT/G&T,7.1
Gen Ed/ICT/G&T,12.6
Gen Ed/ICT/G&T,1.3
Gen Ed/ICT/G&T,18.3
Gen Ed/ICT/G&T,1.4
Gen Ed/ICT/G&T,2.8
Gen Ed/ICT/G&T,6.3
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,0.6
Gen Ed/ICT/G&T,2.8
Gen Ed/ICT/G&T,2.3
Gen Ed/ICT/G&T,1.7
Gen Ed/ICT/G&T,9.3
Gen Ed/ICT/G&T,1.3
Gen Ed/ICT/G&T,4.0
Gen Ed/ICT/G&T,0.2
Gen Ed/ICT/G&T,4.9
Gen Ed/ICT/G&T,7.0
Gen Ed/ICT/G&T,9.9
Gen Ed/ICT/G&T,5.1
Gen Ed/ICT/G&T,0.4
Gen Ed/ICT/G&T,3.2
Gen Ed/ICT/G&T,11.5
Gen Ed/ICT/G&T,5.1
Gen Ed/ICT/G&T,6.1
Gen Ed/ICT/G&T,0.3
Gen Ed/ICT/G&T,1.6
Gen Ed/ICT/G&T,9.5
Gen Ed/ICT/G&T,7.4
Gen Ed/ICT/G&T,0.2
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,8.4
Gen Ed/ICT/G&T,4.3
Gen Ed/ICT/G&T,6.7
Gen Ed/ICT/G&T,0.6
Gen Ed/ICT/G&T,6.0
Gen Ed/ICT/G&T,10.9
Gen Ed/ICT/G&T,9.2
Gen Ed/ICT/G&T,3.2
Gen Ed/ICT/G&T,3.8
Gen Ed/ICT/G&T,0.9
Gen Ed/ICT/G&T,6.9
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,1.7
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,11.8
Gen Ed/ICT/G&T,9.9
Gen Ed/ICT/G&T,17.3
Gen Ed/ICT/G&T,7.0
Gen Ed/ICT/G&T,9.1
Gen Ed/ICT/G&T,13.1
Gen Ed/ICT/G&T,5.5
Gen Ed/ICT/G&T,1.8
Gen Ed/ICT/G&T,7.0
Gen Ed/ICT/G&T,2.2
Gen Ed/ICT/G&T,2.6
Gen Ed/ICT/G&T,6.9
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,4.1
Gen Ed/ICT/G&T,15.4
Gen Ed/ICT/G&T,6.6
Gen Ed/ICT/G&T,7.3
Gen Ed/ICT/G&T,0.3
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,4.0
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,8.5
Gen Ed/ICT/G&T,4.7
Gen Ed/ICT/G&T,15.0
Gen Ed/ICT/G&T,7.4
Gen Ed/ICT/G&T,1.3
Gen Ed/ICT/G&T,3.3
Gen Ed/ICT/G&T,2.5
Gen Ed/ICT/G&T,9.0
Gen Ed/ICT/G&T,0.9
Gen Ed/ICT/G&T,3.6
Gen Ed/ICT/G&T,0.4
Gen Ed/ICT/G&T,0.5
Gen Ed/ICT/G&T,4.4
Gen Ed/ICT/G&T,9.8
Gen Ed/ICT/G&T,7.4
Gen Ed/ICT/G&T,5.2
