submitted_at,primary_use_of_subway,frequency_of_delays,survey_stop_location,zip_code
01/07/2019 @ 03:47 PM,Work,Everyday,Other,11377.0
01/07/2019 @ 05:13 PM,School,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:06 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 04:56 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 04:43 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,
01/08/2019 @ 07:27 AM,School,Everyday,Junius St.,
01/07/2019 @ 02:53 PM,Work,A few times a week,Flushing / Main Street,11377.0
01/07/2019 @ 05:00 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 03:35 PM,School,A few times a week,Flushing / Main Street,
01/07/2019 @ 06:13 PM,Work,Almost never,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 06:01 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 08:13 AM,Work,Everyday,Queens Plaza,11375.0
01/08/2019 @ 07:29 AM,Work,Everyday,36th Street,7305.0
01/07/2019 @ 03:22 PM,Work,Rarely,Other,11373.0
01/07/2019 @ 05:10 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 02:11 PM,School,Everyday,Flushing / Main Street,11365.0
01/07/2019 @ 08:20 AM,Work,Everyday,Queens Plaza,
01/07/2019 @ 02:26 PM,Work,Everyday,Junction Boulevard,11368.0
01/07/2019 @ 03:27 PM,Work,A few times a week,Other,11377.0
01/07/2019 @ 04:46 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11369.0
01/08/2019 @ 07:17 AM,Work,Rarely,Junius St.,
01/07/2019 @ 06:00 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,
01/08/2019 @ 07:27 AM,School,,Junius St.,
01/07/2019 @ 03:00 PM,Work,A few times a week,Other,11372.0
01/07/2019 @ 05:41 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 02:34 PM,Other,A few times a week,Other,
01/07/2019 @ 02:51 PM,Work,Everyday,Junction Boulevard,11372.0
01/07/2019 @ 03:32 PM,Work,Everyday,Junction Boulevard,11368.0
01/07/2019 @ 02:57 PM,Work,A few times a week,Court Square,
01/08/2019 @ 07:40 AM,Work,A few times a week,36th Street,
01/07/2019 @ 02:03 PM,School,Everyday,Junction Boulevard,11368.0
01/07/2019 @ 05:49 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11429.0
01/07/2019 @ 09:00 AM,Work,Rarely,Queens Plaza,11377.0
01/07/2019 @ 05:01 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11373.0
01/07/2019 @ 05:38 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11373.0
01/07/2019 @ 07:30 AM,Other,A few times a week,Queens Plaza,11432.0
01/07/2019 @ 02:14 PM,Other,Everyday,Flushing / Main Street,11355.0
01/07/2019 @ 07:25 AM,Work,A few times a week,Queens Plaza,
01/07/2019 @ 01:59 PM,Work,A few times a week,Court Square,11372.0
01/07/2019 @ 02:12 PM,Work,Everyday,Other,
01/07/2019 @ 03:39 PM,School,A few times a week,Flushing / Main Street,
01/07/2019 @ 05:04 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11435.0
01/07/2019 @ 06:21 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11370.0
01/07/2019 @ 02:39 PM,Work,Everyday,Junction Boulevard,11373.0
01/07/2019 @ 04:37 PM,Work,,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 08:45 AM,Work,A few times a week,Queens Plaza,
01/07/2019 @ 03:14 PM,School,A few times a week,Other,11377.0
01/07/2019 @ 03:59 PM,Work,A few times a week,Flushing / Main Street,
01/07/2019 @ 04:56 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11378.0
01/07/2019 @ 01:38 PM,Other,Rarely,Flushing / Main Street,
01/07/2019 @ 02:05 PM,Other,Everyday,Other,
