aggregate_level_id,average_square_feet,total_storefronts,median_years_for_construction,average_years_for_construction,reporting_year,storefront_reported_not_leased,average_monthly_rent_per,median_years_occupied_by,median_square_feet,average_years_leased,median_years_not_leased_and,median_monthly_rent_per_square,average_years_occupied_by,storefronts_with_leases_ending
1.0028.00,1482,44,*,*,2019,*,8.81,*,946,9.76,*,5.9,*,29
1.0079.00,5348,106,*,*,2019,*,25.07,*,2500,8.95,*,12.5,*,64
1.0016.00,1394,326,0,0,2019,27,13.45,1,885,6.27,1,6.16,6.55,208
30,4690,833,*,*,2019,54,3.19,1,1340,7.44,1,2.5,8.89,419
49,3427,1002,*,*,2019,82,3.29,1,1540,6.69,1,2.33,5.22,427
1.0130.00,2773,117,0,0,2019,*,37.79,*,1625,12.49,*,29,*,91
2.0089.00,1990,57,0,0,2019,*,5.38,*,850,7.27,*,3,*,36
1.0058.00,4906,222,*,*,2019,*,33.01,*,2424,10.88,*,9.72,*,172
1.0114.02,2669,126,0,0,2019,*,19.51,*,1118,12.13,*,12,*,91
1.0057.00,5458,65,0,0,2019,*,12.84,*,2000,13.18,*,13.44,*,44
1.0036.01,2887,54,0,0,2019,*,17.98,*,1000,7.38,*,7,*,26
1.0093.00,2453,85,0,0,2019,*,11.12,*,1280,10.75,*,9,*,70
1.0138.00,1706,162,0,0,2019,*,9.85,*,757,10.17,*,9.42,*,115
25,2297,982,*,*,2019,50,5.81,1,980,8.22,1,5,10.94,592
1.0087.00,3401,139,*,*,2019,*,17.1,*,1235,11.57,*,10,*,114
1.0014.01,1994,29,0,0,2019,0,7.1,0,900,14.19,0,8,0,29
1.0137.00,3697,199,*,*,2019,*,39.44,*,1800,13.98,*,16,*,143
1.0055.01,3304,35,0,0,2019,*,24.59,*,2000,15,*,15.33,*,24
51,4783,975,*,*,2019,49,12.56,1,1750,8.74,1,4,4.63,465
1,2619,4702,1.78,2.36,2019,467,15.83,1,1300,9.38,1,9,7.83,"3,085"
