bin,commercial_units,gross_square_feet,land_square_feet
3016733.0,1,"3,000","1,210"
4017232.0,0,"1,560","1,625"
3196228.0,1,"3,498","2,781"
2063283.0,1,"8,748","9,188"
1069344.0,0,0,0
3037035.0,0,"7,308","3,793"
3173484.0,0,"2,914","2,300"
3393897.0,0,0,0
3159860.0,0,"3,350","3,000"
3182423.0,0,"2,250","1,600"
,0,0,"6,103"
,0,0,"6,103"
5002620.0,0,"2,200","7,309"
3216637.0,0,"3,141","2,208"
3042270.0,0,"2,922","2,000"
3082901.0,0,"1,672","2,300"
3027212.0,2,"3,920","1,876"
2063283.0,1,"8,748","9,188"
2067012.0,0,"2,284","3,900"
1087538.0,0,0,0
4262029.0,0,"1,152","1,988"
1051191.0,0,0,0
3002938.0,3,"11,490","3,375"
1002807.0,0,0,0
1057285.0,0,0,0
2123780.0,0,0,0
2046603.0,1,"4,568","4,568"
1057175.0,0,0,0
3199013.0,0,"1,830","1,080"
3001531.0,0,"4,080","1,545"
4139657.0,0,"2,519","4,400"
1037599.0,0,0,0
3038167.0,0,0,0
1052277.0,1,"3,535","1,345"
1005115.0,0,0,0
3153556.0,2,"8,850","3,008"
3127818.0,0,"7,200","5,984"
3347155.0,0,0,0
3150655.0,0,"3,110","4,200"
3121491.0,0,"3,058","4,000"
1025400.0,0,0,0
1025400.0,0,0,0
1082796.0,0,0,0
3189150.0,0,"2,315","7,120"
1032690.0,3,"11,290","2,758"
4231144.0,0,"2,371","5,000"
3133332.0,0,"2,160","2,000"
1089420.0,2,"112,850","7,532"
3155540.0,0,"24,480","5,040"
2041966.0,1,"6,975","7,125"
5121699.0,0,0,0
1045397.0,0,0,0
3031550.0,0,0,0
3040700.0,0,"2,268","1,800"
4062761.0,0,"1,406","2,415"
3074085.0,0,"1,920","2,000"
1028857.0,0,0,0
3388650.0,0,"3,384","1,667"
1087538.0,0,0,0
2025477.0,0,"2,650","1,900"
1084294.0,0,0,0
3245566.0,0,"64,080","14,350"
