address,latitude,longitude,bbl,sale_price,building_class_as_of_final,community_board,tax_class_at_time_of_sale,sale_date,lot,residential_units,neighborhood
1126 BAY RIDGE PARKWAY,40.622511,-74.011099,3062200017.0,0,A9,310.0,1,2016-01-04T00:00:00.000,17,1,DYKER HEIGHTS
2140 HOLLAND AVENUE,40.854793,-73.86573,2043200001.0,384000,K1,211.0,4,2016-01-01T00:00:00.000,1,0,PELHAM PARKWAY SOUTH
"2080 BARNES AVENUE, 6B",40.853081,-73.863894,2042930010.0,160000,D4,211.0,2,2016-01-04T00:00:00.000,10,0,PELHAM PARKWAY SOUTH
2969-2979 THIRD AVENUE,40.818678,-73.914317,2023750048.0,0,K2,201.0,4,2016-01-04T00:00:00.000,48,0,MORRISANIA/LONGWOOD
275 AVENUE S,40.601517,-73.975145,3066780036.0,0,B1,311.0,1,2016-01-01T00:00:00.000,36,2,GRAVESEND
1710 EAST 8TH   STREET,40.607179,-73.96476,3066640011.0,705000,B3,315.0,1,2016-01-04T00:00:00.000,11,2,OCEAN PARKWAY-NORTH
400 EAST 54TH   STREET,40.756237,-73.963995,1013657502.0,0,R4,106.0,2,2016-01-01T00:00:00.000,1526,1,MIDTOWN EAST
140 WEST 12TH,,,,2643951,R4,,2,2016-01-04T00:00:00.000,1481,1,GREENWICH VILLAGE-WEST
5120 19TH   AVENUE,40.625458,-73.980154,3054687503.0,0,R4,312.0,2,2016-01-04T00:00:00.000,1209,1,BOROUGH PARK
710 SHEPHERD AVENUE,40.666869,-73.87849,3043160025.0,646000,B1,305.0,1,2016-01-04T00:00:00.000,25,2,EAST NEW YORK
969 64TH   STREET,40.630957,-74.008117,3057360065.0,0,C1,310.0,2,2016-01-01T00:00:00.000,65,16,BOROUGH PARK
1718 STUART STREET,40.609926,-73.94285,3068150008.0,560000,A5,315.0,1,2016-01-04T00:00:00.000,8,1,MARINE PARK
1427 WATERLOO PLACE,40.609668,-73.768109,4156990028.0,419000,B2,414.0,1,2016-01-04T00:00:00.000,28,2,FAR ROCKAWAY
1335 AVENUE OF THE AMERIC,,,,0,RH,,4,2016-01-04T00:00:00.000,1303,0,MIDTOWN WEST
959 EAST 29TH STREET,40.627709,-73.948058,3075930020.0,0,A9,314.0,1,2016-01-03T00:00:00.000,20,1,MIDWOOD
"1632 2ND AVENUE, 1205",40.77695,-73.952408,1015470049.0,575000,D4,108.0,2,2016-01-04T00:00:00.000,49,0,UPPER EAST SIDE (79-96)
2722 EAST TREMONT AVENUE,40.84243,-73.845151,2039880034.0,2392000,K1,210.0,4,2016-01-01T00:00:00.000,34,0,WESTCHESTER
2049 GATES AVENUE,40.706951,-73.904661,4034850049.0,0,C2,405.0,2,2016-01-01T00:00:00.000,49,6,RIDGEWOOD
530 PARK AVENUE,40.763932,-73.96907,1013757503.0,5850000,R4,108.0,2,2016-01-04T00:00:00.000,1211,1,UPPER EAST SIDE (59-79)
30-07 CORPORAL KENNEDY STR,40.773205,-73.780949,4059940073.0,785000,A2,411.0,1,2016-01-04T00:00:00.000,73,1,BAYSIDE
1336 46TH STREET,40.636155,-73.989483,3056230021.0,1400000,C0,312.0,1,2016-01-04T00:00:00.000,21,3,BOROUGH PARK
34 SOUTH 9TH STREET,40.709091,-73.967541,3021357503.0,0,R4,301.0,2,2016-01-04T00:00:00.000,1511,1,WILLIAMSBURG-SOUTH
102 WEST 57TH STREET,40.764455,-73.977532,1010090037.0,0,H3,105.0,4,2016-01-03T00:00:00.000,37,0,MIDTOWN WEST
3060 WESTCHESTER AVENUE,40.848317,-73.831069,2041960009.0,480000,P9,210.0,4,2016-01-01T00:00:00.000,9,0,SCHUYLERVILLE/PELHAM BAY
102 WEST 57TH   STREET,40.764455,-73.977532,1010090037.0,16239,H3,105.0,4,2016-01-02T00:00:00.000,37,0,MIDTOWN WEST
262 KINGS HIGHWAY,40.605259,-73.980981,3066490081.0,0,S2,311.0,1,2016-01-02T00:00:00.000,81,2,GRAVESEND
870 7 AVENUE,40.764521,-73.980773,1010277501.0,100,RH,105.0,4,2016-01-04T00:00:00.000,1703,0,MIDTOWN WEST
41-04 171ST   STREET,40.759604,-73.795609,4053490030.0,880000,A1,407.0,1,2016-01-04T00:00:00.000,30,1,FLUSHING-NORTH
N/A WESTCHESTER AVENUE,,,,0,V1,,4,2016-01-01T00:00:00.000,13,0,SCHUYLERVILLE/PELHAM BAY
1515 METROPOLITAN AVENUE,40.839365,-73.858638,2039447501.0,128000,R4,209.0,2,2016-01-04T00:00:00.000,4396,1,PARKCHESTER
"2427 EAST 29TH, 1K",,,,155000,D4,,2,2016-01-04T00:00:00.000,1042,0,SHEEPSHEAD BAY
1253 EAST 37TH   STREET,40.626166,-73.940152,3076190013.0,330000,C0,318.0,1,2016-01-04T00:00:00.000,13,3,FLATBUSH-EAST
2140 HOLLAND AVENUE,40.854793,-73.86573,2043200001.0,384000,K1,211.0,4,2016-01-01T00:00:00.000,1,0,PELHAM PARKWAY SOUTH
30-51 81ST   STREET,40.760115,-73.887132,4011300048.0,0,C0,403.0,1,2016-01-02T00:00:00.000,48,3,JACKSON HEIGHTS
"220 EAST 67TH STREET, 1J",40.766276,-73.962279,1014210037.0,529000,D4,108.0,2,2016-01-04T00:00:00.000,37,0,UPPER EAST SIDE (59-79)
445 5 AVENUE,40.751512,-73.981864,1008697501.0,0,R4,105.0,2,2016-01-01T00:00:00.000,1066,1,MURRAY HILL
1335 AVENUE OF THE AMERIC,,,,0,RH,,4,2016-01-03T00:00:00.000,1302,0,MIDTOWN WEST
2821 WEST 31ST   STREET,40.576813,-73.997779,3070090091.0,450000,A5,313.0,1,2016-01-04T00:00:00.000,91,1,CONEY ISLAND
322 74TH STREET,40.631948,-74.026675,3059297501.0,699000,R3,310.0,1,2016-01-04T00:00:00.000,1011,1,BAY RIDGE
973 EAST 2ND   STREET,40.626621,-73.975164,3065050032.0,0,A9,312.0,1,2016-01-04T00:00:00.000,32,1,OCEAN PARKWAY-NORTH
"132 WEST 169TH STREET, 6C",40.840003,-73.924387,2025180028.0,125000,D4,204.0,2,2016-01-04T00:00:00.000,28,0,HIGHBRIDGE/MORRIS HEIGHTS
181 DUANE STREET,40.717412,-74.010176,1001430013.0,0,S3,101.0,2,2016-01-01T00:00:00.000,13,3,TRIBECA
N/A HARING STREET,,,,0,V0,,1,2016-01-04T00:00:00.000,61,0,MADISON
9321 3 AVENUE,40.618453,-74.033096,3061070001.0,0,G2,310.0,4,2016-01-01T00:00:00.000,1,0,BAY RIDGE
3049 BUHRE AVENUE,40.847512,-73.830934,2041960007.0,336000,O5,210.0,4,2016-01-01T00:00:00.000,7,0,SCHUYLERVILLE/PELHAM BAY
261 DEVOE STREET,40.713905,-73.939359,3029160048.0,0,C2,301.0,2,2016-01-01T00:00:00.000,48,6,WILLIAMSBURG-EAST
415 GREENWICH STREET,40.721562,-74.009885,1002157504.0,10,R4,101.0,2,2016-01-04T00:00:00.000,1133,1,TRIBECA
153-34 60 AVENUE,40.740239,-73.816104,4064410017.0,150000,A0,407.0,1,2016-01-02T00:00:00.000,17,1,FLUSHING-NORTH
155 EAST 115 STREET,40.797761,-73.941667,1016430122.0,0,A4,111.0,1,2016-01-01T00:00:00.000,122,1,HARLEM-EAST
"143-50 HOOVER AVENUE, 209",40.71423,-73.814827,4097380114.0,192000,D4,408.0,2,2016-01-04T00:00:00.000,114,0,BRIARWOOD
"136 WEST 81ST STREET, 2R",40.783731,-73.975694,1012110148.0,615000,C6,107.0,2,2016-01-04T00:00:00.000,148,0,UPPER WEST SIDE (79-96)
1335 AVENUE OF THE AMERIC,,,,0,RH,,4,2016-01-02T00:00:00.000,1302,0,MIDTOWN WEST
121-11 109TH   AVENUE,40.682817,-73.820229,4096010043.0,0,A1,410.0,1,2016-01-03T00:00:00.000,43,1,RICHMOND HILL
47-18 170TH   STREET,40.749049,-73.797948,4055670035.0,620000,A5,407.0,1,2016-01-04T00:00:00.000,35,1,FLUSHING-NORTH
4171 WHITE PLAINS ROAD,40.892902,-73.85766,2048350006.0,320000,K1,212.0,4,2016-01-01T00:00:00.000,6,0,WILLIAMSBRIDGE
280 WEBSTER AVE,40.63293,-73.970601,3054210024.0,700000,B3,314.0,1,2016-01-04T00:00:00.000,24,2,OCEAN PARKWAY-NORTH
1345 ROSEDALE AVENUE,40.833586,-73.869672,2038730049.0,0,C3,209.0,2,2016-01-04T00:00:00.000,49,4,SOUNDVIEW
37 THROOP AVENUE,40.703158,-73.947307,3022517502.0,307000,R4,301.0,2,2016-01-04T00:00:00.000,1204,1,WILLIAMSBURG-EAST
2016 EAST 2ND   STREET,40.600453,-73.970223,3071040180.0,5000000,V0,315.0,1,2016-01-04T00:00:00.000,178,0,OCEAN PARKWAY-SOUTH
"160 WEST 85TH STREET, 6D",40.786492,-73.974321,1012150056.0,835000,D4,107.0,2,2016-01-04T00:00:00.000,56,0,UPPER WEST SIDE (79-96)
104 HARRISON AVENUE,40.703763,-73.951184,3022370029.0,0,S2,301.0,1,2016-01-04T00:00:00.000,29,2,WILLIAMSBURG-CENTRAL
2722 EAST TREMONT AVENUE,40.84243,-73.845151,2039880034.0,288000,K1,210.0,4,2016-01-01T00:00:00.000,34,0,WESTCHESTER
1860 51ST STREET,40.626155,-73.980464,3054680030.0,0,B1,312.0,1,2016-01-01T00:00:00.000,30,2,BOROUGH PARK
785 WEST FINGERBOARD RD,40.601629,-74.07997,5030460002.0,0,B2,502.0,1,2016-01-02T00:00:00.000,2,2,GRASMERE
"345 W 55TH ST, 6C",40.765982,-73.985138,1010460013.0,543500,D4,104.0,2,2016-01-04T00:00:00.000,13,0,MIDTOWN WEST
3200 PHILIP AVENUE,40.830607,-73.817983,2054760001.0,420000,A5,210.0,1,2016-01-04T00:00:00.000,1,1,COUNTRY CLUB
89-91 ATLANTIC AVENUE,40.691049,-73.997227,3002740014.0,0,K2,302.0,4,2016-01-01T00:00:00.000,14,0,BROOKLYN HEIGHTS
2113 EAST 38TH   STREET,40.608674,-73.927631,3085380035.0,0,A1,318.0,1,2016-01-04T00:00:00.000,35,1,MARINE PARK
3049 BUHRE AVENUE,40.847512,-73.830934,2041960007.0,0,O5,210.0,4,2016-01-01T00:00:00.000,7,0,SCHUYLERVILLE/PELHAM BAY
60 PEARL STREET,40.703553,-74.011152,1000070038.0,4027000,S9,101.0,2,2016-01-01T00:00:00.000,38,3,FINANCIAL
"458 WEST 23RD   STREET, 3B/4B",40.74716,-74.002934,1007200076.0,1457000,C6,104.0,2,2016-01-04T00:00:00.000,76,0,CHELSEA
445 5 AVENUE,40.751512,-73.981864,1008697501.0,0,R4,105.0,2,2016-01-01T00:00:00.000,1168,1,MURRAY HILL
445 5TH AVENUE,40.751512,-73.981864,1008697501.0,2135809,R4,105.0,2,2016-01-04T00:00:00.000,1182,1,MURRAY HILL
2140 HOLLAND AVENUE,40.854793,-73.86573,2043200001.0,384000,K1,211.0,4,2016-01-01T00:00:00.000,1,0,PELHAM PARKWAY SOUTH
2020 EAST 2ND   STREET,40.600382,-73.970208,3071040180.0,0,C0,315.0,1,2016-01-04T00:00:00.000,180,3,OCEAN PARKWAY-SOUTH
508 AVENUE F,40.633608,-73.973422,3054120012.0,0,B2,314.0,1,2016-01-04T00:00:00.000,12,2,OCEAN PARKWAY-NORTH
1555 STERLING PLACE,40.671283,-73.927213,3013740067.0,650000,B1,308.0,1,2016-01-04T00:00:00.000,67,2,CROWN HEIGHTS
"90 PROSPECT PARK WEST, 1-R",40.667243,-73.974659,3010830043.0,1900000,C6,306.0,2,2016-01-04T00:00:00.000,43,0,PARK SLOPE
"210 RIVERSIDE DRIVE, 10D",40.79423,-73.976518,1012520034.0,1055000,D4,107.0,2,2016-01-04T00:00:00.000,34,0,UPPER WEST SIDE (79-96)
255 EASTERN PARKWAY,40.671186,-73.960332,3011817501.0,1050000,R4,308.0,2,2016-01-04T00:00:00.000,1077,1,CROWN HEIGHTS
415 GREENWICH STREET,40.721562,-74.009885,1002157504.0,10,R4,101.0,2,2016-01-04T00:00:00.000,1133,1,TRIBECA
740 SHEPHERD AVENUE,40.666391,-73.878138,3043160038.0,595000,B1,305.0,1,2016-01-04T00:00:00.000,38,2,EAST NEW YORK
166 EAST 63RD   STREET,40.764394,-73.965579,1013977503.0,0,R4,108.0,2,2016-01-01T00:00:00.000,1299,1,UPPER EAST SIDE (59-79)
"71 OCEAN PARKWAY, 4J",40.649369,-73.974922,3053200001.0,10,D4,307.0,2,2016-01-01T00:00:00.000,1,0,KENSINGTON
N/A 94TH   STREET,,,,0,V0,,1,2016-01-01T00:00:00.000,68,0,BAY RIDGE
248 WALLABOUT STREET,40.700182,-73.953087,3022647507.0,0,R4,301.0,2,2016-01-04T00:00:00.000,1503,1,WILLIAMSBURG-CENTRAL
1063 EAST 31ST STREET,40.625471,-73.945596,3076130020.0,0,A9,318.0,1,2016-01-04T00:00:00.000,20,1,FLATBUSH-EAST
461 FOURTH AVENUE,40.669395,-73.989506,3010160001.0,125000,C0,306.0,1,2016-01-04T00:00:00.000,1,3,PARK SLOPE SOUTH
248 OCEAN VIEW AVENUE,40.578861,-73.965509,3086720066.0,350000,B3,313.0,1,2016-01-04T00:00:00.000,66,2,BRIGHTON BEACH
171 LEXINGTON AVENUE,40.687151,-73.955577,3019687501.0,983176,R1,303.0,2,2016-01-04T00:00:00.000,1001,1,BEDFORD STUYVESANT
2140 HOLLAND AVENUE,40.854793,-73.86573,2043200001.0,2288000,K1,211.0,4,2016-01-01T00:00:00.000,1,0,PELHAM PARKWAY SOUTH
1013 DUMONT AVENUE,40.668258,-73.881278,3040670001.0,112007,V0,305.0,1,2016-01-04T00:00:00.000,1,0,EAST NEW YORK
1655 MADISON AVENUE,40.796383,-73.947468,1016160021.0,7000000,D3,111.0,2,2016-01-04T00:00:00.000,21,19,HARLEM-EAST
627 48 STREET,40.644459,-74.006205,3007670070.0,1200000,B9,307.0,1,2016-01-04T00:00:00.000,70,2,SUNSET PARK
1718 ADAMS STREET,40.84093,-73.87098,2040160042.0,0,B2,211.0,1,2016-01-02T00:00:00.000,42,2,PARKCHESTER
"107 WEST 86TH STREET, 5C",40.786626,-73.972483,1012170029.0,0,D4,107.0,2,2016-01-04T00:00:00.000,29,0,UPPER WEST SIDE (79-96)
20-71 28TH STREET,40.779841,-73.909283,4008490014.0,724994,A5,401.0,1,2016-01-04T00:00:00.000,14,1,ASTORIA
N/A HARING STREET,,,,0,V0,,1,2016-01-04T00:00:00.000,59,0,MADISON
1262 EAST 14TH   STREET,40.618742,-73.96113,3067330035.0,0,J6,314.0,4,2016-01-04T00:00:00.000,35,0,MIDWOOD
3074 WESTCHESTER AVENUE,40.848585,-73.83091,2041960011.0,0,P9,210.0,4,2016-01-01T00:00:00.000,11,0,SCHUYLERVILLE/PELHAM BAY
50 WEST 13TH   STREET,40.735983,-73.995735,1005760015.0,0,S2,102.0,1,2016-01-04T00:00:00.000,15,2,GREENWICH VILLAGE-CENTRAL
269 56 STREET,40.644927,-74.019062,3008290046.0,0,C2,307.0,2,2016-01-01T00:00:00.000,46,6,BUSH TERMINAL
102 WEST 57TH STREET,40.764455,-73.977532,1010090037.0,0,H3,105.0,4,2016-01-04T00:00:00.000,37,0,MIDTOWN WEST
3074 WESTCHESTER AVENUE,40.848585,-73.83091,2041960011.0,0,P9,210.0,4,2016-01-01T00:00:00.000,11,0,SCHUYLERVILLE/PELHAM BAY
37-11 28TH   AVENUE,40.766155,-73.915114,4006530097.0,0,C1,401.0,2,2016-01-02T00:00:00.000,97,20,ASTORIA
333 EAST 34TH STREET,40.744305,-73.974727,1009407501.0,597942,R4,106.0,2,2016-01-04T00:00:00.000,1172,1,KIPS BAY
45-05 98TH STREET,40.745368,-73.865193,4016270220.0,350000,C0,404.0,1,2016-01-04T00:00:00.000,220,3,CORONA
4171 WHITE PLAINS ROAD,40.892902,-73.85766,2048350006.0,0,K1,212.0,4,2016-01-01T00:00:00.000,6,0,WILLIAMSBRIDGE
54 WEST 13TH   STREET,40.736024,-73.995829,1005760014.0,78000000,HB,102.0,4,2016-01-04T00:00:00.000,14,0,GREENWICH VILLAGE-CENTRAL
1162 SHERMAN AVENUE,40.832584,-73.916586,2024520039.0,0,C0,204.0,1,2016-01-04T00:00:00.000,39,3,MELROSE/CONCOURSE
1655 SUMMERFIELD STREET,40.695796,-73.901442,4035540072.0,0,C2,405.0,2,2016-01-01T00:00:00.000,72,6,RIDGEWOOD
"85-14 BROADWAY, 4H",40.739193,-73.877806,4015470016.0,299000,D4,404.0,2,2016-01-04T00:00:00.000,16,0,ELMHURST
47-34 11TH   STREET,40.744193,-73.951057,4000457501.0,875000,R4,402.0,2,2016-01-02T00:00:00.000,1019,1,LONG ISLAND CITY
3074 WESTCHESTER AVENUE,40.848585,-73.83091,2041960011.0,0,P9,210.0,4,2016-01-01T00:00:00.000,11,0,SCHUYLERVILLE/PELHAM BAY
"122 ASHLAND PLACE, 15D",40.692491,-73.979038,3020610040.0,475000,D4,302.0,2,2016-01-04T00:00:00.000,40,0,FORT GREENE
189-35 45TH ROAD,40.754897,-73.791213,4055300080.0,0,A1,411.0,1,2016-01-01T00:00:00.000,80,1,FLUSHING-NORTH
2040 57TH   STREET,40.620501,-73.980163,3055000024.0,1550000,V0,312.0,1,2016-01-04T00:00:00.000,24,1,BOROUGH PARK
1256 EDISON AVENUE,40.836652,-73.829473,2053360030.0,235000,A2,210.0,1,2016-01-04T00:00:00.000,30,1,SCHUYLERVILLE/PELHAM BAY
505 FLUSHING AVENUE,40.699238,-73.954866,3022637508.0,499999,R4,301.0,2,2016-01-02T00:00:00.000,1741,1,WILLIAMSBURG-CENTRAL
635 5 AVENUE,40.663156,-73.991526,3008730002.0,0,S2,307.0,1,2016-01-01T00:00:00.000,2,2,SUNSET PARK
23-29 32ND   STREET,40.773304,-73.913036,4008350107.0,660000,B2,401.0,1,2016-01-04T00:00:00.000,107,2,ASTORIA
731 MONTAUK COURT,40.585714,-73.961308,3072440052.0,0,S2,313.0,1,2016-01-01T00:00:00.000,52,2,OCEAN PARKWAY-SOUTH
4171 WHITE PLAINS ROAD,40.892902,-73.85766,2048350006.0,320000,K1,212.0,4,2016-01-01T00:00:00.000,6,0,WILLIAMSBRIDGE
305 2 AVENUE,40.734593,-73.983311,1008987501.0,1765968,R4,106.0,2,2016-01-04T00:00:00.000,1087,1,GRAMERCY
1259 LINCOLN PLACE,40.669961,-73.934922,3013830054.0,1250000,C2,308.0,2,2016-01-04T00:00:00.000,54,6,CROWN HEIGHTS
1463 DAHILL ROAD,40.61226,-73.974694,3065820079.0,0,B1,311.0,1,2016-01-04T00:00:00.000,79,2,BOROUGH PARK
326 74TH   STREET,40.631931,-74.026599,3059297501.0,0,RP,310.0,4,2016-01-04T00:00:00.000,1017,0,BAY RIDGE
7517 11TH AVENUE,40.622621,-74.012176,3062200003.0,0,B1,310.0,1,2016-01-04T00:00:00.000,3,2,DYKER HEIGHTS
1615 EAST 14TH STREET,40.609774,-73.95941,3067770074.0,0,B1,315.0,1,2016-01-04T00:00:00.000,74,2,MIDWOOD
N/A WESTCHESTER AVENUE,,,,0,V1,,4,2016-01-01T00:00:00.000,13,0,SCHUYLERVILLE/PELHAM BAY
N/A WESTCHESTER AVENUE,,,,0,V1,,4,2016-01-01T00:00:00.000,13,0,SCHUYLERVILLE/PELHAM BAY
283 VICTORY BOULEVARD,40.635013,-74.084802,5001090064.0,0,B2,501.0,1,2016-01-03T00:00:00.000,64,2,NEW BRIGHTON
1218 EAST 55TH   STREET,40.62719,-73.922931,3078020064.0,565000,B1,318.0,1,2016-01-04T00:00:00.000,64,2,FLATLANDS
1311 HERKIMER STREET,40.67749,-73.910075,3015520069.0,1280000,C0,316.0,1,2016-01-04T00:00:00.000,69,3,OCEAN HILL
529 THATFORD AVENUE,40.656995,-73.906505,3036270057.0,0,B1,316.0,1,2016-01-04T00:00:00.000,57,2,BROWNSVILLE
256 PROSPECT PARK WEST,40.658961,-73.9816,3011130058.0,0,S9,307.0,2,2016-01-01T00:00:00.000,58,4,PARK SLOPE SOUTH
4171 WHITE PLAINS ROAD,40.892902,-73.85766,2048350006.0,320000,K1,212.0,4,2016-01-01T00:00:00.000,6,0,WILLIAMSBRIDGE
3941 HARPER AVENUE,40.89042,-73.83302,2049640145.0,110000,A1,212.0,1,2016-01-04T00:00:00.000,145,1,BAYCHESTER
310 WEST 52ND STREET,40.76374,-73.98568,1010427502.0,0,RS,104.0,4,2016-01-01T00:00:00.000,1316,0,MIDTOWN WEST
128-09 142ND   STREET,40.672408,-73.798349,4120650177.0,0,A5,412.0,1,2016-01-02T00:00:00.000,177,1,SO. JAMAICA-BAISLEY PARK
"521 EAST 83RD STREET, 5E",40.773695,-73.947854,1015800014.0,379000,C6,108.0,2,2016-01-04T00:00:00.000,14,0,UPPER EAST SIDE (79-96)
108 ATLANTIC AVENUE,40.690832,-73.99652,3002840025.0,0,C7,306.0,2,2016-01-01T00:00:00.000,25,9,COBBLE HILL
415 GREENWICH STREET,40.721562,-74.009885,1002157504.0,10,R4,101.0,2,2016-01-04T00:00:00.000,1133,1,TRIBECA
"300 WEST 108 ST, 15B",40.803033,-73.967857,1018920049.0,0,D4,107.0,2,2016-01-04T00:00:00.000,49,0,UPPER WEST SIDE (96-116)
102 ADMIRAL COURT,40.806226,-73.852759,2034327502.0,19300,R3,209.0,1,2016-01-04T00:00:00.000,1322,1,SOUNDVIEW
3060 WESTCHESTER AVENUE,40.848317,-73.831069,2041960009.0,0,P9,210.0,4,2016-01-01T00:00:00.000,9,0,SCHUYLERVILLE/PELHAM BAY
"300 RIVERSIDE DRIVE, 3G",40.799781,-73.971477,1018900001.0,965000,D4,107.0,2,2016-01-04T00:00:00.000,1,0,UPPER WEST SIDE (96-116)
2071 HARING STREET,40.601254,-73.941017,3073360057.0,400000,A5,315.0,1,2016-01-04T00:00:00.000,57,1,MADISON
44 HICKS STREET,40.700641,-73.993299,3002100017.0,0,C1,302.0,2,2016-01-01T00:00:00.000,17,8,BROOKLYN HEIGHTS
138-16 59 AVENUE,40.744008,-73.827245,4063810013.0,180000,B2,407.0,1,2016-01-02T00:00:00.000,13,2,FLUSHING-NORTH
211 EAST 46TH   STREET,40.753118,-73.972085,1013207506.0,0,R4,106.0,2,2016-01-01T00:00:00.000,4247,1,MIDTOWN EAST
"1710 CARROLL STREET, A2",40.66605,-73.930161,3014150016.0,0,D4,309.0,2,2016-01-01T00:00:00.000,16,0,CROWN HEIGHTS
157 EAST 115 STREET,40.797744,-73.941627,1016430123.0,0,C5,111.0,2,2016-01-01T00:00:00.000,123,12,HARLEM-EAST
509 EAST 6TH   STREET,40.725277,-73.983473,1004027502.0,842619,R1,103.0,2,2016-01-04T00:00:00.000,1205,1,ALPHABET CITY
8624 5 AVENUE,40.62129,-74.026401,3060450044.0,0,C7,310.0,2,2016-01-02T00:00:00.000,44,10,BAY RIDGE
208 WEBSTER AVE,40.631627,-73.973322,3054200043.0,0,C0,314.0,1,2016-01-04T00:00:00.000,43,3,OCEAN PARKWAY-NORTH
376 PRESIDENT STREET,40.679778,-73.991207,3004447501.0,999999,R4,306.0,2,2016-01-04T00:00:00.000,1015,1,GOWANUS
8009 HARBOR VIEW TERRACE,40.630015,-74.038199,3059750088.0,2350000,A3,310.0,1,2016-01-04T00:00:00.000,88,1,BAY RIDGE
644 EAST 24TH STREET,40.634599,-73.954185,3052440061.0,0,A1,314.0,1,2016-01-04T00:00:00.000,61,1,FLATBUSH-CENTRAL
301 WEST 53RD   STREET,40.764357,-73.985156,1010447501.0,1661128,R4,104.0,2,2016-01-04T00:00:00.000,1219,1,MIDTOWN WEST
301 WEST 53RD   STREET,40.764357,-73.985156,1010447501.0,974983,R4,104.0,2,2016-01-04T00:00:00.000,1080,1,MIDTOWN WEST
"330 WEST 28TH STREET, 14C",40.749131,-73.997019,1007510001.0,109843,D4,104.0,2,2016-01-04T00:00:00.000,1,0,CHELSEA
5127 SURF AVENUE,40.579607,-74.009576,3070240042.0,386000,A1,313.0,1,2016-01-01T00:00:00.000,42,1,SEAGATE
210 WEST 82ND STREET,40.785268,-73.97733,1012290040.0,0,S9,107.0,2,2016-01-01T00:00:00.000,40,6,UPPER WEST SIDE (79-96)
97-49 220TH STREET,40.717188,-73.733299,4107860001.0,0,B3,413.0,1,2016-01-01T00:00:00.000,1,2,QUEENS VILLAGE
2159 64TH   STREET,40.615033,-73.981789,3055430053.0,0,A5,311.0,1,2016-01-01T00:00:00.000,53,1,BOROUGH PARK
102 WEST 57TH STREET,40.764455,-73.977532,1010090037.0,0,H3,105.0,4,2016-01-01T00:00:00.000,37,0,MIDTOWN WEST
101 MARINE AVE,40.617626,-74.036254,3061160008.0,0,D1,310.0,2,2016-01-01T00:00:00.000,8,30,BAY RIDGE
