latitude,longitude,tax_class_as_of_final_roll,council_district,zip_code,apartment_number,total_units
40.847512,-73.830934,4,13.0,10461,,2
40.713905,-73.939359,2A,34.0,11211,,6
40.721562,-74.009885,2,1.0,10013,5B,1
40.740239,-73.816104,1,20.0,11355,,1
40.797761,-73.941667,1,8.0,10029,,1
40.71423,-73.814827,2,24.0,11435,,0
40.783731,-73.975694,2C,6.0,10024,,0
,,4,,10019,TIMES,1
40.682817,-73.820229,1,28.0,11420,,1
40.749049,-73.797948,1,20.0,11358,,1
40.892902,-73.85766,4,12.0,10466,,1
40.63293,-73.970601,1,40.0,11230,,2
40.833586,-73.869672,2A,18.0,10472,,4
40.703158,-73.947307,2,33.0,11206,2L,1
40.600453,-73.970223,1B,47.0,11223,,0
40.786492,-73.974321,2,6.0,10024,,0
40.703763,-73.951184,1,33.0,11206,,3
40.84243,-73.845151,4,13.0,10461,,1
40.626155,-73.980464,1,44.0,11204,,2
40.601629,-74.07997,1,50.0,10305,,2
40.765982,-73.985138,2,3.0,10019,,0
40.830607,-73.817983,1,13.0,10465,,1
40.691049,-73.997227,4,33.0,11201,,2
40.608674,-73.927631,1,46.0,11234,,1
40.847512,-73.830934,4,13.0,10461,,2
40.703553,-74.011152,2A,1.0,10004,,5
40.74716,-74.002934,2C,3.0,10011,,0
40.751512,-73.981864,2,4.0,10016,31B,1
40.751512,-73.981864,2,4.0,10016,PH33A,1
40.854793,-73.86573,4,13.0,10462,,1
40.600382,-73.970208,1,47.0,11223,,3
40.633608,-73.973422,1,44.0,11218,,2
40.671283,-73.927213,1,36.0,11213,,2
40.667243,-73.974659,2C,39.0,11215,,0
40.79423,-73.976518,2,6.0,10025,,0
40.671186,-73.960332,2,35.0,11238,F2,1
40.721562,-74.009885,2,1.0,10013,5B,1
40.666391,-73.878138,1,42.0,11208,,2
40.764394,-73.965579,2,4.0,10065,10H,1
40.649369,-73.974922,2,39.0,11218,,0
,,1B,,11209,,0
40.700182,-73.953087,2,33.0,11206,1C,1
40.625471,-73.945596,1,45.0,11210,,1
40.669395,-73.989506,1,39.0,11215,,3
40.578861,-73.965509,1,48.0,11235,,2
40.687151,-73.955577,2C,36.0,11216,1,1
40.854793,-73.86573,4,13.0,10462,,1
40.668258,-73.881278,1B,42.0,11208,,0
40.796383,-73.947468,2,8.0,10029,,19
40.644459,-74.006205,1,38.0,11220,,2
40.84093,-73.87098,1,15.0,10460,,2
40.786626,-73.972483,2,6.0,10024,,0
40.779841,-73.909283,1,22.0,11105,,1
,,1B,,11229,,0
40.618742,-73.96113,4,44.0,11230,,2
40.848585,-73.83091,4,13.0,10461,,1
40.735983,-73.995735,1,3.0,10011,,3
40.644927,-74.019062,2A,38.0,11220,,6
40.764455,-73.977532,4,4.0,10019,,2
40.848585,-73.83091,4,13.0,10461,,1
40.766155,-73.915114,2,22.0,11103,,20
40.744305,-73.974727,2,2.0,10016,14J,1
40.745368,-73.865193,1,21.0,11368,,3
40.892902,-73.85766,4,12.0,10462,,1
40.736024,-73.995829,4,3.0,10011,,0
40.832584,-73.916586,1,16.0,10456,,3
40.695796,-73.901442,2A,34.0,11385,,6
40.739193,-73.877806,2,25.0,11373,,0
40.744193,-73.951057,2,26.0,11101,702,1
40.848585,-73.83091,4,13.0,10461,,1
40.692491,-73.979038,2,35.0,11201,,0
40.754897,-73.791213,1,19.0,11358,,1
40.620501,-73.980163,1B,44.0,11204,,1
40.836652,-73.829473,1,13.0,10461,,1
40.699238,-73.954866,2,33.0,11205,7C,1
40.663156,-73.991526,1,38.0,11215,,3
40.773304,-73.913036,1,22.0,11105,,2
40.585714,-73.961308,1,48.0,11235,,3
40.892902,-73.85766,4,12.0,10466,,1
40.734593,-73.983311,2,2.0,10003,506,1
40.669961,-73.934922,2A,35.0,11213,,6
40.61226,-73.974694,1,44.0,11204,,2
40.631931,-74.026599,4,43.0,11209,P8,1
40.622621,-74.012176,1,43.0,11228,,2
40.609774,-73.95941,1,48.0,11229,,2
,,4,,10461,,0
,,4,,10461,,0
40.635013,-74.084802,1,49.0,10301,,2
40.62719,-73.922931,1,46.0,11234,,2
40.67749,-73.910075,1,37.0,11233,,3
40.656995,-73.906505,1,42.0,11212,,2
40.658961,-73.9816,2A,39.0,11215,,6
40.892902,-73.85766,4,12.0,10466,,1
40.89042,-73.83302,1,12.0,10466,,1
40.76374,-73.98568,4,3.0,10019,SU1,1
40.672408,-73.798349,1,28.0,11436,,1
40.773695,-73.947854,2,5.0,10028,,0
40.690832,-73.99652,2,39.0,11201,9,12
40.721562,-74.009885,2,1.0,10013,5B,1
40.803033,-73.967857,2,6.0,10025,,0
40.806226,-73.852759,1A,18.0,10473,,1
40.848317,-73.831069,4,13.0,10461,,1
40.799781,-73.971477,2,6.0,10025,,0
40.601254,-73.941017,1,46.0,11229,,1
40.700641,-73.993299,2B,33.0,11201,8,8
40.744008,-73.827245,1,20.0,11355,,2
40.753118,-73.972085,2,4.0,10017,33J,1
40.66605,-73.930161,2,41.0,11213,,0
40.797744,-73.941627,2,8.0,10029,,13
40.725277,-73.983473,2C,2.0,10009,3R,1
40.62129,-74.026401,2,43.0,11209,,12
40.631627,-73.973322,1,44.0,11230,,3
40.679778,-73.991207,2,39.0,11231,2D,1
40.630015,-74.038199,1,43.0,11209,,1
40.634599,-73.954185,1,45.0,11210,,1
40.764357,-73.985156,2,3.0,10019,22C,1
40.764357,-73.985156,2,3.0,10019,9G,1
40.749131,-73.997019,2,3.0,10001,,0
40.579607,-74.009576,1,47.0,11224,,1
40.785268,-73.97733,2B,6.0,10024,,9
40.717188,-73.733299,1,27.0,11429,,2
40.615033,-73.981789,1,47.0,11204,,1
40.764455,-73.977532,4,4.0,10019,,2
40.617626,-74.036254,2,43.0,11209,,30
40.84243,-73.845151,4,13.0,10461,,1
40.547712,-74.198331,1A,51.0,10312,,1
40.762885,-73.958075,2,5.0,10065,,0
40.673289,-73.947861,2,36.0,11216,2D,1
40.683677,-73.913924,1,41.0,11233,,3
40.727229,-73.891672,1,30.0,11378,,2
40.696335,-73.924734,1,34.0,11221,,2
40.775114,-73.982193,2,6.0,10023,16A,1
40.700096,-73.930388,1,34.0,11206,,2
40.76374,-73.98568,2,3.0,10019,PHC,1
40.831044,-73.871025,1,18.0,10472,,3
40.767039,-73.962101,2,4.0,10065,T6G,1
40.579948,-73.95553,2,48.0,11235,60,60
