brooklyn_condominium_property_boro_block_lot,brooklyn_condominium_property_building_classification,comparable_rental_2_full_market_value,longitude,census_tract,brooklyn_condominium_property_market_value_per_sqft,comparable_rental_2_boro_block_lot,latitude,comparable_rental_2_neighborhood,comparable_rental_1_market_value_per_sqft,bbl
3-01042-7501,R4-ELEVATOR,3530000.0,-73.988487,141.0,91.0,3-01093-0038,40.665176,PARK SLOPE,90.0,3010427501.0
3-08295-7501,R2-WALK-UP,,-73.89528,1024.0,28.6,,40.633059,,32.3,3082957501.0
3-01957-7501,R2-WALK-UP,2770000.0,-73.971281,179.0,69.0,3-02073-0028,40.685322,FORT GREENE,55.0,3019577501.0
3-00051-7501,R4-ELEVATOR,7980000.0,-73.989285,21.0,162.0,3-00237-0054,40.702505,BROOKLYN HEIGHTS,180.0,3000517501.0
3-00300-7501,R2-WALK-UP,6770000.0,-73.99885,49.0,92.0,3-00258-0017,40.68893,BROOKLYN HEIGHTS,66.0,3003007501.0
3-01755-7501,R2-WALK-UP,,-73.948543,25901.0,68.0,,40.695445,,86.0,3017557501.0
3-01900-7508,R4-ELEVATOR,308000.0,-73.957216,1237.0,63.0,3-01839-0011,40.695177,BEDFORD STUYVESANT,53.0,3019007508.0
3-01300-7501,R2-WALK-UP,864000.0,-73.941836,333.0,38.6,3-01187-0066,40.665793,CROWN HEIGHTS,41.1,3013007501.0
3-00319-7503,R4-ELEVATOR,685000.0,-74.00088,47.0,62.0,3-00309-0035,40.686794,COBBLE HILL-WEST,92.0,3003197503.0
3-00055-7501,R4-ELEVATOR,2750000.0,-73.984712,21.0,107.0,3-00042-0018,40.702057,DOWNTOWN-FULTON FERRY,107.0,3000557501.0
3-01960-7501,R4-ELEVATOR,766000.0,-73.967289,199.0,51.0,3-01982-0069,40.685439,CLINTON HILL,91.0,3019607501.0
3-00321-7501,R2-WALK-UP,2860000.0,-74.000288,49.0,68.0,3-01089-0001,40.685968,PARK SLOPE,68.0,3003217501.0
3-00277-7501,R4-ELEVATOR,40200000.0,-73.99215,9.0,159.0,3-00250-0030,40.690112,BROOKLYN HEIGHTS,105.0,3002777501.0
3-01053-7501,R4-ELEVATOR,2200000.0,-73.989269,141.0,50.0,3-01079-0040,40.663386,PARK SLOPE,53.0,3010537501.0
3-02058-7501,R4-ELEVATOR,25500000.0,-73.984992,15.0,134.0,3-00271-0001,40.692154,DOWNTOWN-FULTON MALL,221.0,3020587501.0
3-00874-7502,R2-WALK-UP,,-73.988949,147.0,92.0,,40.661391,,133.0,3008747502.0
3-01164-7502,R2-WALK-UP,,-73.970571,163.0,148.0,,40.677069,,49.1,3011647502.0
3-01403-7501,R2-WALK-UP,809000.0,-73.930271,349.0,61.0,3-01280-0025,40.667763,CROWN HEIGHTS,59.0,3014037501.0
3-00947-7501,R2-WALK-UP,1350000.0,-73.978239,131.0,66.0,3-01085-0037,40.677158,PARK SLOPE,84.0,3009477501.0
3-01957-7501,R2-WALK-UP,937000.0,-73.970358,179.0,64.0,3-02073-0035,40.685662,FORT GREENE,64.0,3019587501.0
3-00331-7501,R4-ELEVATOR,4000000.0,-73.999524,63.0,71.0,3-00254-0006,40.684931,BROOKLYN HEIGHTS,72.0,3003317501.0
3-00646-7501,R2-WALK-UP,574000.0,-73.994644,145.0,66.0,3-05782-0054,40.661161,SUNSET PARK,73.0,3006467501.0
3-00254-7501,R2-WALK-UP,1080000.0,-73.993502,502.0,143.0,3-00248-0033,40.693804,BROOKLYN HEIGHTS,152.0,3002547501.0
3-02120-7501,R4-ELEVATOR,,-73.971493,181.0,137.0,,40.686415,,180.0,3021207501.0
3-00998-7503,R2-WALK-UP,2200000.0,-73.986471,137.0,95.0,3-00965-0071,40.670122,PARK SLOPE,131.0,3009987503.0
3-00364-7501,R4-ELEVATOR,7980000.0,-74.002801,63.0,98.0,3-00237-0054,40.680726,BROOKLYN HEIGHTS,103.0,3003647501.0
3-00036-7503,R4-ELEVATOR,2760000.0,-73.991218,21.0,98.0,3-00235-0042,40.70256,BROOKLYN HEIGHTS,97.0,3000367503.0
3-01124-7502,R2-WALK-UP,1950000.0,-73.963593,203.0,96.0,3-01932-0022,40.680111,CLINTON HILL,90.0,3011247502.0
3-00055-7502,R4-ELEVATOR,5470000.0,-73.984059,21.0,107.0,3-00036-0016,40.702323,DOWNTOWN-FULTON FERRY,97.0,3000557502.0
3-01900-7502,R2-WALK-UP,,-73.956246,1237.0,135.0,,40.695045,,99.0,3019007502.0
3-01840-7501,R2-WALK-UP,,-73.941002,267.0,41.4,,40.683236,,22.67,3018407501.0
3-01763-7504,R4-ELEVATOR,316000.0,-73.954705,241.0,89.0,3-01868-0061,40.692272,BEDFORD STUYVESANT,99.0,3017637504.0
3-01272-7501,R4-ELEVATOR,,-73.939987,337.0,85.0,,40.669272,,137.0,3012727501.0
3-01887-7502,R2-WALK-UP,1950000.0,-73.970166,187.0,34.1,3-01932-0022,40.694871,CLINTON HILL,32.2,3018877502.0
3-01270-7502,R4-ELEVATOR,761000.0,-73.947208,337.0,64.0,3-01387-0042,40.669674,CROWN HEIGHTS,101.0,3012707502.0
3-01137-7501,R2-WALK-UP,,-73.969632,163.0,95.0,,40.680532,,86.0,3011377501.0
3-01127-7502,R4-ELEVATOR,,,,63.0,,,,63.0,
3-01252-7501,R2-WALK-UP,,-73.954841,219.0,132.0,,40.671335,,137.0,3012527501.0
3-01103-7501,R2-WALK-UP,909000.0,-73.981808,167.0,92.0,3-01043-0001,40.662631,PARK SLOPE SOUTH,107.0,3011037501.0
3-01157-7501,R9-CONDOPS,,-73.972971,161.0,69.0,,40.678518,,85.0,3011577501.0
3-01734-7516,R4-ELEVATOR,,-73.955467,1237.0,138.0,,40.695983,,99.0,3017347516.0
3-00974-7503,R4-ELEVATOR,,-73.983435,135.0,141.0,,40.673703,,292.0,3009747503.0
3-00939-7502,R4-ELEVATOR,6770000.0,-73.973952,161.0,134.0,3-01156-0090,40.678003,CROWN HEIGHTS,157.0,3009397502.0
3-00207-7501,R4-ELEVATOR,3050000.0,-73.992636,1.0,103.0,3-00226-0004,40.701028,BROOKLYN HEIGHTS,107.0,3002077501.0
3-02014-7501,R2-WALK-UP,520000.0,-73.963404,201.0,65.0,3-01966-0063,40.682743,CLINTON HILL,129.0,3020147501.0
3-00928-7503,R2-WALK-UP,2200000.0,-73.978194,12901.0,96.0,3-00965-0071,40.682752,PARK SLOPE,131.0,3009287503.0
3-05619-7501,R2-WALK-UP,,-73.997103,114.0,63.0,,40.640586,,63.0,3056197501.0
3-01897-7508,R4-ELEVATOR,3530000.0,-73.959608,1237.0,100.0,3-01093-0038,40.69419,PARK SLOPE,97.0,3018977508.0
3-00958-7501,R4-ELEVATOR,3100000.0,-73.982735,133.0,90.0,3-01067-0007,40.675704,PARK SLOPE,110.0,3009587501.0
3-00320-7503,R4-ELEVATOR,7980000.0,-74.000775,47.0,100.0,3-00237-0054,40.686967,BROOKLYN HEIGHTS,103.0,3003207503.0
3-01913-7512,R4-ELEVATOR,,-73.957744,235.0,99.0,,40.693163,,99.0,3019137512.0
3-01941-7501,R4-ELEVATOR,,-73.956271,233.0,133.0,,40.690313,,65.0,3019417501.0
3-00258-7501,R4-ELEVATOR,3160000.0,-73.997717,7.0,136.0,3-00254-0013,40.691908,BROOKLYN HEIGHTS,145.0,3002587501.0
3-01426-7501,R2-WALK-UP,,-73.939615,331.0,32.9,,40.663053,,39.9,3014267501.0
3-00269-7501,R4-ELEVATOR,25500000.0,-73.990019,9.0,134.0,3-00271-0001,40.691186,DOWNTOWN-FULTON MALL,221.0,3002697501.0
3-01734-7505,R4-ELEVATOR,,-73.956444,1237.0,139.0,,40.696157,,99.0,3017347505.0
3-01064-7501,R4-ELEVATOR,5790000.0,-73.972014,159.0,91.0,3-01156-0015,40.673138,CROWN HEIGHTS,73.0,3010647501.0
3-00636-7501,R2-WALK-UP,,-73.994763,143.0,54.0,,40.663609,,64.0,3006367501.0
3-01097-7501,R2-WALK-UP,1570000.0,-73.978514,167.0,65.0,3-00975-0017,40.663714,PARK SLOPE,84.0,3010977501.0
3-01181-7501,R4-ELEVATOR,3700000.0,-73.960332,217.0,33.6,3-01192-0085,40.671186,CROWN HEIGHTS,21.37,3011817501.0
3-00031-7502,R4-ELEVATOR,2750000.0,-73.984665,21.0,71.0,3-00042-0018,40.703188,DOWNTOWN-FULTON FERRY,107.0,3000317502.0
3-00974-7502,R2-WALK-UP,2210000.0,-73.984603,135.0,70.0,3-05088-0006,40.674269,FLATBUSH-CENTRAL,91.0,3009747502.0
3-01100-7501,R2-WALK-UP,2200000.0,-73.982363,149.0,93.0,3-00965-0071,40.663059,PARK SLOPE,94.0,3011007501.0
3-01285-7501,R2-WALK-UP,,-73.942971,335.0,34.3,,40.666763,,41.1,3012857501.0
3-01171-7502,R2-WALK-UP,608000.0,-73.968134,207.0,115.0,3-01146-0015,40.675158,PROSPECT HEIGHTS,97.0,3011717502.0
3-00444-7501,R4-ELEVATOR,4000000.0,-73.991207,75.0,71.0,3-00254-0006,40.679778,BROOKLYN HEIGHTS,72.0,3004447501.0
3-00319-7501,R4-ELEVATOR,2760000.0,-74.001114,47.0,91.0,3-00235-0042,40.686317,BROOKLYN HEIGHTS,103.0,3003197501.0
3-00915-7501,R4-ELEVATOR,3100000.0,-73.998897,90.0,68.0,3-01067-0007,40.647341,PARK SLOPE,110.0,3009157501.0
3-00377-7501,R2-WALK-UP,1570000.0,-74.00044,65.0,65.0,3-00975-0017,40.677591,PARK SLOPE,84.0,3003777501.0
3-02073-7501,R2-WALK-UP,1950000.0,-73.97276,183.0,64.0,3-02139-0014,40.692797,WILLIAMSBURG-SOUTH,64.0,3020737501.0
3-01171-7501,R4-ELEVATOR,,-73.967936,207.0,34.3,,40.675262,,67.0,3011717501.0
3-00464-7501,R2-WALK-UP,893000.0,-73.99594,77.0,71.0,3-00366-0028,40.678519,CARROLL GARDENS,68.0,3004647501.0
3-01957-7501,R2-WALK-UP,2770000.0,-73.96866,199.0,69.0,3-02073-0028,40.684141,FORT GREENE,55.0,3019597501.0
3-00336-7502,R4-ELEVATOR,2490000.0,-74.001821,51.0,97.0,3-00376-0023,40.684813,CARROLL GARDENS,97.0,3003367502.0
3-00027-7501,R4-ELEVATOR,9640000.0,-73.990652,21.0,94.0,3-00221-0020,40.703809,BROOKLYN HEIGHTS,105.0,3000277501.0
3-00478-7501,R4-ELEVATOR,2490000.0,-73.999531,77.0,134.0,3-00376-0023,40.6748,CARROLL GARDENS,131.0,3004787501.0
3-02129-7501,R2-WALK-UP,,,,55.0,,,,51.0,
3-01521-7501,R2-WALK-UP,,-73.914093,371.0,63.0,,40.681045,,62.0,3015217501.0
3-01509-7501,R2-WALK-UP,485000.0,-73.918213,379.0,50.0,3-01475-0001,40.682437,OCEAN HILL,48.1,3015097501.0
3-00955-7502,R2-WALK-UP,2240000.0,-73.982504,133.0,66.0,3-00936-0008,40.677186,PARK SLOPE,64.0,3009557502.0
3-00396-7501,R2-WALK-UP,7520000.0,-73.99223,69.0,100.0,3-00275-0001,40.685787,BROOKLYN HEIGHTS,131.0,3003967501.0
3-01023-7501,R4-ELEVATOR,1860000.0,-73.986742,139.0,105.0,3-01091-0040,40.667695,PARK SLOPE,110.0,3010237501.0
3-02101-7501,R4-ELEVATOR,1920000.0,-73.973735,181.0,65.0,3-02045-0053,40.687793,FORT GREENE,49.7,3021017501.0
3-01181-7502,R4-ELEVATOR,,-73.960977,217.0,48.8,,40.671335,,31.6,3011817502.0
3-01104-7503,R2-WALK-UP,744000.0,-73.984656,149.0,100.0,3-00988-0002,40.663188,PARK SLOPE,105.0,3011047503.0
3-01155-7502,R2-WALK-UP,,-73.960447,305.0,48.4,,40.676838,,48.4,3011557502.0
3-01048-7501,R2-WALK-UP,,-73.988159,141.0,89.0,,40.664174,,94.0,3010487501.0
3-00265-7501,R4-ELEVATOR,3160000.0,-73.991266,9.0,109.0,3-00254-0013,40.691982,BROOKLYN HEIGHTS,112.0,3002657501.0
3-00937-7501,R2-WALK-UP,943000.0,-73.980516,12901.0,66.0,3-01178-0075,40.681125,CROWN HEIGHTS,39.1,3009377501.0
3-00320-7501,R4-ELEVATOR,4060000.0,,,65.0,3-00247-0028,,BROOKLYN HEIGHTS,69.0,
3-00421-7501,R4-ELEVATOR,3160000.0,-73.993795,75.0,108.0,3-00254-0013,40.683185,BROOKLYN HEIGHTS,103.0,3004217501.0
3-00180-7501,R2-WALK-UP,7520000.0,-73.978683,39.0,131.0,3-00275-0001,40.685343,BROOKLYN HEIGHTS,131.0,3001807501.0
3-01949-7501,R4-ELEVATOR,,-73.959936,233.0,139.0,,40.68858,,99.0,3019497501.0
3-00286-7501,R2-WALK-UP,1050000.0,-73.994065,45.0,136.0,3-00238-0020,40.690148,BROOKLYN HEIGHTS,137.0,3002867501.0
3-00891-7501,R2-WALK-UP,5790000.0,-73.992571,145.0,101.0,3-01156-0015,40.660848,CROWN HEIGHTS,151.0,3008917501.0
3-00886-7501,R4-ELEVATOR,3100000.0,-73.990027,147.0,93.0,3-01067-0007,40.660222,PARK SLOPE,110.0,3008867501.0
3-01900-7510,R4-ELEVATOR,,-73.957234,1237.0,138.0,,40.69527,,99.0,3019007510.0
3-01734-7503,R4-ELEVATOR,424000.0,-73.955669,1237.0,68.0,3-01824-0057,40.694641,BEDFORD STUYVESANT,25.9,3017347503.0
3-01509-7502,R2-WALK-UP,,-73.917886,379.0,29.0,,40.681739,,21.61,3015097502.0
3-00951-7501,R2-WALK-UP,1280000.0,-73.974746,159.0,64.0,3-01040-0061,40.67553,GOWANUS,70.0,3009517501.0
3-00045-7501,R4-ELEVATOR,25500000.0,-73.989656,21.0,72.0,3-00271-0001,40.702181,DOWNTOWN-FULTON MALL,75.0,3000457501.0
3-01005-7502,R4-ELEVATOR,2420000.0,-73.984745,137.0,82.0,3-01065-0027,40.668425,PARK SLOPE,100.0,3010057502.0
3-01734-7510,R4-ELEVATOR,,-73.955506,1237.0,138.0,,40.696176,,99.0,3017347510.0
3-01914-7502,R2-WALK-UP,,-73.956867,235.0,69.0,,40.693412,,70.0,3019147502.0
3-00895-7503,R2-WALK-UP,2000000.0,-73.980986,1502.0,99.0,3-00740-0006,40.653606,SUNSET PARK,73.0,3008957503.0
3-01498-7501,R2-WALK-UP,391000.0,-73.91696,373.0,39.7,3-01464-0045,40.684094,OCEAN HILL,39.8,3014987501.0
3-00949-7502,R4-ELEVATOR,3000000.0,-73.981653,131.0,89.0,3-01081-0043,40.677677,PARK SLOPE,136.0,3009497502.0
3-01097-7502,R2-WALK-UP,1020000.0,-73.97793,167.0,66.0,3-01093-0001,40.663316,PARK SLOPE,86.0,3010977502.0
3-01734-7512,R4-ELEVATOR,,-73.955524,1237.0,139.0,,40.696274,,99.0,3017347512.0
3-00391-7501,R4-ELEVATOR,4000000.0,-73.991025,69.0,71.0,3-00254-0006,40.685885,BROOKLYN HEIGHTS,72.0,3003917501.0
3-01899-7503,R4-ELEVATOR,,-73.957328,1237.0,71.0,,40.695619,,99.0,3018997503.0
3-01427-7501,R4-ELEVATOR,,-73.93673,355.0,42.8,,40.663721,,42.6,3014277501.0
3-01098-7510,R4-ELEVATOR,1780000.0,-73.981613,151.0,34.1,3-01179-0037,40.664371,PROSPECT HEIGHTS,40.3,3010987510.0
3-02049-7501,R4-ELEVATOR,7980000.0,-73.982791,15.0,98.0,3-00237-0054,40.694797,BROOKLYN HEIGHTS,103.0,3020497501.0
3-01093-7501,R2-WALK-UP,2060000.0,-73.976985,167.0,92.0,3-01028-0066,40.664455,PARK SLOPE SOUTH,92.0,3010937501.0
3-00280-7501,R2-WALK-UP,8180000.0,-73.991584,43.0,113.0,3-00476-0019,40.687864,CARROLL GARDENS,113.0,3002807501.0
3-01984-7501,R2-WALK-UP,,-73.960093,231.0,136.0,,40.684506,,137.0,3019847501.0
3-00028-7501,R4-ELEVATOR,3050000.0,-73.989552,21.0,137.0,3-00226-0004,40.703504,BROOKLYN HEIGHTS,180.0,3000287501.0
3-00280-7502,R4-ELEVATOR,1520000.0,-73.992367,43.0,113.0,3-00254-0066,40.687486,BROOKLYN HEIGHTS,130.0,3002807502.0
3-00319-7502,R2-WALK-UP,7980000.0,-74.001302,47.0,91.0,3-00237-0054,40.685924,BROOKLYN HEIGHTS,103.0,3003197502.0
3-02095-7501,R2-WALK-UP,,-73.979468,33.0,55.0,,40.689622,,60.0,3020957501.0
3-01900-7503,R4-ELEVATOR,,-73.957252,1237.0,139.0,,40.695364,,99.0,3019007503.0
3-01593-7501,R2-WALK-UP,733000.0,-73.933347,287.0,70.0,3-04795-0013,40.694954,FLATBUSH-NORTH,70.0,3015937501.0
3-01957-7501,R2-WALK-UP,2770000.0,-73.970207,179.0,67.0,3-02073-0028,40.684877,FORT GREENE,55.0,3019587501.0
3-01219-7501,R2-WALK-UP,885000.0,-73.951049,315.0,67.0,3-01281-0009,40.676148,CROWN HEIGHTS,67.0,3012197501.0
3-01376-7501,R2-WALK-UP,885000.0,-73.939225,339.0,67.0,3-01281-0009,40.671322,CROWN HEIGHTS,67.0,3013767501.0
3-01715-7504,R4-ELEVATOR,,-73.956402,1237.0,63.0,,40.699041,,63.0,3017157504.0
3-00941-7501,R4-ELEVATOR,3000000.0,,,53.0,3-01081-0043,,PARK SLOPE,53.0,
3-01098-7509,R4-ELEVATOR,3320000.0,-73.98179,151.0,67.0,3-01179-0097,40.664459,PROSPECT HEIGHTS,73.0,3010987509.0
3-00900-7501,R2-WALK-UP,1040000.0,-73.99082,147.0,100.0,3-00657-0042,40.657985,SUNSET PARK,133.0,3009007501.0
3-02111-7501,R4-ELEVATOR,25500000.0,-73.977732,35.0,150.0,3-00271-0001,40.685107,DOWNTOWN-FULTON MALL,221.0,3021117501.0
3-01966-7502,R2-WALK-UP,,-73.960996,231.0,62.0,,40.68726,,63.0,3019667502.0
3-00900-7502,R2-WALK-UP,1040000.0,-73.991339,147.0,100.0,3-00657-0042,40.658292,SUNSET PARK,133.0,3009007502.0
3-01127-7501,R4-ELEVATOR,1380000.0,-73.974008,12902.0,85.0,3-01173-0076,40.682158,PROSPECT HEIGHTS,85.0,
3-00052-7501,R4-ELEVATOR,5470000.0,-73.988596,21.0,95.0,3-00036-0016,40.701816,DOWNTOWN-FULTON FERRY,180.0,3000527501.0
3-01429-7502,R4-ELEVATOR,,-73.935649,876.0,35.7,,40.663287,,155.0,3014297502.0
3-01526-7501,R2-WALK-UP,485000.0,-73.914826,371.0,63.0,3-01475-0001,40.680576,OCEAN HILL,63.0,3015267501.0
3-01041-7501,R2-WALK-UP,3000000.0,-73.989114,141.0,52.0,3-01081-0043,40.665821,PARK SLOPE,53.0,3010417501.0
3-00169-7501,R4-ELEVATOR,7980000.0,-73.989972,43.0,162.0,3-00237-0054,40.689997,BROOKLYN HEIGHTS,180.0,3001697501.0
3-00966-7501,R2-WALK-UP,1950000.0,-73.977736,157.0,84.0,3-02139-0014,40.672637,WILLIAMSBURG-SOUTH,88.0,3009667501.0
3-00389-7501,R2-WALK-UP,1670000.0,-73.980988,127.0,103.0,3-00258-0048,40.683019,BROOKLYN HEIGHTS,186.0,3003897501.0
3-01715-7501,R4-ELEVATOR,242000.0,-73.964259,547.0,63.0,3-01830-0079,40.708404,BEDFORD STUYVESANT,53.0,3021460022.0
3-00974-7501,R4-ELEVATOR,3000000.0,-73.984019,135.0,101.0,3-01081-0043,40.673986,PARK SLOPE,100.0,3009747501.0
3-00895-7502,R4-ELEVATOR,1860000.0,-73.981598,1502.0,96.0,3-01091-0040,40.654248,PARK SLOPE,100.0,3008957502.0
3-01931-7501,R2-WALK-UP,,-73.966026,197.0,54.0,,40.689111,,54.0,3019317501.0
3-01763-7503,R4-ELEVATOR,,-73.954697,241.0,89.0,,40.692226,,20.65,3017637503.0
3-00470-7502,R4-ELEVATOR,1180000.0,-73.997938,77.0,76.0,3-00821-0005,40.677006,BUSH TERMINAL,103.0,3004707502.0
3-01755-7502,R2-WALK-UP,,-73.947025,25901.0,70.0,,40.69562,,70.0,3017557502.0
3-00036-7502,R4-ELEVATOR,5470000.0,-73.990702,21.0,102.0,3-00036-0016,40.702659,DOWNTOWN-FULTON FERRY,97.0,3000367502.0
3-02000-7501,R4-ELEVATOR,709000.0,-73.955862,517.0,85.0,3-01789-0033,40.71958,BEDFORD STUYVESANT,85.0,3022970020.0
3-01128-7501,R4-ELEVATOR,4530000.0,-73.972396,161.0,40.7,3-01221-0053,40.681936,CROWN HEIGHTS,62.0,3011287501.0
3-01734-7513,R4-ELEVATOR,,-73.955546,1237.0,138.0,,40.69637,,99.0,3017347513.0
3-01232-7501,R2-WALK-UP,862000.0,-73.953892,221.0,41.4,3-01187-0064,40.673901,CROWN HEIGHTS,27.2,3012327501.0
3-00035-7501,R4-ELEVATOR,3050000.0,-73.994085,21.0,180.0,3-00226-0004,40.703194,BROOKLYN HEIGHTS,180.0,3000350012.0
3-02013-7502,R2-WALK-UP,,-73.985214,404.0,215.0,,40.601771,,75.0,3066677501.0
3-01885-7502,R4-ELEVATOR,,-73.957702,1237.0,99.0,,40.697497,,99.0,3018857502.0
3-00180-7502,R4-ELEVATOR,1740000.0,-73.978784,39.0,115.0,3-00225-0020,40.685382,BROOKLYN HEIGHTS,145.0,3001807502.0
3-00925-7501,R2-WALK-UP,830000.0,-73.998829,92.0,66.0,3-05351-0011,40.644563,BOROUGH PARK,68.0,3009257501.0
3-01763-7502,R4-ELEVATOR,,-73.95464,241.0,89.0,,40.691943,,20.65,3017637502.0
3-01515-7501,R2-WALK-UP,351000.0,-73.914803,371.0,28.9,3-01468-0035,40.681345,OCEAN HILL,39.8,3015157501.0
3-01925-7501,R4-ELEVATOR,,-73.958733,235.0,75.0,,40.691275,,75.0,3019257501.0
3-01966-7503,R2-WALK-UP,,-73.961328,231.0,104.0,,40.687221,,94.0,3019667503.0
3-01333-7501,R4-ELEVATOR,,-73.942254,806.0,54.0,,40.662099,,49.5,3013337501.0
3-01172-7501,R2-WALK-UP,616000.0,-73.96803,207.0,74.0,3-01131-0003,40.674115,PROSPECT HEIGHTS,66.0,3011727501.0
3-00207-7502,R4-ELEVATOR,7520000.0,-73.992206,1.0,129.0,3-00275-0001,40.700908,BROOKLYN HEIGHTS,131.0,3002077502.0
3-01206-7501,R2-WALK-UP,,-73.951664,315.0,42.4,,40.677765,,42.4,3012067501.0
3-00348-7501,R4-ELEVATOR,,-74.003209,51.0,94.0,,40.682932,,103.0,3003487501.0
3-01147-7501,R2-WALK-UP,694000.0,-73.963782,205.0,28.1,3-03395-0014,40.677964,BUSHWICK,22.47,3011477501.0
3-00945-7501,R4-ELEVATOR,2420000.0,-73.97507,159.0,85.0,3-01065-0027,40.677616,PARK SLOPE,100.0,3009457501.0
3-01603-7501,R2-WALK-UP,,-73.934009,289.0,54.0,,40.692822,,34.4,3016037501.0
3-01903-7501,R9-CONDOPS,344000.0,-73.967563,195.0,46.2,3-01909-0020,40.693254,CLINTON HILL,53.0,3019037501.0
3-01254-7502,R2-WALK-UP,419000.0,-73.952058,31702.0,92.0,3-01166-0053,40.671724,PROSPECT HEIGHTS,92.0,3012547502.0
3-00242-7501,R9-CONDOPS,,-73.995752,501.0,82.0,,40.695424,,112.0,3002427501.0
3-01104-7505,R2-WALK-UP,1570000.0,-73.984202,149.0,85.0,3-00976-0054,40.66226,PARK SLOPE,94.0,3011047505.0
3-01924-7501,R4-ELEVATOR,9360000.0,-73.960601,193.0,90.0,3-01811-0019,40.691832,BEDFORD STUYVESANT,65.0,3019247501.0
