brooklyn_condominium_property_condo_section,brooklyn_condominium_property_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,borough,comparable_rental_1_neighborhood,comparable_rental_2_total_units,council_district,comparable_rental_2_gross_sqft,comparable_rental_1_gross_sqft
2063-R1,7631,14.44,0.4,3,CLINTON HILL,11.0,35.0,36000.0,8650
1321-R1,33120,,0.35,3,PROSPECT HEIGHTS,,35.0,,17116
1977-R1,19605,88.0,0.6,3,BOERUM HILL,28.0,33.0,19200.0,16800
1258-R1,14095,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
1931-R1,17983,133.0,1.1,3,SUNSET PARK,28.0,39.0,15000.0,14300
1017-R1,38701,,0.65,3,PROSPECT HEIGHTS,,,,32835
1221-R1,84695,65.0,0.05,3,COBBLE HILL,166.0,39.0,104370.0,90288
1134-R1,15740,188.0,0.45,3,PARK SLOPE,20.0,39.0,16470.0,11754
1719-R1,70037,147.0,0.65,3,BOERUM HILL,15.0,33.0,11842.0,42000
272-R1,15795,,1.15,3,CANARSIE,,46.0,,36480
722-R1,8800,84.0,0.75,3,PARK SLOPE,16.0,39.0,12160.0,8533
752-R1,56518,64.0,0.45,3,PARK SLOPE,72.0,39.0,52140.0,41113
51-R1,9924,167.0,0.3,3,DOWNTOWN-FULTON MALL,13.0,39.0,6270.0,9246
1902-R1,332324,105.0,0.35,3,BROOKLYN HEIGHTS,364.0,33.0,242752.0,182000
1927-R1,7983,71.0,3.25,3,WILLIAMSBURG-EAST,16.0,35.0,5896.0,5616
528-R1,25632,22.3,0.65,3,OCEAN HILL,19.0,41.0,15740.0,12000
513-R1,30360,,0.15,3,FLATBUSH-NORTH,,41.0,,31720
54-R1,34820,,0.5,3,FORT GREENE,,35.0,,37580
353-R1,15495,41.1,0.4,3,CROWN HEIGHTS,30.0,36.0,20960.0,18768
2076-R1,35741,292.0,2.55,3,BEDFORD STUYVESANT,36.0,39.0,15092.0,24528
847-R1,48738,73.0,0.7,3,PARK SLOPE,40.0,39.0,41113.0,35298
34-R1,9102,64.0,0.2,3,PARK SLOPE,16.0,39.0,20020.0,14205
1290-R1,21829,92.0,0.4,3,PARK SLOPE,32.0,39.0,23800.0,18020
1830-R1,12930,73.0,1.1,3,SUNSET PARK,37.0,38.0,14300.0,15000
750-R1,13731,64.0,0.9,3,PARK SLOPE,30.0,39.0,21195.0,12160
559-R1,10000,40.4,0.25,3,SUNSET PARK,21.0,38.0,14200.0,14300
1171-R1,24200,,1.0,3,BEDFORD STUYVESANT,,33.0,,15300
922-R1,230680,26.3,0.85,3,CROWN HEIGHTS,200.0,35.0,171993.0,172800
56-R1,32400,,0.85,3,CROWN HEIGHTS,,35.0,,20960
1405-R1,79075,,0.45,3,CROWN HEIGHTS,,35.0,,117250
114-R1,35200,,0.8,3,SUNSET PARK,,38.0,,25600
376-R1,11030,,0.85,3,BEDFORD STUYVESANT,,36.0,,10324
1481-R1,41786,131.0,0.45,3,BROOKLYN HEIGHTS,67.0,39.0,60720.0,73032
1646-R1,9280,,0.2,3,CLINTON HILL,,35.0,,113924
108-R1,52529,86.0,0.65,3,BROOKLYN HEIGHTS,47.0,39.0,46410.0,41250
1015-R1,21259,131.0,0.55,3,BROOKLYN HEIGHTS,36.0,33.0,24192.0,21000
1489-R1,17259,,0.5,3,BEDFORD STUYVESANT,,33.0,,7150
405-R1,21200,90.0,0.8,3,PARK SLOPE,18.0,39.0,20562.0,11754
246-R1,19525,,0.6,3,CROWN HEIGHTS,,35.0,,18768
1409-R1,42550,103.0,1.05,3,BROOKLYN HEIGHTS,94.0,33.0,73032.0,60720
1432-R1,107974,,0.0,3,BEDFORD STUYVESANT,,33.0,,108000
1219-R1,47862,136.0,2.05,3,CROWN HEIGHTS,70.0,38.0,42562.0,44730
97-R1,20750,36.9,1.2,3,CROWN HEIGHTS,30.0,39.0,25556.0,21920
85-R1,13352,94.0,0.1,3,PARK SLOPE,16.0,39.0,16752.0,12160
658-R1,227916,89.0,0.9,3,DOWNTOWN-FULTON MALL,137.0,33.0,108780.0,242752
547-R1,130468,44.1,1.65,3,BEDFORD STUYVESANT,196.0,33.0,212405.0,24528
132-R1,22750,75.0,0.0,3,FORT GREENE,41.0,35.0,25924.0,14604
841-R1,19388,115.0,0.45,3,BOERUM HILL,15.0,33.0,13258.0,29214
1360-R1,17274,70.0,1.2,3,BEDFORD STUYVESANT,14.0,33.0,4400.0,7437
1425-R1,13070,188.0,1.25,3,PARK SLOPE,20.0,38.0,16470.0,11754
665-R1,79058,131.0,0.45,3,BROOKLYN HEIGHTS,67.0,39.0,60720.0,73032
1238-R1,12334,,1.35,3,SUNSET PARK,,38.0,,15000
1366-R1,38798,,1.4,3,DOWNTOWN-FULTON FERRY,,35.0,,50457
849-R1,32500,131.0,0.35,3,BROOKLYN HEIGHTS,36.0,33.0,24192.0,24570
911-R1,11700,,2.7,3,GREENPOINT,,35.0,,16000
1943-R1,11808,,0.85,3,BEDFORD STUYVESANT,,36.0,,4400
535-R1,30700,,0.85,3,FLATBUSH-NORTH,,41.0,,30560
49-R1,10247,,0.65,3,SUNSET PARK,,38.0,,13400
1037-R1,14291,112.0,0.65,3,CARROLL GARDENS,33.0,39.0,24570.0,24150
1718-R1,23868,92.0,0.6,3,PARK SLOPE,32.0,39.0,23800.0,16752
1969-R1,13550,107.0,0.7,3,PARK SLOPE,20.0,39.0,14672.0,16752
200-R1,11680,,0.45,3,PROSPECT HEIGHTS,,35.0,,7237
1000-R1,158053,137.0,0.15,3,DOWNTOWN-FULTON FERRY,142.0,33.0,79460.0,123700
1874-R1,15600,39.5,1.05,3,BEDFORD STUYVESANT,20.0,36.0,18560.0,4400
1273-R1,73232,131.0,0.85,3,DOWNTOWN-FULTON FERRY,67.0,33.0,60720.0,50457
1735-R1,301131,221.0,0.1,3,DOWNTOWN-FULTON FERRY,187.0,33.0,182000.0,123700
1156-R1,10194,188.0,2.25,3,PARK SLOPE,20.0,38.0,16470.0,11754
677-R1,50668,,3.55,3,WILLIAMSBURG-SOUTH,,41.0,,58430
864-R1,13680,67.0,0.55,3,CROWN HEIGHTS,16.0,36.0,13200.0,13200
300-R1,15637,49.3,1.05,3,PARK SLOPE,33.0,39.0,37323.0,35700
1940-R1,33710,28.9,3.1,3,WYCKOFF HEIGHTS,27.0,35.0,24030.0,28800
392-R1,10604,89.0,0.2,3,CARROLL GARDENS,15.0,39.0,10000.0,10248
843-R1,61500,34.7,1.15,3,PROSPECT HEIGHTS,54.0,39.0,51288.0,67680
1061-R1,17065,,0.95,3,BEDFORD STUYVESANT,,33.0,,4400
1073-R1,23150,107.0,0.4,3,DOWNTOWN-FULTON FERRY,23.0,33.0,50932.0,28358
1702-R1,324465,105.0,0.2,3,BROOKLYN HEIGHTS,364.0,33.0,242752.0,182000
1109-R1,13057,90.0,0.9,3,PARK SLOPE,18.0,39.0,20562.0,11754
1216-R1,19350,,0.65,3,PARK SLOPE,,39.0,,16752
1956-R1,20857,,0.55,3,CLINTON HILL,,35.0,,25000
1341-R1,21442,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
431-R1,53760,28.9,0.8,3,OCEAN HILL,16.0,41.0,16800.0,72000
1794-R1,36872,90.0,0.75,3,PARK SLOPE,18.0,39.0,20562.0,35298
795-R1,47988,,0.8,3,WILLIAMSBURG-NORTH,,,,32625
1691-R1,17463,44.3,0.1,3,COBBLE HILL-WEST,12.0,39.0,15471.0,15120
1864-R1,12950,73.0,1.1,3,SUNSET PARK,37.0,38.0,14300.0,15000
498-R1,35732,36.6,1.45,3,CROWN HEIGHTS,26.0,41.0,22132.0,22132
1386-R1,25423,,0.7,3,BEDFORD STUYVESANT,,33.0,,7150
417-R1,31068,34.4,1.05,3,CROWN HEIGHTS,33.0,35.0,25152.0,20960
1594-R1,11899,,0.45,3,BEDFORD STUYVESANT,,35.0,,7150
1703-R1,35389,107.0,0.05,3,DOWNTOWN-FULTON FERRY,23.0,33.0,50932.0,28358
1463-R1,23777,,3.2,3,SUNSET PARK,,44.0,,25600
599-R1,37880,69.0,0.45,3,PARK SLOPE,49.0,39.0,35310.0,35298
123-R1,52396,145.0,0.15,3,DOWNTOWN-FULTON FERRY,48.0,33.0,21000.0,50932
562-R1,9393,68.0,0.5,3,COBBLE HILL,11.0,39.0,7000.0,8600
1172-R1,24200,20.65,0.3,3,BEDFORD STUYVESANT,20.0,33.0,15300.0,7150
1024-R1,15957,,1.7,3,BEDFORD STUYVESANT,,33.0,,277200
1597-R1,10911,94.0,0.1,3,PARK SLOPE,16.0,39.0,16752.0,12160
888-R1,24122,103.0,1.6,3,DOWNTOWN-FULTON FERRY,22.0,39.0,24150.0,28358
1220-R1,56542,131.0,0.8,3,BROOKLYN HEIGHTS,67.0,39.0,60720.0,73032
1651-R1,68505,151.0,0.45,3,PARK SLOPE,83.0,39.0,44730.0,30000
1492-R1,31034,100.0,0.55,3,PARK SLOPE,30.0,39.0,35298.0,20562
1603-R1,40106,,1.45,3,BEDFORD STUYVESANT,,36.0,,24528
145-R1,13201,94.0,1.4,3,PARK SLOPE,16.0,39.0,16752.0,12160
1217-R1,39964,,1.05,3,CROWN HEIGHTS,,35.0,,6100
406-R1,20000,85.0,0.2,3,CARROLL GARDENS,16.0,39.0,11700.0,10000
1293-R1,10403,,0.55,3,BEDFORD STUYVESANT,,33.0,,7150
1729-R1,12490,40.4,0.55,3,SUNSET PARK,21.0,,14200.0,14300
1553-R1,21599,92.0,0.75,3,PARK SLOPE,32.0,39.0,23800.0,18020
928-R1,23280,88.0,0.65,3,PARK SLOPE,25.0,39.0,23500.0,23800
1543-R1,58066,131.0,0.0,3,DOWNTOWN-FULTON FERRY,67.0,33.0,60720.0,50457
1678-R1,11725,,0.5,3,CROWN HEIGHTS,,35.0,,6100
1208-R1,58244,,0.7,3,BEDFORD STUYVESANT,,36.0,,11650
627-R1,31793,,0.7,3,BEDFORD STUYVESANT,,36.0,,10570
1058-R1,35464,97.0,0.4,3,DOWNTOWN-FULTON FERRY,26.0,33.0,28358.0,50932
764-R1,63000,103.0,0.75,3,BROOKLYN HEIGHTS,94.0,33.0,73032.0,60720
1119-R1,49768,73.0,1.25,3,CROWN HEIGHTS,40.0,39.0,41113.0,42562
1912-R1,20620,100.0,0.9,3,FORT GREENE,30.0,33.0,35298.0,35872
1643-R1,24769,103.0,1.3,3,BROOKLYN HEIGHTS,22.0,39.0,24150.0,24192
196-R1,25230,,0.1,3,BROOKLYN HEIGHTS,,33.0,,24570
91-R1,49690,86.0,0.6,3,BROOKLYN HEIGHTS,47.0,33.0,46410.0,41250
1370-R1,24672,145.0,0.1,3,DOWNTOWN-FULTON FERRY,48.0,33.0,21000.0,50457
1731-R1,87554,107.0,0.05,3,DOWNTOWN-FULTON FERRY,23.0,33.0,50932.0,50457
84-R1,71212,74.0,0.6,3,BROOKLYN HEIGHTS,59.0,,54640.0,63224
413-R1,9207,149.0,0.1,3,BROOKLYN HEIGHTS,14.0,33.0,7250.0,5510
1580-R1,41476,112.0,0.4,3,DOWNTOWN-FULTON FERRY,33.0,33.0,24570.0,28358
44-R1,36973,91.0,0.1,3,COBBLE HILL,32.0,39.0,31468.0,50490
441-R1,84000,66.0,0.65,3,GOWANUS,114.0,39.0,90288.0,76334
398-R1,38430,69.0,0.85,3,PARK SLOPE,49.0,39.0,35310.0,35298
445-R1,22659,,1.1,3,BEDFORD STUYVESANT,,36.0,,20000
321-R1,74131,103.0,0.35,3,BROOKLYN HEIGHTS,94.0,33.0,73032.0,60720
