brooklyn_condominium_property_gross_sqft,postcode,brooklyn_condominium_property_est_gross_income,brooklyn_condominium_property_total_units,comparable_rental_1_address,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_income_per_sqft
79075,11238.0,1058814,56,1035 WASHINGTON AVENUE,,
38798,11238.0,1105743,27,65 WASHINGTON STREET,,
36414,11205.0,627413,45,500 NOSTRAND AVENUE,0.9,14.46
7983,11216.0,168441,16,33 KINGSLAND AVENUE,0.75,17.96
56353,11215.0,803030,18,530 2 STREET,0.8,18.43
53760,11233.0,743500,60,495 HOWARD AVENUE,1.0,10.12
47862,11215.0,1112791,38,464 ST MARK'S AVENUE,2.05,28.4
22750,11205.0,369005,12,162 ADELPHI STREET,1.25,18.96
14095,11205.0,395646,12,640 LAFAYETTE AVENUE,,
33120,11238.0,0,21,382 PROSPECT PLACE,,
84695,11201.0,1799768,59,419 HICKS STREET,0.3,16.39
7631,11238.0,125911,11,66 ST JAMES PLACE,0.35,6.17
15394,11231.0,330971,13,104 LUQUER STREET,,
12942,11223.0,0,11,213 TAAFFE PLACE,,
36666,11217.0,714987,22,41 UNDERHILL AVENUE,0.75,21.19
227916,11201.0,4957173,124,205 STATE STREET,0.35,20.42
58179,11201.0,1308445,56,200 CLINTON STREET,0.55,27.4
38701,,618054,31,93 UNDERHILL AVENUE,,
41786,11231.0,877506,36,200 CLINTON STREET,0.8,27.4
32139,11238.0,854254,48,254 WATER STREET,0.3,30.8
14869,11205.0,238052,12,4018 5 AVENUE,,
68505,11217.0,1918140,47,586 PRESIDENT STREET,0.9,31.6
21829,11217.0,480238,16,96 STERLING PLACE,0.65,21.31
34417,11215.0,802604,30,325 1 STREET,0.45,25.7
38056,11238.0,532784,48,92 GATES AVENUE,0.35,8.01
8136,11213.0,137742,13,1593 BEDFORD AVENUE,0.95,16.93
39656,,573029,36,530 2 STREET,0.75,18.43
68330,11201.0,1784096,56,84 NORTH 9 STREET,0.95,28.1
19605,11217.0,411705,15,145 COURT STREET,0.4,20.21
24769,11231.0,693532,25,131 JORALEMON STREET,0.25,23.16
15637,11215.0,203281,19,564 PACIFIC STREET,2.5,13.48
33198,11231.0,829950,26,104 LUQUER STREET,0.7,27.3
17065,11205.0,297954,14,248 HANCOCK STREET,,
9102,11217.0,146360,11,229 ST JOHN'S PLACE,1.05,16.19
20930,11205.0,604249,12,640 LAFAYETTE AVENUE,,
19388,11201.0,504088,14,404 STATE STREET,0.4,26.4
10403,11205.0,300334,12,640 LAFAYETTE AVENUE,,
49210,11215.0,1033410,22,78 PROSPECT PARK WEST,0.75,28.4
13640,11233.0,160270,12,1631 EASTERN PARKWAY EXT,0.85,9.78
35732,11213.0,553846,26,1030 PRESIDENT STREET,1.45,15.62
30455,11216.0,373073,32,658 MONTGOMERY STREET,,
20000,11231.0,364000,26,104 2 PLACE,0.15,19.62
49690,11201.0,894420,42,142 REMSEN STREET,0.6,19.85
158053,11201.0,3951325,87,65 WASHINGTON STREET,0.45,28.7
40875,11238.0,715312,31,62 CLERMONT AVENUE,0.5,20.35
40755,11238.0,570570,51,356 ST JOHN'S PLACE,0.3,16.23
375000,11201.0,6843750,259,65 WASHINGTON STREET,0.8,24.19
13352,11215.0,220308,18,911 8 AVENUE,0.65,21.53
19724,11238.0,319923,16,158 ADELPHI STREET,0.5,16.22
20750,11217.0,346525,24,511 LINCOLN PLACE,1.2,15.76
23280,11215.0,496096,27,325 1 STREET,0.6,20.18
70037,11217.0,1855980,71,129 BOERUM PLACE,1.25,30.7
12110,11205.0,349615,12,640 LAFAYETTE AVENUE,,
8392,11238.0,128817,14,180 PROSPECT PLACE,0.0,12.69
100770,11238.0,1092346,90,921 WASHINGTON AVENUE,0.45,10.17
20085,11201.0,721854,13,65 WASHINGTON STREET,0.3,30.3
