bronx_condominium_property_gross_sqft,nta,borough,bronx_condominium_property_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_total_units,comparable_rental_2_address,comparable_rental_2_est_gross_income
93600,Hunts Point                                                                ,2,2-02748-7501,MELROSE/CONCOURSE,1.55,16,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1278 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",492463.0
19080,Schuylerville-Throgs Neck-Edgewater Park                                   ,2,2-05606-7502,RIVERDALE,6.8,12,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",143532.0
79920,,2,2-03311-7501,BEDFORD PARK/NORWOOD,0.4,96,"{'latitude': '40.869575835091', 'longitude': '-73.883264102385', 'human_address': '{""address"": ""2976 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",653295.0
95061,North Riverdale-Fieldston-Riverdale                                        ,2,2-05780-7501,RIVERDALE,0.45,75,"{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1155727.0
62350,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05745-7501,RIVERDALE,0.75,78,"{'latitude': '40.886395819768', 'longitude': '-73.908274631718', 'human_address': '{""address"": ""530 236 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1327517.0
56000,Pelham Parkway                                                             ,2,2-04307-7501,PELHAM PARKWAY SOUTH,0.35,48,"{'latitude': '40.855072774713', 'longitude': '-73.861940377721', 'human_address': '{""address"": ""2126 MULINER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",364290.0
30743,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05789-7501,RIVERDALE,0.3,55,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",582915.0
27316,Pelham Bay-Country Club-City Island                                        ,2,2-04163-7501,,,37,,
63738,Schuylerville-Throgs Neck-Edgewater Park                                   ,2,2-05529-7502,KINGSBRIDGE/JEROME PARK,7.1,52,"{'latitude': '40.878974479573', 'longitude': '-73.907338647933', 'human_address': '{""address"": ""3044 KINGSBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",338345.0
108100,Van Nest-Morris Park-Westchester Square                                    ,2,2-04284-7501,MORRIS PARK/VAN NEST,0.25,90,"{'latitude': '40.848874545955', 'longitude': '-73.868133849088', 'human_address': '{""address"": ""678 SAGAMORE STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",698346.0
1867373,Parkchester                                                                ,2,2-03929-7501,PELHAM PARKWAY SOUTH,1.2,120,"{'latitude': '40.853699684387', 'longitude': '-73.869138050698', 'human_address': '{""address"": ""2100 BRONX PARK"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1651470.0
16688,Pelham Bay-Country Club-City Island                                        ,2,2-04174-7501,,,44,,
14200,East Tremont                                                               ,2,2-03083-7501,RIVERDALE,2.8,12,"{'latitude': '40.886877804886', 'longitude': '-73.908631585139', 'human_address': '{""address"": ""3615 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",143532.0
127290,Bronxdale                                                                  ,2,2-04340-7502,BRONXDALE,0.15,108,"{'latitude': '40.858184477605', 'longitude': '-73.870607879687', 'human_address': '{""address"": ""620 REISS PLACE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",623376.0
15972,Soundview-Castle Hill-Clason Point-Harding Park                            ,2,2-03432-7501,RIVERDALE,7.0,27,"{'latitude': '40.902340245832', 'longitude': '-73.898609426903', 'human_address': '{""address"": ""5431 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",236069.0
87502,Norwood                                                                    ,2,2-03324-7501,KINGSBRIDGE/JEROME PARK,0.85,93,"{'latitude': '40.884737507079', 'longitude': '-73.898873689852', 'human_address': '{""address"": ""3815 PUTNAM AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2321696.0
109764,Parkchester                                                                ,2,2-03944-7501,,,238,,
59005,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05777-7501,PELHAM PARKWAY SOUTH,3.25,68,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1130 PELHAM PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",705172.0
40468,Spuyten Duyvil-Kingsbridge                                                 ,2,2-05798-7502,RIVERDALE,0.2,25,"{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",582915.0
71146,North Riverdale-Fieldston-Riverdale                                        ,2,2-05857-7501,RIVERDALE,1.2,79,"{'latitude': '40.892626839154', 'longitude': '-73.909948914284', 'human_address': '{""address"": ""600 246 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8181864.0
279904,Hunts Point                                                                ,2,2-02742-7501,MORRISANIA/LONGWOOD,1.05,80,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1011 WASHINGTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1262238.0
47376,Soundview-Castle Hill-Clason Point-Harding Park                            ,2,2-03432-7501,RIVERDALE,7.0,42,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6425 BROADWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",746149.0
20280,North Riverdale-Fieldston-Riverdale                                        ,2,2-05904-7501,EAST TREMONT,3.35,21,"{'latitude': '40.845230393445', 'longitude': '-73.883657649539', 'human_address': '{""address"": ""2090 MOHEGAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",330006.0
