bronx_condominium_property_est_gross_income,council_district,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,bronx_condominium_property_total_units,latitude,comparable_rental_2_market_value_per_sqft,bbl,bronx_condominium_property_neighborhood,postcode,bronx_condominium_property_gross_income_per_sqft
5116475,11.0,17.12,18.46,1958,177,40.888974,70.0,2059237501.0,RIVERDALE,10471.0,17.5
28669604,18.0,9.77,9.18,1930,3378,40.838289,33.0,2039437501.0,PARKCHESTER,10462.0,8.52
282914,11.0,19.01,13.52,1925,15,40.887152,77.0,2057987501.0,RIVERDALE,10463.0,18.9
258876,18.0,12.59,13.33,1964,18,40.806696,47.3,2034327501.0,SOUNDVIEW,10473.0,12.75
1029600,17.0,10.26,10.58,1923,78,40.823682,34.6,2027487501.0,MORRISANIA/LONGWOOD,10459.0,11.0
324360,13.0,19.01,17.34,1985,20,40.81421,77.0,2056067502.0,THROGS NECK,10465.0,17.0
852746,,9.62,10.76,1963,110,,32.5,,BEDFORD PARK/NORWOOD,,10.67
1045671,11.0,11.5,11.22,1963,78,40.889453,40.5,2057800940.0,RIVERDALE,10463.0,11.0
779375,11.0,12.84,9.71,1955,36,40.881059,48.3,2057457501.0,RIVERDALE,10463.0,12.5
649600,13.0,12.57,11.63,1948,48,40.855549,47.3,2043077501.0,PELHAM PARKWAY SOUTH,10461.0,11.6
476516,11.0,13.94,15.51,1974,32,40.884844,55.0,2057897501.0,RIVERDALE,10463.0,15.5
341450,13.0,,12.45,1963,35,40.845857,,2041637501.0,SCHUYLERVILLE/PELHAM BAY,10461.0,12.5
557707,13.0,8.7,8.92,1959,45,40.809183,28.8,2055297502.0,THROGS NECK,10465.0,8.75
1061542,15.0,8.51,9.82,2002,100,40.851139,28.0,2042847501.0,MORRIS PARK/VAN NEST,10462.0,9.82
15910017,18.0,9.77,9.18,1930,2121,40.836939,33.0,2039377501.0,PARKCHESTER,10462.0,8.52
260332,13.0,,15.62,2002,21,40.84531,,2041747501.0,SCHUYLERVILLE/PELHAM BAY,10461.0,15.6
284000,15.0,19.01,17.34,1985,16,40.849226,77.0,2030837501.0,EAST TREMONT,10457.0,20.0
837568,15.0,7.2,6.58,1954,122,40.860836,22.07,2043407502.0,BRONXDALE,10467.0,6.58
191664,18.0,12.59,10.45,1962,14,40.807041,47.3,2034327501.0,SOUNDVIEW,10473.0,12.0
988772,11.0,20.8,10.15,1925,87,40.881827,93.0,2033280128.0,BEDFORD PARK/NORWOOD,10467.0,11.3
898967,18.0,,8.43,1965,128,40.841133,,2039627501.0,PARKCHESTER,10462.0,8.19
796567,11.0,13.67,13.02,1959,25,40.887742,54.0,2057777501.0,KINGSBRIDGE/JEROME PARK,10463.0,13.5
607020,11.0,13.94,15.19,1932,23,40.887159,55.0,2057987502.0,RIVERDALE,10463.0,15.0
1067190,11.0,18.46,19.42,1982,68,40.905496,75.0,2058577501.0,RIVERDALE,10471.0,15.0
3078944,17.0,10.0,11.2,2003,300,40.822088,33.8,2027427501.0,MORRISANIA/LONGWOOD,10459.0,11.0
658526,18.0,15.51,13.94,1968,40,40.807654,63.0,2034327501.0,SOUNDVIEW,10473.0,13.9
314340,11.0,14.61,14.19,1925,12,40.889239,58.0,2059047501.0,RIVERDALE,10463.0,15.5
