bronx_condominium_property_condo_section,bronx_condominium_property_address,bronx_condominium_property_est_gross_income,bin,longitude,comparable_rental_2_full_market_value,comparable_rental_1_est_gross_income,comparable_rental_2_gross_sqft
60-R1,"{'latitude': '40.847701570132', 'longitude': '-73.784352831672', 'human_address': '{""address"": ""190 FORDHAM STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",180994,2082595.0,-73.784647,668000.0,92516,17400.0
23-R1,"{'latitude': '40.838927058597', 'longitude': '-73.861164029973', 'human_address': '{""address"": ""99 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1007633,2096606.0,-73.860664,2770000.0,1198097,103284.0
32-R1,"{'latitude': '40.884571986031', 'longitude': '-73.913586510145', 'human_address': '{""address"": ""3220 FAIRFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",476516,2088687.0,-73.913472,2310000.0,746149,41803.0
14-R1,"{'latitude': '40.861375906182', 'longitude': '-73.870308044297', 'human_address': '{""address"": ""610 WARING AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",764596,2049754.0,-73.870243,1910000.0,904026,86527.0
67-R1,"{'latitude': '40.887109701748', 'longitude': '-73.908604553516', 'human_address': '{""address"": ""3625 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",607020,2112823.0,-73.90859,2310000.0,472245,41803.0
90-R1,"{'latitude': '40.849112484231', 'longitude': '-73.888021553165', 'human_address': '{""address"": ""2135 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",284000,2115776.0,-73.887801,584000.0,108560,7550.0
72-R1,"{'latitude': '40.822104510466', 'longitude': '-73.890364889052', 'human_address': '{""address"": ""951 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",3078944,2113353.0,-73.89034,4270000.0,739399,126284.0
19-R1,"{'latitude': '40.905590353715', 'longitude': '-73.898171971109', 'human_address': '{""address"": ""5775 MOSHOLU AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1067190,2084943.0,-73.897969,33300000.0,1272181,443283.0
46-R1,"{'latitude': '40.823510926478', 'longitude': '-73.889483789199', 'human_address': '{""address"": ""1010 FAILE STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1029600,2006083.0,-73.889517,1660000.0,116955,48000.0
75-R1,"{'latitude': '40.881931979407', 'longitude': '-73.862931656682', 'human_address': '{""address"": ""720 217 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",322299,,,732000.0,181027,22560.0
82-R1,"{'latitude': '40.809043687035', 'longitude': '-73.801683614657', 'human_address': '{""address"": ""1 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",557707,2101498.0,-73.802082,1120000.0,465805,38873.0
38-R1,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4961 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",207142,2096388.0,-73.908192,851000.0,100417,17512.0
2-R1,"{'latitude': '40.838863175254', 'longitude': '-73.859930005413', 'human_address': '{""address"": ""9 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",31134203,2096779.0,-73.860067,,2239219,
23-R4,"{'latitude': '40.838622659221', 'longitude': '-73.859094150894', 'human_address': '{""address"": ""14 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",28669604,2096693.0,-73.859143,5580000.0,1198097,168990.0
33-R6,"{'latitude': '40.807219940817', 'longitude': '-73.854258663914', 'human_address': '{""address"": ""301 ADMIRAL LANE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",440079,2099266.0,-73.854206,583000.0,279547,16507.0
36-R1,"{'latitude': '40.881832610139', 'longitude': '-73.879801951136', 'human_address': '{""address"": ""75 GUN HILL ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",988772,2017815.0,-73.879833,10400000.0,884894,111620.0
30-R1,"{'latitude': '40.884102974299', 'longitude': '-73.911460483502', 'human_address': '{""address"": ""3240 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",187200,2088671.0,-73.911426,584000.0,127387,7550.0
74-R1,"{'latitude': '40.822397655937', 'longitude': '-73.896298700637', 'human_address': '{""address"": ""950 WESTCHESTER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1275036,2114693.0,-73.896326,4570000.0,1550058,112507.0
66-R1,"{'latitude': '40.845108325511', 'longitude': '-73.826716542014', 'human_address': '{""address"": ""1600 PARKVIEW AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",260332,2046202.0,-73.826884,,652916,
17-R1,"{'latitude': '40.861122633991', 'longitude': '-73.869482994582', 'human_address': '{""address"": ""2385 BARKER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",837568,2049876.0,-73.869467,1910000.0,904026,86527.0
33-R1,"{'latitude': '40.807682339437', 'longitude': '-73.853276902534', 'human_address': '{""address"": ""228 NEPTUNE COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",658526,2099271.0,-73.853341,3030000.0,582915,48100.0
33-R4,"{'latitude': '40.806775500111', 'longitude': '-73.852311904978', 'human_address': '{""address"": ""232 FLEET COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",283037,2099281.0,-73.85214,887000.0,279547,18756.0
79-R1,"{'latitude': '40.887539907691', 'longitude': '-73.903736838364', 'human_address': '{""address"": ""3816 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",796567,2084024.0,-73.90362,2800000.0,807536,51600.0
23-R2,"{'latitude': '40.83691693606', 'longitude': '-73.861467982661', 'human_address': '{""address"": ""1469 WEST AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",15910017,2096629.0,-73.861448,5580000.0,1198097,168990.0
41-R1,"{'latitude': '40.886850149315', 'longitude': '-73.906501602504', 'human_address': '{""address"": ""3636 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",1283040,2083983.0,-73.906021,3620000.0,1108732,120650.0
