bronx_condominium_property_address,comparable_rental_1_address,community_board,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_year_built,comparable_rental_1_building_classification,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,bronx_condominium_property_year_built,comparable_rental_1_full_market_value
"{'latitude': '40.838927058597', 'longitude': '-73.861164029973', 'human_address': '{""address"": ""99 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,0.45,1928.0,D1-ELEVATOR,21602.0,2-03932-0050,D1-ELEVATOR,PARKCHESTER,1933,3950000
"{'latitude': '40.877977567321', 'longitude': '-73.919247710483', 'human_address': '{""address"": ""2287 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.883961568175', 'longitude': '-73.911511205264', 'human_address': '{""address"": ""3220 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,0.6,1956.0,D1-ELEVATOR,29302.0,2-05904-0267,D1-ELEVATOR,RIVERDALE,1983,4070000
"{'latitude': '40.809043687035', 'longitude': '-73.801683614657', 'human_address': '{""address"": ""1 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2290 DR"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,6.3,1973.0,C1-WALK-UP,118.0,2-05703-0183,C1-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,1998,1540000
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2600 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.880092839955', 'longitude': '-73.92234413928', 'human_address': '{""address"": ""2475 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,0.3,1928.0,D1-ELEVATOR,29302.0,2-05781-1100,D1-ELEVATOR,RIVERDALE,1941,1920000
"{'latitude': '40.887109701748', 'longitude': '-73.908604553516', 'human_address': '{""address"": ""3625 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.880092839955', 'longitude': '-73.92234413928', 'human_address': '{""address"": ""2475 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,0.9,1968.0,D1-ELEVATOR,295.0,2-05907-0348,D1-ELEVATOR,RIVERDALE,2005,1920000
"{'latitude': '40.861375906182', 'longitude': '-73.870308044297', 'human_address': '{""address"": ""610 WARING AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.858845897175', 'longitude': '-73.869087756', 'human_address': '{""address"": ""660 THWAITES PLACE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",11.0,0.15,1959.0,D1-ELEVATOR,33201.0,2-04337-0064,D1-ELEVATOR,BRONXDALE,1960,2780000
"{'latitude': '40.887539907691', 'longitude': '-73.903736838364', 'human_address': '{""address"": ""3816 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.882201492532', 'longitude': '-73.87814692676', 'human_address': '{""address"": ""3555 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,1.35,1956.0,D7-ELEVATOR,285.0,2-04332-0005,D7-ELEVATOR,BEDFORD PARK/NORWOOD,2004,3040000
"{'latitude': '40.851280197433', 'longitude': '-73.867773653195', 'human_address': '{""address"": ""2040 WHITE PLAINS ROAD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.848752989602', 'longitude': '-73.868542246411', 'human_address': '{""address"": ""1975 BIRCHALL AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",11.0,0.25,2002.0,D1-ELEVATOR,230.0,2-04253-0084,D1-ELEVATOR,MORRIS PARK/VAN NEST,2005,2920000
"{'latitude': '40.870134970336', 'longitude': '-73.892610472518', 'human_address': '{""address"": ""2805A CRESTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.869085621621', 'longitude': '-73.887078980251', 'human_address': '{""address"": ""2875 BAINBRIDGE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",7.0,0.3,1916.0,D1-ELEVATOR,40303.0,2-03319-0113,C1-WALK-UP,BEDFORD PARK/NORWOOD,1993,1690000
"{'latitude': '40.847701570132', 'longitude': '-73.784352831672', 'human_address': '{""address"": ""190 FORDHAM STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.842512864572', 'longitude': '-73.834697854936', 'human_address': '{""address"": ""1564 MAYFLOWER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,2.65,1931.0,C1-WALK-UP,516.0,2-05394-0014,C1-WALK-UP,SCHUYLERVILLE/PELHAM BAY,1897,305000
"{'latitude': '40.905590353715', 'longitude': '-73.898171971109', 'human_address': '{""address"": ""5775 MOSHOLU AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.822348788595', 'longitude': '-73.850239575603', 'human_address': '{""address"": ""2155 VIRGIL PLACE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,6.2,1958.0,D1-ELEVATOR,345.0,2-05909-0825,D3-ELEVATOR,CASTLE HILL/UNIONPORT,1962,3590000
"{'latitude': '40.806653690769', 'longitude': '-73.853452633648', 'human_address': '{""address"": ""201 SUNSET BOULEVARD"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,1.65,1972.0,C1-WALK-UP,4.0,2-05844-1935,C1-WALK-UP,CASTLE HILL/UNIONPORT,1989,1050000
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3130 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3010 GRAND"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",,0.15,1950.0,D7-ELEVATOR,,2-03285-0019,D1-ELEVATOR,BEDFORD PARK/NORWOOD,1968,3860000
"{'latitude': '40.84569734589', 'longitude': '-73.832677608421', 'human_address': '{""address"": ""1725 EDISON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.853632383399', 'longitude': '-73.827409685429', 'human_address': '{""address"": ""2023 BURR AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,0.6,,D1-ELEVATOR,26602.0,,,SCHUYLERVILLE/PELHAM BAY,1965,1460000
"{'latitude': '40.88950389842', 'longitude': '-73.904451506606', 'human_address': '{""address"": ""3900 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.863590585737', 'longitude': '-73.907486698741', 'human_address': '{""address"": ""2400 WEBB AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,1.65,1954.0,D1-ELEVATOR,335.0,2-05787-0137,D1-ELEVATOR,KINGSBRIDGE HTS/UNIV HTS,1928,3120000
"{'latitude': '40.861122633991', 'longitude': '-73.869482994582', 'human_address': '{""address"": ""2385 BARKER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.858845897175', 'longitude': '-73.869087756', 'human_address': '{""address"": ""660 THWAITES PLACE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",11.0,0.15,1959.0,D1-ELEVATOR,33201.0,2-04337-0064,D1-ELEVATOR,BRONXDALE,1960,2780000
"{'latitude': '40.83691693606', 'longitude': '-73.861467982661', 'human_address': '{""address"": ""1469 WEST AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,0.25,1929.0,D1-ELEVATOR,21602.0,2-04286-0022,D1-ELEVATOR,PARKCHESTER,1933,3950000
"{'latitude': '40.806775500111', 'longitude': '-73.852311904978', 'human_address': '{""address"": ""232 FLEET COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,1.65,1972.0,C1-WALK-UP,4.0,2-05844-1935,C1-WALK-UP,CASTLE HILL/UNIONPORT,1989,1050000
"{'latitude': '40.834645270932', 'longitude': '-73.860803851419', 'human_address': '{""address"": ""1925 MC GRAW AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.839624421712', 'longitude': '-73.865901165801', 'human_address': '{""address"": ""1565 THIERIOT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,0.5,1929.0,D1-ELEVATOR,212.0,2-04286-0022,D1-ELEVATOR,PARKCHESTER,1933,3950000
"{'latitude': '40.822397655937', 'longitude': '-73.896298700637', 'human_address': '{""address"": ""950 WESTCHESTER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3463 3 AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2.0,0.8,1964.0,D7-ELEVATOR,87.0,2-03797-0001,D3-ELEVATOR,MORRISANIA/LONGWOOD,2006,5240000
"{'latitude': '40.845108325511', 'longitude': '-73.826716542014', 'human_address': '{""address"": ""1600 PARKVIEW AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1632 HUTCH RIVER PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,0.5,,D1-ELEVATOR,26602.0,,,SCHUYLERVILLE/PELHAM BAY,2003,2660000
"{'latitude': '40.889232471884', 'longitude': '-73.911487178489', 'human_address': '{""address"": ""3800 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.844927295928', 'longitude': '-73.884005635235', 'human_address': '{""address"": ""2079 MOHEGAN AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,3.3,1925.0,D1-ELEVATOR,30701.0,2-03123-0046,D1-ELEVATOR,EAST TREMONT,2004,1080000
"{'latitude': '40.807682339437', 'longitude': '-73.853276902534', 'human_address': '{""address"": ""228 NEPTUNE COURT"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.888932645311', 'longitude': '-73.911592854676', 'human_address': '{""address"": ""3725 BLACKSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,6.4,1974.0,D1-ELEVATOR,4.0,2-05851-2105,D3-ELEVATOR,RIVERDALE,1989,2310000
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4961 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.836009927639', 'longitude': '-73.830171089', 'human_address': '{""address"": ""1235 BRADFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,5.9,1929.0,C1-WALK-UP,30701.0,2-05396-0001,C7-WALK-UP,SCHUYLERVILLE/PELHAM BAY,1940,408000
"{'latitude': '40.884965532286', 'longitude': '-73.862027346087', 'human_address': '{""address"": ""724 221 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.877389917419', 'longitude': '-73.840619187159', 'human_address': '{""address"": ""3333 BRUNER AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",12.0,1.15,1931.0,D1-ELEVATOR,396.0,2-05047-0006,C1-WALK-UP,BAYCHESTER,2005,1250000
"{'latitude': '40.807219940817', 'longitude': '-73.854258663914', 'human_address': '{""address"": ""301 ADMIRAL LANE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,1.65,1962.0,C1-WALK-UP,4.0,2-05371-0060,C9-WALK-UP,CASTLE HILL/UNIONPORT,1989,1050000
