local_unrealized_gain_loss,s_and_p_quality_rating,shares_par_value,trade_country_name,minor_industry_name
2539.63,BBB,95000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
1519.8,,41297.32,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
5595.43,,100271.95,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
22444.96,,156938.59,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-946.5,B+,150000.0,UNITED STATES OF AMERICA (THE),CANADIAN
41444.77,,236970.38,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
220478.5,BBB+,550000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
13737.75,,147562.35,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
40304.31,,179113.25,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
11375.0,B+,325000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
534600.07,,2518568.4,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
39930.42,,176633.4,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
25649.7,,328231.26,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
3042.13,,52110.65,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
18841.18,,131255.95,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
33455.61,,347097.61,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-31759.68,,1337583.0,UNITED STATES OF AMERICA (THE),BANK LOAN
15844.08,BB-,160000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
37134.45,BBB-,795000.0,UNITED STATES OF AMERICA (THE),OTHER YANKEE
19469.36,,62616.0,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
68256.84,B,1740000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
15061.56,,123517.84,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
69424.83,,248066.33,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
391318.13,,3557044.62,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
25647.6,BBB-,870000.0,UNITED STATES OF AMERICA (THE),OTHER YANKEE
197997.49,,626419.72,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
52782.75,,210383.33,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
13570.85,BB,280000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
562.5,BB,150000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
49908.73,,438235.35,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
43383.44,,186085.38,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
26390.1,A-,1210000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
16173.42,BBB-,654000.0,UNITED STATES OF AMERICA (THE),OTHER YANKEE
0.0,,-1112.05,INTERNATIONAL,CASH EQUIVALENT
13774.23,,130483.11,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
29325.18,,130034.22,UNITED STATES OF AMERICA (THE),OTHER ASSET BACKED
-165.3,A-,190000.0,UNITED STATES OF AMERICA (THE),INDUSTRIAL
