base_market_value,period_end_date,investment_type_name,asset_class,original_face,local_accrued_interest
952875.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,0.0
160125.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,3250.0
889312.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,10318.05
759901.01,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,671250.04,0.0
312761.25,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,358818.94,0.0
123089.89,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,124997.56,0.0
126541.78,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,170259.3,0.0
237831.95,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,307000.0,0.0
300685.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,0.0
1918289.79,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1871000.0,0.0
93975.9,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,94824.94,0.0
171246.38,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,224331.43,0.0
115011.38,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,171129.0,0.0
288955.29,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,234999.99,0.0
171584.98,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,142615.01,0.0
125961.11,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,132499.97,0.0
119554.15,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,114999.99,0.0
1362781.35,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,4310.94
118831.63,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,125562.48,0.0
97710.35,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,1083.92
44527.11,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,517500.0,0.0
107652.72,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,850000.0,0.0
179383.55,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,207874.92,0.0
149053.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,779.16
278415.15,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,287590.65,0.0
792951.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,14391.67
161484.45,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1243000.0,0.0
219417.56,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,212399.74,0.0
343687.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,830.56
3053168.47,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,4516083.41,0.0
216563.82,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,194387.51,0.0
353880.96,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,516748.95,0.0
55152.78,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,79500.05,0.0
150097.13,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,172999.98,0.0
380553.22,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,490875.01,0.0
1287423.64,2017-06-30T00:00:00.000,BANK LOAN,FIXED INCOME,0.0,0.0
140000.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,3596.67
