local_total_cost_amount,security_name,base_accrued_interest,maturity_date,interest_rate
878442.4,ABBOTT LABORATORIES,2197.56,2021-11-30T00:00:00.000,2.9
2518568.4,"345, 365 THATFORD AVEN",0.0,2031-05-01T00:00:00.000,6.46
204774.61,824 HOWARD AVENUE,0.0,2027-04-01T00:00:00.000,7.09
73123.15,1256 CLAY AVENUE,0.0,2029-01-01T00:00:00.000,7.38
313876.76,2285 DAVIDSON AVENUE,0.0,2039-12-01T00:00:00.000,5.83
60766.35,42 PATCHEN AVENUE,0.0,2040-05-01T00:00:00.000,5.45
456190.03,2427 ADAM CLAYTON POWE,0.0,2041-11-01T00:00:00.000,5.43
80421.73,3202 THIRD AVENUE,0.0,2039-08-01T00:00:00.000,5.41
456892.5,ADT CORP,12930.93,2032-07-15T00:00:00.000,4.875
-1112.05,EURO CURRENCY,0.0,,0.0
209360.8,21ST CENTURY FOX AMERICA,625.78,2035-12-15T00:00:00.000,6.4
1596706.54,652 658 SOUTHERN BOULE,0.0,2043-05-01T00:00:00.000,5.2
52110.65,1702 WOODBINE STREET,0.0,2025-11-01T00:00:00.000,4.02
490652.5,ACADIA HEALTHCARE CO INC,0.0,2022-07-01T00:00:00.000,5.125
940481.25,ACCO BRANDS CORP,2181.67,2024-12-15T00:00:00.000,5.25
156000.0,1011778 BC / NEW RED FIN,810.34,2024-05-15T00:00:00.000,4.25
80006.78,295 297 JEFFERSON STRE,0.0,2042-04-01T00:00:00.000,6.37
256835.49,800 EAST 160TH STREET,0.0,2021-07-01T00:00:00.000,8.39
25245.32,922 HOE AVENUE,0.0,2042-01-01T00:00:00.000,5.8
27778.86,409 GRAND AVENUE,0.0,2039-07-01T00:00:00.000,5.8
572473.0,21ST CENTURY FOX AMERICA,14391.67,2039-03-01T00:00:00.000,7.85
106286.77,1187 CLAY AVENUE,0.0,2040-07-01T00:00:00.000,4.65
150805.0,21ST CENTURY FOX AMERICA,4401.04,2034-08-01T00:00:00.000,8.45
108441.48,64 PATCHEN AVE. + 133,0.0,2031-05-01T00:00:00.000,4.16
74442.0,ABBOTT LABORATORIES,242.19,2026-11-30T00:00:00.000,3.75
930943.75,ADVANCED MICRO DEVICES,0.0,2024-07-01T00:00:00.000,7.0
185841.21,485 JACKSON AVENUE,0.0,2042-01-01T00:00:00.000,6.14
150293.25,ACADIA HEALTHCARE CO INC,3250.0,2024-03-01T00:00:00.000,6.5
1319183.32,ADVANTAGE SALES + MARKETING  I,0.0,2022-07-25T00:00:00.000,0.0
332312.5,ABC SUPPLY CO INC,830.56,2023-12-15T00:00:00.000,5.75
412888.08,"926, 930 MADISON STREE",0.0,2043-06-01T00:00:00.000,5.48
43007.31,754 EAST 23RD STREET,0.0,2018-07-01T00:00:00.000,15.24
23641.43,162 164 EAST 109TH ST,0.0,2027-11-01T00:00:00.000,2.65
90003.47,158 EAST 112TH STREET,0.0,2035-09-01T00:00:00.000,6.01
597211.94,2026 PACIFIC STREET,0.0,2026-06-01T00:00:00.000,7.27
786613.66,761 EAST 214TH STREET,0.0,2033-03-01T00:00:00.000,5.47
96147.69,62 64 EAST THIRD STREET,0.0,2035-12-01T00:00:00.000,5.28
396794.72,153 EAST 104TH STREET,0.0,2043-03-01T00:00:00.000,5.43
685000.0,AECOM,12677.26,2027-03-15T00:00:00.000,5.125
250437.5,ADVANCED MICRO DEVICES,0.0,2024-07-01T00:00:00.000,7.0
161383.04,8216 5TH AVENUE,0.0,2039-05-01T00:00:00.000,4.74
161188.73,1483 LINCOLN PLACE,0.0,2039-11-01T00:00:00.000,6.3
327470.2,1964 BERGEN STREET,0.0,2039-07-01T00:00:00.000,6.47
117202.04,2447 DEAN STREET,0.0,2042-03-01T00:00:00.000,4.45
327321.05,716 720 EAST 96TH STRE,0.0,2042-05-01T00:00:00.000,4.98
1173794.64,1011778 BC / NEW RED FIN,17250.0,2022-04-01T00:00:00.000,6.0
721881.92,2825 WEBB AVE. + 457 E,0.0,2041-05-01T00:00:00.000,6.93
448898.19,200 EAST MOSHOLU PARKW,0.0,2041-05-01T00:00:00.000,6.46
52796.36,526 WEST 174TH STREET,0.0,2040-11-01T00:00:00.000,7.72
229925.43,417 CLASSON AVENUE,0.0,2041-10-01T00:00:00.000,4.41
134166.65,1209 OGDEN AVENUE,0.0,2042-05-01T00:00:00.000,6.31
102057.29,3675 BROADWAY,0.0,2018-11-01T00:00:00.000,11.87
303202.65,321 ST. NICHOLAS AVENUE,0.0,2029-01-01T00:00:00.000,6.38
79000.0,ADVANCED MICRO DEVICES,2125.0,2022-08-15T00:00:00.000,7.5
1323990.85,ABBOTT LABORATORIES,4310.94,2026-11-30T00:00:00.000,3.75
6454455.65,ABBOTT LABORATORIES,18986.64,2023-11-30T00:00:00.000,3.4
284000.0,ADVANCED MICRO DEVICES,0.0,2024-07-01T00:00:00.000,7.0
150000.0,AECOM,2776.04,2027-03-15T00:00:00.000,5.125
102392.53,972 ANDERSON AVENUE,0.0,2026-05-01T00:00:00.000,6.14
867181.2,AERCAP IRELAND CAP/GLOBA,2960.42,2022-05-26T00:00:00.000,3.5
77811.61,2241 WEBSTER AVENUE,0.0,2040-06-01T00:00:00.000,6.49
36257.95,37 60 98TH STREET,0.0,2029-11-01T00:00:00.000,6.36
236970.38,670 674 EAST 136TH STR,0.0,2033-07-01T00:00:00.000,5.8
3048944.27,801 815 EAST NEW YORK,0.0,2043-04-01T00:00:00.000,4.7
277921.54,1311 HALSEY STREET,0.0,2030-07-01T00:00:00.000,5.06
79655.37,750 MYRTLE AVENUE,0.0,2039-07-01T00:00:00.000,6.82
161843.07,215 MANHATTAN AVENUE,0.0,2040-10-01T00:00:00.000,5.04
699909.0,ABBVIE INC,2604.58,2023-05-14T00:00:00.000,2.85
752848.27,315 ECHO PLACE,0.0,2043-06-01T00:00:00.000,6.3
300763.99,21ST CENTURY FOX AMERICA,4777.0,2021-02-15T00:00:00.000,4.5
559444.23,1290 HOE AVENUE,0.0,2040-03-01T00:00:00.000,6.65
26502.17,60 SOUTH OXFORD STREET,0.0,2039-03-01T00:00:00.000,6.61
1136631.06,940 950 GATES AVENUE,0.0,2042-04-01T00:00:00.000,6.24
52233.54,131 EAST 101ST STREET,0.0,2041-01-01T00:00:00.000,6.38
334762.5,1011778 BC / NEW RED FIN,7144.32,2022-01-15T00:00:00.000,4.625
609766.06,227 EAST THIRD STREET,0.0,2040-05-01T00:00:00.000,6.13
74009.99,1020 WINTHROP STREET,0.0,2043-05-01T00:00:00.000,6.67
62616.0,84 14 WOODHAVEN BOULEV,0.0,2042-01-01T00:00:00.000,6.38
291704.37,195 199 EAST SECOND STRE,0.0,2023-01-01T00:00:00.000,10.65
438235.35,168 02 UNION TURNPIKE,0.0,2035-05-01T00:00:00.000,5.56
1042096.53,488 + 490 ST. NICHOLAS,0.0,2021-06-01T00:00:00.000,7.05
85650.41,305 07 PROSPECT PLACE,0.0,2043-05-01T00:00:00.000,3.46
296533.49,"333, 353 CHAUNCEY STREE",0.0,2041-11-01T00:00:00.000,5.86
2487423.35,21ST CENTURY FOX AMERICA,64140.31,2018-08-10T00:00:00.000,8.25
96580.54,101 WALKER STREET,0.0,2022-12-01T00:00:00.000,2.87
137848.6,766 CAULDWELL AVENUE,0.0,2042-03-01T00:00:00.000,5.25
1731564.36,ACADIA HEALTHCARE CO INC,36975.0,2023-02-15T00:00:00.000,5.625
115281.33,222 EAST 116TH STREET,0.0,2039-11-01T00:00:00.000,4.39
147746.7,600 WEST 133RD STREET,0.0,2021-03-01T00:00:00.000,7.49
606384.1,ABBVIE INC,3583.75,2035-05-14T00:00:00.000,4.5
95170.72,ABBOTT LABORATORIES,1083.92,2025-09-15T00:00:00.000,3.875
133155.16,2513 15 ADAM CLAYTON PO,0.0,2032-03-01T00:00:00.000,7.46
169510.52,720 + 726 SNEDIKER AVE,0.0,2040-04-01T00:00:00.000,5.93
130034.22,21 16 CORNAGA AVENUE,0.0,2039-08-01T00:00:00.000,6.24
1147426.0,AERCAP IRELAND CAP/GLOBA,18268.75,2022-02-01T00:00:00.000,3.95
139000.0,ACADIA HEALTHCARE CO INC,2953.75,2023-02-15T00:00:00.000,5.625
133427.82,21ST CENTURY FOX AMERICA,1183.67,2022-09-15T00:00:00.000,3.0
327664.96,2337 TIEBOUT AVENUE,0.0,2040-10-01T00:00:00.000,6.26
347097.61,798 EAST 8TH STREET,0.0,2026-08-01T00:00:00.000,4.9
100840.42,366 HERKIMER STREET,0.0,2040-06-01T00:00:00.000,5.48
1327212.5,ADT CORP,16427.07,2021-10-15T00:00:00.000,6.25
156938.59,577 NOSTRAND AVENUE ET,0.0,2029-10-01T00:00:00.000,5.61
131255.95,2787 FREDERICK DOUGLASS,0.0,2029-11-01T00:00:00.000,5.63
453287.6,1898 HARRISON AVENUE,0.0,2042-01-01T00:00:00.000,5.08
1207882.5,ABBVIE INC,5687.0,2025-05-14T00:00:00.000,3.6
344850.0,1011778 BC / NEW RED FIN,1806.25,2024-05-15T00:00:00.000,4.25
328231.26,49 TROUTMAN STREET ET,0.0,2025-07-01T00:00:00.000,4.55
109941.02,41 21 HAMPTON STREET,0.0,2041-01-01T00:00:00.000,4.64
176633.4,1487 ST. JOHNS PLACE,0.0,2040-06-01T00:00:00.000,5.96
347045.8,854 MYRTLE AVENUE,0.0,2037-12-01T00:00:00.000,6.24
166660.58,678 ACADEMY STREET,0.0,2030-05-01T00:00:00.000,6.21
101696.07,805 ROGERS AVENUE,0.0,2043-03-01T00:00:00.000,5.29
186085.38,1138 WASHIGNTON AVENUE,0.0,2039-03-01T00:00:00.000,6.3
123517.84,364 MONTGOMERY STREET,0.0,2030-07-01T00:00:00.000,5.06
1038980.8,ABBOTT LABORATORIES,2647.67,2019-11-22T00:00:00.000,2.35
294291.0,ABBVIE INC,2016.67,2042-11-06T00:00:00.000,4.4
109133.26,743 MACDONOUGH STREET,0.0,2039-07-01T00:00:00.000,4.91
652374.37,1244 46 WESTCHESTER AVE,0.0,2038-04-01T00:00:00.000,6.3
243089.04,2064 BOSTON POST ROAD,0.0,2040-11-01T00:00:00.000,6.51
150000.0,1011778 BC / NEW RED FIN,779.16,2024-05-15T00:00:00.000,4.25
140829.2,70 WEST 105TH STREET,0.0,2039-12-01T00:00:00.000,6.64
74707.2,ADVANCE AUTO PARTS,262.5,2023-12-01T00:00:00.000,4.5
88699.9,208 17 JAMAICA AVENUE,0.0,2040-04-01T00:00:00.000,4.87
303642.31,22 24 MT. MORRIS PARK W,0.0,2033-03-01T00:00:00.000,3.84
210383.33,767 BLAKE AVENUE,0.0,2041-11-01T00:00:00.000,6.24
120063.05,"140, 147 + 157 WEST 13",0.0,2026-11-01T00:00:00.000,3.85
691605.0,AERCAP IRELAND CAP/GLOBA,8175.0,2021-10-01T00:00:00.000,5.0
1040740.82,1660 MORRIS AVENUE,0.0,2038-01-01T00:00:00.000,6.68
91005.62,192 EAST 164TH STREET,0.0,2040-11-01T00:00:00.000,6.79
128595.64,239 + 348 MELROSE STRE,0.0,2042-02-01T00:00:00.000,6.37
284050.38,ADS WASTE HLDGS INC,0.0,2023-11-10T00:00:00.000,0.0
193002.64,588 HENRY STREET,0.0,2037-07-01T00:00:00.000,6.15
