local_market_value,local_unrealized_gain_loss,local_total_cost_amount,base_total_cost
212511.41,42051.75,170459.66,170459.66
527082.33,73794.73,453287.6,453287.6
118209.34,27203.72,91005.62,91005.62
284995.1,28159.61,256835.49,256835.49
1300653.51,307871.34,992782.17,992782.17
261656.55,43187.94,218468.61,218468.61
183234.59,20161.09,163073.5,163073.5
597487.5,32487.5,565000.0,565000.0
216563.82,39930.42,176633.4,176633.4
317491.16,69424.83,248066.33,248066.33
301119.6,355.61,300763.99,300763.99
180735.69,19352.65,161383.04,161383.04
1137052.08,94955.55,1042096.53,1042096.53
83250.0,4250.0,79000.0,79000.0
165307.8,36712.16,128595.64,128595.64
1914009.27,317302.73,1596706.54,1596706.54
3053168.47,534600.07,2518568.4,2518568.4
1386717.55,345976.73,1040740.82,1040740.82
198318.41,37129.68,161188.73,161188.73
181246.54,40606.39,140640.15,140640.15
240285.27,54444.06,185841.21,185841.21
44527.11,1519.8,43007.31,43007.31
3628512.74,603030.22,3025482.52,3025482.52
380999.24,67122.48,313876.76,313876.76
548799.63,92609.6,456190.03,456190.03
1918289.79,337060.42,1581229.37,1581229.37
32960.05,5181.19,27778.86,27778.86
237831.95,33057.34,204774.61,204774.61
82085.36,19469.36,62616.0,62616.0
125592.45,18939.59,106652.86,106652.86
81742.86,15163.15,66579.71,66579.71
1287423.64,-31759.68,1319183.32,1319183.32
309000.0,9000.0,300000.0,300000.0
144505.6,3368.76,141136.84,141136.84
61714.61,8326.66,53387.95,53387.95
502827.5,12175.0,490652.5,490652.5
125961.11,10679.78,115281.33,115281.33
919186.29,132572.63,786613.66,786613.66
527320.0,54035.0,473285.0,473285.0
824417.21,197997.49,626419.72,626419.72
548086.83,90453.6,457633.23,457633.23
764531.06,178076.32,586454.74,586454.74
172325.24,22556.92,149768.32,149768.32
892828.8,25647.6,867181.2,867181.2
76560.75,2118.75,74442.0,74442.0
84940.91,14729.54,70211.37,70211.37
33163.87,6661.7,26502.17,26502.17
161484.45,13737.75,147746.7,147746.7
126541.78,6478.73,120063.05,120063.05
55152.78,3042.13,52110.65,52110.65
440344.81,93299.01,347045.8,347045.8
792951.5,220478.5,572473.0,572473.0
388531.59,89215.58,299316.01,299316.01
99362.25,21550.64,77811.61,77811.61
717921.54,158477.31,559444.23,559444.23
1362781.35,38790.5,1323990.85,1323990.85
-53.77,0.0,-53.77,-53.77
83727.02,12676.58,71050.44,71050.44
406885.57,79415.37,327470.2,327470.2
1799821.2,68256.84,1731564.36,1731564.36
759901.01,150134.95,609766.06,609766.06
353880.96,25649.7,328231.26,328231.26
264687.5,14250.0,250437.5,250437.5
107652.72,5595.43,102057.29,102057.29
98058.3,1477.76,96580.54,96580.54
89762.02,16638.87,73123.15,73123.15
104700.75,15163.54,89537.21,89537.21
1234272.6,26390.1,1207882.5,1207882.5
687568.75,2568.75,685000.0,685000.0
171584.98,37418.33,134166.65,134166.65
412017.27,29495.94,382521.33,382521.33
1255681.88,178813.41,1076868.47,1076868.47
889312.5,39512.5,849800.0,849800.0
119554.15,18713.73,100840.42,100840.42
179782.5,28977.5,150805.0,150805.0
473636.12,76841.4,396794.72,396794.72
832495.32,180120.95,652374.37,652374.37
321551.06,12477.3,309073.76,309073.76
26368.72,1852.67,24516.05,24516.05
129126.49,11924.45,117202.04,117202.04
1312500.0,-51281.25,1363781.25,1363781.25
179383.55,22444.96,156938.59,156938.59
832134.45,37134.45,795000.0,795000.0
162855.0,4392.5,158462.5,158462.5
219417.56,40304.31,179113.25,179113.25
144257.34,13774.23,130483.11,130483.11
102389.81,22383.03,80006.78,80006.78
122444.62,12503.6,109941.02,109941.02
149053.5,-946.5,150000.0,150000.0
312761.25,34839.71,277921.54,277921.54
104209.8,13047.07,91162.73,91162.73
889829.6,11387.2,878442.4,878442.4
132145.85,20348.29,111797.56,111797.56
97796.64,23786.65,74009.99,74009.99
705088.71,42133.71,662955.0,662955.0
86586.48,11319.09,75267.39,75267.39
6638564.8,184109.15,6454455.65,6454455.65
100483.97,11784.07,88699.9,88699.9
135952.38,2524.56,133427.82,133427.82
182195.49,41366.29,140829.2,140829.2
3435716.66,386772.39,3048944.27,3048944.27
957362.83,204514.56,752848.27,752848.27
1006658.86,127281.2,879377.66,879377.66
252489.17,22563.74,229925.43,229925.43
120895.29,19199.22,101696.07,101696.07
159359.4,29325.18,130034.22,130034.22
23702.77,61.34,23641.43,23641.43
1355493.75,28281.25,1327212.5,1327212.5
101026.76,21371.39,79655.37,79655.37
74291.7,-415.5,74707.2,74707.2
162398.96,24550.36,137848.6,137848.6
396903.0,9028.5,387874.5,387874.5
307329.0,13038.0,294291.0,294291.0
56507.86,11055.1,45452.76,45452.76
263166.08,52782.75,210383.33,210383.33
278415.15,41444.77,236970.38,236970.38
556848.09,109088.76,447759.33,447759.33
698439.0,-1470.0,699909.0,699909.0
1047820.8,8840.0,1038980.8,1038980.8
3948362.75,391318.13,3557044.62,3557044.62
477954.82,104268.12,373686.7,373686.7
123283.38,14217.97,109065.41,109065.41
74167.62,21371.26,52796.36,52796.36
286075.74,58323.98,227751.76,227751.76
160125.0,9831.75,150293.25,150293.25
1461975.0,-353401.06,1815376.06,1815376.06
503125.0,46232.5,456892.5,456892.5
199026.71,32366.13,166660.58,166660.58
168872.5,28348.51,140523.99,140523.99
342823.05,-2026.95,344850.0,344850.0
311475.57,68386.53,243089.04,243089.04
488144.08,49908.73,438235.35,438235.35
300685.0,16685.0,284000.0,284000.0
115011.38,12618.85,102392.53,102392.53
1191687.5,17892.86,1173794.64,1173794.64
1155709.8,8283.8,1147426.0,1147426.0
946231.13,224349.21,721881.92,721881.92
88616.68,2966.27,85650.41,85650.41
495150.25,82262.17,412888.08,412888.08
304500.0,13570.85,290929.15,290929.15
985545.64,148680.15,836865.49,836865.49
234982.51,36734.42,198248.09,198248.09
1512359.94,346199.77,1166160.17,1166160.17
140000.0,15844.08,124155.92,124155.92
224756.75,31754.11,193002.64,193002.64
319678.98,16036.67,303642.31,303642.31
206168.18,36657.66,169510.52,169510.52
351917.68,60213.31,291704.37,291704.37
231750.0,6750.0,225000.0,225000.0
380553.22,33455.61,347097.61,347097.61
143778.82,4778.82,139000.0,139000.0
509538.97,84699.22,424839.75,424839.75
