city,postcode,bic_number,trade_name,latitude,state
BRONX,10474,HPM-490849,,40.807629,NY
BRONX,10474,HPM-514887,LONDON MEAT CO.,40.807868,NY
BRONX,10474,HPA-38,,40.811909,NY
BRONX,10474,HPP-23,,,NY
BRONX,10474,FFM-41,,40.805255,NY
BROOKLYN,11220,BMM-2,,40.646985,NY
BRONX,10474,HPP-476284,,,NY
BRONX,10474,HPM-27,MARKET DISTRIBUTORS,40.807629,NY
BRONX,10474,HPM-514711,GOLDEN MEAT CO.,40.809733,NY
FREEPORT,11520,HPP-494739,,,NY
BRONX,10474,HPA-55,,40.81187,NY
BRONX,10474,HPP-494848,,40.80954,NY
BRONX,10474,HPP-495275,,,NY
BRONX,10474,HPP-28,,,NY
BRONX,10474,HPP-162,,,NY
NEW YORK CITY,10014,GMM-2,,40.739801,NY
BRONX,10474,HPP-42,,,NY
BRONX,10474,HPA-31,,40.807512,NY
BRONX,10474,GMM-9,,40.807629,NY
BROOKLYN,11220,BMM-16,,40.646985,NY
BRONX,10474,HPP-171,,,NY
BRONX,10474,HPA-489178,,40.811786,NY
BRONX,10474,HPP-67,,40.813548,NY
BRONX,10474,HPM-34,,40.807629,NY
YONKERS,10701,FFM-513467,,,NY
EAST MEADOW,11554,HPP-489661,S & B FRUITS AND VEGETABLES,,NY
BRONX,10474,HPA-60,,40.81186,NY
BRONX,10474,HPA-42,,40.809417,NY
BRONX,10474,FFM-490171,,40.805255,NY
BROOKLYN,11220,BMM-30,,40.646985,NY
BRONX,10474,FFM-119,,40.805255,NY
BRONX,10474,HPP-128,,40.81316,NY
SCARSDALE,10583,FFM-511385,NORTH RIP TRADING,,NY
BROOKLYN,11220,BMM-27,,40.646985,NY
THE BRONX,10474,HPA-503253,OCEANBOX SEAFOOD,40.806838,NY
BROOKLYN,11220,BMM-14,,40.646985,NY
BRONX,100474,FFM-113,,,NY
BRONX,10474,HPA-6,,40.810361,NY
BRONX,10474,FFM-135,,40.805255,NY
BRONX,10474-7000,HPM-487825,,40.807629,NY
BRONX,10474,HPP-486895,,,NY
BRONX,10474,HPA-497878,,40.81714,NY
BRONX,10474,HPM-490995,EMERALD FOOD SERVICE CO.,40.807629,NY
BRONX,10474,FFM-134,,40.805255,NY
BRONX,10474,FFM-143,,40.805255,NY
BRONX,10474,FFM-106,,40.805255,NY
BRONX,10474,HPP-99,,40.811811,NY
VALLEY STREAM,11580,HPA-488113,,,NY
BRONX,10474,HPP-512573,,,NY
DUMONT,07628,HPP-511932,,,NJ
BRONX,10474,HPA-490701,,40.812195,NY
CLOSTER,07624,HPA-516391,,,NJ
BRONX,10474,HPP-142,FOOD BARN,,NY
BRONX,10474,HPM-15,,40.807629,NY
BRONX,10474,HPP-137,,,NY
BRONX,10474,HPP-98,,,NY
BRONX,10474,HPM-42,,,NY
MONTAUK,11954,FFM-514727,DOCK TO DISH LLC,,NY
BRICK,08724,HPP-485207,BERGEN FARMS,,NJ
THE BRONX,10474,HPA-511837,,40.813696,NY
BRONX,10474,HPM-13,,,NY
BAYSIDE,11360,HPM-491193,,,NY
BROOKLYN,11218,HPA-507585,,40.646202,NY
BROOKLYN,11222,HPP-501464,,40.729982,NY
BROOKLYN,11220,BMM-19,,40.646985,NY
FLUSHING,11354,HPP-514708,,40.766401,NY
HARRISON,10528,HPM-498083,,,NY
BRONX,10474,HPM-47,,40.807629,NY
BRONX,10474,HPP-105,,,NY
BRONX,10474,HPP-40,,,NY
BRONX,10474,HPA-35,,40.810302,NY
BRONX,10474,FFM-124,,40.805255,NY
BRONX,10474,HPM-43,NEW YORK PRIME BEEF CO.,,NY
BRONX,10474,HPM-72,,40.807629,NY
BRONX,10474,HPP-181,,,NY
BRONX,10474,HPP-173,,,NY
BRONX,10474,HPP-157,,,NY
BRONX,10474,FFM-152,,40.805255,NY
GARDEN CITY,11530,HPP-94,,,NY
BRONX,10468,HPA-513587,,40.866987,NY
NEW YORK,10006,HPM-14,,40.706251,NY
BRONX,10474,HPP-130,,,NY
BRONX,10474,HPP-57,,,NY
BRONX,10474,HPM-31,AUSTIN MEAT CO,,NY
BRONX,10474,HPA-494737,,40.812727,NY
BRONX,10474,FFM-103,,40.805255,NY
BRONX,10474,HPM-16,,40.807629,NY
BRONX,10474,HPM-39,,,NY
BRONX,10474,HPP-148,,,NY
BRONX,10474,HPM-12,,40.807629,NY
BRONX,10474,FFM-507679,,40.805255,NY
BRONX,10465,HPM-515962,,40.827206,NY
BROOKLYN,11220,BMM-20,ALEX'S MEAT & PROVISIONS,40.646985,NY
BRONX,10474,FFM-490015,,40.805255,NY
BRONX,10474,HPA-511675,,40.813113,NY
BRONX,10474,HPA-485080,,40.812007,NY
NEW YORK,10272,HPA-514267,GROWNYC,,NY
BRONX,10474,HPP-84,,,NY
BRONX,10474,HPM-33,,40.807629,NY
BRONX,10474,HPM-2,,40.807629,NY
BROOKLYN,11225,BMM-32,,40.663042,NY
BRONX,10474,HPM-485211,,40.807629,NY
BRONX,10474,HPM-489909,,40.807629,NY
BRONX,10474,HPA-499101,,40.810538,NY
BRONX,10474,HPM-44,,,NY
BRONX,10474,HPA-511801,,40.81198,NY
GLENWOOD,07418,FFM-137,,,NJ
BRONX,10474,HPP-503592,,,NY
