total_enrollment,hispanic,ela_level_3_1,ell_korean,grade_5,female,category,ell_chinese_1,ell_russian
6840,1586,19.0%,No Data,694,3277,All Students,No Data,No Data
22924,3624,30.6%,No Data,2869,11108,All Students,No Data,No Data
37002,9119,31.0%,No Data,4091,17884,All Students,No Data,No Data
5815,2609,12.2%,No Data,729,1985,Students with Disabilities,No Data,No Data
1908,171,7.0%,No Data,236,662,Students with Disabilities,No Data,No Data
3227,1500,19.3%,No Data,349,1582,Students in temporary housing,No Data,No Data
5703,2788,26.2%,No Data,617,2782,Receive free or reduced price lunch,No Data,No Data
40396,11831,31.5%,No Data,4645,19705,All Students,No Data,No Data
15355,7215,22.0%,No Data,1804,7569,All Students,No Data,No Data
7007,4558,23.5%,No Data,800,3455,Receive free or reduced price lunch,No Data,No Data
12605,3774,29.5%,No Data,1361,6283,All Students,No Data,No Data
1065,494,23.5%,No Data,138,541,Students in temporary housing,No Data,No Data
32347,25023,22.4%,No Data,3636,15895,Receive free or reduced price lunch,No Data,No Data
8682,1754,29.0%,No Data,1098,4361,All Students,No Data,No Data
6086,2720,18.9%,No Data,714,2828,Receive free or reduced price lunch,No Data,No Data
10992,6524,27.2%,No Data,1235,5459,All Students,No Data,No Data
3717,1227,30.8%,No Data,463,1804,Attend school outside district of residence,No Data,No Data
8126,6407,24.4%,No Data,930,3980,All Students,No Data,No Data
7713,5256,24.5%,No Data,885,3842,Receive free or reduced price lunch,No Data,No Data
3394,1887,5.7%,s,356,1551,English Language Learners,0.5%,s
4620,1304,28.5%,No Data,349,2271,Attend school outside district of residence,No Data,No Data
753,482,s,s,83,336,English Language Learners,2.9%,13
2376,1106,20.1%,No Data,264,1169,Students in temporary housing,No Data,No Data
22703,9676,25.1%,No Data,2714,11053,Receive free or reduced price lunch,No Data,No Data
1268,976,17.9%,No Data,146,635,Students in temporary housing,No Data,No Data
1935,1283,27.8%,No Data,226,980,Students in temporary housing,No Data,No Data
5497,3787,19.6%,No Data,543,2687,Students in temporary housing,No Data,No Data
7813,576,24.6%,No Data,956,3884,Receive free or reduced price lunch,No Data,No Data
2563,1106,20.2%,No Data,327,886,Students with Disabilities,No Data,No Data
8830,1395,34.9%,No Data,1049,4239,Receive free or reduced price lunch,No Data,No Data
11104,8541,9.3%,11,934,5028,English Language Learners,7.9%,33
1212,835,21.7%,No Data,144,610,Students in temporary housing,No Data,No Data
1098,94,21.0%,No Data,127,553,Students in temporary housing,No Data,No Data
1724,292,19.9%,No Data,123,779,Attend school outside district of residence,No Data,No Data
4542,4331,s,s,469,2107,English Language Learners,0.4%,6
1479,664,19.6%,No Data,156,659,Students in temporary housing,No Data,No Data
29162,7832,30.3%,No Data,3104,14080,Receive free or reduced price lunch,No Data,No Data
232,131,s,s,23,97,English Language Learners,2.6%,s
27724,15027,30.8%,No Data,3141,13637,All Students,No Data,No Data
1368,445,27.5%,No Data,147,677,Students in temporary housing,No Data,No Data
36902,27760,23.6%,No Data,4201,18105,All Students,No Data,No Data
5592,3834,8.8%,No Data,687,1899,Students with Disabilities,No Data,No Data
20859,3532,27.2%,No Data,2613,10138,All Students,No Data,No Data
3537,740,25.7%,No Data,433,1738,Receive free or reduced price lunch,No Data,No Data
3436,501,28.3%,No Data,297,1752,Attend school outside district of residence,No Data,No Data
1007,679,28.6%,No Data,108,457,Students in temporary housing,No Data,No Data
1270,678,22.4%,No Data,184,618,Attend school outside district of residence,No Data,No Data
4430,1215,27.8%,No Data,508,1448,Students with Disabilities,No Data,No Data
4566,1167,10.2%,s,400,1990,English Language Learners,16.5%,929
9908,663,25.5%,No Data,1236,4954,All Students,No Data,No Data
7396,5942,24.0%,No Data,854,3605,Receive free or reduced price lunch,No Data,No Data
161,54,25.0%,No Data,15,70,Attend school outside district of residence,No Data,No Data
20215,12289,29.9%,No Data,2259,9921,Receive free or reduced price lunch,No Data,No Data
2509,1676,29.2%,No Data,257,1200,Attend school outside district of residence,No Data,No Data
14724,10364,17.8%,No Data,1714,7267,Receive free or reduced price lunch,No Data,No Data
1072,907,s,s,106,484,English Language Learners,2.0%,s
5681,1180,14.5%,224,434,2526,English Language Learners,63.1%,38
4066,1655,15.2%,No Data,430,1437,Students with Disabilities,No Data,No Data
1917,470,26.9%,No Data,208,996,Attend school outside district of residence,No Data,No Data
2509,2313,21.5%,No Data,232,1265,Students in temporary housing,No Data,No Data
2236,1572,19.3%,No Data,268,1098,Students in temporary housing,No Data,No Data
6091,5349,6.3%,s,653,2703,English Language Learners,0.1%,s
1798,1113,28.3%,No Data,179,919,Attend school outside district of residence,No Data,No Data
1650,272,34.0%,No Data,118,787,Attend school outside district of residence,No Data,No Data
2031,330,29.6%,No Data,329,997,Attend school outside district of residence,No Data,No Data
1141,495,21.5%,No Data,152,536,Attend school outside district of residence,No Data,No Data
869,200,20.4%,No Data,110,438,Students in temporary housing,No Data,No Data
2399,1792,25.4%,No Data,293,1196,Attend school outside district of residence,No Data,No Data
2706,2081,6.2%,s,294,1232,English Language Learners,1.3%,s
2004,892,10.1%,s,215,892,English Language Learners,0.4%,s
3336,1580,8.5%,No Data,460,1168,Students with Disabilities,No Data,No Data
846,602,s,s,122,360,English Language Learners,s,s
1872,1097,17.8%,No Data,206,616,Students with Disabilities,No Data,No Data
5607,2834,7.9%,No Data,751,1844,Students with Disabilities,No Data,No Data
2388,1589,10.8%,No Data,289,872,Students with Disabilities,No Data,No Data
7492,3284,27.6%,No Data,813,3511,All Students,No Data,No Data
3216,1833,28.1%,No Data,266,1640,Attend school outside district of residence,No Data,No Data
2461,633,22.7%,No Data,328,784,Students with Disabilities,No Data,No Data
3169,1756,10.5%,s,287,1409,English Language Learners,13.4%,161
2047,299,18.0%,25,167,906,English Language Learners,58.1%,53
2119,1881,7.0%,s,226,928,English Language Learners,s,s
10400,7370,21.3%,No Data,1188,4974,Receive free or reduced price lunch,No Data,No Data
23727,9316,27.9%,No Data,2696,11663,Receive free or reduced price lunch,No Data,No Data
1473,970,25.2%,No Data,177,702,Students in temporary housing,No Data,No Data
15256,13236,25.5%,No Data,1700,7516,All Students,No Data,No Data
13025,11913,24.2%,No Data,1446,6447,Receive free or reduced price lunch,No Data,No Data
42451,26849,28.8%,No Data,4768,20649,All Students,No Data,No Data
2277,1420,23.2%,No Data,209,1106,Attend school outside district of residence,No Data,No Data
17197,2428,34.8%,No Data,2026,8278,All Students,No Data,No Data
1173,653,24.6%,No Data,156,593,Students in temporary housing,No Data,No Data
10835,2065,27.2%,No Data,1229,5297,Receive free or reduced price lunch,No Data,No Data
13018,6903,27.7%,No Data,1687,6433,Receive free or reduced price lunch,No Data,No Data
1800,418,6.2%,No Data,221,633,Students with Disabilities,No Data,No Data
25289,4066,33.4%,No Data,2864,12537,All Students,No Data,No Data
4778,2654,26.7%,No Data,509,2221,Receive free or reduced price lunch,No Data,No Data
1699,1375,7.7%,No Data,222,598,Students with Disabilities,No Data,No Data
499,219,s,s,46,217,English Language Learners,3.0%,s
4454,2331,11.0%,s,468,2111,English Language Learners,32.1%,51
12906,2310,27.6%,No Data,1414,6312,All Students,No Data,No Data
3480,630,10.8%,s,326,1485,English Language Learners,6.9%,734
1399,523,24.7%,No Data,143,666,Students in temporary housing,No Data,No Data
1086,338,30.5%,No Data,147,533,Attend school outside district of residence,No Data,No Data
1522,1140,20.9%,No Data,164,739,Attend school outside district of residence,No Data,No Data
24295,8737,31.5%,No Data,2953,12061,All Students,No Data,No Data
15821,11070,18.2%,No Data,1841,7784,All Students,No Data,No Data
2745,1810,17.6%,No Data,317,1385,Students in temporary housing,No Data,No Data
1668,548,19.6%,No Data,189,826,Students in temporary housing,No Data,No Data
2073,433,24.5%,No Data,233,1024,Students in temporary housing,No Data,No Data
10133,2447,12.2%,s,803,4581,English Language Learners,49.5%,439
4318,2853,12.4%,No Data,509,1437,Students with Disabilities,No Data,No Data
3039,1900,28.5%,No Data,350,1560,Attend school outside district of residence,No Data,No Data
16861,5097,28.0%,No Data,1668,8250,Receive free or reduced price lunch,No Data,No Data
1804,473,12.0%,No Data,246,670,Students with Disabilities,No Data,No Data
24370,6566,28.9%,No Data,2748,11935,All Students,No Data,No Data
1384,1075,s,s,134,626,English Language Learners,2.5%,s
4627,2367,17.9%,No Data,639,1632,Students with Disabilities,No Data,No Data
4038,1447,11.7%,No Data,504,1354,Students with Disabilities,No Data,No Data
1592,667,21.8%,No Data,160,759,Attend school outside district of residence,No Data,No Data
3194,773,33.5%,No Data,401,1597,Attend school outside district of residence,No Data,No Data
3732,2404,8.9%,s,348,1673,English Language Learners,2.9%,19
4678,3288,9.2%,No Data,547,1682,Students with Disabilities,No Data,No Data
3270,1244,27.9%,No Data,333,1643,Attend school outside district of residence,No Data,No Data
26014,6525,32.9%,No Data,3005,12592,All Students,No Data,No Data
13874,6585,21.4%,No Data,1612,6846,Receive free or reduced price lunch,No Data,No Data
1759,822,24.2%,No Data,205,887,Students in temporary housing,No Data,No Data
4086,827,26.5%,No Data,507,2025,All Students,No Data,No Data
1351,172,24.6%,No Data,164,642,Attend school outside district of residence,No Data,No Data
433,116,32.8%,No Data,37,209,Students in temporary housing,No Data,No Data
1900,420,23.5%,No Data,241,887,Students in temporary housing,No Data,No Data
5535,2421,14.9%,No Data,618,1881,Students with Disabilities,No Data,No Data
1847,876,20.7%,No Data,232,904,Students in temporary housing,No Data,No Data
1201,192,31.3%,No Data,173,590,Attend school outside district of residence,No Data,No Data
1138,572,22.8%,No Data,138,547,Students in temporary housing,No Data,No Data
765,169,21.3%,No Data,105,379,Students in temporary housing,No Data,No Data
1791,426,31.8%,No Data,165,835,Attend school outside district of residence,No Data,No Data
3234,2890,10.2%,No Data,397,1118,Students with Disabilities,No Data,No Data
16545,5017,27.5%,No Data,1893,8122,Receive free or reduced price lunch,No Data,No Data
1621,710,11.1%,s,160,751,English Language Learners,0.6%,s
384,269,s,s,49,190,English Language Learners,s,s
7484,5851,19.3%,No Data,844,3687,Students in temporary housing,No Data,No Data
4183,977,14.7%,No Data,542,1390,Students with Disabilities,No Data,No Data
1286,349,15.9%,No Data,138,622,Students in temporary housing,No Data,No Data
2040,406,21.8%,No Data,285,990,Students in temporary housing,No Data,No Data
2162,1949,23.7%,No Data,225,1091,Attend school outside district of residence,No Data,No Data
2544,546,12.2%,No Data,321,812,Students with Disabilities,No Data,No Data
3234,1468,9.7%,s,311,1444,English Language Learners,4.3%,242
2956,1540,26.5%,No Data,338,1485,Attend school outside district of residence,No Data,No Data
3474,664,8.8%,No Data,465,1138,Students with Disabilities,No Data,No Data
3899,1539,16.8%,No Data,465,1233,Students with Disabilities,No Data,No Data
1912,829,9.4%,No Data,242,657,Students with Disabilities,No Data,No Data
6272,1506,18.6%,No Data,645,3042,Receive free or reduced price lunch,No Data,No Data
6884,2962,19.7%,No Data,785,3192,All Students,No Data,No Data
