total_enrollment,ela_test_takers,ell_french_1,ell_arabic,ell_arabic_1,other_1,district,math_level_2,grade_k,asian,grade_4,ela_l3_l4,ell_other_1,grade_8,asian_1
3436,2407,No Data,No Data,No Data,2.6%,17,653,257,64,316,1102,No Data,539,1.9%
14724,9207,No Data,No Data,No Data,1.6%,12,2303,1499,428,1757,2164,No Data,1516,2.9%
2047,776,1.8%,80,3.9%,1.3%,2,230,398,1420,167,159,18.8%,103,69.4%
2376,1364,No Data,No Data,No Data,1.8%,19,359,279,116,304,361,No Data,179,4.9%
1473,860,No Data,No Data,No Data,1.2%,4,231,194,35,167,272,No Data,118,2.4%
10353,6261,No Data,No Data,No Data,2.1%,31,1556,979,407,1251,1216,No Data,1031,3.9%
1981,1170,No Data,No Data,No Data,0.7%,20,314,229,816,230,438,No Data,141,41.2%
24295,12667,No Data,No Data,No Data,3.6%,15,2659,3117,4498,2994,7223,No Data,1914,18.5%
2073,1220,No Data,No Data,No Data,2.1%,17,343,219,31,227,417,No Data,220,1.5%
8682,4816,No Data,No Data,No Data,4.2%,13,1212,1131,457,1082,2244,No Data,622,5.3%
2563,1696,No Data,No Data,No Data,3.9%,3,370,183,75,297,482,No Data,305,2.9%
3216,2628,No Data,No Data,No Data,2.5%,30,566,171,588,174,1616,No Data,794,18.3%
2706,1560,1.3%,232,8.6%,0.8%,8,415,274,270,273,104,4.6%,291,10.0%
3039,2030,No Data,No Data,No Data,1.9%,14,539,240,76,340,870,No Data,446,2.5%
6272,3992,No Data,No Data,No Data,1.8%,23,1129,575,63,686,1006,No Data,776,1.0%
5535,3359,No Data,No Data,No Data,0.9%,20,913,626,1401,642,643,No Data,547,25.3%
1086,770,No Data,No Data,No Data,6.2%,27,161,92,220,101,402,No Data,194,20.3%
3166,1777,2.1%,114,3.6%,0.8%,12,337,333,163,376,84,3.8%,304,5.1%
1738,904,s,76,4.4%,0.3%,32,177,211,40,177,s,1.0%,160,2.3%
20859,12899,No Data,No Data,No Data,4.6%,29,3423,2206,3744,2374,5272,No Data,2268,17.9%
7492,4378,No Data,No Data,No Data,4.1%,1,868,851,1465,839,2358,No Data,843,19.6%
4542,2499,0.3%,110,2.4%,0.2%,6,634,466,51,547,s,1.1%,501,1.1%
2004,894,1.9%,154,7.7%,1.5%,29,209,228,621,239,96,9.6%,178,31.0%
1201,726,No Data,No Data,No Data,1.6%,16,169,158,17,166,311,No Data,114,1.4%
2236,1242,No Data,No Data,No Data,1.3%,7,325,279,11,256,314,No Data,175,0.5%
16189,10233,No Data,No Data,No Data,1.3%,8,2941,1662,913,1841,3273,No Data,1626,5.6%
1068,694,No Data,No Data,No Data,1.6%,16,124,67,6,142,82,No Data,119,0.6%
3227,1908,No Data,No Data,No Data,1.7%,11,542,318,231,408,523,No Data,300,7.2%
15866,9653,No Data,No Data,No Data,4.5%,29,2544,1691,2947,1828,3752,No Data,1639,18.6%
8126,5471,No Data,No Data,No Data,0.7%,32,1545,687,169,907,1969,No Data,1053,2.1%
10905,6724,No Data,No Data,No Data,0.9%,7,1810,1186,91,1245,1931,No Data,1149,0.8%
12605,8052,No Data,No Data,No Data,5.6%,3,1457,1295,889,1401,5130,No Data,1427,7.1%
1847,1138,No Data,No Data,No Data,3.2%,27,296,188,180,223,333,No Data,153,9.7%
3234,1903,No Data,No Data,No Data,0.6%,6,425,280,15,395,232,No Data,334,0.5%
4620,3783,No Data,No Data,No Data,0.9%,20,808,201,1951,284,2142,No Data,1070,42.2%
2857,1724,No Data,No Data,No Data,3.2%,13,478,287,83,368,788,No Data,240,2.9%
20215,13390,No Data,No Data,No Data,1.2%,30,3613,1954,4230,2146,6693,No Data,2377,20.9%
16861,10879,No Data,No Data,No Data,1.1%,21,2659,1742,4899,1732,5454,No Data,2076,29.1%
1098,644,No Data,No Data,No Data,1.3%,18,192,104,15,137,178,No Data,101,1.4%
846,486,4.1%,117,13.8%,1.1%,5,108,68,47,100,s,9.0%,79,5.6%
2388,1521,No Data,No Data,No Data,1.7%,4,300,207,44,277,212,No Data,264,1.8%
6086,3906,No Data,No Data,No Data,2.0%,5,988,592,122,751,1023,No Data,658,2.0%
2745,1629,No Data,No Data,No Data,1.2%,8,457,299,103,305,376,No Data,244,3.8%
17197,11127,No Data,No Data,No Data,2.3%,26,1713,1874,10306,1869,8103,No Data,2071,59.9%
2119,1139,1.7%,80,3.8%,0.4%,7,261,244,27,245,86,5.0%,189,1.3%
4627,2403,No Data,No Data,No Data,2.0%,15,569,371,404,564,578,No Data,462,8.7%
1286,742,No Data,No Data,No Data,2.3%,23,178,138,10,144,150,No Data,105,0.8%
16434,9999,No Data,No Data,No Data,1.8%,22,2794,1829,3386,1994,4443,No Data,1533,20.6%
1268,743,No Data,No Data,No Data,0.7%,32,189,114,10,154,182,No Data,113,0.8%
1935,1117,No Data,No Data,No Data,0.9%,30,335,199,351,237,446,No Data,153,18.1%
12906,8305,No Data,No Data,No Data,2.2%,17,2285,1351,383,1415,3479,No Data,1508,3.0%
692,316,2.9%,210,30.3%,1.6%,18,108,71,62,79,s,8.4%,64,9.0%
1759,1011,No Data,No Data,No Data,2.8%,31,277,186,100,212,342,No Data,135,5.7%
29162,18568,No Data,No Data,No Data,0.7%,20,4150,3325,14792,3127,9915,No Data,3188,50.7%
1522,965,No Data,No Data,No Data,1.2%,7,240,149,9,179,281,No Data,204,0.6%
8839,4808,0.7%,264,3.0%,0.7%,10,1113,965,383,1058,288,4.1%,792,4.3%
4778,2845,No Data,No Data,No Data,1.9%,1,665,541,864,530,1149,No Data,561,18.1%
3092,1817,No Data,No Data,No Data,1.3%,12,440,341,41,376,389,No Data,254,1.3%
7943,5032,No Data,No Data,No Data,0.9%,10,947,684,120,1008,466,No Data,831,1.5%
1668,969,No Data,No Data,No Data,5.3%,28,236,166,349,210,300,No Data,164,20.9%
1908,1212,No Data,No Data,No Data,1.2%,18,224,150,13,241,96,No Data,216,0.7%
19001,12057,No Data,No Data,No Data,1.5%,8,3441,1981,1126,2142,4196,No Data,1942,5.9%
37002,23383,No Data,No Data,No Data,1.0%,20,4876,4352,17596,4008,13538,No Data,3994,47.6%
3043,1907,No Data,No Data,No Data,5.4%,1,296,286,735,343,1239,No Data,376,24.2%
1650,1174,No Data,No Data,No Data,4.0%,26,218,135,837,148,831,No Data,303,50.7%
5497,3013,No Data,No Data,No Data,0.7%,9,809,661,54,691,743,No Data,444,1.0%
232,108,3.0%,65,28.0%,s,16,27,31,38,33,s,3.0%,30,16.4%
1173,577,No Data,No Data,No Data,1.7%,15,148,144,242,150,183,No Data,55,20.6%
1699,1109,No Data,No Data,No Data,0.8%,32,198,122,10,214,100,No Data,204,0.6%
1621,846,1.4%,348,21.5%,1.7%,17,239,208,188,200,107,7.2%,143,11.6%
25096,16136,No Data,No Data,No Data,5.1%,27,4174,2585,5838,2802,6921,No Data,2796,23.3%
33930,21400,No Data,No Data,No Data,0.7%,24,5789,3708,6626,4114,9348,No Data,3499,19.5%
1724,1320,No Data,No Data,No Data,2.4%,23,393,109,13,120,396,No Data,350,0.8%
3169,1460,0.4%,329,10.4%,0.6%,31,379,496,660,375,161,9.9%,185,20.8%
3651,3191,No Data,No Data,No Data,2.8%,21,603,71,1024,123,2114,No Data,1046,28.0%
18550,11505,No Data,No Data,No Data,0.9%,25,2304,2155,11118,2079,6602,No Data,1928,59.9%
5681,2281,s,53,0.9%,0.4%,25,674,1198,4295,510,366,7.3%,330,75.6%
1384,672,0.9%,53,3.8%,0.9%,14,178,177,66,172,s,13.6%,154,4.8%
2162,1516,No Data,No Data,No Data,0.6%,6,449,141,8,221,505,No Data,427,0.4%
1399,817,No Data,No Data,No Data,1.4%,25,194,149,687,180,325,No Data,135,49.1%
4430,2738,No Data,No Data,No Data,4.6%,2,682,410,888,507,1091,No Data,510,20.0%
10133,4671,s,808,8.0%,0.4%,20,1426,1900,5917,966,626,8.3%,679,58.4%
4454,1937,1.4%,230,5.2%,0.5%,15,529,760,1689,525,226,2.9%,152,37.9%
753,416,10.4%,37,4.9%,s,3,99,56,s,89,s,15.1%,80,s
8695,5675,No Data,No Data,No Data,2.5%,2,1138,882,3856,927,3231,No Data,1045,44.3%
499,224,6.4%,134,26.9%,3.0%,13,61,59,107,61,s,9.6%,34,21.4%
22924,13852,No Data,No Data,No Data,2.1%,22,3623,2663,4174,2802,7008,No Data,2104,18.2%
6091,3176,1.8%,98,1.6%,0.3%,9,750,612,100,683,211,7.0%,664,1.6%
3394,1749,1.9%,721,21.2%,1.1%,11,433,335,608,416,107,8.8%,324,17.9%
5493,2681,s,336,6.1%,0.7%,30,830,877,1059,576,330,7.7%,353,19.3%
2167,1145,0.4%,209,9.6%,1.0%,19,272,222,332,266,s,1.3%,237,15.3%
384,195,4.2%,55,14.3%,s,23,51,30,s,45,s,6.3%,37,s
3270,2358,No Data,No Data,No Data,4.3%,3,513,206,191,320,1301,No Data,496,5.8%
1141,752,No Data,No Data,No Data,1.0%,19,237,109,88,136,227,No Data,149,7.7%
3625,2443,No Data,No Data,No Data,1.3%,12,355,238,36,479,158,No Data,423,1.0%
1065,614,No Data,No Data,No Data,0.9%,21,186,122,177,128,201,No Data,89,16.6%
1138,715,No Data,No Data,No Data,2.2%,3,195,118,8,131,221,No Data,115,0.7%
1368,775,No Data,No Data,No Data,1.8%,2,172,184,518,146,342,No Data,155,37.9%
2540,1743,No Data,No Data,No Data,1.7%,12,464,207,43,289,424,No Data,363,1.7%
40396,25258,No Data,No Data,No Data,2.2%,31,6304,4412,3844,4669,13615,No Data,4198,9.5%
3732,1801,s,314,8.4%,0.7%,27,492,544,992,391,170,11.4%,290,26.6%
7713,4838,No Data,No Data,No Data,1.0%,14,1321,753,230,917,1676,No Data,941,3.0%
4086,2383,No Data,No Data,No Data,1.7%,16,601,524,84,509,866,No Data,362,2.1%
15355,9537,No Data,No Data,No Data,1.9%,19,2632,1670,1338,1835,2968,No Data,1574,8.7%
5815,3719,No Data,No Data,No Data,4.2%,27,871,501,666,699,533,No Data,608,11.5%
11104,5544,s,309,2.8%,0.4%,24,1591,1670,1924,1353,548,7.5%,633,17.3%
24370,14744,No Data,No Data,No Data,5.9%,28,3210,2751,7094,2845,7573,No Data,2474,29.1%
16545,10049,No Data,No Data,No Data,5.6%,28,2433,1779,4629,2049,4466,No Data,1614,28.0%
4066,2553,No Data,No Data,No Data,1.0%,21,654,362,617,452,485,No Data,450,15.2%
22584,14787,No Data,No Data,No Data,1.6%,21,3278,2278,6320,2241,8365,No Data,2990,28.0%
4566,2174,s,270,5.9%,0.9%,21,710,704,1561,440,244,21.8%,353,34.2%
1476,618,s,17,1.2%,0.4%,26,190,298,1214,121,102,15.8%,124,82.2%
3336,2225,No Data,No Data,No Data,1.6%,19,417,209,92,429,224,No Data,343,2.8%
1917,1415,No Data,No Data,No Data,5.8%,28,293,122,420,188,742,No Data,346,21.9%
7813,4976,No Data,No Data,No Data,1.3%,18,1476,778,132,909,1759,No Data,829,1.7%
6840,4395,No Data,No Data,No Data,1.8%,23,1263,632,70,727,1156,No Data,883,1.0%
13874,8635,No Data,No Data,No Data,1.9%,19,2402,1496,1163,1634,2571,No Data,1450,8.4%
1212,640,No Data,No Data,No Data,1.2%,14,197,171,17,156,184,No Data,94,1.4%
3717,2116,No Data,No Data,No Data,4.5%,15,439,253,351,458,1201,No Data,499,9.4%
2399,1770,No Data,No Data,No Data,0.6%,10,487,155,34,251,621,No Data,413,1.4%
4678,3069,No Data,No Data,No Data,1.0%,8,630,352,71,592,331,No Data,514,1.5%
22703,14177,No Data,No Data,No Data,2.0%,11,3978,2297,1914,2651,5009,No Data,2385,8.4%
5703,3766,No Data,No Data,No Data,2.5%,3,964,487,213,639,1451,No Data,712,3.7%
7396,4929,No Data,No Data,No Data,0.6%,32,1395,636,151,828,1692,No Data,914,2.0%
5592,3435,No Data,No Data,No Data,0.7%,9,654,472,34,720,339,No Data,663,0.6%
2956,1972,No Data,No Data,No Data,4.2%,4,434,248,281,344,1025,No Data,334,9.5%
2450,1542,No Data,No Data,No Data,1.0%,14,345,177,23,317,203,No Data,310,0.9%
3480,1541,s,373,10.7%,1.4%,22,479,582,1049,384,176,20.5%,199,30.1%
5450,3239,No Data,No Data,No Data,2.0%,13,916,619,307,699,1116,No Data,497,5.6%
2509,1369,No Data,No Data,No Data,s,6,407,268,s,309,373,No Data,244,s
8632,5497,No Data,No Data,No Data,2.7%,4,1358,831,595,990,2185,No Data,962,6.9%
1844,1300,No Data,No Data,No Data,1.3%,18,362,138,10,212,591,No Data,227,0.5%
7709,4912,No Data,No Data,No Data,0.6%,24,1290,710,635,993,647,No Data,755,8.2%
42451,26649,No Data,No Data,No Data,0.8%,24,7001,4774,8599,5084,12612,No Data,4362,20.3%
2509,1823,No Data,No Data,No Data,1.1%,24,486,198,476,219,821,No Data,535,19.0%
7007,4509,No Data,No Data,No Data,1.9%,4,1146,658,366,792,1565,No Data,807,5.2%
36902,22634,No Data,No Data,No Data,1.1%,10,6184,4110,1626,4278,7591,No Data,3796,4.4%
3234,1612,s,188,5.8%,1.3%,28,392,416,1102,399,167,19.4%,243,34.1%
2544,1653,No Data,No Data,No Data,2.3%,17,400,171,28,338,261,No Data,287,1.1%
433,299,No Data,No Data,No Data,2.8%,26,75,28,230,37,177,No Data,77,53.1%
9908,6365,No Data,No Data,No Data,1.3%,18,1858,975,164,1155,2407,No Data,1062,1.7%
869,500,No Data,No Data,No Data,2.1%,13,136,99,17,125,139,No Data,57,2.0%
15256,9264,No Data,No Data,No Data,1.0%,6,2639,1552,190,1788,3376,No Data,1745,1.2%
23727,14695,No Data,No Data,No Data,2.2%,31,4005,2554,2461,2772,6313,No Data,2383,10.4%
1896,1369,No Data,No Data,No Data,0.9%,8,403,111,95,205,405,No Data,260,5.0%
27724,17937,No Data,No Data,No Data,2.1%,30,4461,2930,6017,2945,9956,No Data,3111,21.7%
6884,4456,No Data,No Data,No Data,2.3%,5,1103,677,162,829,1323,No Data,782,2.4%
28383,17905,No Data,No Data,No Data,2.0%,11,5003,2853,2462,3306,6818,No Data,3092,8.7%
1351,832,No Data,No Data,No Data,4.2%,29,198,154,157,122,289,No Data,208,11.6%
10992,6693,No Data,No Data,No Data,1.5%,14,1752,1227,397,1252,2748,No Data,1290,3.6%
31708,20423,No Data,No Data,No Data,5.3%,27,5146,3314,7298,3534,9479,No Data,3636,23.0%
22952,13687,No Data,No Data,No Data,0.7%,9,3751,2501,282,2609,4070,No Data,2465,1.2%
15821,9914,No Data,No Data,No Data,1.6%,12,2505,1617,473,1891,2399,No Data,1645,3.0%
765,423,No Data,No Data,No Data,1.4%,16,99,106,14,104,125,No Data,49,1.8%
2031,1484,No Data,No Data,No Data,1.4%,22,383,141,285,222,761,No Data,333,14.0%
1007,545,No Data,No Data,No Data,0.9%,1,146,138,107,129,201,No Data,84,10.6%
25289,15169,No Data,No Data,No Data,6.0%,2,2105,3193,7246,2777,11337,No Data,2548,28.7%
4038,2401,No Data,No Data,No Data,4.9%,28,524,373,616,500,344,No Data,395,15.3%
4318,2757,No Data,No Data,No Data,1.2%,30,659,389,400,480,433,No Data,470,9.3%
1791,1305,No Data,No Data,No Data,2.7%,25,269,138,690,150,770,No Data,324,38.5%
1804,1080,No Data,No Data,No Data,2.5%,13,202,141,39,231,159,No Data,165,2.2%
3194,2189,No Data,No Data,No Data,4.4%,2,355,207,1210,305,1491,No Data,572,37.9%
26014,16082,No Data,No Data,No Data,1.3%,25,3066,3036,14481,2879,9815,No Data,2761,55.7%
10835,6973,No Data,No Data,No Data,2.1%,17,1918,1084,326,1233,2792,No Data,1232,3.0%
1270,876,No Data,No Data,No Data,1.5%,11,233,89,92,127,294,No Data,211,7.2%
24492,14685,No Data,No Data,No Data,0.7%,9,4046,2638,310,2772,4464,No Data,2654,1.3%
