male,hispanic_1,grade_6,math_level_1_1,math_level_3,white,math_level_2_1,grade_3,ell_haitian_creole_1,math_level_3_1,white_1,math_test_takers,black
10721,0.169,2303,0.396,2281,387,0.288,2231,No Data,19.2%,1.9%,11885,12232
20691,0.293,4359,0.271,6117,18851,0.255,4612,No Data,24.7%,46.7%,24739,4983
8475,0.184,1632,0.307,2220,3895,0.279,1985,No Data,22.1%,23.7%,10029,5837
3981,0.438,786,0.301,852,1391,0.207,862,No Data,20.3%,18.6%,4199,1044
545,0.086,119,0.503,80,16,0.296,151,No Data,12.3%,1.5%,648,959
2881,0.661,553,0.593,303,535,0.246,482,No Data,11.3%,12.4%,2684,477
1479,0.625,373,0.369,404,390,0.282,310,No Data,21.2%,12.8%,1909,614
7740,0.868,1530,0.38,1862,937,0.288,1865,No Data,20.3%,6.1%,9154,744
1677,0.432,310,0.528,242,573,0.226,324,No Data,14.8%,22.4%,1639,709
588,0.846,113,0.654,59,s,0.227,139,s,10.5%,s,560,46
4321,0.202,733,0.353,1019,1573,0.256,1123,No Data,21.5%,18.1%,4731,4536
1138,0.703,206,0.545,171,36,0.253,285,No Data,13.3%,1.6%,1283,589
872,0.467,161,0.467,161,288,0.278,243,No Data,16.2%,16.4%,995,500
833,0.419,236,0.429,165,122,0.262,150,No Data,16.1%,7.7%,1028,725
4481,0.264,1088,0.21,1367,1169,0.208,923,No Data,25.0%,13.4%,5461,1160
8611,0.302,2224,0.253,2523,5087,0.247,1806,No Data,23.4%,30.2%,10782,1585
386,0.221,48,0.512,72,14,0.238,102,No Data,17.3%,1.8%,416,557
8037,0.7,1609,0.559,1270,225,0.255,1873,No Data,12.9%,1.4%,9815,3796
2996,0.703,584,0.693,227,212,0.208,580,No Data,7.5%,4.5%,3026,1058
224,0.268,68,0.186,70,34,0.254,45,No Data,23.7%,7.9%,295,41
194,0.701,38,0.697,s,37,0.245,39,2.1%,s,9.6%,208,54
2921,0.489,692,0.439,668,491,0.267,625,No Data,18.5%,8.6%,3608,2071
2349,0.282,974,0.208,812,958,0.219,285,No Data,22.0%,20.7%,3694,365
1049,0.209,209,0.463,202,36,0.281,257,No Data,16.6%,1.7%,1220,1530
1564,0.662,294,0.64,145,269,0.231,285,No Data,9.7%,11.0%,1493,510
1799,0.209,263,0.443,386,86,0.258,511,No Data,19.1%,2.4%,2019,2574
8096,0.183,1724,0.411,1660,323,0.287,1752,No Data,18.7%,2.0%,8873,8981
1516,0.665,294,0.654,138,70,0.21,270,No Data,9.7%,2.9%,1428,645
863,0.165,248,0.128,281,185,0.195,154,No Data,25.1%,11.2%,1118,290
2982,0.274,532,0.342,589,1619,0.259,514,No Data,22.3%,36.5%,2636,505
1683,0.146,551,0.366,492,78,0.288,308,No Data,21.7%,2.3%,2267,2705
135,0.565,14,0.557,18,35,0.235,33,s,15.7%,15.1%,115,s
1207,0.465,253,0.526,184,40,0.262,292,No Data,13.4%,1.7%,1369,1072
5426,0.709,1015,0.5,1004,165,0.265,1240,No Data,15.6%,1.6%,6435,2691
3693,0.686,690,0.709,238,71,0.196,640,No Data,7.1%,1.3%,3334,1614
282,0.439,42,0.607,26,100,0.25,69,1.8%,10.7%,20.0%,244,58
580,0.557,94,0.428,115,62,0.259,162,No Data,20.1%,5.3%,572,196
691,0.325,148,0.292,167,70,0.224,146,No Data,21.8%,5.1%,767,310
14656,0.407,3022,0.407,3439,2818,0.283,3301,No Data,19.5%,9.9%,17649,10970
870,0.438,159,0.588,97,155,0.26,214,22.0%,10.6%,9.6%,918,540
1669,0.779,276,0.4,366,155,0.296,431,No Data,19.4%,4.7%,1886,131
1790,0.454,268,0.565,226,522,0.241,464,0.7%,13.9%,16.1%,1629,100
7457,0.704,1507,0.567,1157,208,0.253,1749,No Data,12.7%,1.4%,9108,3489
19118,0.246,4123,0.171,5754,9243,0.209,4221,No Data,24.6%,25.0%,23363,690
14087,0.542,3340,0.231,4301,4437,0.253,2993,No Data,24.3%,16.0%,17667,1665
1578,0.675,318,0.617,189,43,0.239,410,No Data,10.2%,1.4%,1844,879
6076,0.769,860,0.574,725,558,0.272,1562,s,12.4%,5.0%,5858,34
12752,0.161,2743,0.107,3717,10795,0.146,2750,No Data,25.8%,42.7%,14429,1661
15082,0.269,3393,0.189,4621,5865,0.222,3314,No Data,24.8%,20.1%,18664,474
1255,0.434,206,0.744,90,46,0.167,235,No Data,7.3%,2.4%,1234,986
1027,0.467,258,0.3,283,184,0.261,249,No Data,23.5%,9.3%,1204,42
3797,0.782,770,0.524,656,133,0.265,921,No Data,14.8%,1.8%,4419,1209
945,0.169,317,0.446,190,15,0.321,145,No Data,15.5%,0.9%,1224,1363
1256,0.586,220,0.614,119,192,0.217,216,No Data,10.9%,10.3%,1092,378
4146,0.788,1004,0.41,1033,170,0.29,853,No Data,19.4%,2.1%,5327,1323
956,0.238,269,0.177,333,294,0.224,141,No Data,27.8%,16.4%,1200,333
6578,0.915,1341,0.407,1515,299,0.297,1582,No Data,19.0%,2.3%,7953,629
2673,0.237,546,0.454,552,261,0.287,636,No Data,17.3%,4.8%,3194,3481
605,0.434,125,0.439,113,18,0.318,124,No Data,15.2%,1.6%,745,529
1171,0.624,391,0.48,244,25,0.275,178,No Data,14.9%,1.1%,1635,781
2390,0.721,417,0.79,113,33,0.149,446,No Data,4.8%,0.9%,2376,898
2435,0.954,461,0.658,222,101,0.236,585,s,8.3%,2.2%,2683,48
282,0.488,39,0.469,50,36,0.251,97,s,18.5%,7.0%,271,s
10294,0.608,2554,0.265,3110,2096,0.272,2183,No Data,23.4%,10.4%,13281,1363
1360,0.209,279,0.354,351,276,0.283,359,No Data,20.8%,9.7%,1691,1810
1034,0.162,221,0.269,329,568,0.26,201,No Data,22.3%,28.0%,1473,819
3258,0.447,634,0.543,532,139,0.258,736,No Data,13.9%,2.3%,3828,2983
1677,0.257,284,0.365,298,681,0.301,294,No Data,21.1%,27.7%,1414,203
1071,0.901,262,0.398,283,39,0.306,218,No Data,19.3%,1.8%,1467,153
4788,0.883,875,0.704,327,301,0.218,1191,s,6.4%,3.4%,5094,289
633,0.77,138,0.521,112,17,0.253,145,No Data,15.0%,1.3%,747,256
652,0.534,136,0.468,140,66,0.273,118,No Data,16.4%,5.2%,855,415
1995,0.181,226,0.51,250,1363,0.279,499,8.6%,14.6%,39.2%,1716,391
91,0.335,9,0.453,9,38,0.28,21,No Data,12.0%,23.6%,75,36
3830,0.449,663,0.585,403,738,0.254,736,No Data,11.7%,12.7%,3435,1555
5131,0.776,878,0.593,493,882,0.264,918,No Data,10.1%,11.4%,4879,167
6585,0.53,1151,0.319,1561,1171,0.265,1644,No Data,22.0%,9.0%,7092,1232
2343,0.523,260,0.503,335,391,0.263,697,s,16.7%,8.8%,2010,20
1050,0.199,212,0.504,172,35,0.265,245,No Data,15.1%,1.7%,1138,1212
3654,0.437,613,0.512,472,1506,0.274,715,No Data,14.2%,27.2%,3334,156
983,0.658,274,0.45,218,39,0.296,187,No Data,16.0%,2.1%,1362,496
823,0.109,115,0.242,158,85,0.284,158,s,23.6%,5.8%,669,10
553,0.311,100,0.298,157,119,0.251,119,No Data,24.5%,11.0%,642,342
4591,0.158,1073,0.116,1474,981,0.19,933,No Data,26.8%,11.1%,5509,493
1576,0.57,619,0.188,605,448,0.228,177,No Data,24.4%,13.9%,2484,268
6593,0.179,1499,0.377,1685,433,0.282,1453,No Data,20.8%,3.4%,8098,9490
6553,0.364,1113,0.583,716,4494,0.253,1237,No Data,11.7%,43.4%,6139,1465
1141,0.146,144,0.283,244,269,0.255,278,s,27.0%,13.1%,903,32
758,0.777,120,0.613,83,223,0.244,168,s,11.4%,16.1%,731,7
1645,0.465,333,0.502,290,163,0.283,393,No Data,15.2%,5.1%,1913,1278
8919,0.141,1965,0.089,2642,3153,0.168,1862,No Data,25.9%,18.3%,10190,906
2629,0.407,530,0.538,337,1193,0.26,482,No Data,13.4%,29.3%,2512,559
602,0.689,99,0.461,104,47,0.304,163,No Data,16.0%,3.9%,648,298
12869,0.427,2808,0.338,3277,1593,0.284,2852,No Data,22.3%,6.3%,14694,5668
5537,0.191,1190,0.39,1392,269,0.281,1254,No Data,20.4%,2.5%,6829,7943
431,0.23,84,0.513,79,26,0.277,102,No Data,16.1%,3.0%,491,608
18797,0.752,3936,0.448,3902,1733,0.277,4335,No Data,17.5%,4.7%,22288,5362
6322,0.299,1390,0.246,1523,4650,0.197,1437,No Data,20.6%,36.9%,7404,2589
2793,0.234,375,0.565,294,1044,0.248,539,No Data,12.3%,25.0%,2398,1647
2684,0.358,439,0.599,258,610,0.236,491,No Data,11.6%,15.1%,2218,1168
2336,0.191,414,0.738,133,113,0.182,374,No Data,6.6%,3.3%,2015,2282
3552,0.65,798,0.442,746,172,0.273,829,No Data,17.8%,2.5%,4201,1779
1167,0.232,275,0.762,64,21,0.167,210,No Data,5.5%,1.2%,1167,1319
12232,0.36,2108,0.218,3077,8205,0.218,3054,No Data,25.3%,33.8%,12170,1974
1739,0.866,322,0.756,103,59,0.177,430,s,5.4%,1.9%,1900,179
373,0.156,66,0.613,34,142,0.271,88,39.3%,8.5%,20.5%,398,369
1913,0.33,485,0.254,507,987,0.224,366,No Data,25.9%,26.6%,1957,985
2557,0.555,530,0.4,531,279,0.239,542,No Data,19.1%,5.8%,2787,888
1191,0.888,213,0.656,114,51,0.212,252,s,9.3%,2.4%,1230,151
842,0.329,167,0.454,162,79,0.262,179,No Data,18.0%,4.7%,901,603
5552,0.241,808,0.377,1075,1685,0.285,1279,0.1%,21.5%,16.6%,5005,39
11650,0.426,2414,0.434,2580,1953,0.284,2652,No Data,18.4%,8.6%,14003,8706
11816,0.158,2065,0.262,3276,6985,0.262,2824,No Data,23.7%,30.5%,13823,7670
2059,0.644,300,0.574,235,243,0.261,489,0.5%,12.4%,6.5%,1888,68
4954,0.067,1086,0.401,1208,281,0.29,1160,No Data,18.9%,2.8%,6399,8671
4401,0.604,1001,0.399,929,422,0.265,1002,No Data,18.1%,4.9%,5128,2167
550,0.674,101,0.434,95,30,0.264,119,No Data,17.2%,3.0%,553,182
9503,0.27,2046,0.167,2945,1413,0.207,2060,No Data,26.5%,7.6%,11116,838
1244,0.922,247,0.475,221,30,0.287,326,No Data,15.6%,1.2%,1417,152
3791,0.803,908,0.421,906,140,0.29,797,No Data,18.8%,1.9%,4815,1117
11772,0.694,2490,0.462,2341,300,0.276,2620,No Data,17.2%,1.3%,13598,6295
7786,0.47,1655,0.468,1528,296,0.276,1706,No Data,16.0%,1.9%,9523,6214
486,0.712,74,0.73,24,61,0.206,111,s,4.6%,7.2%,525,127
664,0.271,149,0.599,76,19,0.244,176,No Data,10.4%,1.5%,730,879
12582,0.69,2707,0.456,2536,316,0.277,2785,No Data,17.4%,1.3%,14597,6796
3388,0.878,617,0.678,281,84,0.218,754,s,8.2%,1.4%,3447,538
1360,0.659,289,0.508,241,74,0.276,347,No Data,14.6%,2.7%,1655,726
3929,0.074,866,0.422,881,254,0.295,908,No Data,17.6%,3.3%,5008,6746
733,0.374,160,0.259,213,60,0.234,164,No Data,25.7%,4.3%,830,110
1834,0.72,302,0.714,125,31,0.187,332,No Data,6.9%,1.1%,1816,714
1471,0.521,396,0.309,360,247,0.239,333,No Data,19.8%,8.4%,1818,763
1841,0.194,1016,0.154,760,1567,0.192,120,No Data,24.2%,42.9%,3138,250
12064,0.393,2586,0.363,3060,7273,0.276,2758,No Data,21.1%,30.7%,14486,4150
1013,0.221,169,0.414,211,254,0.294,254,No Data,18.2%,13.4%,1158,966
8423,0.303,1726,0.317,2142,1994,0.263,1903,No Data,23.1%,12.1%,9256,3979
1760,0.554,236,0.591,188,694,0.244,420,s,12.1%,21.9%,1553,39
13422,0.251,2826,0.154,4082,3476,0.199,2906,No Data,26.5%,13.4%,15428,1184
3692,0.43,740,0.519,616,264,0.255,805,No Data,14.2%,3.8%,4325,3336
1134,0.262,212,0.675,99,188,0.191,238,No Data,9.3%,10.4%,1060,1059
872,0.057,253,0.345,259,24,0.282,206,No Data,20.2%,1.3%,1283,1680
709,0.127,147,0.471,110,20,0.278,110,No Data,15.5%,1.5%,711,945
3042,0.716,499,0.531,393,445,0.287,747,s,13.6%,8.1%,2888,21
1136,0.754,212,0.695,86,103,0.215,225,0.5%,6.8%,4.8%,1266,75
417,0.64,77,0.601,59,123,0.209,119,s,12.4%,16.3%,474,87
950,0.932,139,0.722,68,47,0.188,224,0.3%,7.2%,2.7%,944,26
1474,0.769,292,0.637,156,204,0.247,336,s,9.3%,7.5%,1679,128
1597,0.242,468,0.15,509,614,0.175,252,No Data,25.1%,19.2%,2030,457
2995,0.512,499,0.523,315,1164,0.244,579,No Data,13.5%,25.2%,2333,599
2576,0.256,425,0.436,430,1752,0.294,576,s,17.8%,38.4%,2413,47
524,0.464,120,0.418,108,180,0.292,114,No Data,17.0%,16.9%,637,204
