ela_test_takers,male,ell_chinese,math_level_4_1,ell_haitian_creole,ela_level_3,math_l3_l4,black_1,ell_other,ela_level_1_1,ell_spanish,other,male_1,female_1,ela_level_1,ela_level_2,ela_l3_l4_1,ela_level_4,ela_level_2_1
9999,8475,No Data,19.3%,No Data,2853,4158,35.5%,No Data,0.225,No Data,294,0.516,0.484,2248,3308,44.4%,1590,0.331
299,224,No Data,32.2%,No Data,98,165,9.5%,No Data,0.147,No Data,12,0.517,0.483,44,78,59.2%,79,0.261
1629,1360,No Data,7.0%,No Data,286,357,26.4%,No Data,0.417,No Data,32,0.495,0.505,679,574,23.1%,90,0.352
9914,8037,No Data,5.6%,No Data,1804,1822,24.0%,No Data,0.418,No Data,257,0.508,0.492,4149,3366,24.2%,595,0.34
1801,2059,107,4.1%,18,160,312,1.8%,425,0.596,2411,25,0.552,0.448,1074,557,9.4%,10,0.309
3239,2673,No Data,8.6%,No Data,797,828,63.9%,No Data,0.305,No Data,108,0.49,0.51,988,1135,34.5%,319,0.35
894,1112,9,2.7%,226,90,113,17.9%,192,0.588,914,31,0.555,0.445,526,272,10.7%,6,0.304
13390,10294,No Data,22.9%,No Data,4007,6145,6.7%,No Data,0.192,No Data,237,0.509,0.491,2568,4129,50.0%,2686,0.308
7333,6585,No Data,19.6%,No Data,2032,2952,9.5%,No Data,0.261,No Data,154,0.506,0.494,1915,2420,40.9%,966,0.33
1711,1171,No Data,9.5%,No Data,397,400,34.3%,No Data,0.336,No Data,22,0.514,0.486,575,581,32.4%,158,0.34
500,431,No Data,4.9%,No Data,102,103,70.0%,No Data,0.35,No Data,18,0.496,0.504,175,186,27.8%,37,0.372
5471,4146,No Data,10.6%,No Data,1336,1598,16.3%,No Data,0.315,No Data,57,0.51,0.49,1722,1780,36.0%,633,0.325
1242,1138,No Data,6.9%,No Data,240,259,26.3%,No Data,0.413,No Data,28,0.509,0.491,513,415,25.3%,74,0.334
640,602,No Data,7.4%,No Data,139,152,24.6%,No Data,0.356,No Data,15,0.497,0.503,228,228,28.7%,45,0.356
1612,1790,138,5.6%,24,156,317,3.1%,629,0.582,1471,42,0.553,0.447,938,507,10.4%,11,0.315
9264,7740,No Data,12.8%,No Data,2361,3036,4.9%,No Data,0.301,No Data,149,0.507,0.493,2788,3100,36.4%,1015,0.335
1541,1995,241,6.5%,298,166,362,11.2%,715,0.546,654,47,0.573,0.427,841,524,11.4%,10,0.34
5497,4401,No Data,15.5%,No Data,1346,1726,25.1%,No Data,0.269,No Data,234,0.51,0.49,1476,1836,39.7%,839,0.334
19921,16452,No Data,8.3%,No Data,4471,4848,14.7%,No Data,0.343,No Data,305,0.509,0.491,6823,6957,30.8%,1670,0.349
6365,4954,No Data,12.0%,No Data,1626,1974,87.5%,No Data,0.272,No Data,129,0.5,0.5,1729,2229,37.8%,781,0.35
1124,833,No Data,14.9%,No Data,245,318,45.5%,No Data,0.286,No Data,40,0.523,0.477,321,346,40.7%,212,0.308
752,605,No Data,9.1%,No Data,162,181,46.4%,No Data,0.316,No Data,11,0.53,0.47,238,287,30.2%,65,0.382
76,91,No Data,14.7%,No Data,19,20,22.4%,No Data,0.237,No Data,7,0.565,0.435,18,28,39.5%,11,0.368
10049,8423,No Data,18.9%,No Data,2767,3890,24.0%,No Data,0.245,No Data,926,0.509,0.491,2462,3121,44.4%,1699,0.311
13687,11772,No Data,9.0%,No Data,3046,3559,27.4%,No Data,0.349,No Data,155,0.513,0.487,4773,4844,29.7%,1024,0.354
1145,1136,8,2.2%,11,s,114,3.5%,28,0.679,1642,22,0.524,0.476,778,295,s,s,0.258
672,758,35,3.0%,s,s,105,0.5%,188,0.624,1080,13,0.548,0.452,419,205,s,s,0.305
743,633,No Data,7.6%,No Data,133,169,20.2%,No Data,0.433,No Data,9,0.499,0.501,322,239,24.5%,49,0.322
1320,945,No Data,7.8%,No Data,263,285,79.1%,No Data,0.329,No Data,41,0.548,0.452,434,490,30.0%,133,0.371
1521,1516,No Data,3.9%,No Data,165,194,27.0%,No Data,0.519,No Data,40,0.635,0.365,789,520,13.9%,47,0.342
9537,7786,No Data,9.5%,No Data,2101,2431,40.5%,No Data,0.345,No Data,292,0.507,0.493,3288,3281,31.1%,867,0.344
2189,1597,No Data,42.5%,No Data,734,1371,14.3%,No Data,0.103,No Data,140,0.5,0.5,226,472,68.1%,757,0.216
1516,1071,No Data,10.3%,No Data,359,434,7.1%,No Data,0.3,No Data,13,0.495,0.505,455,556,33.3%,146,0.367
559,588,21,1.4%,s,s,67,4.3%,32,0.601,908,s,0.549,0.451,336,173,s,s,0.309
1696,1677,No Data,9.9%,No Data,342,404,27.7%,No Data,0.389,No Data,100,0.654,0.346,659,555,28.4%,140,0.327
17937,14087,No Data,27.3%,No Data,5523,9120,6.0%,No Data,0.165,No Data,578,0.508,0.492,2954,5027,55.5%,4433,0.28
2436,2793,No Data,6.4%,No Data,357,447,39.4%,No Data,0.458,No Data,72,0.668,0.332,1115,874,18.3%,90,0.359
10879,8611,No Data,26.6%,No Data,3048,5392,9.4%,No Data,0.21,No Data,193,0.511,0.489,2287,3138,50.1%,2406,0.288
1080,1134,No Data,4.2%,No Data,130,143,58.7%,No Data,0.52,No Data,45,0.629,0.371,562,359,14.7%,29,0.332
2080,1799,No Data,10.8%,No Data,534,604,72.8%,No Data,0.314,No Data,58,0.509,0.491,653,714,34.3%,179,0.343
855,820,No Data,5.2%,No Data,168,155,49.8%,No Data,0.372,No Data,20,0.554,0.446,318,322,25.1%,47,0.377
644,545,No Data,7.7%,No Data,135,130,87.3%,No Data,0.363,No Data,14,0.496,0.504,234,232,27.6%,43,0.36
860,771,No Data,7.3%,No Data,217,199,29.2%,No Data,0.34,No Data,17,0.523,0.477,292,296,31.6%,55,0.344
1369,983,No Data,9.4%,No Data,272,346,26.2%,No Data,0.354,No Data,18,0.518,0.482,484,480,29.6%,133,0.351
3766,2921,No Data,10.8%,No Data,985,1059,36.3%,No Data,0.279,No Data,140,0.512,0.488,1049,1266,38.5%,466,0.336
3013,2810,No Data,7.2%,No Data,591,684,27.9%,No Data,0.413,No Data,38,0.511,0.489,1243,1027,24.7%,152,0.341
1817,1578,No Data,4.2%,No Data,308,267,28.4%,No Data,0.469,No Data,41,0.51,0.49,852,576,21.4%,81,0.317
1770,1203,No Data,9.2%,No Data,449,458,21.9%,No Data,0.315,No Data,15,0.501,0.499,558,591,35.1%,172,0.334
1369,1244,No Data,8.2%,No Data,294,337,6.1%,No Data,0.39,No Data,s,0.496,0.504,534,462,27.2%,79,0.337
2407,1683,No Data,12.9%,No Data,680,785,78.7%,No Data,0.224,No Data,88,0.49,0.51,539,766,45.8%,422,0.318
3435,3693,No Data,2.3%,No Data,303,315,28.9%,No Data,0.596,No Data,39,0.66,0.34,2047,1049,9.9%,36,0.305
4929,3791,No Data,10.1%,No Data,1184,1393,15.1%,No Data,0.325,No Data,46,0.513,0.487,1602,1635,34.3%,508,0.332
8052,6322,No Data,35.1%,No Data,2373,4122,20.5%,No Data,0.148,No Data,703,0.502,0.498,1192,1730,63.7%,2757,0.215
5675,4481,No Data,33.2%,No Data,1795,3178,13.3%,No Data,0.161,No Data,218,0.515,0.485,915,1529,56.9%,1436,0.269
776,1141,1189,19.2%,s,140,417,1.6%,384,0.429,262,27,0.557,0.443,333,284,20.5%,19,0.366
2137,2336,No Data,1.4%,No Data,188,161,65.7%,No Data,0.575,No Data,120,0.672,0.328,1229,694,10.0%,26,0.325
2358,1627,No Data,24.9%,No Data,657,977,32.4%,No Data,0.184,No Data,142,0.498,0.502,434,623,55.2%,644,0.264
4808,4788,21,1.3%,s,270,395,3.3%,363,0.655,7815,63,0.542,0.458,3150,1370,6.0%,18,0.285
577,580,No Data,11.2%,No Data,142,179,16.7%,No Data,0.331,No Data,20,0.494,0.506,191,203,31.7%,41,0.352
3176,3388,6,2.3%,s,201,359,8.8%,426,0.639,5369,20,0.556,0.444,2031,934,6.6%,10,0.294
3719,3830,No Data,4.4%,No Data,453,555,26.7%,No Data,0.521,No Data,247,0.659,0.341,1939,1247,14.3%,80,0.335
3069,2996,No Data,2.3%,No Data,282,298,22.6%,No Data,0.582,No Data,49,0.64,0.36,1787,951,10.8%,49,0.31
1396,879,No Data,14.4%,No Data,395,490,31.4%,No Data,0.231,No Data,21,0.489,0.511,323,409,47.6%,269,0.293
4671,5552,5015,12.3%,15,569,1691,0.4%,839,0.527,2485,45,0.548,0.452,2463,1582,13.4%,57,0.339
770,553,No Data,20.7%,No Data,235,290,31.5%,No Data,0.206,No Data,67,0.509,0.491,159,209,52.2%,167,0.271
2499,2435,16,2.3%,s,s,283,1.1%,50,0.655,4340,11,0.536,0.464,1638,699,s,s,0.28
6261,6553,No Data,4.7%,No Data,986,1002,14.2%,No Data,0.438,No Data,220,0.633,0.367,2743,2302,19.4%,230,0.368
969,842,No Data,10.4%,No Data,190,256,36.2%,No Data,0.368,No Data,89,0.505,0.495,357,312,31.0%,110,0.322
224,282,15,3.7%,9,s,35,11.6%,48,0.567,219,15,0.565,0.435,127,77,s,s,0.344
1138,943,No Data,9.2%,No Data,235,305,34.9%,No Data,0.359,No Data,60,0.511,0.489,409,396,29.3%,98,0.348
1724,1360,No Data,15.6%,No Data,512,615,63.4%,No Data,0.221,No Data,91,0.476,0.524,381,555,45.7%,276,0.322
1117,955,No Data,14.1%,No Data,311,423,11.2%,No Data,0.269,No Data,18,0.494,0.506,300,371,39.9%,135,0.332
26649,21802,No Data,20.9%,No Data,7675,11464,1.7%,No Data,0.215,No Data,356,0.514,0.486,5741,8296,47.3%,4937,0.311
9653,8096,No Data,11.6%,No Data,2541,2686,56.6%,No Data,0.259,No Data,717,0.51,0.49,2503,3398,38.9%,1211,0.352
2331,2666,No Data,9.1%,No Data,391,593,8.0%,No Data,0.399,No Data,49,0.684,0.316,930,890,21.9%,120,0.382
726,611,No Data,13.0%,No Data,227,240,79.1%,No Data,0.263,No Data,19,0.509,0.491,191,224,42.8%,84,0.309
715,591,No Data,6.9%,No Data,163,154,42.5%,No Data,0.329,No Data,25,0.519,0.481,235,259,30.9%,58,0.362
11127,8919,No Data,48.4%,No Data,3872,7574,5.3%,No Data,0.081,No Data,404,0.519,0.481,896,2128,72.8%,4231,0.191
25258,20691,No Data,22.7%,No Data,7951,11730,12.3%,No Data,0.173,No Data,887,0.512,0.488,4371,7272,53.9%,5664,0.288
20423,16230,No Data,18.0%,No Data,6000,7626,21.1%,No Data,0.222,No Data,1670,0.512,0.488,4538,6406,46.4%,3479,0.314
316,373,11,3.0%,272,s,46,53.3%,58,0.585,112,11,0.539,0.461,185,106,s,s,0.335
8014,6578,No Data,10.5%,No Data,1939,2349,4.8%,No Data,0.327,No Data,64,0.505,0.495,2624,2776,32.6%,675,0.346
2403,2995,No Data,9.9%,No Data,429,545,12.9%,No Data,0.433,No Data,93,0.647,0.353,1041,784,24.1%,149,0.326
1220,1049,No Data,9.0%,No Data,299,312,73.8%,No Data,0.325,No Data,43,0.506,0.494,396,407,34.2%,118,0.334
16136,12869,No Data,15.5%,No Data,4585,5557,22.6%,No Data,0.245,No Data,1287,0.513,0.487,3946,5269,42.9%,2336,0.327
2225,2168,No Data,2.5%,No Data,190,213,47.1%,No Data,0.613,No Data,54,0.65,0.35,1365,636,10.1%,34,0.286
3359,3654,No Data,7.3%,No Data,502,715,2.8%,No Data,0.455,No Data,51,0.66,0.34,1529,1187,19.1%,141,0.353
2443,2390,No Data,1.3%,No Data,137,145,24.8%,No Data,0.675,No Data,46,0.659,0.341,1648,637,6.5%,21,0.261
14685,12582,No Data,9.3%,No Data,3306,3896,27.7%,No Data,0.344,No Data,169,0.514,0.486,5048,5173,30.4%,1158,0.352
2383,2061,No Data,12.1%,No Data,631,728,73.3%,No Data,0.295,No Data,69,0.504,0.496,702,815,36.3%,235,0.342
244,282,199,9.6%,s,s,76,s,34,0.402,249,s,0.551,0.449,98,91,s,s,0.373
16082,13422,No Data,38.3%,No Data,5287,9989,4.6%,No Data,0.143,No Data,348,0.516,0.484,2307,3960,61.0%,4528,0.246
904,950,s,1.8%,6,s,85,1.5%,18,0.698,1624,6,0.547,0.453,631,204,s,s,0.226
1011,872,No Data,9.2%,No Data,245,253,28.4%,No Data,0.332,No Data,49,0.496,0.504,336,333,33.8%,97,0.329
2401,2684,No Data,4.9%,No Data,280,366,28.9%,No Data,0.531,No Data,197,0.665,0.335,1276,781,14.3%,64,0.325
10233,8265,No Data,10.7%,No Data,2315,2912,20.6%,No Data,0.336,No Data,216,0.511,0.489,3436,3524,32.0%,958,0.344
23383,19118,No Data,37.4%,No Data,7258,14494,1.9%,No Data,0.171,No Data,354,0.517,0.483,3988,5857,57.9%,6280,0.25
1305,956,No Data,32.1%,No Data,415,718,18.6%,No Data,0.136,No Data,48,0.534,0.466,177,358,59.0%,355,0.274
1903,2116,No Data,3.2%,No Data,195,218,6.1%,No Data,0.582,No Data,21,0.654,0.346,1107,564,12.2%,37,0.296
6724,5693,No Data,8.0%,No Data,1447,1605,26.1%,No Data,0.357,No Data,97,0.522,0.478,2399,2394,28.7%,484,0.356
1907,1616,No Data,41.3%,No Data,492,1071,11.3%,No Data,0.135,No Data,164,0.531,0.469,257,411,65.0%,747,0.216
618,823,744,23.8%,s,91,317,0.7%,233,0.472,162,6,0.558,0.442,292,224,16.5%,11,0.362
775,691,No Data,26.6%,No Data,213,371,22.7%,No Data,0.237,No Data,25,0.505,0.495,184,249,44.1%,129,0.321
1908,1645,No Data,6.3%,No Data,368,411,39.6%,No Data,0.395,No Data,55,0.51,0.49,753,632,27.4%,155,0.331
21400,17424,No Data,18.3%,No Data,5966,8524,1.6%,No Data,0.238,No Data,237,0.514,0.486,5098,6954,43.7%,3382,0.325
1937,2343,1430,6.7%,s,213,470,0.4%,128,0.538,2341,23,0.526,0.474,1043,668,11.7%,13,0.345
1560,1474,36,2.3%,s,97,195,4.7%,124,0.679,2088,23,0.545,0.455,1059,397,6.7%,7,0.254
14695,12064,No Data,14.9%,No Data,4097,5220,17.5%,No Data,0.238,No Data,527,0.508,0.492,3500,4882,43.0%,2216,0.332
4322,3797,No Data,6.2%,No Data,832,930,16.2%,No Data,0.399,No Data,64,0.507,0.493,1724,1488,25.7%,278,0.344
2174,2576,754,9.2%,s,222,651,1.0%,996,0.538,1175,39,0.564,0.436,1169,761,11.2%,22,0.35
2116,1913,No Data,26.2%,No Data,652,1020,26.5%,No Data,0.166,No Data,167,0.515,0.485,352,563,56.8%,549,0.266
1484,1034,No Data,24.8%,No Data,440,694,40.3%,No Data,0.188,No Data,29,0.509,0.491,279,444,51.3%,321,0.299
742,664,No Data,5.3%,No Data,118,115,68.4%,No Data,0.462,No Data,29,0.516,0.484,343,249,20.2%,32,0.336
2628,1576,No Data,34.1%,No Data,739,1452,8.3%,No Data,0.137,No Data,79,0.49,0.51,361,651,61.5%,877,0.248
832,709,No Data,9.6%,No Data,205,178,69.9%,No Data,0.278,No Data,57,0.525,0.475,231,312,34.7%,84,0.375
18568,15082,No Data,34.1%,No Data,5626,10988,1.6%,No Data,0.197,No Data,199,0.517,0.483,3649,5004,53.4%,4289,0.269
1130,1013,No Data,11.1%,No Data,265,339,50.8%,No Data,0.324,No Data,23,0.533,0.467,366,380,34.0%,119,0.336
2738,2982,No Data,17.6%,No Data,762,1053,11.4%,No Data,0.257,No Data,203,0.673,0.327,705,942,39.8%,329,0.344
5544,6076,873,3.1%,s,518,907,0.3%,832,0.552,8579,47,0.547,0.453,3060,1936,9.9%,30,0.349
195,194,s,s,8,s,s,14.1%,24,0.662,271,s,0.505,0.495,129,49,s,s,0.251
4456,3692,No Data,8.3%,No Data,876,976,48.5%,No Data,0.347,No Data,160,0.536,0.464,1547,1586,29.7%,447,0.356
846,870,10,4.6%,356,94,139,33.3%,117,0.573,727,28,0.537,0.463,485,254,12.6%,13,0.3
9207,7457,No Data,5.3%,No Data,1641,1644,23.7%,No Data,0.427,No Data,235,0.506,0.494,3930,3113,23.5%,523,0.338
1839,1669,No Data,11.0%,No Data,415,574,4.0%,No Data,0.33,No Data,23,0.504,0.496,606,651,31.6%,167,0.354
14787,11561,No Data,32.9%,No Data,4228,8233,8.1%,No Data,0.177,No Data,372,0.512,0.488,2617,3805,56.6%,4137,0.257
3574,3763,No Data,2.4%,No Data,281,300,38.4%,No Data,0.603,No Data,74,0.671,0.329,2156,1079,9.5%,58,0.302
3992,3230,No Data,6.1%,No Data,744,766,71.6%,No Data,0.384,No Data,115,0.515,0.485,1534,1452,25.2%,262,0.364
614,524,No Data,12.1%,No Data,144,185,19.2%,No Data,0.34,No Data,10,0.492,0.508,209,204,32.7%,57,0.332
3906,3258,No Data,6.0%,No Data,740,762,49.0%,No Data,0.369,No Data,122,0.535,0.465,1442,1441,26.2%,283,0.369
2281,3155,3586,17.1%,s,331,1106,0.2%,412,0.51,1189,24,0.555,0.445,1163,752,16.0%,35,0.33
965,783,No Data,8.6%,No Data,202,221,22.5%,No Data,0.361,No Data,19,0.514,0.486,348,336,29.1%,79,0.348
5873,4591,No Data,42.6%,No Data,2050,3822,5.6%,No Data,0.106,No Data,156,0.52,0.48,622,1317,67.0%,1884,0.224
17905,14656,No Data,11.5%,No Data,4701,5467,38.6%,No Data,0.282,No Data,567,0.516,0.484,5050,6037,38.1%,2117,0.337
423,386,No Data,7.7%,No Data,90,104,72.8%,No Data,0.336,No Data,11,0.505,0.495,142,156,29.6%,35,0.369
15169,12752,No Data,49.0%,No Data,5072,10785,6.6%,No Data,0.076,No Data,1521,0.504,0.496,1152,2680,74.7%,6265,0.177
1823,1309,No Data,15.2%,No Data,532,645,4.8%,No Data,0.236,No Data,27,0.522,0.478,430,572,45.0%,289,0.314
12057,9733,No Data,12.2%,No Data,2879,3735,20.1%,No Data,0.313,No Data,277,0.512,0.488,3774,4087,34.8%,1317,0.339
13852,11816,No Data,23.9%,No Data,4240,6583,33.5%,No Data,0.188,No Data,471,0.515,0.485,2605,4239,50.6%,2768,0.306
1272,1255,No Data,1.6%,No Data,119,110,51.6%,No Data,0.59,No Data,38,0.656,0.344,750,381,11.1%,22,0.3
1972,1471,No Data,25.5%,No Data,523,823,25.8%,No Data,0.192,No Data,125,0.498,0.502,379,568,52.0%,502,0.288
1170,1027,No Data,20.4%,No Data,281,529,2.1%,No Data,0.326,No Data,14,0.518,0.482,381,351,37.4%,157,0.3
5032,5251,No Data,1.9%,No Data,406,394,15.3%,No Data,0.597,No Data,68,0.661,0.339,3003,1563,9.3%,60,0.311
694,696,No Data,2.8%,No Data,67,85,73.2%,No Data,0.542,No Data,17,0.652,0.348,376,236,11.8%,15,0.34
22634,18797,No Data,9.9%,No Data,5343,6114,14.5%,No Data,0.324,No Data,421,0.509,0.491,7332,7711,33.5%,2248,0.341
12899,10721,No Data,12.4%,No Data,3513,3755,58.6%,No Data,0.243,No Data,964,0.514,0.486,3135,4492,40.9%,1759,0.348
8635,7028,No Data,8.7%,No Data,1848,2078,40.3%,No Data,0.357,No Data,260,0.507,0.493,3081,2983,29.8%,723,0.345
14177,11650,No Data,9.8%,No Data,3555,3948,38.3%,No Data,0.305,No Data,454,0.513,0.487,4320,4848,35.3%,1454,0.342
2681,3042,103,4.5%,s,305,524,0.4%,423,0.495,3928,37,0.554,0.446,1328,1023,12.3%,25,0.382
12667,12232,No Data,31.0%,No Data,3984,6854,8.1%,No Data,0.172,No Data,881,0.503,0.496,2175,3269,57.0%,3239,0.258
1743,1296,No Data,4.7%,No Data,316,270,27.0%,No Data,0.422,No Data,44,0.51,0.49,735,584,24.3%,108,0.335
