block_number,petitioner_name,borough_code
11,"WINTA ASSET MANAGEMENT, L",1
10,ONE WHITEHALL L.P.,1
11,15 STONE LLC,1
16,WFP TOWER D CO. L.P.,1
5,125 ACQUISITION LLC,1
8,NEW YORK PLAZA RESIDENTIA,1
15,WEST EDEN LLC,1
11,"WINTA ASSET MANAGEMENT, L",1
7,"66 PEARL, LLC",1
5,Sullivan & Cromwell LLP,1
16,WFP TOWER D CO. L.P.,1
16,BANK OF AMERICA,1
5,125 ACQUISITION LLC,1
15,SAFON OWNER LLC,1
11,74 BROAD LLC,1
10,"BROAD STREET PLAZA, LLC",1
1,QC Terme NY LLC,1
11,BSD 80 BROAD LLC,1
11,15 STONE LLC,1
7,"6232 ASSOCIATES, LLC",1
15,SAFON OWNER LLC,1
16,BPC 12 ASSOCIATES L.L.C.,1
16,BROOKFIELD PROPERTIES ONE,1
16,BROOKFIELD PROPERTIES ONE,1
15,OCEAN PRIME LLC,1
7,66 PEARL STREET HOLDING L,1
