agency_name,geotype,id,createdon,multiplication_factor,acceptedvalueytd,source
Department of Sanitation,CB,1490,2007-04-10T17:02:00.000,1,24.0,
New New York,,15463,2024-01-18T16:42:00.000,1,,Division of Transportation Planning and Management -  Bicycle Program in DOT
Department of Sanitation,CB,7087,2007-04-10T17:02:00.000,1,,
Department of Education,,10357,2013-05-28T16:56:00.000,1,27653.0,
Department of Sanitation,CB,7079,2007-04-10T17:02:00.000,1,,
City Commission on Human Rights,,15447,2024-01-17T16:06:00.000,1,,
Department of Correction,,2404,2007-05-22T16:50:00.000,1,,
Department of Sanitation,CB,7064,2007-04-10T17:02:00.000,1,,
Department of Consumer and Worker Protection,CB,7516,2007-07-25T19:57:00.000,1,,General Counsel Division
Department of Sanitation,CB,8074,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1544,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1535,2007-04-10T17:02:00.000,1,16.0,
Department of Sanitation,CB,8068,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1544,2007-04-10T17:02:00.000,1,24.0,
Child Care Blueprint,,15199,2023-09-11T14:33:00.000,1,,
Department of Parks and Recreation,,10848,2016-05-24T18:29:00.000,1,321.0,
Department of Sanitation,CB,8113,2009-08-13T11:12:00.000,1,,
Deparment of Youth and Community Development,,2813,2007-05-22T18:21:00.000,1,,
Department of Sanitation,CB,1489,2007-04-10T17:02:00.000,1,16.0,
Office of Technology and Innovation,,9000,2010-07-30T14:23:00.000,1,,
Department of Consumer and Worker Protection,,13687,2022-08-18T14:37:00.000,1,,
Department of Sanitation,CB,8083,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1539,2007-04-10T17:02:00.000,1,23.0,
Department of Health and Mental Hygiene,CB,5246,2007-07-25T20:07:00.000,1,,Bureau of Vital Statistics; Office of the Chief Medical Examiner
Department of Sanitation,CB,1454,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1522,2007-04-10T17:02:00.000,1,5.0,
Administration for Children's Services,CB,7854,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1498,2007-04-10T17:02:00.000,1,13.0,
Department of Sanitation,CB,8081,2009-08-13T11:12:00.000,1,,
Health And Hospitals Corp,,12322,2020-09-01T20:50:00.000,1,,
Department of Education,,3897,2007-08-14T14:43:00.000,1,,
Department of Transportation,,2928,2007-05-31T18:08:00.000,1,,"Division of Transportation Planning & Management - Research, Implementation & Safety/Chief of Transportation – New York City Police Department"
Administration for Children's Services,CB,7855,2009-08-13T11:04:00.000,1,,
Department of Citywide Administrative Services,,13731,2022-08-30T15:28:00.000,1,,DCAS Construction and Technical Services
Economic Development Corporation,,15859,2025-07-30T12:48:00.000,100000,,M/W/DBE
Child Care Blueprint,,15201,2023-09-11T14:35:00.000,1,,
Department of Sanitation,CB,8084,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1525,2007-04-10T17:02:00.000,1,8.0,
Department of Sanitation,CB,1512,2007-04-10T17:02:00.000,1,22.0,
New York City Police Department,PP,4525,2008-03-03T17:26:00.000,1,,NYPD Office of Management Analysis and Planning
Department of Education,,3853,2007-08-14T14:43:00.000,1,,
Department of Sanitation,CB,7062,2007-04-10T17:02:00.000,1,,
Administration for Children's Services,CB,7855,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7848,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7847,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,1454,2007-04-10T17:02:00.000,1,14.0,
Department of Design and Construction,,2081,2007-04-26T18:00:00.000,1,3.6,
Department of Sanitation,CB,1507,2007-04-10T17:02:00.000,1,26.0,
Department of Sanitation,CB,1510,2007-04-10T17:02:00.000,1,17.0,
Department of Sanitation,CB,1466,2007-04-10T17:02:00.000,1,8.0,
Child Care Blueprint,,15199,2023-09-11T14:33:00.000,1,27781.0,
Department of Sanitation,CB,1462,2007-04-10T17:02:00.000,1,4.0,
Department of Sanitation,CB,8068,2009-08-13T11:12:00.000,1,,
Human Resources Administration,CB,7561,2007-09-28T17:32:00.000,1000,,DSS Office Performance Management and Data Analytics (OPMDA)
Department of Sanitation,CB,1562,2007-04-10T17:02:00.000,1,26.0,
Department of Health and Mental Hygiene,CB,5255,2007-07-25T20:07:00.000,1,,Bureau of Vital Statistics; Office of the Chief Medical Examiner
Department of Sanitation,CB,7106,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,8114,2009-08-13T11:12:00.000,1,,
Department of Sanitation,CB,1451,2007-04-10T17:02:00.000,1,12.0,
Department of Sanitation,,10235,2013-01-07T16:43:00.000,1,,
Department of Sanitation,CB,7060,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,7067,2007-04-10T17:02:00.000,1,,
Department of Sanitation,CB,1561,2007-04-10T17:02:00.000,1,14.0,
Department of Parks and Recreation,CB,8613,2007-04-11T18:32:00.000,1,,Operations & Management Planning Division
Department of Sanitation,CB,1537,2007-04-10T17:02:00.000,1,12.0,
Department of Sanitation,CB,7069,2007-04-10T17:02:00.000,1,,
Department of Education,,4381,2008-01-28T12:59:00.000,1,50405.0,
Human Resources Administration,CB,7587,2007-09-28T17:32:00.000,1000,,DSS Office Performance Management and Data Analytics (OPMDA)
Landmarks Preservation Commission,,2121,2007-04-26T18:03:00.000,1,1100.0,LPC Preservation Department
Department of Sanitation,CB,1563,2007-04-10T17:02:00.000,1,17.0,
Department of Sanitation,CB,1566,2007-04-10T17:02:00.000,1,24.0,
Department of Sanitation,CB,8067,2009-08-13T11:12:00.000,1,,
Child Care Blueprint,,15201,2023-09-11T14:35:00.000,1,,
Department of Sanitation,CB,1509,2007-04-10T17:02:00.000,1,18.0,
Administration for Children's Services,CB,7856,2009-08-13T11:04:00.000,1,,
Administration for Children's Services,CB,7882,2009-08-13T11:04:00.000,1,,
Department of Education,,10360,2013-05-28T17:01:00.000,1,77.3,
Department of Consumer and Worker Protection,,14923,2023-01-19T11:31:00.000,1,,
Administration for Children's Services,CB,7843,2009-08-13T11:04:00.000,1,,
Department of Sanitation,CB,8073,2009-08-13T11:12:00.000,1,,
