fiscalyear,indicator,parentid,targetmmr2
2018,(Retired) Tons per day disposed - Queens 5,1594,
2021,(Retired) Curbside and Containerized Recycled Tons Per Day - Queens 10,6640,
2019,"(Retired) Curbside and containerized metal, glass and plastic recycled tons per day - Manhattan 03",1448,
2023,(Retired): Violations issued,10235,
2023,(Retired) Tons per day disposed - Manhattan 1,1594,
2024,(Retired) Tons per day disposed - Manhattan 8,1594,
2018,(Retired) Curbside and containerized mixed paper recycled tons per day - Queens 04,1508,
2026,Citywide acceptability rating for the cleanliness of small parks and playgrounds (%) - Community District 401,1688,
2020,(Retired) Curbside and containerized mixed paper recycled tons per day - Brooklyn 05,1508,
2017,(Retired) Tons per day disposed - Manhattan 10,1594,
2018,(Retired) Special education enrollment – Non-public school (school-age),4381,
2026,Persons receiving SNAP benefits (000) - Queens 14,4107,
2026,Work permit applications received,2121,
2022,(Retired) Curbside and containerized mixed paper recycled tons per day - Queens 06,1508,
2016,(Retired) Curbside and containerized mixed paper recycled tons per day - Staten Island 2,1508,
2022,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 5,6640,
2023,Extended Day Year and Head Start—Average center-based enrollment,15201,19040.0
2016,(Retired) Curbside and containerized mixed paper recycled tons per day - Manhattan 01,1508,
2024,(Retired) Substantiated Child Abuse and/or Neglected Reports - Brooklyn 6,6635,
2022,(Retired) Substantiated Child Abuse and/or Neglected Reports - Queens 14,6635,
2016,(Retired) Average Extended Day Year and Head Start utilization (%),10360,85.0
2020,(Retired) Sites issued summonses – Referred inspection summonses,14923,
2017,(Retired) Substantiated Child Abuse and/or Neglected Reports - Bronx 5,6635,
2016,(Retired) Curbside and Containerized Recycled Tons Per Day - Manhattan 11,6640,
