the_geom,rampid,stname1,:@computed_region_f5dn_yrer,ramp_running_slope_total,geocyclora,ponding,ramp_left_flare,ramp_width,dws_conditions,obstacles_ramp,curb_reveal,lnd_length,cornerid,lnd_cross_slope
"{'type': 'Point', 'coordinates': [-74.13843147775472, 40.569433589159054]}",10077,KENSICO STREET,15,7.6,2018-03-16T00:00:00.000,No,49.1,62.4,Good Condition,None,0.5,38.7,1151222,-1.9
"{'type': 'Point', 'coordinates': [-73.91834973044902, 40.849381395597966]}",31712,ANDREWS AVENUE SOUTH,6,11.6,2018-04-11T00:00:00.000,No,39.5,25.2,Missing,None,1.1,60.0,1007694,4.1
"{'type': 'Point', 'coordinates': [-73.98009141333222, 40.63226009156494]}",2127,44 STREET,2,4.8,2018-04-21T00:00:00.000,No,53.5,47.7,Good Condition,None,1.2,60.0,1129500,-0.4
"{'type': 'Point', 'coordinates': [-73.97230091219464, 40.69583335748528]}",14985,PARK AVENUE,68,3.0,2018-04-18T00:00:00.000,No,62.4,52.1,Good Condition,None,0.6,60.0,1107093,0.1
"{'type': 'Point', 'coordinates': [-73.91828766108766, 40.656762846102716]}",4484,WILLMOHR STREET,61,18.1,2018-05-04T00:00:00.000,No,45.2,37.8,Missing,None,0.9,60.0,1119327,0.0
"{'type': 'Point', 'coordinates': [-73.92980604823144, 40.815202531916434]}",30,WALTON AVENUE,49,10.0,2018-03-26T00:00:00.000,Yes,45.2,43.7,Missing,None,0.8,60.0,1020909,4.2
"{'type': 'Point', 'coordinates': [-73.97855952818594, 40.613002547634395]}",2480,64 STREET,1,5.7,2018-04-24T00:00:00.000,No,52.0,50.4,Missing,None,0.8,60.0,1131613,0.0
"{'type': 'Point', 'coordinates': [-73.98746109583917, 40.77041911401286]}",9683,AMSTERDAM AVENUE,20,7.1,2018-04-08T00:00:00.000,No,59.1,74.4,Missing,None,0.7,60.0,1087935,-1.2
"{'type': 'Point', 'coordinates': [-73.98319769123962, 40.60556766309706]}",19378,WEST 10 STREET,1,6.8,2018-05-29T00:00:00.000,No,45.6,44.4,Missing,None,0.3,60.0,1135460,0.9
"{'type': 'Point', 'coordinates': [-73.99179577497765, 40.71865065782715]}",26866,ELDRIDGE STREET,70,8.7,2018-05-25T00:00:00.000,No,53.2,43.7,Missing,None,0.3,60.0,1086299,-4.7
"{'type': 'Point', 'coordinates': [-73.90194027801074, 40.75746521936973]}",16073,31 AVENUE,39,15.1,2018-03-19T00:00:00.000,Yes,43.3,48.1,Missing,None,0.5,60.0,1181597,-5.2
"{'type': 'Point', 'coordinates': [-73.91697496050203, 40.64900684455211]}",4459,EAST 89 STREET,61,5.1,2018-05-04T00:00:00.000,No,62.1,60.1,Good Condition,None,0.6,37.1,1120175,-0.8
"{'type': 'Point', 'coordinates': [-73.86054205704379, 40.747765110444284]}",30743,104 STREET,66,2.2,2018-04-08T00:00:00.000,No,54.1,46.3,Good Condition,None,0.6,60.0,1026974,-1.5
"{'type': 'Point', 'coordinates': [-73.89254772448174, 40.673749093565235]}",14412,GLENMORE AVENUE,45,5.6,2018-05-07T00:00:00.000,No,46.0,41.1,Missing,None,0.6,60.0,1116224,-1.5
"{'type': 'Point', 'coordinates': [-73.9663951025081, 40.60963658407752]}",2558,AVENUE P,2,7.3,2018-04-23T00:00:00.000,No,62.5,45.1,Good Condition,None,1.9,60.0,1130830,-0.8
"{'type': 'Point', 'coordinates': [-73.99258290622856, 40.64163299710088]}",2456,FT HAMILTON PARKWAY,2,6.9,2018-04-18T00:00:00.000,Yes,54.5,50.6,Good Condition,None,0.7,60.0,1128542,-1.3
"{'type': 'Point', 'coordinates': [-73.8221976886217, 40.84635004478773]}",5205,KENNELWORTH PLACE,43,7.9,2018-05-28T00:00:00.000,No,56.1,58.2,Missing,None,0.5,60.0,1018783,-0.7
"{'type': 'Point', 'coordinates': [-73.89115692467045, 40.81814325741446]}",700,BARRETTO STREET,8,10.5,2018-03-27T00:00:00.000,No,55.4,52.8,Missing,None,1.1,58.5,1005522,-0.6
"{'type': 'Point', 'coordinates': [-73.94696895276797, 40.65270353999369]}",5010,LINDEN BOULEVARD,61,6.4,2018-04-17T00:00:00.000,No,52.8,38.4,Missing,None,0.4,60.0,1120018,4.5
"{'type': 'Point', 'coordinates': [-74.00782214968648, 40.62326014755]}",26087,12 AVENUE,10,2.0,2018-04-21T00:00:00.000,No,65.3,52.1,Missing,None,1.2,52.3,1137681,-1.7
"{'type': 'Point', 'coordinates': [-73.82565607840667, 40.68136167018874]}",20816,115 STREET,62,4.7,2018-04-24T00:00:00.000,No,62.4,45.2,Good Condition,Utility access,0.4,54.0,1045071,0.8
"{'type': 'Point', 'coordinates': [-73.89990660942503, 40.73482424319886]}",19761,MAURICE AVENUE,54,6.6,2018-05-08T00:00:00.000,No,59.1,64.4,Missing,None,0.7,58.9,1033059,-0.1
"{'type': 'Point', 'coordinates': [-74.14013910678375, 40.5717068593747]}",9582,MC KINLEY AVENUE,15,8.6,2018-03-16T00:00:00.000,No,42.9,43.0,Missing,None,0.1,47.4,1151387,-1.8
"{'type': 'Point', 'coordinates': [-73.84691570756522, 40.69889483670896]}",20235,PARK LANE SOUTH,38,11.2,2018-08-24T00:00:00.000,No,64.7,48.7,Good Condition,None,1.4,60.0,1041084,-0.5
"{'type': 'Point', 'coordinates': [-73.95648391584307, 40.59458808617075]}",3647,EAST 14 STREET,32,7.7,2019-08-15T00:00:00.000,No,47.04,48.0,Good Condition,Wooden Utility Pole,0.0,48.0,1133591,0.5
"{'type': 'Point', 'coordinates': [-73.88956276069823, 40.82508717825853]}",760,FAILE STREET,8,5.1,2018-03-20T00:00:00.000,No,69.3,52.5,Missing,None,0.3,60.0,1005982,1.9
"{'type': 'Point', 'coordinates': [-73.99460505810536, 40.70005683416911]}",14874,WILLOW STREET,68,8.1,2018-04-23T00:00:00.000,No,43.6,52.3,Missing,None,0.7,49.0,1106955,4.9
"{'type': 'Point', 'coordinates': [-73.8803243181732, 40.74591209600408]}",32079,BRITTON AVENUE,66,7.5,2018-04-07T00:00:00.000,No,54.7,48.8,Missing,None,0.4,60.0,1025252,-0.4
"{'type': 'Point', 'coordinates': [-73.98793498811217, 40.603973476137604]}",32225,80 STREET,1,6.7,2018-05-23T00:00:00.000,No,57.3,54.1,Good Condition,None,1.0,41.9,1136215,1.5
"{'type': 'Point', 'coordinates': [-73.80851938326116, 40.76120305349302]}",12789,157 STREET,22,4.4,2018-04-18T00:00:00.000,No,66.1,50.5,Missing,None,0.4,60.0,1059315,-3.5
"{'type': 'Point', 'coordinates': [-74.14944723005519, 40.538438472563584]}",15114,HYLAN BOULEVARD,15,9.4,2018-04-30T00:00:00.000,No,59.0,51.0,Good Condition,None,1.1,37.9,1149600,-2.0
"{'type': 'Point', 'coordinates': [-74.00377401815079, 40.72002754715024]}",23887,LISPENARD STREET,56,2.2,2018-05-28T00:00:00.000,No,48.9,49.5,Missing,None,0.4,60.0,1087510,2.4
"{'type': 'Point', 'coordinates': [-73.83836222474429, 40.7011301748983]}",20657,85 AVENUE,46,4.7,2018-04-23T00:00:00.000,No,65.4,46.1,Good Condition,None,0.8,60.0,1041190,0.5
"{'type': 'Point', 'coordinates': [-73.85972048958703, 40.828594302006174]}",4626,VIRGINIA AVENUE,58,5.3,2018-05-23T00:00:00.000,No,58.2,48.0,Good Condition,None,1.1,60.0,1016352,-3.6
"{'type': 'Point', 'coordinates': [-73.79365646335734, 40.78409257160423]}",17373,200 STREET,22,6.6,2018-04-26T00:00:00.000,No,36.2,48.9,Missing,None,1.1,60.0,1058237,1.7
"{'type': 'Point', 'coordinates': [-73.96615065690644, 40.59449373794788]}",30800,EAST 5 STREET,32,5.3,2018-05-29T00:00:00.000,No,51.4,50.5,Missing,None,0.6,60.0,1134847,1.7
"{'type': 'Point', 'coordinates': [-74.00026821561924, 40.57305766796406]}",30817,SURF AVENUE,21,2.9,2018-05-26T00:00:00.000,No,54.2,48.1,Missing,None,0.6,60.0,1133973,3.4
"{'type': 'Point', 'coordinates': [-73.82016020101561, 40.821893329686766]}",4233,DEWEY AVENUE,43,3.2,2018-05-29T00:00:00.000,No,59.6,50.9,Missing,None,0.6,31.1,1097405,-1.4
"{'type': 'Point', 'coordinates': [-74.00413059064398, 40.64404023477215]}",28698,47 STREET,9,2.2,2018-04-18T00:00:00.000,Yes,51.6,67.1,Missing,None,1.0,60.0,1128310,-0.2
"{'type': 'Point', 'coordinates': [-74.1702098055069, 40.553117918941815]}",34407,WAINWRIGHT AVENUE,15,4.5,2018-05-02T00:00:00.000,No,51.4,46.8,Good Condition,None,0.5,46.1,1156883,-0.9
"{'type': 'Point', 'coordinates': [-73.84922505922667, 40.847079564878115]}",7183,WILLIAMSBRIDGE ROAD,59,10.2,2018-04-11T00:00:00.000,No,43.0,46.6,Good Condition,None,2.1,60.0,1019640,-1.1
"{'type': 'Point', 'coordinates': [-73.8967629725705, 40.82203388144189]}",372,INTERVALE AVENUE,8,10.0,2018-04-10T00:00:00.000,Yes,45.6,65.5,Good Condition,None,0.8,60.0,1005740,0.3
"{'type': 'Point', 'coordinates': [-73.95714047085161, 40.777532358819045]}",7948,LEXINGTON AVENUE,23,5.9,2018-04-07T00:00:00.000,No,59.2,35.3,Missing,None,0.9,60.0,1093199,2.3
"{'type': 'Point', 'coordinates': [-73.87082622061976, 40.758920796483814]}",28401,98 STREET,65,13.7,2018-04-06T00:00:00.000,No,63.5,52.6,Missing,None,0.5,59.6,1028038,0.8
"{'type': 'Point', 'coordinates': [-73.91136838401184, 40.60665006847433]}",4396,56 DRIVE,5,3.3,2018-05-08T00:00:00.000,No,59.7,46.5,Good Condition,None,0.6,57.6,1124579,1.4
"{'type': 'Point', 'coordinates': [-73.97235313120561, 40.69612768367128]}",14979,BROOKLYN QUEENS EXPRESSWAY,68,3.7,2018-04-18T00:00:00.000,No,62.8,50.3,Defective,None,1.3,60.0,1107111,1.3
"{'type': 'Point', 'coordinates': [-73.96926885459575, 40.696009370142406]}",14819,PARK AVENUE,68,6.9,2018-04-18T00:00:00.000,No,59.1,53.9,Good Condition,None,1.0,60.0,1106422,1.0
"{'type': 'Point', 'coordinates': [-73.81596783780527, 40.70237201240049]}",26721,VAN WYCK EXPRESSWAY,41,5.4,2018-04-15T00:00:00.000,No,54.3,56.0,Good Condition,None,0.8,60.0,1168848,1.8
"{'type': 'Point', 'coordinates': [-74.1751393280539, 40.5467909724189]}",18068,ANNADALE ROAD,15,12.4,2018-05-02T00:00:00.000,No,42.8,64.7,Good Condition,None,0.3,60.0,1146272,-1.9
"{'type': 'Point', 'coordinates': [-73.88670618741475, 40.81198062193243]}",346,COSTER STREET,8,1.6,2018-03-27T00:00:00.000,Yes,60.7,56.0,Missing,None,0.4,60.0,1005251,0.9
"{'type': 'Point', 'coordinates': [-73.82239935215185, 40.828354907738536]}",5511,EDISON AVENUE,43,5.4,2018-05-26T00:00:00.000,No,56.6,51.3,Missing,None,0.6,60.0,1003750,1.0
"{'type': 'Point', 'coordinates': [-73.92665721737627, 40.81624073621962]}",55,EAST 144 STREET,49,11.6,2018-03-26T00:00:00.000,No,59.0,54.0,Missing,None,0.4,33.4,1004868,-9.1
"{'type': 'Point', 'coordinates': [-73.81397419112895, 40.76504786658695]}",15686,150 PLACE,22,5.7,2018-04-18T00:00:00.000,No,73.5,65.6,Good Condition,None,0.7,60.0,1059830,-2.9
"{'type': 'Point', 'coordinates': [-73.78666103901055, 40.69306535562781]}",20053,164 PLACE,41,9.0,2018-04-29T00:00:00.000,No,49.9,43.8,Missing,None,0.6,49.6,1142998,-0.6
"{'type': 'Point', 'coordinates': [-73.97341446807049, 40.74790434399097]}",9622,2 AVENUE,71,9.6,2018-04-29T00:00:00.000,No,55.6,45.8,Missing,None,0.3,60.0,1090299,0.4
"{'type': 'Point', 'coordinates': [-73.79139810904663, 40.78068758162575]}",22270,202 STREET,22,10.8,2018-04-26T00:00:00.000,No,59.6,59.0,Good Condition,None,0.7,60.0,1058998,-3.0
"{'type': 'Point', 'coordinates': [-73.9477377402475, 40.661661043041974]}",5431,EAST NEW YORK AVENUE,17,13.3,2018-04-13T00:00:00.000,No,53.6,48.0,Missing,None,0.5,60.0,1118552,-1.3
"{'type': 'Point', 'coordinates': [-73.97919108949027, 40.77663290983288]}",8820,COLUMBUS AVENUE,20,5.3,2018-04-08T00:00:00.000,No,40.3,54.0,Good Condition,None,1.1,60.0,1091787,-2.7
"{'type': 'Point', 'coordinates': [-73.88165849611244, 40.8073822682388]}",1168,WHITTIER STREET,8,4.3,2018-03-27T00:00:00.000,No,56.3,52.2,Missing,None,0.6,60.0,1005230,0.5
"{'type': 'Point', 'coordinates': [-73.85758584571485, 40.85269140606204]}",7134,HONE AVENUE,59,6.4,2018-04-11T00:00:00.000,No,52.3,45.7,Missing,None,0.4,58.1,1019505,0.1
"{'type': 'Point', 'coordinates': [-73.81117164115597, 40.786434135846456]}",15897,15 DRIVE,22,8.6,2018-04-15T00:00:00.000,No,59.4,47.3,Good Condition,None,0.9,60.0,1060260,-0.6
"{'type': 'Point', 'coordinates': [-73.96734182359447, 40.792882197031915]}",8787,WEST 96 STREET,20,5.3,2018-04-10T00:00:00.000,No,59.0,59.2,Missing,None,0.9,60.0,1091962,2.1
"{'type': 'Point', 'coordinates': [-73.80232695984053, 40.720858327879455]}",25941,81 AVENUE,25,5.6,2018-04-18T00:00:00.000,No,41.0,42.4,Missing,None,1.0,30.7,1069878,-2.5
"{'type': 'Point', 'coordinates': [-74.1690147128804, 40.546803904570986]}",36686,WAINWRIGHT AVENUE,15,6.4,2018-05-02T00:00:00.000,No,42.7,52.2,Missing,None,0.2,48.2,1156918,-1.6
"{'type': 'Point', 'coordinates': [-74.13643510248176, 40.56789497056236]}",10938,THOMAS STREET,15,13.3,2018-03-16T00:00:00.000,No,40.9,32.8,Good Condition,None,1.5,35.2,1151366,3.4
"{'type': 'Point', 'coordinates': [-73.71566536126316, 40.743793011780525]}",29489,255 STREET,63,15.3,2018-05-30T00:00:00.000,No,54.2,57.8,Missing,None,0.5,59.1,1079299,3.2
"{'type': 'Point', 'coordinates': [-73.87006588408353, 40.748400256203595]}",32259,WARREN STREET,66,13.2,2018-04-07T00:00:00.000,Yes,54.7,56.4,Missing,None,0.3,60.0,1025168,-0.5
"{'type': 'Point', 'coordinates': [-73.80895758249954, 40.67110574098672]}",27938,130 STREET,62,9.6,2018-05-12T00:00:00.000,No,54.8,81.6,Missing,None,0.6,60.0,1045762,1.7
"{'type': 'Point', 'coordinates': [-73.8999534470512, 40.81945446712684]}",34697,EAST 161 STREET,8,3.8,2018-03-20T00:00:00.000,No,50.4,49.2,Good Condition,None,1.1,60.0,1005768,2.4
"{'type': 'Point', 'coordinates': [-73.99425182471396, 40.60490407058762]}",29599,83 STREET,1,6.6,2018-05-23T00:00:00.000,No,47.8,44.8,Missing,None,0.9,60.0,1136397,0.3
"{'type': 'Point', 'coordinates': [-74.15032282138301, 40.56883236113826]}",9863,NEWVALE AVENUE,15,11.1,2018-03-15T00:00:00.000,No,44.0,25.9,Missing,None,0.5,16.4,1152698,-0.1
"{'type': 'Point', 'coordinates': [-73.99230101881614, 40.61388452713266]}",34648,72 STREET,1,7.2,2018-05-21T00:00:00.000,No,50.8,42.8,Missing,None,0.8,60.0,1136420,-2.9
"{'type': 'Point', 'coordinates': [-73.86273191648677, 40.71971933650028]}",24209,65 DRIVE,40,4.8,2018-05-15T00:00:00.000,Yes,52.1,72.5,Missing,None,0.3,20.2,1035089,0.8
"{'type': 'Point', 'coordinates': [-73.85020466039678, 40.71137031202914]}",22753,NANSEN STREET,40,6.3,2018-05-10T00:00:00.000,No,47.1,60.1,Missing,None,1.0,60.0,1034562,0.6
"{'type': 'Point', 'coordinates': [-73.7786760065906, 40.732261847160295]}",25954,193 STREET,25,2.9,2018-04-13T00:00:00.000,No,48.9,53.6,Missing,None,0.7,60.0,1067760,-1.7
"{'type': 'Point', 'coordinates': [-73.9419828881681, 40.59589921335518]}",5880,EAST 29 STREET,32,8.5,2018-05-10T00:00:00.000,No,54.1,47.1,Good Condition,None,1.0,29.8,1131822,0.9
"{'type': 'Point', 'coordinates': [-73.87940301989386, 40.72237290495365]}",23171,78 STREET,54,3.4,2018-05-15T00:00:00.000,No,60.0,47.8,Defective,None,0.7,9.7,1029358,-0.5
"{'type': 'Point', 'coordinates': [-73.90543170653538, 40.81543555191576]}",869,EAST 152 STREET,49,0.6,2018-03-25T00:00:00.000,No,60.4,49.0,Good Condition,None,0.5,60.0,1004993,-1.1
"{'type': 'Point', 'coordinates': [-73.9878910592602, 40.64242243709398]}",3019,12 AVENUE,2,2.1,2018-04-18T00:00:00.000,No,52.5,46.2,Missing,None,0.5,60.0,1128651,0.9
"{'type': 'Point', 'coordinates': [-74.00774370993506, 40.6371043990518]}",31864,8 AVENUE,2,888.0,2018-09-04T00:00:00.000,Yes,57.2,45.2,Good Condition,None,888.0,888.0,1129092,888.0
"{'type': 'Point', 'coordinates': [-74.19519140225852, 40.51986727412054]}",19057,HYLAN BOULEVARD,15,3.1,2018-04-30T00:00:00.000,Yes,54.6,51.2,Good Condition,None,0.4,51.3,1147242,-3.0
"{'type': 'Point', 'coordinates': [-73.92855876525232, 40.80986383366244]}",16,EAST 136 STREET,49,16.6,2018-03-29T00:00:00.000,No,52.4,50.0,Missing,None,0.9,60.0,1021842,-0.2
"{'type': 'Point', 'coordinates': [-73.98223686596562, 40.751462209195005]}",9458,5 AVENUE,11,9.7,2018-05-01T00:00:00.000,Yes,49.7,47.2,Missing,None,1.8,60.0,1089691,0.6
"{'type': 'Point', 'coordinates': [-73.80696172479101, 40.69396671943881]}",36041,PRINCETON STREET,41,3.3,2018-04-26T00:00:00.000,No,64.6,48.6,Missing,None,0.7,60.0,1053008,1.2
"{'type': 'Point', 'coordinates': [-73.89063323638338, 40.702270455557915]}",23017,CENTRAL AVENUE,54,6.7,2018-05-10T00:00:00.000,No,56.5,47.0,Missing,None,0.9,60.0,1030159,0.2
"{'type': 'Point', 'coordinates': [-73.73953057253088, 40.73717076869841]}",18924,UNION TURNPIKE,63,11.7,2018-04-29T00:00:00.000,No,57.2,73.1,Missing,None,1.0,52.5,1080102,6.8
"{'type': 'Point', 'coordinates': [-73.98213631888964, 40.686758298005685]}",18138,NEVINS STREET,68,6.8,2018-04-18T00:00:00.000,No,55.1,49.1,Missing,None,0.6,60.0,1107882,-2.5
"{'type': 'Point', 'coordinates': [-74.12992281886446, 40.57587603336975]}",10294,MC CULLY AVENUE,30,5.9,2018-03-17T00:00:00.000,No,47.7,48.6,Missing,None,0.7,60.0,1147745,1.8
"{'type': 'Point', 'coordinates': [-73.90421358572696, 40.6190257320879]}",5141,EAST 73 STREET,5,5.1,2018-05-08T00:00:00.000,Yes,52.6,47.9,Missing,None,0.5,37.9,1123604,-1.1
"{'type': 'Point', 'coordinates': [-73.83278724653691, 40.76667371865372]}",21117,FARRINGTON STREET,22,14.9,2018-08-29T00:00:00.000,Yes,43.5,49.7,Good Condition,None,1.0,60.0,1140942,2.8
"{'type': 'Point', 'coordinates': [-73.93111573084282, 40.77149645146103]}",21935,30 AVENUE,39,2.0,2018-03-16T00:00:00.000,No,61.8,48.3,Missing,None,0.9,60.0,1039609,-4.4
"{'type': 'Point', 'coordinates': [-73.87130050049254, 40.73941681394744]}",28593,92 STREET,66,11.5,2018-05-08T00:00:00.000,No,38.7,36.9,Missing,None,0.3,60.0,1025981,-1.7
"{'type': 'Point', 'coordinates': [-73.80082251841634, 40.76925823003071]}",10498,32 AVENUE,22,6.6,2018-04-21T00:00:00.000,No,41.8,48.1,Good Condition,None,0.9,60.0,1059201,-0.5
"{'type': 'Point', 'coordinates': [-73.89916531109822, 40.67003648109681]}",11739,WILLIAMS AVENUE,45,4.0,2018-05-07T00:00:00.000,Yes,61.7,57.6,Good Condition,None,0.3,60.0,1117293,-2.3
"{'type': 'Point', 'coordinates': [-74.14938764845525, 40.630266789033776]}",19324,DAVID PLACE,4,8.9,2018-04-11T00:00:00.000,No,59.5,83.4,Missing,None,0.9,56.3,1145690,-0.5
"{'type': 'Point', 'coordinates': [-73.9906273515825, 40.57846100376659]}",34812,NEPTUNE AVENUE,21,5.4,2018-05-26T00:00:00.000,No,60.6,47.3,Good Condition,None,0.9,60.0,1133899,-2.8
"{'type': 'Point', 'coordinates': [-74.1416527414008, 40.574467813991994]}",10916,ST GEORGE ROAD,30,25.3,2018-03-16T00:00:00.000,No,49.3,57.1,Missing,None,0.4,60.0,1148287,0.4
"{'type': 'Point', 'coordinates': [-73.95228407118123, 40.78385079642463]}",8219,LEXINGTON AVENUE,23,4.0,2018-04-07T00:00:00.000,No,50.4,33.4,Missing,None,0.6,60.0,1093050,3.6
"{'type': 'Point', 'coordinates': [-73.9873778016142, 40.595370826633264]}",32078,BENSON AVENUE,1,5.4,2018-05-23T00:00:00.000,Yes,52.1,43.8,Missing,None,0.3,60.0,1136101,-2.3
"{'type': 'Point', 'coordinates': [-73.96914531973347, 40.62424126392937]}",2605,EAST 7 STREET,2,2.1,2018-04-21T00:00:00.000,No,46.8,49.7,Missing,None,0.4,60.0,1130220,-3.5
"{'type': 'Point', 'coordinates': [-73.71075095643037, 40.73883470786023]}",28462,258 STREET,63,10.9,2018-05-26T00:00:00.000,No,53.7,58.1,Missing,None,0.7,42.4,1078973,4.4
"{'type': 'Point', 'coordinates': [-74.00922615610905, 40.60838339857138]}",24025,BENSON AVENUE,1,3.6,2018-04-22T00:00:00.000,No,46.4,58.6,Missing,None,0.8,60.0,1136888,-1.0
"{'type': 'Point', 'coordinates': [-73.89210941519066, 40.81280120765694]}",623,TRUXTON STREET,8,6.5,2018-03-27T00:00:00.000,No,49.5,44.9,Missing,None,0.4,31.3,1005332,5.3
"{'type': 'Point', 'coordinates': [-73.96270961522521, 40.647050449147066]}",3027,EAST 18 STREET,60,1.9,2018-04-20T00:00:00.000,No,59.4,51.1,Good Condition,None,0.6,60.0,1126016,-0.5
"{'type': 'Point', 'coordinates': [-73.91777965571158, 40.840349743247025]}",30254,WEST 170 STREET,50,12.2,2018-04-05T00:00:00.000,No,47.7,44.0,Missing,None,0.6,60.0,1024149,-3.6
