the_geom,:@computed_region_yeji_bk3q,:@computed_region_efsh_h5xi,ramp_cross_slope,stname2,ramp_onstr,ramp_length
"{'type': 'Point', 'coordinates': [-74.09803557748529, 40.59031144343696]}",1,10691.0,2.7,JEFFERSON STREET,GARRETSON AVENUE,-4.5
"{'type': 'Point', 'coordinates': [-73.92665721737627, 40.81624073621962]}",5,10929.0,-8.7,PARK AVENUE,PARK AVENUE,-36.8
"{'type': 'Point', 'coordinates': [-73.90194027801074, 40.75746521936973]}",3,14787.0,-3.7,61 STREET,61 STREET,-15.6
"{'type': 'Point', 'coordinates': [-73.91370957284062, 40.80684140687001]}",5,10932.0,5.6,EAST 140 STREET,CYPRESS AVENUE,-7.2
"{'type': 'Point', 'coordinates': [-73.86054205704379, 40.747765110444284]}",3,14510.0,-0.8,43 AVENUE,104 STREET,-8.0
"{'type': 'Point', 'coordinates': [-73.81693283200129, 40.707944078845024]}",3,24670.0,-7.7,139 STREET,86 AVENUE,-11.3
"{'type': 'Point', 'coordinates': [-73.98171043427523, 40.687355308528005]}",2,17619.0,-1.1,NEVINS STREET,SCHERMERHORN STREET,-8.7
"{'type': 'Point', 'coordinates': [-74.00532466805923, 40.719845874677475]}",4,12076.0,-0.5,WALKER STREET,WALKER STREET,-15.9
"{'type': 'Point', 'coordinates': [-74.19646933177833, 40.54107539235431]}",1,10699.0,0.0,SHELDON AVENUE,HUGUENOT AVENUE,-10.3
"{'type': 'Point', 'coordinates': [-73.94299703231664, 40.60037345875706]}",2,13512.0,0.8,EAST 29 STREET,AVENUE U,-34.6
"{'type': 'Point', 'coordinates': [-73.83707765349494, 40.68202270915938]}",3,24013.0,1.2,LIBERTY AVENUE,LIBERTY AVENUE,-8.6
"{'type': 'Point', 'coordinates': [-73.94173924571736, 40.5937434147131]}",2,13512.0,1.9,EAST 29 STREET,AVENUE X,-2.2
"{'type': 'Point', 'coordinates': [-73.80851938326116, 40.76120305349302]}",3,14190.0,-0.7,SANFORD AVENUE,157 STREET,-16.0
"{'type': 'Point', 'coordinates': [-73.89990660942503, 40.73482424319886]}",3,14787.0,0.7,65 PLACE,MAURICE AVENUE,-11.0
"{'type': 'Point', 'coordinates': [-73.86594773511999, 40.742112107203916]}",3,14510.0,-2.7,50 AVENUE,50 AVENUE,-23.6
"{'type': 'Point', 'coordinates': [-73.88339984524936, 40.75566236531524]}",3,14783.0,-1.7,NORTHERN BOULEVARD,NORTHERN BOULEVARD,-26.8
"{'type': 'Point', 'coordinates': [-73.97341446807049, 40.74790434399097]}",4,12078.0,-2.3,EAST 39 STREET,EAST 39 STREET,-9.8
"{'type': 'Point', 'coordinates': [-73.96270961522521, 40.647050449147066]}",2,13510.0,1.8,ALBEMARLE ROAD,ALBEMARLE ROAD,-8.7
"{'type': 'Point', 'coordinates': [-73.91777965571158, 40.840349743247025]}",5,10930.0,-3.8,JEROME AVENUE,WEST 170 STREET,-23.9
"{'type': 'Point', 'coordinates': [-73.96914531973347, 40.62424126392937]}",2,13513.0,-3.2,AVENUE J,EAST 7 STREET,-10.7
"{'type': 'Point', 'coordinates': [-73.98844121309249, 40.746699531465005]}",4,11722.0,999.0,BROADWAY,WEST 30 STREET,999.0
"{'type': 'Point', 'coordinates': [-73.88165849611244, 40.8073822682388]}",5,12343.0,2.0,VIELE AVENUE,WHITTIER STREET,-4.3
"{'type': 'Point', 'coordinates': [-73.94368776312857, 40.82019561100499]}",4,12427.0,2.0,WEST 141 STREET,WEST 141 STREET,-12.8
"{'type': 'Point', 'coordinates': [-74.17272807510528, 40.545567756563635]}",1,10699.0,-2.3,POMPEY AVENUE,RYE AVENUE,-28.7
