fy,nonhispanic_latino_male_asian,function_description,nonhispanic_latino_female_4,total,nonhispanic_latino_male_2
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,60,
2021,1.0,FIRE PROTECTION,,13,
2021,29.0,POLICE PROTECTION,2.0,322,3.0
2021,15.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3.0,622,3.0
2021,,POLICE PROTECTION,,23,
2021,5.0,POLICE PROTECTION,2.0,67,1.0
2021,814.0,PUBLIC WELFARE,212.0,21050,71.0
2021,500.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,29.0,4019,29.0
2021,1.0,PUBLIC WELFARE,,12,
2021,3.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1.0,37,1.0
2021,4.0,POLICE PROTECTION,,32,1.0
2021,,PUBLIC WELFARE,2.0,61,
2021,8.0,POLICE PROTECTION,1.0,255,1.0
2021,5.0,"NATURAL RESOURCES, PARKS AND RECREATION",1.0,127,2.0
2021,12.0,PUBLIC WELFARE,3.0,533,3.0
2021,1.0,PUBLIC WELFARE,,3,
2021,1.0,POLICE PROTECTION,,116,
2021,4330.0,POLICE PROTECTION,116.0,48754,124.0
2021,16.0,PUBLIC WELFARE,9.0,919,4.0
2021,,FIRE PROTECTION,,1,
2021,40.0,PUBLIC WELFARE,5.0,673,6.0
2021,57.0,PUBLIC WELFARE,10.0,1196,4.0
2021,1.0,PUBLIC WELFARE,,35,
2021,1.0,POLICE PROTECTION,,16,
2021,34.0,FIRE PROTECTION,2.0,2684,15.0
2021,,FIRE PROTECTION,,20,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,11,
2021,,POLICE PROTECTION,,4,
2021,,FIRE PROTECTION,,1,
2021,7.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,6.0,257,
2021,10.0,FIRE PROTECTION,2.0,221,6.0
2021,28.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,13.0,912,4.0
2021,967.0,POLICE PROTECTION,12.0,8845,21.0
2021,38.0,POLICE PROTECTION,21.0,1166,5.0
2021,270.0,PUBLIC WELFARE,33.0,3930,13.0
2021,907.0,POLICE PROTECTION,16.0,5347,10.0
2021,82.0,POLICE PROTECTION,4.0,836,7.0
2021,2.0,POLICE PROTECTION,,35,1.0
2021,,PUBLIC WELFARE,,2,
2021,2.0,FIRE PROTECTION,0.0,43,1.0
2021,6.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,51,1.0
2021,,POLICE PROTECTION,1.0,13,
2021,,"NATURAL RESOURCES, PARKS AND RECREATION",,3,
2021,5.0,PUBLIC WELFARE,1.0,224,3.0
2021,1.0,"NATURAL RESOURCES, PARKS AND RECREATION",,21,1.0
2021,4.0,FIRE PROTECTION,,25,
2021,3.0,FIRE PROTECTION,,14,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,2,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,1,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,32,
2021,10.0,"NATURAL RESOURCES, PARKS AND RECREATION",3.0,191,2.0
2021,4.0,POLICE PROTECTION,,27,
2021,2.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,18,
2021,,POLICE PROTECTION,,7,
2021,6.0,POLICE PROTECTION,,24,
2021,8.0,POLICE PROTECTION,,44,
2021,1.0,POLICE PROTECTION,,6,
2021,,"NATURAL RESOURCES, PARKS AND RECREATION",,3,
2021,105.0,PUBLIC WELFARE,45.0,4243,10.0
2021,13.0,PUBLIC WELFARE,4.0,319,1.0
2021,1.0,FIRE PROTECTION,,2,
2021,5.0,PUBLIC WELFARE,,252,
2021,2.0,PUBLIC WELFARE,1.0,44,
2021,4.0,FIRE PROTECTION,,8,
2021,15.0,PUBLIC WELFARE,6.0,792,4.0
2021,8.0,PUBLIC WELFARE,6.0,297,2.0
2021,43.0,POLICE PROTECTION,15.0,1967,1.0
2021,1.0,POLICE PROTECTION,,69,
2021,10.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3.0,366,1.0
2021,29.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,5.0,328,3.0
2021,1.0,FIRE PROTECTION,,24,
2021,,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,,2,
2021,6.0,PUBLIC WELFARE,,91,1.0
2021,66.0,FIRE PROTECTION,8.0,1835,11.0
2021,1.0,POLICE PROTECTION,,42,
2021,3.0,POLICE PROTECTION,,22,1.0
2021,33.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,11.0,785,2.0
2021,37.0,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,8.0,681,11.0
2021,611.0,FIRE PROTECTION,34.0,16956,120.0
2021,1.0,POLICE PROTECTION,,9,
