nonhispanic_latino_female_3,nonhispanic_latino_male_black,salary_band,hispanic_latino_male,nonhispanic_latino_female_2,job_category
4.0,56.0,43.0-54.9,33.0,1.0,ADMIN SUPPORT
,4.0,33.0-42.9,3.0,,TECHNICIANS
,22.0,25.0-32.9,9.0,,SERV/MAINT
79.0,3311.0,,1099.0,7.0,TOTAL FULL TIME
1.0,346.0,70.0 PLUS,255.0,2.0,PROFESSIONALS
,2.0,55.0-69.9,1.0,,OFFICIAL/ADM
,3.0,33.0-42.9,1.0,,TECHNICIANS
,9.0,43.0-54.9,7.0,,SKILLED CRAFT
,4.0,70.0 PLUS,1.0,,ADMIN SUPPORT
,35.0,33.0-42.9,33.0,,SERV/MAINT
,18.0,55.0-69.9,25.0,1.0,PROTECT/SRVCS
1.0,142.0,55.0-69.9,25.0,,TECHNICIANS
,,,,,PARA-PROF
3.0,6.0,70.0 PLUS,,,ADMIN SUPPORT
182.0,5064.0,,8487.0,6.0,TOTAL FULL TIME
4.0,108.0,43.0-54.9,25.0,,ADMIN SUPPORT
,,,,,PARA-PROF
3.0,217.0,,80.0,0.0,TOTAL NEW HIRES
7.0,153.0,70.0 PLUS,56.0,,OFFICIAL/ADM
,7.0,70.0 PLUS,5.0,,PROTECT/SRVCS
,2.0,,3.0,,TECHNICIANS
,65.0,70.0 PLUS,158.0,,OFFICIAL/ADM
1.0,1.0,43.0-54.9,2.0,,PARA-PROF
,4.0,,4.0,,SERV/MAINT
,,25.0-32.9,,,TECHNICIANS
,1.0,33.0-42.9,,,SERV/MAINT
3.0,43.0,,31.0,9.0,ADMIN SUPPORT
,16.0,,57.0,,TECHNICIANS
4.0,104.0,33.0-42.9,58.0,1.0,ADMIN SUPPORT
92.0,1093.0,43.0-54.9,1359.0,,PROTECT/SRVCS
6.0,52.0,33.0-42.9,40.0,,ADMIN SUPPORT
9.0,511.0,70.0 PLUS,165.0,1.0,PROFESSIONALS
1.0,598.0,33.0-42.9,856.0,1.0,PROTECT/SRVCS
,49.0,70.0 PLUS,51.0,,PROFESSIONALS
,1.0,,4.0,,OFFICIAL/ADM
,1.0,,,,SERV/MAINT
0.0,3.0,,0.0,0.0,TOTAL OTHER THAN F-T
,14.0,33.0-42.9,10.0,,PROTECT/SRVCS
,1.0,,4.0,,PROFESSIONALS
,2.0,55.0-69.9,,,TECHNICIANS
,24.0,70.0 PLUS,18.0,,PARA-PROF
,5.0,55.0-69.9,2.0,,OFFICIAL/ADM
,2.0,,1.0,,OFFICIAL/ADM
,2.0,,2.0,,SKILLED CRAFT
,,,,,SKILLED CRAFT
,1.0,43.0-54.9,,,SKILLED CRAFT
,13.0,55.0-69.9,9.0,,SERV/MAINT
1.0,38.0,55.0-69.9,15.0,,PROFESSIONALS
,6.0,70.0 PLUS,5.0,,SERV/MAINT
,,33.0-42.9,4.0,,PROFESSIONALS
,1.0,70.0 PLUS,,,TECHNICIANS
1.0,4.0,55.0-69.9,,,OFFICIAL/ADM
,11.0,55.0-69.9,10.0,,SKILLED CRAFT
,,25.0-32.9,,,PARA-PROF
,2.0,43.0-54.9,1.0,,TECHNICIANS
21.0,528.0,55.0-69.9,168.0,2.0,PROFESSIONALS
,105.0,33.0-42.9,43.0,,PROTECT/SRVCS
,,33.0-42.9,,,PROFESSIONALS
1.0,94.0,43.0-54.9,27.0,1.0,PROTECT/SRVCS
,4.0,,4.0,,OFFICIAL/ADM
,1.0,43.0-54.9,,,PROFESSIONALS
1.0,128.0,55.0-69.9,77.0,1.0,PARA-PROF
2.0,90.0,33.0-42.9,42.0,,PARA-PROF
22.0,102.0,43.0-54.9,33.0,1.0,ADMIN SUPPORT
,6.0,43.0-54.9,4.0,,PROFESSIONALS
,25.0,70.0 PLUS,23.0,,ADMIN SUPPORT
3.0,28.0,,27.0,1.0,PARA-PROF
,6.0,33.0-42.9,2.0,,ADMIN SUPPORT
,,33.0-42.9,,,SKILLED CRAFT
,46.0,43.0-54.9,13.0,,SERV/MAINT
2.0,291.0,43.0-54.9,426.0,,TECHNICIANS
,1.0,55.0-69.9,1.0,1.0,TECHNICIANS
,6.0,33.0-42.9,9.0,,SKILLED CRAFT
2.0,91.0,55.0-69.9,88.0,,PARA-PROF
1.0,121.0,43.0-54.9,56.0,,TECHNICIANS
6.0,1667.0,,2624.0,2.0,TOTAL FULL TIME
,,43.0-54.9,,,PARA-PROF
