func_code,employment_status,non_hispanic_latino_female
3,3. NEW HIRES DURING FISCAL YEAR,3.0
3,1. FULL-TIME EMPLOYEES,39.0
5,1. FULL-TIME EMPLOYEES,20.0
5,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,2.0
5,1. FULL-TIME EMPLOYEES,20.0
4,3. NEW HIRES DURING FISCAL YEAR,174.0
1,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,341.0
4,2. OTHER THAN FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,954.0
1,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,15.0
4,3. NEW HIRES DURING FISCAL YEAR,6.0
1,1. FULL-TIME EMPLOYEES,
1,2. OTHER THAN FULL-TIME EMPLOYEES,
4,2. OTHER THAN FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,1.0
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,
1,3. NEW HIRES DURING FISCAL YEAR,8.0
4,2. OTHER THAN FULL-TIME EMPLOYEES,9.0
1,1. FULL-TIME EMPLOYEES,1.0
5,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,80.0
1,1. FULL-TIME EMPLOYEES,73.0
4,1. FULL-TIME EMPLOYEES,1.0
4,1. FULL-TIME EMPLOYEES,2.0
3,1. FULL-TIME EMPLOYEES,1533.0
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,1.0
1,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,4.0
4,1. FULL-TIME EMPLOYEES,14.0
6,1. FULL-TIME EMPLOYEES,14.0
3,1. FULL-TIME EMPLOYEES,13.0
3,2. OTHER THAN FULL-TIME EMPLOYEES,1.0
4,1. FULL-TIME EMPLOYEES,10.0
4,1. FULL-TIME EMPLOYEES,2883.0
3,1. FULL-TIME EMPLOYEES,61.0
5,3. NEW HIRES DURING FISCAL YEAR,1.0
3,3. NEW HIRES DURING FISCAL YEAR,52.0
3,1. FULL-TIME EMPLOYEES,195.0
3,1. FULL-TIME EMPLOYEES,1.0
4,3. NEW HIRES DURING FISCAL YEAR,1.0
5,1. FULL-TIME EMPLOYEES,35.0
5,1. FULL-TIME EMPLOYEES,3.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,
1,3. NEW HIRES DURING FISCAL YEAR,4.0
5,3. NEW HIRES DURING FISCAL YEAR,15.0
1,1. FULL-TIME EMPLOYEES,80.0
4,1. FULL-TIME EMPLOYEES,413.0
4,1. FULL-TIME EMPLOYEES,105.0
3,1. FULL-TIME EMPLOYEES,474.0
4,1. FULL-TIME EMPLOYEES,280.0
4,1. FULL-TIME EMPLOYEES,205.0
4,3. NEW HIRES DURING FISCAL YEAR,12.0
3,3. NEW HIRES DURING FISCAL YEAR,
5,2. OTHER THAN FULL-TIME EMPLOYEES,13.0
1,1. FULL-TIME EMPLOYEES,
4,2. OTHER THAN FULL-TIME EMPLOYEES,1.0
6,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,18.0
6,1. FULL-TIME EMPLOYEES,2.0
5,3. NEW HIRES DURING FISCAL YEAR,4.0
5,3. NEW HIRES DURING FISCAL YEAR,
1,2. OTHER THAN FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,28.0
4,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,1.0
4,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,
4,1. FULL-TIME EMPLOYEES,
6,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,245.0
3,1. FULL-TIME EMPLOYEES,1.0
5,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,2.0
3,3. NEW HIRES DURING FISCAL YEAR,13.0
5,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,45.0
3,1. FULL-TIME EMPLOYEES,4.0
4,1. FULL-TIME EMPLOYEES,184.0
4,1. FULL-TIME EMPLOYEES,15.0
1,1. FULL-TIME EMPLOYEES,79.0
1,2. OTHER THAN FULL-TIME EMPLOYEES,74.0
5,1. FULL-TIME EMPLOYEES,1.0
1,1. FULL-TIME EMPLOYEES,
3,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,142.0
4,1. FULL-TIME EMPLOYEES,2.0
4,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
1,1. FULL-TIME EMPLOYEES,
5,1. FULL-TIME EMPLOYEES,595.0
4,1. FULL-TIME EMPLOYEES,1.0
