math_level_3_1,math_l3_l4_1,ell_french,grade_6,ell_korean_1,male_1,ela_l3_l4,black,ela_test_takers,ela_level_1,school_name,black_1,ell_french_1,white_1,math_level_1_1,category,ela_level_3,hispanic,ell_urdu_1,ell_urdu,asian_1,year
s,s,,,,66.0%,s,s,13,s,The East Village Community School,s,,52.8%,s,Students with Disabilities,s,16,,,s,2017-18
31.2%,72.3%,,,,52.8%,158,26,253,38,P.S. 002 Meyer London,5.1%,,s,13.0%,Receive free or reduced price lunch,93,75,,,79.1%,2017-18
s,s,,,,44.4%,s,s,7,s,P.S. 001 Alfred E. Smith,s,,s,s,Students in temporary housing,s,9,,,s,2017-18
33.3%,68.8%,,,,67.6%,s,s,48,s,P.S. 040 Augustus Saint-Gaudens,s,,58.1%,s,Students with Disabilities,18,23,,,s,2017-18
s,s,,,,s,s,s,9,s,P.S. 006 Lillie D. Blake,s,,s,s,Attend school outside district of residence,s,s,,,s,2017-18
s,s,,s,,53.3%,s,7,14,9,"Technology, Arts, and Sciences Studio",46.7%,,s,76.9%,Students in temporary housing,s,8,,,s,2017-18
s,s,,,,69.0%,s,14,49,39,P.S. 020 Anna Silver,12.4%,,s,81.3%,Students with Disabilities,s,68,,,23.9%,2017-18
14.0%,88.4%,,27,,57.3%,95,13,105,s,"New Explorations into Science, Technology and Math",8.7%,,20.7%,s,Receive free or reduced price lunch,25,24,,,48.7%,2017-18
s,s,,,,82.2%,s,8,25,14,P.S. 110 Florence Nightingale,17.8%,,22.2%,64.0%,Students with Disabilities,s,23,,,s,2017-18
,,,,,s,,s,,,The Peck Slip School,s,,s,,Students in temporary housing,,s,,,s,2017-18
,,,,,s,,s,,,47 The American Sign Language and English Secondar,s,,s,,Receive free or reduced price lunch,,s,,,s,2017-18
14.9%,25.4%,,23,,70.3%,s,17,77,32,East Side Community School,18.7%,,16.5%,43.3%,Students with Disabilities,s,49,,,s,2017-18
25.6%,31.1%,,40,,57.6%,99,117,253,54,P.S. 188 The Island School,31.0%,,2.7%,31.1%,Receive free or reduced price lunch,82,243,,,s,2017-18
17.3%,30.2%,,,,45.8%,52,100,144,48,P.S. 033 Chelsea Prep,33.7%,,6.7%,51.8%,Receive free or reduced price lunch,32,135,,,11.4%,2017-18
,,,,,s,,s,,,47 The American Sign Language and English Secondar,s,,s,,Students with Disabilities,,s,,,s,2017-18
s,s,,,,s,s,s,s,s,P.S. 040 Augustus Saint-Gaudens,s,,s,s,Students in temporary housing,s,s,,,s,2017-18
25.5%,83.5%,,,,49.2%,199,8,241,6,P.S. 059 Beekman Hill International,1.3%,,60.9%,4.9%,All Students,90,64,,,17.8%,2017-18
,,s,,s,s,,s,,,47 The American Sign Language and English Secondar,s,s,s,,English Language Learners,,s,s,s,s,2017-18
s,s,,,,44.4%,s,9,30,s,P.S. 001 Alfred E. Smith,14.3%,,s,s,Attend school outside district of residence,s,14,,,58.7%,2017-18
s,s,,,,55.6%,s,39,41,s,Earth School,12.2%,,33.8%,54.8%,All Students,s,126,,,6.3%,2017-18
35.7%,51.8%,,,,51.7%,s,28,56,s,The STAR Academy - P.S.63,19.0%,,6.8%,21.4%,Receive free or reduced price lunch,23,98,,,s,2017-18
24.3%,77.0%,,74,,50.7%,205,17,309,35,P.S. 184m Shuang Wen,3.9%,,2.0%,8.6%,Receive free or reduced price lunch,112,58,,,79.5%,2017-18
26.2%,50.0%,,,,52.7%,40,41,87,15,P.S. 019 Asher Levy,22.0%,,s,32.1%,Receive free or reduced price lunch,28,121,,,8.1%,2017-18
30.4%,55.4%,,,,60.6%,26,s,55,8,P.S. 041 Greenwich Village,s,,66.7%,19.6%,Students with Disabilities,16,14,,,s,2017-18
18.8%,35.4%,,,,62.2%,s,19,47,13,P.S. 134 Henrietta Szold,25.7%,,s,43.8%,Attend school outside district of residence,s,36,,,18.9%,2017-18
24.5%,30.4%,,47,,57.5%,115,120,284,60,P.S. 188 The Island School,29.0%,,2.7%,31.8%,All Students,95,276,,,s,2017-18
,,,,,s,,s,,,47 The American Sign Language and English Secondar,s,,s,,All Students,,s,,,s,2017-18
s,s,,,,s,s,s,s,s,P.S. 041 Greenwich Village,s,,s,s,Students in temporary housing,s,s,,,s,2017-18
24.0%,84.0%,,,,51.7%,s,s,25,s,P.S. 040 Augustus Saint-Gaudens,s,,26.7%,s,Receive free or reduced price lunch,s,26,,,20.0%,2017-18
14.5%,29.0%,,,,73.6%,s,22,64,22,P.S. 011 William T. Harris,18.2%,,32.2%,54.8%,Students with Disabilities,s,43,,,s,2017-18
s,s,s,s,s,44.0%,s,s,14,9,P.S. 034 Franklin D. Roosevelt,s,s,s,88.2%,English Language Learners,s,24,s,s,s,2017-18
29.3%,52.0%,,,,48.0%,47,44,75,8,P.S. 015 Roberto Clemente,25.4%,,s,17.3%,All Students,33,104,,,9.8%,2017-18
s,s,,29,,54.0%,19,30,85,28,"Technology, Arts, and Sciences Studio",34.5%,,s,72.2%,Receive free or reduced price lunch,11,46,,,s,2017-18
s,s,s,,s,57.7%,s,s,13,s,P.S. 134 Henrietta Szold,s,s,s,64.3%,English Language Learners,s,11,s,s,46.2%,2017-18
31.7%,72.5%,,,,53.0%,165,27,265,39,P.S. 002 Meyer London,5.1%,,s,12.5%,All Students,95,77,,,79.2%,2017-18
33.8%,42.5%,,13,,60.2%,39,29,80,14,P.S. 188 The Island School,26.9%,,s,28.7%,Attend school outside district of residence,31,73,,,s,2017-18
s,s,s,,s,s,s,s,s,s,P.S. 110 Florence Nightingale,s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
s,s,s,,s,55.2%,s,s,12,6,P.S. 033 Chelsea Prep,s,s,s,72.7%,English Language Learners,s,16,s,s,24.1%,2017-18
17.0%,90.8%,,,,51.0%,274,13,304,s,P.S. 006 Lillie D. Blake,2.1%,,75.3%,s,All Students,118,41,,,14.0%,2017-18
s,s,,,,55.8%,48,38,120,25,P.S. 142 Amalia Castro,12.3%,,s,42.0%,All Students,41,256,,,2.3%,2017-18
36.1%,80.3%,,,,52.5%,36,s,60,8,P.S. 002 Meyer London,s,,s,9.8%,Students in temporary housing,24,13,,,84.2%,2017-18
s,s,s,,s,s,s,s,s,s,P.S. 015 Roberto Clemente,s,s,s,s,English Language Learners,s,7,s,s,s,2017-18
25.2%,88.5%,,,,49.1%,245,10,276,s,P.S. 040 Augustus Saint-Gaudens,1.6%,,62.2%,3.2%,All Students,82,87,,,11.6%,2017-18
s,s,,,,55.0%,s,10,27,s,P.S. 142 Amalia Castro,12.5%,,s,33.3%,Students in temporary housing,11,69,,,s,2017-18
s,s,s,s,s,55.1%,s,6,38,s,P.S. 188 The Island School,8.7%,s,s,34.1%,English Language Learners,17,58,s,s,s,2017-18
s,s,,s,,s,s,s,s,s,"New Explorations into Science, Technology and Math",s,,s,s,Students in temporary housing,s,s,,,s,2017-18
s,s,,6,,62.5%,s,20,43,19,P.S. 034 Franklin D. Roosevelt,27.8%,,s,61.4%,Students in temporary housing,s,51,,,s,2017-18
34.8%,44.9%,s,,s,52.9%,s,s,63,30,P.S. 042 Benjamin Altman,s,s,s,18.8%,English Language Learners,s,s,s,s,98.2%,2017-18
37.7%,54.7%,s,,s,51.7%,s,s,51,s,P.S. 002 Meyer London,s,s,s,18.9%,English Language Learners,s,s,s,s,96.7%,2017-18
25.9%,34.3%,,62,,50.8%,60,37,156,38,East Side Community School,20.7%,,6.7%,30.1%,Receive free or reduced price lunch,41,106,,,10.1%,2017-18
s,s,,32,,54.7%,27,34,104,30,"Technology, Arts, and Sciences Studio",32.1%,,5.7%,70.4%,All Students,18,58,,,s,2017-18
12.8%,16.0%,,60,,51.6%,60,43,249,78,P.S. 140 Nathan Straus,12.2%,,s,55.6%,All Students,46,279,,,5.4%,2017-18
s,s,,,,66.7%,s,11,22,s,P.S. 015 Roberto Clemente,26.2%,,s,33.3%,Students with Disabilities,9,31,,,s,2017-18
s,s,,30,,63.3%,s,21,82,53,University Neighborhood Middle School,23.3%,,s,81.5%,Students with Disabilities,s,61,,,s,2017-18
s,s,,18,,58.8%,s,7,29,9,Tompkins Square Middle School,20.6%,,s,57.1%,Students in temporary housing,9,17,,,23.5%,2017-18
23.7%,38.7%,,91,,47.9%,109,43,211,48,Tompkins Square Middle School,16.7%,,10.1%,38.7%,Receive free or reduced price lunch,67,115,,,25.7%,2017-18
s,s,s,,s,28.6%,s,s,s,s,P.S. 040 Augustus Saint-Gaudens,s,s,28.6%,s,English Language Learners,s,s,s,s,38.1%,2017-18
s,s,,6,,59.3%,s,6,31,11,P.S. 140 Nathan Straus,11.1%,,s,65.6%,Students in temporary housing,s,47,,,s,2017-18
39.6%,60.4%,,,,59.8%,35,s,45,s,The Children's Workshop School,s,,51.3%,12.5%,Attend school outside district of residence,26,28,,,12.0%,2017-18
s,s,s,,s,45.0%,s,s,s,s,P.S. 006 Lillie D. Blake,s,s,45.0%,s,English Language Learners,s,s,s,s,40.0%,2017-18
s,s,,,,58.3%,s,8,23,7,P.S. 134 Henrietta Szold,22.2%,,s,78.3%,Students in temporary housing,s,22,,,s,2017-18
s,s,,,,65.3%,s,28,78,47,P.S. 134 Henrietta Szold,23.7%,,5.1%,74.4%,Students with Disabilities,s,78,,,s,2017-18
15.4%,64.8%,,,,47.2%,203,110,303,52,P.S. 033 Chelsea Prep,17.9%,,22.8%,25.8%,All Students,75,172,,,22.6%,2017-18
s,s,s,s,s,s,s,s,7,s,Tompkins Square Middle School,s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
23.4%,43.4%,,,,51.5%,64,48,145,30,P.S. 011 William T. Harris,18.0%,,15.4%,34.5%,Receive free or reduced price lunch,44,134,,,13.5%,2017-18
s,s,,,,51.9%,s,s,13,s,P.S. 019 Asher Levy,s,,s,s,Students in temporary housing,s,23,,,s,2017-18
s,s,,,,42.9%,s,11,16,s,P.S. 011 William T. Harris,31.4%,,s,50.0%,Students in temporary housing,6,19,,,s,2017-18
s,s,,14,,51.1%,s,18,45,20,"Technology, Arts, and Sciences Studio",40.0%,,s,95.3%,Students with Disabilities,s,24,,,s,2017-18
s,s,s,,s,s,s,s,s,s,P.S. 064 Robert Simon,s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
25.9%,75.7%,,,,50.4%,135,7,233,31,P.S. 042 Benjamin Altman,1.5%,,s,6.7%,Receive free or reduced price lunch,72,25,,,92.4%,2017-18
s,s,,,,52.4%,s,14,18,s,P.S. 033 Chelsea Prep,33.3%,,s,s,Attend school outside district of residence,6,19,,,s,2017-18
s,s,,29,,65.3%,s,30,87,48,School for Global Leaders,30.6%,,s,75.9%,Students with Disabilities,s,66,,,s,2017-18
s,s,,9,,44.9%,s,8,68,21,P.S. 140 Nathan Straus,9.0%,,6.7%,54.0%,Attend school outside district of residence,s,73,,,s,2017-18
s,s,,,,62.0%,s,14,38,25,P.S. 001 Alfred E. Smith,17.7%,,s,67.5%,Students with Disabilities,s,26,,,44.3%,2017-18
s,s,s,s,s,s,s,s,8,s,University Neighborhood Middle School,s,s,s,80.0%,English Language Learners,s,8,s,s,s,2017-18
28.6%,64.3%,,,,50.9%,20,s,29,s,P.S. 041 Greenwich Village,s,,52.6%,s,Receive free or reduced price lunch,12,15,,,s,2017-18
34.8%,s,,,,45.9%,s,9,24,s,The East Village Community School,12.2%,,29.7%,s,Receive free or reduced price lunch,s,28,,,12.2%,2017-18
s,s,,20,,60.9%,s,11,65,27,University Neighborhood Middle School,15.9%,,s,63.6%,Attend school outside district of residence,s,43,,,14.5%,2017-18
s,s,,,,60.2%,s,18,14,s,Earth School,17.5%,,35.0%,53.3%,Attend school outside district of residence,s,31,,,7.8%,2017-18
s,s,,,,69.4%,s,31,46,29,P.S. 033 Chelsea Prep,31.6%,,7.1%,70.5%,Students with Disabilities,9,49,,,s,2017-18
10.5%,24.3%,,70,,56.6%,57,70,235,80,School for Global Leaders,27.3%,,s,48.5%,All Students,39,145,,,13.7%,2017-18
s,s,,,,s,s,s,7,s,The East Village Community School,s,,s,s,Students in temporary housing,s,s,,,s,2017-18
s,s,s,,s,s,s,s,s,s,P.S. 019 Asher Levy,s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
28.8%,58.6%,,,,56.6%,62,48,114,16,P.S. 019 Asher Levy,19.7%,,s,27.0%,All Students,44,154,,,9.4%,2017-18
10.5%,15.3%,,38,,55.6%,59,101,230,82,P.S. 034 Franklin D. Roosevelt,31.6%,,s,55.5%,All Students,41,197,,,3.4%,2017-18
31.1%,76.6%,,,,49.9%,211,43,294,14,P.S. 003 Charrette School,6.2%,,66.2%,7.0%,All Students,119,97,,,8.3%,2017-18
s,s,s,,s,59.3%,s,s,10,s,P.S. 142 Amalia Castro,s,s,s,63.6%,English Language Learners,s,27,s,s,s,2017-18
s,s,s,,s,42.9%,s,s,6,s,P.S. 051 Elias Howe,s,s,s,53.8%,English Language Learners,s,14,s,s,37.1%,2017-18
s,s,,17,,68.8%,47,40,95,14,P.S. 188 The Island School,32.0%,,s,28.7%,Students with Disabilities,40,79,,,s,2017-18
s,s,,,,70.0%,s,15,8,6,Earth School,16.7%,,26.7%,75.0%,Students with Disabilities,s,43,,,s,2017-18
s,s,,,,52.9%,s,30,23,7,Earth School,17.2%,,13.8%,72.7%,Receive free or reduced price lunch,s,93,,,8.0%,2017-18
29.2%,s,,,,43.2%,s,12,24,s,P.S. 015 Roberto Clemente,27.3%,,s,s,Attend school outside district of residence,s,27,,,s,2017-18
,,s,,s,s,,s,,,"New Explorations into Science, Technology and Math",s,s,54.5%,,English Language Learners,,s,s,s,s,2017-18
19.0%,52.9%,,,,53.9%,61,41,120,28,P.S. 001 Alfred E. Smith,17.7%,,s,28.9%,Receive free or reduced price lunch,32,58,,,54.3%,2017-18
s,s,,,,s,s,s,s,s,P.S. 041 Greenwich Village,s,,s,s,Attend school outside district of residence,s,s,,,s,2017-18
14.7%,34.7%,,20,,67.6%,28,9,78,22,P.S. 184m Shuang Wen,8.3%,,s,34.7%,Students with Disabilities,22,26,,,56.5%,2017-18
s,s,,,,51.6%,s,22,14,s,Neighborhood School,17.2%,,19.5%,s,Receive free or reduced price lunch,s,71,,,s,2017-18
40.7%,69.5%,s,13,s,57.3%,s,s,54,19,P.S. 184m Shuang Wen,s,s,s,11.9%,English Language Learners,s,s,s,s,94.2%,2017-18
s,s,,,,55.2%,45,37,116,25,P.S. 142 Amalia Castro,12.4%,,s,41.7%,Receive free or reduced price lunch,38,251,,,s,2017-18
s,s,,,,45.1%,13,41,43,20,P.S. 033 Chelsea Prep,45.1%,,s,61.0%,Students in temporary housing,7,40,,,s,2017-18
,,s,,s,s,,s,,,The East Village Community School,s,s,s,,English Language Learners,,s,s,s,s,2017-18
17.6%,95.8%,,146,,50.4%,699,57,730,s,"New Explorations into Science, Technology and Math",5.3%,,42.2%,s,Attend school outside district of residence,137,85,,,35.8%,2017-18
25.8%,74.2%,,,,45.2%,s,14,31,s,P.S. 003 Charrette School,22.6%,,41.9%,s,Attend school outside district of residence,16,14,,,s,2017-18
18.3%,95.6%,,152,,50.7%,746,58,777,s,"New Explorations into Science, Technology and Math",5.0%,,42.5%,s,All Students,152,95,,,35.3%,2017-18
29.4%,47.1%,,,,63.8%,s,10,56,s,P.S. 003 Charrette School,7.2%,,53.6%,17.6%,Students with Disabilities,18,41,,,s,2017-18
25.9%,86.9%,,,,46.0%,266,8,311,11,P.S. 041 Greenwich Village,1.2%,,68.7%,4.5%,All Students,97,69,,,7.9%,2017-18
s,s,,31,,60.6%,s,26,79,41,Tompkins Square Middle School,26.3%,,12.1%,76.3%,Students with Disabilities,s,47,,,s,2017-18
s,s,,,,67.6%,s,7,15,6,P.S. 064 Robert Simon,18.9%,,s,50.0%,Students in temporary housing,s,26,,,s,2017-18
s,s,,12,,60.0%,s,15,43,16,School for Global Leaders,33.3%,,s,48.8%,Students in temporary housing,s,23,,,13.3%,2017-18
s,s,s,,s,s,s,s,s,s,P.S. 041 Greenwich Village,s,s,54.5%,s,English Language Learners,s,s,s,s,s,2017-18
19.1%,75.7%,,,,55.9%,126,35,175,20,P.S. 110 Florence Nightingale,10.0%,,25.5%,13.3%,All Students,66,153,,,17.5%,2017-18
,,,,,s,,s,,,47 The American Sign Language and English Secondar,s,,s,,Attend school outside district of residence,,s,,,s,2017-18
30.7%,48.4%,,99,,54.4%,128,39,261,45,East Side Community School,13.1%,,19.8%,20.5%,All Students,78,157,,,11.1%,2017-18
s,s,,,,s,s,s,s,s,P.S. 040 Augustus Saint-Gaudens,s,,s,s,Attend school outside district of residence,s,s,,,s,2017-18
21.3%,30.5%,,,,56.0%,46,61,162,56,P.S. 134 Henrietta Szold,22.0%,,4.0%,53.0%,All Students,38,167,,,11.6%,2017-18
s,s,s,s,s,s,s,s,s,s,East Side Community School,s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
s,s,,,,50.0%,s,s,s,s,P.S. 003 Charrette School,s,,s,s,Students in temporary housing,s,s,,,s,2017-18
s,s,s,,s,42.9%,s,s,s,s,Earth School,s,s,s,s,English Language Learners,s,10,s,s,33.3%,2017-18
22.0%,73.5%,,,,49.8%,318,56,443,38,P.S. 011 William T. Harris,6.2%,,47.0%,15.3%,All Students,149,220,,,15.9%,2017-18
s,s,s,,s,s,s,s,s,s,"Technology, Arts, and Sciences Studio",s,s,s,s,English Language Learners,s,s,s,s,s,2017-18
s,s,,,,49.3%,s,13,38,20,P.S. 020 Anna Silver,17.3%,,s,76.3%,Students in temporary housing,s,50,,,12.0%,2017-18
24.5%,46.8%,,125,,46.9%,163,51,292,54,Tompkins Square Middle School,13.7%,,20.9%,32.3%,All Students,90,144,,,23.1%,2017-18
s,s,,7,,52.2%,s,s,21,s,East Side Community School,s,,s,36.8%,Students in temporary housing,6,18,,,s,2017-18
s,s,,20,,58.9%,s,13,80,41,P.S. 140 Nathan Straus,11.6%,,6.3%,85.7%,Students with Disabilities,s,88,,,s,2017-18
s,s,,,,69.1%,s,16,33,15,P.S. 064 Robert Simon,23.5%,,s,82.4%,Students with Disabilities,s,48,,,s,2017-18
9.9%,24.1%,,59,,57.1%,44,61,188,67,School for Global Leaders,29.8%,,s,49.7%,Receive free or reduced price lunch,33,110,,,14.1%,2017-18
24.8%,76.2%,,,,52.5%,178,s,296,37,P.S. 042 Benjamin Altman,s,,1.3%,6.6%,All Students,93,39,,,90.3%,2017-18
11.7%,15.0%,,53,,51.5%,54,37,219,71,P.S. 140 Nathan Straus,12.0%,,s,57.7%,Receive free or reduced price lunch,42,243,,,5.5%,2017-18
25.8%,45.2%,,,,48.6%,37,39,62,8,P.S. 015 Roberto Clemente,26.7%,,s,21.0%,Receive free or reduced price lunch,29,90,,,9.6%,2017-18
s,s,s,,s,60.9%,s,s,29,12,P.S. 001 Alfred E. Smith,s,s,s,36.7%,English Language Learners,s,7,s,s,87.5%,2017-18
40.7%,70.4%,,,,53.8%,s,s,30,s,The East Village Community School,s,,59.0%,s,Attend school outside district of residence,13,11,,,15.4%,2017-18
7.4%,11.6%,,69,,56.7%,46,47,188,81,University Neighborhood Middle School,23.2%,,s,69.3%,All Students,33,128,,,8.9%,2017-18
25.8%,80.6%,,,,51.6%,42,s,62,s,P.S. 042 Benjamin Altman,s,,s,s,Attend school outside district of residence,23,11,,,89.5%,2017-18
s,s,,,,68.2%,s,s,51,15,P.S. 042 Benjamin Altman,s,,s,27.5%,Students with Disabilities,s,10,,,89.1%,2017-18
s,s,s,,s,66.7%,s,s,11,s,P.S. 011 William T. Harris,s,s,s,57.1%,English Language Learners,s,16,s,s,23.3%,2017-18
s,s,,,,63.8%,s,11,31,s,P.S. 064 Robert Simon,19.0%,,13.8%,45.2%,Attend school outside district of residence,9,36,,,s,2017-18
s,s,,,,58.8%,s,s,23,s,P.S. 011 William T. Harris,s,,50.0%,s,Attend school outside district of residence,8,10,,,s,2017-18
21.3%,29.3%,,,,57.9%,41,55,148,53,P.S. 134 Henrietta Szold,21.7%,,3.9%,55.3%,Receive free or reduced price lunch,35,154,,,11.4%,2017-18
s,s,,,,78.8%,s,14,33,s,P.S. 019 Asher Levy,16.5%,,10.6%,42.4%,Students with Disabilities,11,56,,,s,2017-18
18.4%,28.6%,,,,61.4%,28,44,96,28,P.S. 064 Robert Simon,21.0%,,6.2%,48.0%,All Students,22,140,,,s,2017-18
s,s,,,,58.5%,s,s,20,s,P.S. 042 Benjamin Altman,s,,s,s,Students in temporary housing,7,s,,,88.7%,2017-18
19.9%,41.0%,,,,47.5%,72,68,159,25,P.S. 051 Elias Howe,17.7%,,15.6%,33.7%,All Students,48,185,,,16.9%,2017-18
s,s,,6,,64.5%,s,6,31,s,"Technology, Arts, and Sciences Studio",19.4%,,s,74.2%,Attend school outside district of residence,s,22,,,s,2017-18
,,s,,s,s,,s,,,The STAR Academy - P.S.63,s,s,s,,English Language Learners,,s,s,s,s,2017-18
s,s,s,7,s,44.4%,s,s,27,14,P.S. 140 Nathan Straus,s,s,s,88.9%,English Language Learners,s,32,s,s,s,2017-18
