ela_l3_l4_1,ell_other_1,ell_haitian_creole_1,other_1,total_enrollment,grade_4,ela_level_4_1,grade_1,math_level_2_1,ell_arabic_1,ell_korean,ell_russian,ell_chinese_1,male
s,,,s,s,,s,s,s,,,,,s
82.6%,,,9.1%,594,62,45.2%,104,11.5%,,,,,292
,s,s,s,s,,,,,s,s,s,s,s
s,,,s,63,10,33.3%,11,s,,,,,28
s,,,8.4%,320,51,s,53,28.6%,,,,,178
s,,,s,147,16,s,23,26.8%,,,,,76
66.3%,,,1.4%,440,42,30.1%,50,14.4%,,,,,223
46.0%,,,s,186,32,13.8%,31,17.9%,,,,,98
47.3%,,,10.1%,99,18,18.2%,14,25.0%,,,,,60
s,,,s,74,17,s,s,20.8%,,,,,46
40.5%,,,s,414,47,7.0%,40,37.8%,,,,,238
,,,s,s,,,,,,,,,s
s,,,s,s,,s,s,s,,,,,s
s,,,s,60,s,44.0%,15,s,,,,,31
s,,,s,121,19,s,13,16.1%,,,,,89
s,s,s,s,25,s,s,s,s,s,s,s,s,11
62.7%,,,s,173,31,18.7%,32,30.7%,,,,,83
22.4%,,,s,87,,9.4%,,20.3%,,,,,47
s,s,s,s,26,s,s,s,s,s,s,s,46.2%,15
62.3%,,,s,530,93,26.4%,69,15.1%,,,,,281
48.8%,,,s,108,12,10.0%,s,28.7%,,,,,65
s,s,s,s,14,,s,s,s,s,s,s,s,s
s,s,s,s,29,s,s,s,s,s,s,s,s,16
90.1%,,,1.9%,616,106,51.3%,105,s,,,,,314
40.0%,,,s,308,50,5.8%,56,30.3%,,,,,172
60.0%,,,s,120,18,20.0%,17,9.8%,,,,,63
s,s,s,s,8,s,s,s,s,s,s,s,s,s
88.8%,,,11.0%,637,97,59.1%,125,8.3%,,,,,313
s,,,s,80,13,s,13,37.0%,,,,,44
s,s,s,s,69,8,s,9,53.7%,s,s,s,s,38
s,,,s,s,,s,s,s,,,,,s
s,,,s,72,10,s,s,27.3%,,,,,45
s,s,s,s,225,14,s,55,36.2%,s,s,s,97.8%,119
s,s,s,s,180,21,s,34,26.4%,s,s,s,96.7%,93
38.5%,,,3.4%,179,,12.2%,,35.7%,,,,,91
26.0%,,,s,106,,8.7%,,18.4%,,,,,58
24.1%,,,s,353,28,5.6%,29,28.4%,,,,,182
s,,,s,42,8,s,7,42.9%,,,,,28
s,,,s,90,,s,,12.3%,,,,,57
s,,,s,34,,s,,32.1%,,,,,20
51.7%,,,2.7%,257,,19.9%,,22.7%,,,,,123
s,47.6%,s,s,21,s,s,s,s,s,s,s,s,6
s,,,s,54,s,s,6,21.9%,,,,,32
77.8%,,,s,117,12,20.0%,27,27.1%,,,,,70
s,55.0%,s,s,20,s,s,8,s,s,s,s,s,9
s,,,s,36,9,s,s,s,,,,,21
s,,,s,118,31,s,8,14.1%,,,,,77
67.0%,,,8.6%,614,102,42.2%,96,9.4%,,,,,290
s,s,s,s,8,,s,,s,s,s,s,s,s
44.1%,,,2.6%,266,41,13.8%,47,22.1%,,,,,137
s,,,s,27,s,s,s,s,,,,,14
s,,,s,35,s,s,s,s,,,,,15
s,,,s,45,,s,,s,,,,,23
s,s,s,s,s,s,s,s,s,s,s,s,s,s
57.9%,,,s,474,64,27.0%,79,17.6%,,,,,239
s,,,s,42,s,s,s,s,,,,,22
s,,,s,98,,s,,20.7%,,,,,64
s,,,s,89,10,s,s,31.7%,,,,,40
s,,,s,79,11,s,13,s,,,,,49
s,s,s,s,11,,s,,s,s,s,s,s,s
69.0%,,,14.0%,57,11,27.6%,8,s,,,,,29
s,,,8.1%,74,11,s,13,30.4%,,,,,34
s,,,s,69,,s,,21.2%,,,,,42
s,,,9.7%,103,16,s,17,s,,,,,62
s,,,s,98,17,s,14,13.6%,,,,,68
24.3%,,,s,256,,7.7%,,27.2%,,,,,145
s,,,s,11,s,s,s,s,,,,,s
s,s,s,s,8,s,s,s,s,s,s,s,s,s
54.4%,,,s,244,42,15.8%,38,14.4%,,,,,138
25.7%,,,s,320,35,7.8%,18,29.3%,,,,,178
71.8%,,,5.4%,699,120,31.3%,134,16.4%,,,,,349
s,s,s,s,27,s,s,s,s,s,s,s,s,16
s,s,s,s,35,s,s,s,s,s,s,s,22.9%,15
49.5%,,,s,125,18,7.4%,s,40.4%,,,,,86
s,,,s,90,15,s,10,s,,,,,63
s,,,7.5%,174,29,s,32,27.3%,,,,,92
s,,,s,44,8,s,s,29.2%,,,,,19
,s,s,s,11,,,s,,s,s,6,s,s
50.8%,,,s,232,39,24.2%,37,18.2%,,,,,125
s,,,s,8,s,s,s,s,,,,,s
35.9%,,,s,108,12,7.7%,12,30.7%,,,,,73
s,,,s,128,16,s,28,s,,,,,66
s,s,s,s,103,s,s,16,18.6%,s,s,s,94.2%,59
38.8%,,,2.0%,299,46,6.0%,53,30.4%,,,,,165
30.2%,,,s,91,17,14.0%,14,17.1%,,,,,41
,s,s,s,s,,,,,s,s,s,s,s
95.8%,,,8.9%,1081,106,77.0%,107,s,,,,,545
s,,,s,62,11,s,16,s,,,,,28
96.0%,,,8.9%,1152,116,76.4%,116,s,,,,,584
s,,,s,138,33,s,29,35.3%,,,,,88
85.5%,,,11.7%,658,123,54.3%,100,8.6%,,,,,303
s,,,s,99,,s,,15.8%,,,,,60
s,,,s,37,6,s,7,s,,,,,25
s,,,s,45,,s,,30.2%,,,,,27
s,63.6%,s,s,11,,s,s,s,s,s,s,s,s
72.0%,,,3.2%,349,57,34.3%,52,11.0%,,,,,195
,,,s,s,,,,,,,,,s
49.0%,,,3.4%,298,,19.2%,,31.1%,,,,,162
s,,,s,s,,s,,s,,,,,s
28.4%,,,2.2%,277,57,4.9%,27,16.5%,,,,,155
s,s,s,s,s,,s,,s,s,s,s,s,s
s,,,s,12,s,s,s,s,,,,,6
s,s,s,s,21,s,s,s,s,s,s,s,s,9
71.8%,,,6.6%,905,150,38.1%,155,11.2%,,,,,451
s,s,s,s,s,,s,,s,s,s,s,s,s
s,,,s,75,17,s,15,s,,,,,37
55.8%,,,3.8%,373,,25.0%,,20.8%,,,,,175
s,,,s,23,,s,,31.6%,,,,,12
s,,,s,112,9,s,s,11.7%,,,,,66
s,,,s,68,15,s,17,s,,,,,47
23.4%,,,s,205,,5.9%,,26.2%,,,,,117
60.1%,,,s,611,86,28.7%,99,17.2%,,,,,321
24.7%,,,s,309,26,5.5%,24,27.2%,,,,,159
59.7%,,,s,146,25,12.9%,29,33.9%,,,,,71
s,s,s,s,64,13,s,13,s,s,s,s,82.8%,39
s,,,s,78,11,s,11,s,,,,,42
24.5%,,,s,203,,6.9%,,19.0%,,,,,115
67.7%,,,s,124,23,30.6%,26,s,,,,,64
s,,,s,110,17,s,18,39.2%,,,,,75
s,s,s,s,30,s,s,s,s,s,s,s,s,20
s,,,s,58,15,s,7,38.7%,,,,,37
s,,,s,34,s,s,s,s,,,,,20
27.7%,,,2.4%,254,52,4.1%,22,15.3%,,,,,147
s,,,s,85,15,s,12,s,,,,,67
29.2%,,,s,210,36,6.3%,44,23.5%,,,,,129
s,,,s,53,10,s,9,35.0%,,,,,31
45.3%,,,1.8%,385,64,15.1%,73,25.3%,,,,,183
s,,,s,31,,s,,s,,,,,20
,s,s,s,s,,,,,s,s,s,s,s
s,s,s,s,36,s,s,s,s,s,s,s,s,16
s,,,s,11,s,s,s,s,,,,,s
s,s,s,s,86,14,s,10,33.3%,s,s,s,62.8%,46
71.4%,,,6.2%,649,65,33.6%,69,13.7%,,,,,324
s,,,s,27,,s,,s,,,,,16
78.4%,,,s,56,6,29.4%,s,s,,,,,43
s,,,s,117,17,s,14,19.6%,,,,,85
s,,,s,84,15,s,18,28.6%,,,,,45
20.7%,,,s,178,,4.9%,,15.7%,,,,,101
65.9%,,,s,68,s,34.1%,8,s,,,,,34
55.0%,,,4.5%,132,15,15.0%,29,32.5%,,,,,69
