agent_number,total_payment_amount,last_date_updated
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$2,666.66",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
A0113,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$3,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$15,333.33",2025-12-24T00:00:00.000
A0017,"$1,333.33",2025-12-24T00:00:00.000
A0213,"$1,333.33",2025-12-24T00:00:00.000
A0304,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0325,"$1,000.00",2025-12-24T00:00:00.000
,"$2,000.00",2025-12-24T00:00:00.000
,"$2,000.00",2025-12-24T00:00:00.000
A0224,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0202,"$1,333.33",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0356,"$14,000.00",2025-12-24T00:00:00.000
A0307,"$16,666.66",2025-12-24T00:00:00.000
A0224,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0217,"$1,000.00",2025-12-24T00:00:00.000
A0201,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$2,000.00",2025-12-24T00:00:00.000
A0307,"$1,333.33",2025-12-24T00:00:00.000
A0289,"$2,000.00",2025-12-24T00:00:00.000
A0224,"$1,000.00",2025-12-24T00:00:00.000
,"$3,000.00",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
A0202,"$1,333.33",2025-12-24T00:00:00.000
A0342,"$1,333.33",2025-12-24T00:00:00.000
A0213,"$16,666.66",2025-12-24T00:00:00.000
A0225,"$1,333.33",2025-12-24T00:00:00.000
A0232,"$15,333.33",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
A0329,"$1,333.33",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0281,"$1,000.00",2025-12-24T00:00:00.000
A0224,"$1,000.00",2025-12-24T00:00:00.000
A0292,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0325,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0340,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0202,"$1,333.33",2025-12-24T00:00:00.000
A0217,"$1,000.00",2025-12-24T00:00:00.000
A0224,"$1,000.00",2025-12-24T00:00:00.000
A0202,"$1,000.00",2025-12-24T00:00:00.000
A0201,"$1,333.33",2025-12-24T00:00:00.000
A0307,"$15,333.33",2025-12-24T00:00:00.000
A0202,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
A0292,"$1,000.00",2025-12-24T00:00:00.000
A0017,"$1,000.00",2025-12-24T00:00:00.000
,"$15,333.33",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0342,"$1,000.00",2025-12-24T00:00:00.000
A0201,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$2,000.00",2025-12-24T00:00:00.000
A0259,"$1,000.00",2025-12-24T00:00:00.000
A0113,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
A0307,"$1,333.33",2025-12-24T00:00:00.000
A0312,"$1,333.33",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0327,"$1,000.00",2025-12-24T00:00:00.000
,"$3,000.00",2025-12-24T00:00:00.000
A0329,"$16,666.66",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0354,"$1,000.00",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0304,"$1,000.00",2025-12-24T00:00:00.000
A0224,"$1,333.33",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
A0312,"$1,333.33",2025-12-24T00:00:00.000
A0327,"$2,000.00",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
,$333.36,2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0202,"$1,333.33",2025-12-24T00:00:00.000
A0358,"$1,000.00",2025-12-24T00:00:00.000
A0282,"$16,666.66",2025-12-24T00:00:00.000
,"$14,000.00",2025-12-24T00:00:00.000
A0281,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0253,"$15,333.33",2025-12-24T00:00:00.000
A0340,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0202,"$1,000.00",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$2,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0224,"$2,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$1,000.00",2025-12-24T00:00:00.000
A0206,"$1,000.00",2025-12-24T00:00:00.000
A0307,"$15,333.33",2025-12-24T00:00:00.000
,"$1,333.33",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
,"$1,000.00",2025-12-24T00:00:00.000
