the_geom,geoborough
"{'type': 'MultiPoint', 'coordinates': [[-73.99034165842436, 40.72493213464629]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94563352427363, 40.79025310939371]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98637451604185, 40.73037965776008]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.99062219865394, 40.75099175348207]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-74.00518616259471, 40.71983746663683]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94655555387304, 40.78899620108237]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95695607057453, 40.76649343512692]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98898482024869, 40.72677887487816]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.96936334454742, 40.74953018766227], [-73.96932031464192, 40.74951697478991]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95493042925966, 40.800063315094555], [-73.95485413740543, 40.80003108338617], [-73.95478165422132, 40.800000560467886]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.99459264923739, 40.74044198100269]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95165920754343, 40.78200767458611]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.9507922915231, 40.779179704288964]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94708951889807, 40.78424490595988]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.99081902422097, 40.724274296823104]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.94792440885611, 40.78712062575252]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.95878081153292, 40.76399001671797]]}",M
"{'type': 'MultiPoint', 'coordinates': [[-73.98131180575278, 40.74135092337145]]}",M
