data_set_description,is_the_data_set_on_open_data,public_statement_from_your,agency
"Record of Forestry service requests for NYC Parks & Recreation.

Two-way integration with 311 is maintained in ForMS 2.0. Forestry related Service Requests (SRs) created by a 311 operator or submitted by the caller through either the 311 website, 311 phone app, or the Parks website stream into the system. Conversely, updates are sent from ForMS 2.0 to 311 when SRs are actioned.

Service Requests can be created directly in ForMS 2.0, however, it is important to note that they will NOT receive a 311 SEIBEL number or be visible in 311. Internally generated SRs should be used to track correspondence, commissioner, or other requests that do not originate from 311.",Already on Open Data,,Department of Parks and Recreation (DPR)
A license's status,Already on Open Data,,Department of Consumer and Worker Protection (DCWP)
"incident reports, Fire Marshal investigations, CADs",Already on Open Data,,Fire Department of New York City (FDNY)
GPS data for all vehicles.,Not on Open Data Plan,This data is too unwieldly to be a dataset.  It can only be provided on a case-by-case basis. It also contains identifying information in instances where vehicles have home to work privileges.,Department of Sanitation (DSNY)
List of licensed Locksmiths,Already on Open Data,,Department of Consumer and Worker Protection (DCWP)
Permits - BIS,Already on Open Data,,Department of Buildings (DOB)
"Multiple Open Data and non-Open Data segments (i.e., ""give me all city records for BIN …"")",Not on Open Data Plan,DOB has no intention of becoming the administrator of all citywide records that pertain to a given property,Department of Buildings (DOB)
List of Paid Sick Leave or Fair Work Week Consent Orders,Not on Open Data Plan,Worker protection enforcement actions contain internal deliberations and personal identifying information (PII),Department of Consumer and Worker Protection (DCWP)
Full list of Correctional Officer roster,Already on Open Data,,Department of Correction (DOC)
Contracts,Not on Open Data Plan,One off report or analysis,Department of Environmental Protection (DEP)
This dataset displays demographics for the families and individuals residing in the Department of Homeless Services (DHS) shelter system.,Already on Open Data,,Department of Social Services (DSS) - Department of Homeless Services (DHS)
Copies of any and all electronic correspondence received and responses sent.,Not on Open Data Plan,This data contains Personal Identifying Information.,Department of Sanitation (DSNY)
"The New York City Open Restaurant is an effort to implement a citywide multi-phase program to expand outdoor seating options for food establishments to promote open space, enhance social distancing, and help them rebound in these difficult economic times.",Already on Open Data,,Department of Transportation (DOT)
Tracks NYC DOT services in the City's Customer Service center application in Microsoft Dynamics.,Already on Open Data,,Department of Transportation (DOT)
List of licensed Process Server Agencies with contact information,Not on Open Data Plan,This dataset contain personal identifying information (PII),Department of Consumer and Worker Protection (DCWP)
List of licensed Newsstands,Already on Open Data,,Department of Consumer and Worker Protection (DCWP)
Inspection Records,Scheduled for Future Publication,,Department of Buildings (DOB)
Information about NYC Parks' Capital Improvement projects,Scheduled for Future Publication,,Department of Parks and Recreation (DPR)
"Real property documents, which are recorded in ACRIS",Already on Open Data,,Department of Finance (DOF)
"Local Law 16 of 2019, also known as the Fair Student Funding (FSF) Working Group Law, focuses on the Department of Education's (DOE) formula for allocating funds to schools based on student needs. It mandates the creation of a task force to review and make recommendations on the categories, types of students, grade levels, and weights used in the FSF formula to ensure equitable funding distribution. The law also requires the DOE to publicly report on school-level budget allocations and the calculated FSF for each school annually.",Already on Open Data,,Department of Education (DOE)
List of Dealer in Products for the Disabled License applications with contact information,Not on Open Data Plan,This dataset included personal identifying information (PII),Department of Consumer and Worker Protection (DCWP)
List of licensed Process Server Individuals,Already on Open Data,,Department of Consumer and Worker Protection (DCWP)
"Local Law 27 of 2015, in New York City, mandates that the Department of Education (DOE) annually report on special education data, including the number of referrals, their outcomes, and the number of IEP meetings held. This report, based on data from the Special Education Student Information System (SESIS), ensures transparency and accountability in the provision of special education services.",Already on Open Data,,Department of Education (DOE)
Home Improvement Contractor exam result for a specific individual,Not on Open Data Plan,This dataset included personal identifying information (PII),Department of Consumer and Worker Protection (DCWP)
Violations,Already on Open Data,,Department of Buildings (DOB)
"The DORIS procurement application is used to manage procurement requests, including the vendor information and purchase order details.",Not on Open Data Plan,The DORIS Procurement application is an internal purchase order management tool that includes names and other information about persons requesting services.,Department of Records and Information Services (DORIS)
"List of contractors for the home delivered meals program, including vendor name, contract start and end dates, borough and community districts to be served, and total contract value",Already on Open Data,,Department for the Aging (NYC Aging)
