grade_band,activity,description,target_population,category
"Middle School, High School","Work with schools to streamline school tours, open houses, and registration for school-based assessments and auditions","In order to help alleviate some of the anxiety, time and resources families expend on attending school tours, open houses, and school-based assessments, the DOE is working with schools to collect and display all open house and school tour information on the DOE website. In 2016-17, the DOE published a spring open house calendar for High School admissions, in addition to the fall calendar. The DOE also publishes a fall calendar for middle school. The DOE continues to work with schools toward simplifying school-based assessments and optimizing their recruitment strategies.",Families and communities,Streamlining and increasing access for families to learn about school options and apply
Pre-Kindergarten,Produced offers for all Pre-Kindergarten aged students in shelter,"In spring 2017, all four-year-olds in shelter who had not applied to Pre-K received an offer to a free, full-day, high-quality Pre-K for All program. In partnership with the Department of Homeless Services (DHS), the DOE conducted continued outreach to these families to ensure they were aware of their offer.",Students in Temporary Housing,Improving Efforts to Support Students in Temporary Housing
Elementary School - High School,Equity & Excellence - Computer Science for All,"Through Computer Science for All, every student will receive computer science education in elementary, middle, and high school by 2025. By 2016-17, approximately 940 teachers received Computer Science for All training to bring back to their 524 elementary, middle, and high schools.",Families and communities,Equity & Excellence for All
Elementary School - High School,"Provided simultaneous interpretation, translated materials, and other interpretation services at all Student Enrollment events","For all DOE admissions events where a formal presentation was given, simultaneous interpretation services were available, based on the language population of the district or borough. Additionally, all events received translated signage and materials, as well as the services of interpreters to work with families one-on-one.",English Language Learners and families with non-English home language,Streamlining and increasing access for families to learn about school options and apply
Elementary School - High School,Application and Test Registrations (RFT) available in 10 languages,Applications for all elementary admissions processes were available on paper and online in 10 languages. Applications and request for testing for middle school and high school admissions processes were available on paper in 10 languages.,English Language Learners and families with non-English home language,Streamlining and increasing access for families to learn about school options and apply
Elementary School - High School,Women's History Month celebrated in schools & DOE Central Offices,"During the month of March, the DOE hosted its first American Women's History Panel, featuring experts in American Women's History who discussed the opportunities and challenges in making K-12 curriculum more inclusive of American women's history. Teachers, Central staff, and Field Support staff were present for this event. Posters were also sent to all Respect for All liaisons, who are staff members who serve as resources for students and staff on issues of discrimination, harassment, intimidation, and/or bullying, to recognize historical female figures.",Schools and school communities,Fostering Welcoming School Climates for All Students
"Pre-Kindergarten, Kindergarten",Community School District 1 SIPP Grant and Diversity in Admissions Plan established,"In collaboration with the District 1 Community Education Council and the District 1 Community School Superintendent's Office, the DOE is piloting a district-wide diversity in admission plan for the 2017-18 pre-Kindergarten and Kindergarten admissions cycle (for the entering class of fall 2018). In addition, a Family Resource Center was established in fall 2017 and serves as a one-stop shop for families to learn about and enroll in District 1 schools. ",District 1 families and communities,Expanding Diversity in Admissions Pilots
High School,Specialized High Schools Diversity Initiative - Developed an outreach team aimed at increasing  SHS enrollment among underrepresented populations,"In 2016-17, the DOE formed a team of outreach specialists focused on raising awareness about the Specialized High Schools (SHS). The team called thousands of families, attended more than 20 events, and presented about the SHS at ~25 middle schools in underrepresented districts (Districts 4-6 in Manhattan, Districts 7-12 in the Bronx, and Districts 16-19, 23 and 32 in Brooklyn).  In spring 2017, the DOE hosted inaugural SHS fairs in Brooklyn and the Bronx with the goal of increasing awareness about the SHS in communities that are underrepresented at the schools. ~5,000 people attended across both events. In 2017-18, the outreach team will continue to build upon this work by strengthening relationships with community partners with the goal of effectively promoting and increasing visibility of the SHS to students and families from underrepresented backgrounds. 
",Families and communities,Improving Diversity at the Specialized High Schools
Elementary School - High School,Expanded programs for English Language Learners in District 75,"In 2016-17, there were a total of 47 bilingual in District 75 programs. Included in these are a new Chinese Transitional Bilingual Education (TBE) program, a middle school TBE Spanish Program, and a middle school TBE Yiddish Program. For the 2017-18 school year, there will be a total of 49 bilingual programs.",English Language Learners with disabilities,Planning for Diversity When Opening New Schools and Programs
Elementary School - High School,Brought together schools working on diversity initiatives to share ideas,"During three professional development sessions, Progressive Redesign Opportunity Schools for Excellence (PROSE) brought principals and teachers within 32 schools together to discuss the implementation practices/challenges of their diversity plans. Topics discussed included recruitment strategies, tracking student data, professional development, and parent outreach. Ten schools were awarded $5,000 mini-grants in support of their diversity implementation efforts.  ",Schools and school communities,Targeting Funding to Foster Diversity
High School,Expanded work-based learning opportunities for underrepresented students,"In 2016-17, the DOE was awarded funding from City Council's Young Women's Initiative to expand work-based learning opportunities. Using this funding, the DOE launched a Career Mentoring in Construction program and a Career Mentoring in Architecture and Engineering program. Both programs had retention rates of 99% and recruited and engaged underrepresented student populations in these Career and Technical Education clusters. For 2017-18, the DOE will expand the reach of these initiatives.",Underrepresented students interested in CTE,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
High School,"Began to eliminate ""limited unscreened"" as a high school admissions method and replace with admissions method that will promote greater diversity","As part of the DOE's diversity plan,  the Limited Unscreened admissions method will be removed beginning with the 2018-19 admissions cycle, as it creates barriers to entry for families. For fall 2017 admissions, there were 245 high school programs and 94 middle schools using this admissions method. For fall 2018, 59 programs across 49 schools opted to change their limited unscreened admissions method. The DOE is working with school leaders, school communities, and superintendents to transition all limited unscreened high school programs for students entering high school in fall 2019. The DOE has also partnered with researchers to ensure a thoughtful transition to an admissions method that does not negatively affect any specific student group. ",Families and communities,Simplifying Admissions Methods and Processes
Elementary School - High School,Expansion of ASD Nest program,"ASD Nest programs serve students with autism whose academic abilities are on grade-level and whose primary need for support is in the areas of language and social skill development. During 2016-17, 265 ASD Nest programs served students citywide. In 2017-18, 18 new sections will be opened resulting in a total of 283 ASD Nest programs citywide.",Students with Disabilities,Planning for Diversity When Opening New Schools and Programs
Elementary School - High School,Provide curriculum resources to support LGBT students,"With support from the City Council, the DOE partnered with WNET to create a series of short videos and discussion guides for schools to talk about LGBT identity. They also conducted professional development sessions with teachers to demonstrate how to utilize these resources. ",Schools and school communities,Fostering Welcoming School Climates for All Students
Elementary School,Implemented re-zoning with a focus on diversity,The DOE worked with CEC 3 to develop a re-zoning impacting most of District 3 and one of the goals was to draw the zone lines in a way that equalized diversity across the zones. The rezoning was approved in 2016-17 for implementation in 2017-18. This re-zoning is generally projected to reduce socioeconomic and racial concentrations in certain schools' zones and distribute students more equitably across the district.,Families and communities,Ensuring Diversity is a Factor in School Rezoning
High School,Specialized High Schools Diversity Initiative - Offer the SHSAT during the school day to ease the burden of weekend testing,"In 2016-17, the DOE offered the Specialized High School Admissions Test (SHSAT) during the school day at 7 middle schools in order to ease the burden of weekend testing. As a result, the number of students testing at those schools increased by more than 50 percent. Each school also offered a free SHSAT preparation program. In 2017-18, the DOE expanded the SHSAT School Day program to a total of 15 middle schools. ",Families and communities,Improving Diversity at the Specialized High Schools
Elementary School - High School,Streamlined transfer process to ensure English Language Learners gain access to programs that meet their needs,"The DOE revised the English Language Learner transfer process by formalizing the request process in order to improve outcomes for families. This means schools must submit standard requests with evidence of the need for transfer, and ultimate parent authorization of the placement is required. The new process fosters greater transparency and engagement for families and schools and facilitates reporting to both NYSED and the Department of Justice.",English Language Learners,Simplifying Admissions Methods and Processes
High School,Equity & Excellence - AP for All,"AP for All is adding Advanced Placement courses so that by fall 2021, students at all high schools will have access to at least five AP classes. In 2016-17, 120 AP courses were added across 63 schools, 31 of which did not previously offer any AP courses. As of fall 2017, 152 high schools are offering new AP courses, including 60 that offered no AP courses before the initiative. As part of the AP for All initiative, the DOE has partnered with Equal Opportunity Schools as part of the national Lead Higher Initiative to specifically increase AP participation and success at 24 high schools among students of color and low income students who are not currently enrolled in AP courses.",Families and communities,Equity & Excellence for All
"Middle School, High School",Trainings in Dating Violence offered to school staff,"The DOE partnered with the Mayor's Office to Combat Domestic Violence to offer trainings in Dating Violence for school staff, particularly targeting school counselors and Respect for All liaisons, who are staff members who serve as resources for students and staff on issues of discrimination, harassment, intimidation, and/or bullying . These trainings focus on dismantling misperceptions about dating violence, and on highlighting the ways that sexism, racism, and homophobia play into dating violence dynamics. The DOE also leveraged Day One, a non-profit organization focused on preventing dating abuse, to do such trainings. Approximately 250 counselors and social workers were trained in 2016-17. The DOE is aiming to train all Respect for All liaisons by the end of 2019-20.",Schools and school communities,Fostering Welcoming School Climates for All Students
Elementary School - High School,Pride celebrated in schools & DOE Central Offices,"The DOE continued to hold Pride Celebration, honoring students, families, and staff who are creating LGBT inclusive environments. The DOE marched in Queens and Brooklyn Pride marches and had a float for the Manhattan Heritage of Pride March. The DOE marching contingent in Queens was awarded ""Simply the Best"" marching group.","Families, schools, and communities",Fostering Welcoming School Climates for All Students
"Pre-Kindergarten, Kindergarten",Conducted robocalls to families in both English and Spanish to remind them to apply,The DOE targets families who did not apply through admissions using both English and Spanish.,English Language Learners,Streamlining and increasing access for families to learn about school options and apply
Pre-Kindergarten,"Finalized plans to open pre-K Main Round later and for a longer period of time, as well as introduce late application","Given feedback from the DOE's partners on the students in temporary housing initiative that the application was opened too early and closed too quickly, the DOE finalized plans to open the pre-Kindergarten application later and for a longer period of time. Additionally, the DOE will implement a ""Late Application"", which will eliminate ""dead time"" in between Rounds 1 and 2 when interested families do not have an action step available to them.",Families and communities,Simplifying Admissions Methods and Processes
Middle School,Public engagement process to increase school diversity in Community School District 15,"The DOE is partnering with WXY Studio, a public engagement firm, and Community School District 15 to implement a public engagement process to foster school diversity in Community School District 15.",Families and communities,Equity & Excellence for All
Elementary School,Piloted Family English Initiative,The DOE piloted the Family English Initiative in 6 schools to provide two-generation learning to students in Kindergarten through 2nd grade and their family members to learn English. Lessons were scaffolded around the best ways to support the learning of elementary students.,"Spanish speaking and Chinese speaking families in Districts 7,8, and 25, and 31.",Fostering Welcoming School Climates for All Students
Elementary School - High School,Provided trainings for school staff working with Students in Temporary Housing (STH),"The DOE offered monthly professional development trainings to school principals and staff regarding specific rights, needs, expectations and how best to accommodate and collaborate on the needs of STH. Trainings were targeted primarily in the Brooklyn, as well as some districts across other boroughs.",Schools and school communities,Improving Efforts to Support Students in Temporary Housing
"Pre-Kindergarten, Kindergarten, Gifted & Talented","Conducted additional outreach to students and families through 4410s, CPSEs, and the Turning 5 process for all elementary admissions processes","The Committees on Special Education (CSEs) and Committees on Pre School Special Education (CPSEs) work with families of students with disabilities, while 4410 programs are the primary providers of pre-Kindergarten special education programs and services. The DOE distributed directories to these sites and conducted outreach to encourage their participation in elementary admissions processes. Additionally, outreach was conducted to families participating in the Turning 5 process to encourage families to apply to kindergarten and submit a Gifted & Talented test registration.",Students with Disabilities,Streamlining and increasing access for families to learn about school options and apply
"Middle School, High School",Support transition of students returning from court-ordered settings ,"In order to fully support and promote the transition of students returning from court-ordered settings, the DOE and the New York State Office of Children & Family Services (OCFS) are renewing their partnership and improving communication and data-sharing. The DOE and OCFS have developed an inter-agency transition team to improve communication and provide a more proactive, seamless transition as students re-enter DOE schools.",Students returning from incarceration,Streamlining and increasing access for families to learn about school options and apply
High School,Specialized High Schools Diversity Initiative -  Improve school climate at the Specialized High Schools to create more welcoming school cultures for diverse learners,"In 2016-17, the DOE contracted with Ramapo for Children who conducted a School Culture and Climate Walkthrough at each of the 8 testing Specialized High Schools to assess the culture and climate of the school, including community values and expectations, relationships between adults and students, safety in the environment, and alignment of behavioral expectations across classrooms, shared spaces and transitions. The DOE is reviewing the results of the assessment and its potential impact on each school.",Families and communities,Improving Diversity at the Specialized High Schools
High School,Improved HS Admissions experience for students with accessibility needs,"The DOE launched a pilot program in the fall of 2016 to assist a cohort of eighth-grade students and their families in identifying and applying to high schools that align with their accessibility needs. Findings from the pilot program are being used to build capacity at middle schools, high schools, and in the field offices so that students with accessibility needs are guided through the high school admissions process and high schools are prepared to welcome all students. ",Students with Disabilities,Streamlining and increasing access for families to learn about school options and apply
3-K - High School,Released diversity plan to facilitate more diverse and inclusive schools and programs,"In June 2017, the DOE released Equity and Excellence for All: Diversity in New York City Public Schools. The release of this diversity plan is the next step in the City’s ongoing work to increase school diversity. It represents a critical milestone in the City’s Equity and Excellence for All agenda, and begins to lay out an approach to increasing diversity in the school system. The plan sets specific initial goals for making schools more diverse and inclusive that will be reported on annually. This includes 12 proposals to address policies and practices that pose challenges to school diversity; this report is organized in a way that aligns each activity to one of these proposals. ",Families and communities,Equity & Excellence for All
Elementary School - High School,Held LGBT Inclusive Curriculum Conference,"The DOE held an LGBT Inclusive Curriculum Conference, which brought together over 150 teachers across subjects, grade levels, and geography, to learn how to incorporate LGBT content into their curricula.",Schools and school communities,Fostering Welcoming School Climates for All Students
