staten_island_condominium_property_address,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_gross_income,borough,staten_island_condominium_property_building_classification
"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""80 RICHMOND HILL ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",34.2,10.13,2251899,5,R4-ELEVATOR
"{'latitude': '40.615139309097', 'longitude': '-74.064118271652', 'human_address': '{""address"": ""31 HYLAN BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",46.3,12.32,752935,5,R4-ELEVATOR
"{'latitude': '40.605406227771', 'longitude': '-74.071431197255', 'human_address': '{""address"": ""81 NARROWS ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",46.3,12.32,752935,5,R2-WALK-UP
"{'latitude': '40.590139318373', 'longitude': '-74.09591840145', 'human_address': '{""address"": ""163 CROMWELL AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R2-WALK-UP
"{'latitude': '40.630545188103', 'longitude': '-74.100480181042', 'human_address': '{""address"": ""200 HART BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
"{'latitude': '40.61012016427', 'longitude': '-74.091832001613', 'human_address': '{""address"": ""755 NARROWS ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",47.5,12.64,917480,5,R4-ELEVATOR
"{'latitude': '40.631288291689', 'longitude': '-74.085772351111', 'human_address': '{""address"": ""55 AUSTIN PLACE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.5,11.49,1648533,5,R4-ELEVATOR
"{'latitude': '40.579123708077', 'longitude': '-74.158733913223', 'human_address': '{""address"": ""195 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.581413291802', 'longitude': '-74.158406698073', 'human_address': '{""address"": ""95 ESSEX DRIVE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.580447621123', 'longitude': '-74.157489107885', 'human_address': '{""address"": ""120 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.611917346156', 'longitude': '-74.064276033557', 'human_address': '{""address"": ""6 NEW LANE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",42.0,11.89,1283835,5,R4-ELEVATOR
"{'latitude': '40.580775695287', 'longitude': '-74.157266450922', 'human_address': '{""address"": ""121 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
"{'latitude': '40.612944224028', 'longitude': '-74.098095898681', 'human_address': '{""address"": ""830 HOWARD AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
"{'latitude': '40.581684751099', 'longitude': '-74.158126386843', 'human_address': '{""address"": ""75 ESSEX DRIVE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.4,11.43,333781,5,R4-ELEVATOR
