bin,fiber_distribution,census_tract
1076267.0,Full Distribution (all floors),102.0
1035741.0,Full Distribution (all floors),102.0
5000063.0,Partial Distribution (some floors),3.0
1035389.0,No Distribution,94.0
,Partial Distribution (some floors),
1014415.0,Full Distribution (all floors),109.0
,Partial Distribution (some floors),
1000027.0,Partial Distribution (some floors),9.0
1001289.0,Full Distribution (all floors),1501.0
1035439.0,Full Distribution (all floors),94.0
1081146.0,Full Distribution (all floors),102.0
1036207.0,Full Distribution (all floors),92.0
5004530.0,No Distribution,105.0
2063174.0,No Distribution,420.0
1003051.0,Full Distribution (all floors),45.0
2002704.0,Partial Distribution (some floors),18302.0
1000057.0,Full Distribution (all floors),31704.0
1035481.0,Partial Distribution (some floors),102.0
3329628.0,Full Distribution (all floors),257.0
3063635.0,Partial Distribution (some floors),549.0
1016176.0,No Distribution,52.0
1001670.0,Full Distribution (all floors),31.0
4448847.0,Partial Distribution (some floors),240.0
1025397.0,No Distribution,133.0
3392969.0,Full Distribution (all floors),11.0
1083181.0,Full Distribution (all floors),80.0
1024828.0,Partial Distribution (some floors),131.0
1015190.0,Partial Distribution (some floors),101.0
1081163.0,Full Distribution (all floors),100.0
1000874.0,Partial Distribution (some floors),7.0
1015534.0,Full Distribution (all floors),58.0
1016287.0,Full Distribution (all floors),56.0
,No Distribution,
,Full Distribution (all floors),
,Partial Distribution (some floors),92.0
3001881.0,No Distribution,502.0
1001830.0,Full Distribution (all floors),29.0
1036161.0,Partial Distribution (some floors),92.0
1034522.0,Partial Distribution (some floors),104.0
1036205.0,Full Distribution (all floors),92.0
2101266.0,No Distribution,18102.0
1082920.0,No Distribution,76.0
5000085.0,Full Distribution (all floors),3.0
,5,102.0
1034227.0,Partial Distribution (some floors),96.0
1035470.0,Partial Distribution (some floors),102.0
1013539.0,Full Distribution (all floors),103.0
1034198.0,Partial Distribution (some floors),96.0
1024896.0,No Distribution,137.0
1083026.0,Full Distribution (all floors),101.0
,Full Distribution (all floors),196.0
1083860.0,Partial Distribution (some floors),104.0
1076203.0,Full Distribution (all floors),127.0
1015244.0,Partial Distribution (some floors),109.0
1018159.0,Full Distribution (all floors),68.0
1010375.0,Full Distribution (all floors),37.0
1002192.0,Full Distribution (all floors),33.0
1012268.0,Full Distribution (all floors),99.0
1038577.0,Partial Distribution (some floors),108.0
1080132.0,No Distribution,61.0
1001389.0,Full Distribution (all floors),29.0
1034506.0,Partial Distribution (some floors),96.0
3002558.0,Partial Distribution (some floors),9.0
1069581.0,Partial Distribution (some floors),119.0
2002869.0,Full Distribution (all floors),63.0
,Full Distribution (all floors),31.0
1015922.0,Full Distribution (all floors),84.0
1036149.0,Full Distribution (all floors),80.0
1017019.0,Full Distribution (all floors),74.0
1024895.0,Full Distribution (all floors),137.0
1016743.0,Full Distribution (all floors),56.0
1036915.0,Full Distribution (all floors),11203.0
1036156.0,Partial Distribution (some floors),92.0
2009911.0,Full Distribution (all floors),36901.0
1080133.0,No Distribution,61.0
1027072.0,Partial Distribution (some floors),135.0
5014078.0,Full Distribution (all floors),21.0
1000021.0,Full Distribution (all floors),9.0
1066031.0,Partial Distribution (some floors),9.0
1000807.0,Partial Distribution (some floors),13.0
1001409.0,Partial Distribution (some floors),21.0
1035747.0,Full Distribution (all floors),102.0
1035771.0,Full Distribution (all floors),102.0
1081740.0,Full Distribution (all floors),135.0
1014343.0,Full Distribution (all floors),101.0
3000026.0,Partial Distribution (some floors),21.0
1016921.0,No Distribution,74.0
1036466.0,Partial Distribution (some floors),100.0
1015158.0,No Distribution,101.0
1081740.0,Full Distribution (all floors),135.0
1000005.0,Full Distribution (all floors),9.0
1001394.0,Full Distribution (all floors),29.0
3000534.0,No Distribution,43.0
1037546.0,Full Distribution (all floors),88.0
1035385.0,Partial Distribution (some floors),92.0
1022563.0,Partial Distribution (some floors),113.0
1085972.0,Full Distribution (all floors),82.0
4000698.0,No Distribution,19.0
1014387.0,Full Distribution (all floors),101.0
1017595.0,Full Distribution (all floors),82.0
1085735.0,Partial Distribution (some floors),92.0
,Full Distribution (all floors),
4206522.0,Full Distribution (all floors),216.0
1036451.0,Partial Distribution (some floors),100.0
1017599.0,Full Distribution (all floors),82.0
1018123.0,Full Distribution (all floors),68.0
1017947.0,Full Distribution (all floors),50.0
1079000.0,Full Distribution (all floors),29.0
1036085.0,Partial Distribution (some floors),11202.0
1001833.0,Full Distribution (all floors),31.0
,Partial Distribution (some floors),
1076199.0,Full Distribution (all floors),131.0
1076262.0,Partial Distribution (some floors),104.0
1001672.0,Full Distribution (all floors),31.0
,Partial Distribution (some floors),92.0
4052812.0,Full Distribution (all floors),216.0
1001068.0,Full Distribution (all floors),13.0
1034517.0,Full Distribution (all floors),104.0
1036150.0,Full Distribution (all floors),80.0
3000172.0,Full Distribution (all floors),13.0
2099027.0,Full Distribution (all floors),61.0
3319418.0,Full Distribution (all floors),11.0
1035357.0,Full Distribution (all floors),94.0
1015201.0,Full Distribution (all floors),101.0
3000257.0,Full Distribution (all floors),11.0
,Partial Distribution (some floors),
1016239.0,Full Distribution (all floors),56.0
