street_address,bbl,signed_poes,of_carriers,diverse_riser_locations,nan with building_name,Does not have two or more diverse riser locations with building_name,No with building_name,Yes with building_name
381 PARK AVENUE SOUTH,1-882-85,None available,4,Yes,,,,381 Park Avenue South
217 EAST 161 STREET,2-2454-1,None available,2,Does not have two or more diverse riser locations,,,900 Sheridan Avenue,
44 WALL STREET,1-43-1,Yes - for installed connections,5 or more,Yes,,,,44 Wall Street
100 EAST 45 STREET,1-1280-90,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,450 Lexington Avenue
666 5 AVENUE,1-1268-1102,Yes - for installed connections,5 or more,Yes,,,666 Fifth Avenue,
1 WATER STREET,1-4-1010,Yes - for installed connections,5 or more,Yes,,,,One New York Plaza
512 MADISON AVENUE,1-1289-14,Yes,5 or more,Yes,520 Madison Avenue,,,
340 MADISON AVENUE,1-1278-14,Yes - for installed connections,5 or more,Yes,,,,340 Madison Avenue
280 MADISON AVENUE,1-869-61,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,280 Madison,
756 BROADWAY,1-554-1,Yes - for installed connections,5 or more,Yes,,,,770 Broadway
40 WALL STREET,1-43-2,Yes - for installed connections,5 or more,Yes,,,The Trump Building,
750 3 AVENUE,1-1301-33,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,750 3rd Avenue,
460 LEXINGTON AVENUE,1-1300-14,Yes - for installed connections,5 or more,Yes,,,,237 Park Avenue
145 WEST 30 STREET,1-806-9,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,,145 West 30th Street
1501 BROADWAY,1-1015-29,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,Paramount Building
WATER STREET,5-523-1,None available,1,Does not have two or more diverse riser locations,,,111 Canal Street,
3100 47 AVENUE,4-281-1,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,,The Falchi Building
55 BROADWAY,1/20/2016,,4,,55 Broadway,,,
23 CHAMBERS STREET,1-153-24,None available,2,Does not have two or more diverse riser locations,,,31 Chambers Street,
613 MADISON AVENUE,1-1294-46,None available,5 or more,Does not have two or more diverse riser locations,,,625 Madison Avenue,
53 WEST 36 STREET,1-838-12,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,,
295 Lafayette Street,1-510-7502,None available,3,Yes,,,Puck Building,
1730 BROADWAY,1-1027-20,Yes - for installed connections,5 or more,Yes,,,,1740 Broadway
149 5 AVENUE,1-850-1,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,149 Fifth Avenue,
645 5th Avenue,1-1287-7501,Yes - for installed connections,3,Yes,,,,Olympic Tower
771 10 AVENUE,1-99999-9999,Yes - for installed connections,1,Yes,,,,Testing This Building
75 9th Ave,1-713-1,Yes - for installed connections,4,Yes,,,,Chelsea Market
555 WEST 57 STREET,1-1086-1,None available,4,Yes,,,555 West 57th Street,
853 BROADWAY,1-565-15,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,853 Broadway,
130 STUYVESANT PLACE,5/8/1970,None available,2,Does not have two or more diverse riser locations,,,130 Stuyvesant Place,
1180 AVENUE OF THE AMER,1-1262-1,None available,3,Does not have two or more diverse riser locations,,,,
27 MADISON AVENUE,1-855-1,None available,1,Does not have two or more diverse riser locations,,,27 Madison Avenue,
100 5 AVENUE,1-817-7502,Yes - for installed connections,5 or more,Yes,,,,100-104 Fifth Avenue
220 EAST 42 STREET,1-1315-24,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,220 East 42nd Street,
390 KENT AVENUE,3-2467-1,None available,1,Does not have two or more diverse riser locations,,,390 Kent Ave,
360 ADAMS STREET,3-139-20,None available,2,Does not have two or more diverse riser locations,,,360 Adams Street,
43 CHAMBERS STREET,1-153-1,None available,2,Does not have two or more diverse riser locations,,,49-51 Chambers Street,
142 EAST 121 STREET,1-1769-45,None available,2,Does not have two or more diverse riser locations,,,170-174 East 121st Street,
100 CENTRE STREET,1-167-1,None available,2,Does not have two or more diverse riser locations,,,100 Centre Street,
35 WEST 36 STREET,1-838-21,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,,
200 LIBERTY STREET,1-16-120,Yes - for installed connections,5 or more,Yes,,,,200 Liberty Street
1675 BROADWAY,1-1024-15,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,1675 Broadway,
140 WEST 57 STREET,1-1009-50,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,140 West 57th Street,
100 EAST 42 STREET,1-1296-1,Yes - for installed connections,5 or more,Yes,,,,125 Park Avenue
155 WATER STREET,3/29/2016,None available,2,Does not have two or more diverse riser locations,,,,GreenDesk
100 CHURCH STREET,1-125-20,Yes - for installed connections,5 or more,Yes,,,,100 Church Street
350 PARK AVENUE,1-1287-33,Yes - for installed connections,4,Yes,,,,350 Park Avenue
280 BROADWAY,1-153-1001,None available,2,Does not have two or more diverse riser locations,,,280 Broadway,
488 MADISON AVENUE,1-1287-14,Yes - for installed connections,3,Yes,,,488 Madison Avenue,
2 LAFAYETTE STREET,1-155-1,None available,4,Does not have two or more diverse riser locations,,,2 Lafayette Street,
1120 AVENUE OF THE AMERIC,1-1259-1,None available,5 or more,Yes,,,Hippodrome,
1 WHITEHALL STREET,1/10/2023,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,One Whitehall Street
771 10 AVENUE,1-99999-9999,Yes - for installed connections,5 or more,Yes,,,,Perfect Test Building
330 MADISON AVENUE,1-1277-14,Yes - for installed connections,5 or more,Yes,,,,330 Madison Avenue
41 EAST 51 STREET,1-1287-28,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,40 East 52nd Street
850 3 AVENUE,1-1306-33,None available,2,Yes,,,850 3rd avenue,
14 READE STREET,1-154-23,None available,2,Does not have two or more diverse riser locations,,,22 Reade Street,
560 LEXINGTON AVENUE,1-1305-13,Yes - for installed connections,4,Yes,,,,560 Lexington Avenue
7 WEST 34 STREET,1-836-26,None available,2,Yes,,,,7 West 34th Street
45 Rockefeller Plaza,1-1266-1,Yes - for installed connections,5 or more,Yes,,,,Rockefeller Center (45 Rock)
20 BROAD STREET,1/23/1950,Yes - for installed connections,5 or more,Yes,,,,20 Broad Street
109 LEONARD STREET,1-171-31,None available,3,Does not have two or more diverse riser locations,,,60 Lafayette Street,
133 CENTRE STREET,1-197-17,None available,2,Does not have two or more diverse riser locations,,,137 Centre Street,
100 GOLD STREET,1-94-25,None available,3,Does not have two or more diverse riser locations,,,100 Gold Street,
413 MADISON AVENUE,1-1284-21,Yes - for installed connections,3,Yes,,,,415 Madison Avenue
2 PARK AVENUE,1-862-29,None available,5 or more,Yes,,,2 Park Avenue ,
485 LEXINGTON AVENUE,1-1301-23,Yes - for installed connections,5 or more,Yes,,,485 Lexington Avenue,
330 WEST 34 STREET,1-757-54,Yes - for installed connections,4,Yes,,,,330 West 34th Street
866 United Nations Plaza,1-1360-1,,,,866 U N Plaza,,,
370 LEXINGTON AVENUE,1-1295-58,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,370 Lexington Avenue,
351 JAY STREET,3-147-4,Yes - for installed connections,5 or more,Yes,,,,1 MetroTech Center
689 5 AVENUE,1-1290-1,Yes - for installed connections,2,Yes,,,,689 Fifth Avenue
259 5 AVENUE,1-858-78,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,261 5th Avenue,
90 PARK AVENUE,1-869-34,Yes - for installed connections,5 or more,Yes,,,,90 Park Avenue
1330 6 Avenue,1-1269-1,Yes - for installed connections,4,Yes,,,,1330 Avenue of the Americas
345 PARK AVENUE,1-1306-1,Yes - for installed connections,5 or more,Yes,,,,345 Park Avenue
30 Rockefeller Plaza,1-1265-7501,Yes - for installed connections,5 or more,Yes,,,,Rockefeller Center (30 Rock)
300 MADISON AVENUE,1-1276-58,Yes - for installed connections,5 or more,Yes,,,,300 Madison Avenue
151-02 JAMAICA AVENUE,4-10093-1,None available,1,Does not have two or more diverse riser locations,,,15102-04 Jamaica Avenue,
875 AVENUE OF THE AMERIC,1-807-39,Yes - for installed connections,2,Yes,,,,
894 7 AVENUE,1-1028-33,None available,2,Does not have two or more diverse riser locations,,,200 West 57th Street,
125-01 QUEENS BOULEVARD,4-9653-1,None available,2,Does not have two or more diverse riser locations,,,125-01 Queens Boulevard,
25-10 COURT SQUARE,4-83-1,None available,1,Does not have two or more diverse riser locations,,,25-10 Court Square,
597 MADISON AVENUE,1-1293-26,Yes - for installed connections,3,Yes,,,,595 Madison Avenue
65 EAST 55 STREET,1-1291-28,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,Park Avenue Tower
420 LEXINGTON AVENUE,1-1280-60,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,420 Lexington Avenue
825 8 AVENUE,1-1040-29,Yes - for installed connections,5 or more,Yes,,,,Worldwide Plaza
225 JORALEMON STREET,3-139-1,None available,1,Does not have two or more diverse riser locations,,,209 Joralemon Street,
5 EAST 52 STREET,1-1288-7,Yes - for installed connections,5 or more,Yes,,,10 East 53rd Street,
1 CENTRE STREET,1-121-1,None available,3,Does not have two or more diverse riser locations,,,1 Centre Street,
1440 BROADWAY,1-993-11,Yes - for installed connections,5 or more,Yes,,,,1440 Broadway
1114 AVENUE OF THE AMERIC,1-1258-9,Yes - for installed connections,5 or more,Yes,,,,Grace Building
225 LIBERTY STREET,1-16-125,None available,5 or more,Yes,,,,225 Liberty Street
1270 AVENUE OF THE AMERIC,1-1266-1,Yes - for installed connections,5 or more,Yes,,,,Rockefeller Center (1270 Ave of the Americas)
630 3 AVENUE,1-1295-40,None available,4,Yes,,,,630 3rd Avenue
18 RICHMOND TERRACE,5/7/2012,Yes,1,No,,18 Schuyler Street,,
1370 BROADWAY,1-812-49,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,1370 Broadway
206 WEST 34 STREET,1-783-70,Yes - for installed connections,5 or more,Yes,,,,One Penn Plaza
16 WALKER STREET,1-192-1,Yes - for installed connections,5 or more,Yes,,,,32 Avenue of the Americas
260 BROADWAY,1-135-1001,None available,2,Does not have two or more diverse riser locations,,,City Hall,
600 5 AVENUE,1-1264-30,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,Rockefeller Center (600 5th)
40 FULTON STREET,1-75-21,Yes - for installed connections,5 or more,Yes,,,,40 Fulton Street
355 LEXINGTON AVENUE,1-1295-23,Yes - for installed connections,4,Yes,,,,355 Lexington Avenue
500 8 AVENUE,1-785-1,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,242 West 36th Street
307 WEST 38 STREET,1-762-25,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,307 West 38th Street
160 ADAMS STREET,3-85-6,None available,3,Does not have two or more diverse riser locations,,,165 Cadman Plaza East,
1230 Avenue of the Americ,1-1264-5,Yes - for installed connections,3,Yes,,,,Rockefeller Center (1230 Ave of the Americas)
2 PENN PLAZA,1-781-9002,Yes - for installed connections,5 or more,Yes,,,,Two Penn Plaza
346 BROADWAY,1-170-6,None available,3,Does not have two or more diverse riser locations,,,346 Broadway,
841 BROADWAY,1-565-15,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,841 Broadway,
117 CHRYSTIE STREET,1-423-22,None available,1,Does not have two or more diverse riser locations,,,115 Chrystie Street,
120-55 QUEENS BOULEVARD,4-2274-2,Yes,3,No,,120-55 Queens Boulevard,,
1412 BROADWAY,1-815-14,Yes - for installed connections,2,Yes,,,,1412 Broadway
88-11 SUTPHIN BOULEVARD,4-9691-1,None available,2,Does not have two or more diverse riser locations,,,88-11 Sutphin Boulevard,
111 CENTRE STREET,1-169-10,None available,1,Does not have two or more diverse riser locations,,,111-31 Centre Street,
280 PARK AVENUE,1-1284-33,Yes - for installed connections,5 or more,Yes,,,,280 Park Avenue
4101 WHITE PLAINS ROAD,2-4832-9,None available,2,Does not have two or more diverse riser locations,,,4101 White Plains Road,
50 Rockefeller  Plaza,1-1266-1,Yes - for installed connections,3,Yes,,,,Rockefeller Center (50 Rock)
240 WEST 35 STREET,1-784-64,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,240 W 35th ,
474 PEARL STREET,1-160-21,None available,2,Does not have two or more diverse riser locations,,,60 Centre Street,
1280 AVENUE OF THE AMERIC,1-1267-1,Yes - for installed connections,5 or more,Yes,,,,1290 Avenue of the Americas
553 5 AVENUE,1-1281-69,Yes - for installed connections,5 or more,Yes,,,,555 5th Avenue
