latitude,longitude,bin,community_board
40.756753,-73.976383,1035439.0,5.0
40.713347,-74.004509,1001670.0,1.0
40.757636,-73.985804,1024714.0,5.0
40.713001,-74.004181,1001394.0,1.0
40.760549,-73.976421,1034520.0,5.0
40.690074,-73.988923,3000534.0,2.0
40.826354,-73.921024,2099027.0,4.0
40.711425,-74.015442,1000057.0,1.0
40.74306,-73.935652,4003539.0,2.0
40.764505,-73.979734,1076177.0,5.0
40.717036,-74.000747,1002358.0,1.0
40.703603,-73.808682,4448759.0,12.0
40.750017,-73.991345,1083026.0,5.0
40.705308,-74.004873,1000874.0,1.0
40.738231,-73.987818,1016176.0,5.0
,,,
40.750256,-73.973256,1037546.0,6.0
,,,
40.703446,-74.013092,1000021.0,1.0
40.762445,-73.972237,1036061.0,5.0
40.710207,-74.001125,1001389.0,1.0
40.742232,-73.986821,1016743.0,5.0
40.742295,-73.984814,1018123.0,5.0
40.757479,-73.982176,1034313.0,5.0
40.699033,-73.988615,3000172.0,2.0
40.74869,-73.985138,1082920.0,5.0
40.75964,-73.975916,1035709.0,5.0
40.750063,-73.988454,1015201.0,5.0
40.75889,-73.989669,1080878.0,4.0
40.751862,-73.977074,1036151.0,5.0
40.741876,-74.004713,1012541.0,4.0
40.718719,-73.993546,1005645.0,3.0
40.734243,-73.990896,1080132.0,2.0
40.750893,-73.996286,1013539.0,4.0
40.757103,-73.986193,1024706.0,5.0
40.89074,-73.858862,2063174.0,12.0
40.719753,-74.004978,1002192.0,1.0
40.714417,-74.006089,1079215.0,1.0
40.770125,-73.990927,1027072.0,4.0
40.755842,-73.979152,1035401.0,5.0
40.753711,-73.987046,1080611.0,5.0
40.743478,-73.98607,1016889.0,5.0
40.625509,-74.083403,5014078.0,1.0
40.750245,-73.976909,1036147.0,6.0
40.742534,-73.984641,1018159.0,5.0
40.739644,-73.989654,1016226.0,5.0
40.753722,-73.972309,1036207.0,6.0
40.713329,-73.828601,4052812.0,9.0
40.758744,-73.968618,1038570.0,6.0
40.745059,-73.987008,1016921.0,5.0
40.719281,-74.000014,1003051.0,2.0
40.758754,-73.978692,1076262.0,5.0
40.6934,-73.988915,3392969.0,2.0
40.70814,-74.011373,1001024.0,1.0
40.75379,-73.981599,1034198.0,5.0
40.761131,-73.975295,1035741.0,5.0
40.754244,-73.973994,1036206.0,6.0
40.740006,-73.986507,1016287.0,5.0
40.644935,-74.07723,5000090.0,1.0
40.72816,-74.007194,1010379.0,2.0
40.825999,-73.923131,2002869.0,4.0
40.70943,-74.011102,1001068.0,1.0
40.760354,-73.973454,1035747.0,5.0
40.845685,-73.893294,2009911.0,6.0
40.759136,-73.968333,1038577.0,6.0
40.736963,-73.988713,1017860.0,5.0
40.749798,-73.975165,1036149.0,6.0
40.726711,-74.007425,1010375.0,2.0
40.711044,-73.96279,3396900.0,1.0
40.752236,-73.979712,1085972.0,5.0
40.763054,-73.971789,1036085.0,5.0
40.753869,-73.978513,1035357.0,5.0
40.692882,-73.987256,3319418.0,2.0
40.751049,-73.974252,1036161.0,6.0
40.763034,-73.983005,1024828.0,5.0
40.715249,-74.00206,1001831.0,1.0
40.757943,-73.971322,1036466.0,5.0
40.752925,-73.966834,1040072.0,6.0
40.756435,-73.979967,1034326.0,5.0
40.753383,-73.978871,1035348.0,5.0
40.724537,-73.995761,1007941.0,2.0
40.702444,-74.012742,1000005.0,1.0
40.746077,-73.982092,1017019.0,5.0
40.752943,-73.992904,1014421.0,5.0
,,,
40.699963,-73.948449,3329628.0,3.0
40.752048,-73.987505,1015244.0,5.0
40.74035,-73.990441,1016239.0,5.0
40.756651,-73.972264,1036451.0,5.0
40.642891,-74.076874,5000085.0,1.0
40.756924,-73.969976,1036462.0,6.0
,,,
40.706638,-74.012631,1000807.0,1.0
40.756815,-73.972145,1036459.0,5.0
40.707904,-74.004411,1075618.0,1.0
,,,
40.75753,-73.977946,1034506.0,5.0
40.706553,-74.011033,1000816.0,1.0
40.764952,-73.978719,1023462.0,5.0
40.832249,-73.919644,2101266.0,4.0
40.74879,-73.992244,1014343.0,5.0
40.643004,-74.075772,5000064.0,1.0
40.738574,-73.987536,1017947.0,5.0
,,,
40.826076,-73.919984,,4.0
40.758104,-73.979165,1077284.0,5.0
40.713696,-74.00672,1001473.0,1.0
40.826216,-73.920461,2002704.0,4.0
40.760465,-73.970151,1081163.0,5.0
40.754611,-73.986761,1022563.0,5.0
40.758888,-73.974855,1035470.0,5.0
40.716473,-74.003189,1001842.0,1.0
40.762074,-73.986275,1076203.0,4.0
,,,
40.695822,-73.992802,3001881.0,2.0
40.711537,-74.015673,1000058.0,1.0
40.692432,-73.990228,3000256.0,2.0
40.758323,-73.974722,1076267.0,5.0
40.713723,-74.003586,1001672.0,1.0
40.711246,-73.968348,3063635.0,1.0
40.734646,-73.99081,1080133.0,2.0
,,,
40.704623,-73.809151,4207071.0,12.0
40.750648,-73.985798,1015922.0,5.0
40.712968,-74.00949,1001409.0,1.0
40.704215,-74.011559,1066031.0,1.0
