bbl,postcode,riser_space_for_additional_providers,certification_class,multiple_points_of_entry,riser_space_for_current_providers,nta
1/20/2016,10006.0,No,Not certified,none,No,Battery Park City-Lower Manhattan                                          
1-1259-1,,Yes,Not certified,Yes,Yes,
1-166-27,10013.0,Yes,Connected,No,Yes,Chinatown                                                                  
1-1290-1,10022.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-423-22,10002.0,No,Not certified,No,No,Chinatown                                                                  
1-1008-7503,10019.0,No,Gold,Dedicated room,No,Midtown-Midtown South                                                      
5/9/2022,10301.0,Yes,Not certified,No,Yes,West New Brighton-New Brighton-St. George                                  
1-154-23,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1262-24,10036.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-153-1,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1284-33,10017.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
3-266-1001,11201.0,Yes,Connected,No,Yes,Brooklyn Heights-Cobble Hill                                               
1-167-1,10013.0,Yes,Connected,No,Yes,Chinatown                                                                  
1-809-53,10120.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-1044-22,10019.0,Yes,Not certified,Yes,Yes,Clinton                                                                    
1-1360-1,10017.0,No,Not certified,,No,Turtle Bay-East Midtown                                                    
3-2467-1,11249.0,No,Not certified,No,No,North Side-South Side                                                      
1-1258-21,10036.0,No,Silver,No,Yes,Midtown-Midtown South                                                      
3-139-1,11201.0,Yes,Not certified,No,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-1290-21,10022.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1/23/1950,10005.0,Yes,Not certified,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1310-63,10022.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
2-2444-1,10451.0,Yes,Not certified,No,Yes,East Concourse-Concourse Village                                           
1-820-1,,No,Not certified,Yes,Yes,
4-9691-1,11435.0,Yes,Connected,No,Yes,Jamaica                                                                    
1/29/2001,10004.0,Yes,Not certified,Yes,Yes,Battery Park City-Lower Manhattan                                          
2-2443-94,10451.0,Yes,Connected,No,Yes,East Concourse-Concourse Village                                           
3-139-20,11201.0,Yes,Silver,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-1291-28,10022.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
4-2274-2,11415.0,Current Providers,Connected,Combination of open,No,Kew Gardens                                                                
1-1280-9010,10017.0,Yes,Platinum,Yes,Yes,Turtle Bay-East Midtown                                                    
1-812-49,10018.0,No,Not certified,Yes,No,Midtown-Midtown South                                                      
1-1296-1001,10017.0,Yes,Gold,No,Yes,Murray Hill-Kips Bay                                                       
1-37-23,10005.0,Yes,Silver,Yes,Yes,Battery Park City-Lower Manhattan                                          
5-159-65,10310.0,Yes,Not certified,No,Yes,New Brighton-Silver Lake                                                   
1-1306-33,10022.0,Yes,Silver,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1280-90,10017.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
3-237-1,11201.0,Yes,Not certified,No,Yes,Brooklyn Heights-Cobble Hill                                               
1-785-1,10018.0,Yes,Not certified,No,Yes,Midtown-Midtown South                                                      
1-873-67,10003.0,No,Gold,Yes,Yes,Gramercy                                                                   
5/8/1970,10301.0,Yes,Connected,No,Yes,West New Brighton-New Brighton-St. George                                  
2-2462-39,10456.0,Yes,Not certified,Yes,Yes,East Concourse-Concourse Village                                           
1-851-41,10010.0,Yes,Silver,No,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-171-31,10013.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-848-43,10003.0,Yes,Not certified,No,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-16-120,10281.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1328-1,10022.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1281-69,10017.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-1287-28,10022.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
1-1024-38,10019.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-16-125,10280.0,Yes,Gold,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1265-7501,10112.0,No,Gold,Yes,Yes,Midtown-Midtown South                                                      
2-2468-1,10451.0,Yes,Connected,Yes,Yes,West Concourse                                                             
1-565-15,10003.0,No,Not certified,No,Yes,West Village                                                               
1-121-1,10007.0,Yes,Connected,No,Yes,Chinatown                                                                  
1-597-62,10013.0,Yes,Not certified,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-882-85,10016.0,Yes,Gold,Yes,Yes,Gramercy                                                                   
1-125-20,10007.0,Yes,Gold,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1296-1,10017.0,Yes,Gold,No,Yes,Murray Hill-Kips Bay                                                       
3-147-4,11201.0,Yes,Platinum,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-1288-7,10022.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
1-997-41,10036.0,Yes,Silver,Yes,Yes,Midtown-Midtown South                                                      
1/9/2029,10004.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-882-3,10016.0,Yes,Platinum,Yes,Yes,Gramercy                                                                   
1-1301-23,10017.0,Yes,Gold,Yes,Yes,Turtle Bay-East Midtown                                                    
1-849-70,10010.0,Yes,Platinum,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-1268-1102,10103.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-1028-33,10106.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-43-2,10005.0,Yes,Not certified,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-135-1001,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1269-1,10019.0,Yes,Not certified,No,Yes,Midtown-Midtown South                                                      
1-62-7501,10006.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
4-9653-1,11415.0,Yes,Connected,No,Yes,Kew Gardens                                                                
1-1287-33,10022.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1300-14,10017.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1289-14,10022.0,No,Platinum,Dedicated room,No,Midtown-Midtown South                                                      
3-2444-11,11211.0,No,Not certified,Yes,Yes,North Side-South Side                                                      
1-99999-9999,10019.0,Yes,Not certified,Yes,Yes,Clinton                                                                    
1-757-54,10001.0,Yes,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-1277-14,10017.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-999-29,,Yes,Platinum,Yes,Yes,
1-807-39,,Yes,Not certified,Yes,Yes,
1-1769-45,10035.0,Yes,Connected,No,Yes,East Harlem North                                                          
1-1312-41,10155.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
1-838-21,10018.0,No,Not certified,Yes,No,Midtown-Midtown South                                                      
1-43-1,10005.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1305-60,10022.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
1-46-3,10005.0,Yes,Not certified,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-197-17,10013.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1262-1,10036.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-823-37,10010.0,Yes,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-1301-33,10017.0,Yes,Gold,Yes,Yes,Turtle Bay-East Midtown                                                    
5/7/2001,10301.0,Yes,Connected,No,Yes,West New Brighton-New Brighton-St. George                                  
1-153-1001,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1270-71,,Yes,Gold,Yes,Yes,
4-10093-1,11432.0,Yes,Not certified,No,Yes,Jamaica                                                                    
1-1329-1,10022.0,Yes,Gold,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1264-30,10020.0,No,Silver,No,Yes,Midtown-Midtown South                                                      
1-1264-5,10020.0,No,Silver,Yes,Yes,Midtown-Midtown South                                                      
1-817-7502,10011.0,Yes,Platinum,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-850-1,10010.0,Yes,Not certified,No,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-1264-5,,No,Silver,Yes,Yes,
1-1294-46,10022.0,Yes,Silver,Yes,Yes,Midtown-Midtown South                                                      
2-2454-1,10451.0,Yes,Connected,No,Yes,East Concourse-Concourse Village                                           
1-1315-24,10017.0,No,Silver,Yes,Yes,Turtle Bay-East Midtown                                                    
1-153-24,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1276-58,10017.0,Yes,Gold,Yes,Yes,Murray Hill-Kips Bay                                                       
1-1266-1,10111.0,No,Gold,Yes,Yes,Midtown-Midtown South                                                      
1-75-21,10038.0,Yes,Not certified,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1295-23,10017.0,No,Platinum,Yes,Yes,Murray Hill-Kips Bay                                                       
1-807-1,10001.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-780-36,10001.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-99999-9999,10019.0,No,Not certified,Yes,Yes,Clinton                                                                    
1-833-11,10001.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1278-14,10173.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
5/7/2012,10301.0,Current Providers,Not certified,Combination of open,No,West New Brighton-New Brighton-St. George                                  
1-1287-14,10022.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1024-15,10019.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-160-21,10007.0,Yes,Connected,No,Yes,Chinatown                                                                  
1-876-6,10010.0,Yes,Not certified,No,Yes,Gramercy                                                                   
1-94-25,10038.0,Yes,Connected,No,Yes,Battery Park City-Lower Manhattan                                          
1-862-29,10016.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
5-523-1,,Yes,Not certified,No,Yes,
1-849-63,10010.0,No,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-855-1,10010.0,Yes,Connected,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
3-1720-1,11206.0,Yes,Not certified,Yes,No,Bedford                                                                    
1-1300-1,10169.0,Yes,Not certified,Yes,Yes,Turtle Bay-East Midtown                                                    
1-672-1,10001.0,Yes,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-836-26,10001.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-554-1,10003.0,Yes,Not certified,Yes,Yes,West Village                                                               
5-542-9,10304.0,Yes,Connected,No,Yes,Stapleton-Rosebank                                                         
1-1307-14,10022.0,Yes,Gold,Yes,Yes,Turtle Bay-East Midtown                                                    
1-713-1,10011.0,Yes,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-806-9,10001.0,No,Not certified,No,Yes,Midtown-Midtown South                                                      
1-46-1,10005.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1295-40,10017.0,Yes,Gold,Yes,Yes,Murray Hill-Kips Bay                                                       
4-9680-1,11435.0,Yes,Connected,No,Yes,Jamaica                                                                    
1-155-1,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1297-23,10174.0,No,Silver,Yes,Yes,Turtle Bay-East Midtown                                                    
1-783-70,10001.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-510-7502,10012.0,Yes,Silver,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1009-50,10019.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1285-36,10022.0,Yes,Platinum,Yes,Yes,Midtown-Midtown South                                                      
1-1258-9,,Yes,Platinum,Yes,Yes,
1-233-26,10013.0,Yes,Not certified,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-599-64,10014.0,Yes,Gold,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-838-12,10018.0,No,Not certified,Yes,No,Midtown-Midtown South                                                      
1-4-1010,10004.0,Yes,Platinum,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1301-1,10167.0,Yes,Platinum,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1086-1,10019.0,Yes,Silver,Yes,Yes,Clinton                                                                    
1-1297-33,10017.0,No,Silver,Yes,Yes,Turtle Bay-East Midtown                                                    
1-1267-41,10019.0,Yes,Not certified,No,Yes,Midtown-Midtown South                                                      
1-1305-13,10022.0,Yes,Platinum,Yes,No,Turtle Bay-East Midtown                                                    
