toiletscomm,toiletsam,sinksam,toiletpaperdispam,ovcond,papertoweldispam
Stainless Steel,1.0,1.0,1.0,U,1.0
Porcelain,1.0,1.0,1.0,A,1.0
Stainless Steel,1.0,1.0,1.0,U,1.0
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
,,,,N,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,A,
,,,,A,
,,,,A,
,,,,A,
,,,,A,
Stainless Steel,1.0,2.0,1.0,A,
Stainless Steel,2.0,1.0,2.0,A,1.0
,,,,N,
,,,,A,
Porcelain,6.0,3.0,6.0,A,1.0
,,,,U,
,,,,N,
Porcelain,1.0,1.0,1.0,N,1.0
,,,,A,
,,,,U,
,,,,N,
,,,,A,
Porcelain,1.0,1.0,1.0,N,1.0
,,,,A,
,,,,U,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
Porcelain,1.0,1.0,1.0,A,1.0
,,,,A,
Stainless Steel,2.0,1.0,2.0,N,1.0
Porcelain,1.0,1.0,,A,0.0
,,,,A,
,,,,A,
,,,,A,
,,,,U,
,,,,A,
,,,,N,
,,,,A,
Porcelain,1.0,1.0,1.0,A,1.0
,,,,A,
,,,,A,
Porcelain,1.0,1.0,1.0,U,1.0
Stainless Steel,2.0,1.0,2.0,U,1.0
Stainless Steel,4.0,1.0,4.0,U,1.0
,,,,A,
,,,,U,
,,,,N,
Porcelain,1.0,1.0,1.0,U,1.0
Porcelain,1.0,1.0,1.0,A,1.0
Porcelain,1.0,1.0,1.0,N,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
,,,,A,
,,,,A,
Stainless Steel,4.0,2.0,4.0,A,1.0
Stainless Steel,2.0,1.0,1.0,U,2.0
Stainless Steel,1.0,1.0,1.0,U,1.0
,,,,U,
Porcelain,1.0,1.0,1.0,U,1.0
Porcelain,6.0,3.0,6.0,A,1.0
,,,,U,
,,,,U,
,,,,N,
Porcelain,,1.0,1.0,A,0.0
Porcelain,3.0,1.0,1.0,A,
,,,,U,
,,,,N,
Porcelain,1.0,2.0,1.0,U,0.0
Stainless Steel,1.0,1.0,1.0,U,1.0
,,,,U,
Porcelain,2.0,1.0,2.0,U,1.0
,,,,N,
