concession_id_pre_registration,concessionaire,doc_cd_e_g_rct1,borough
M104-B-M,"New York Trans Harbor, LLC ",RCT1,Manhattan
B73-SB,"Prospect Park Alliance, Inc. ",RCT1,Brooklyn
B368-O,Central Amusement International,RCT1,Brooklyn
B129-TP,"Brooklyn Tennis & Sports Club, LLC",RCT1,Brooklyn
,Quinn Restaurant Corp,RCT1,Queens
B60-TP,Stephen Carberry,RCT1,Brooklyn
M200/200A/220/229-MT,"Zuniga, Gonzalo",RCT1,Manhattan
,Astoria Generating Company LP,RCT1,Brooklyn
M10-86-WD-C,GSP Trade Inc.,RCT1,Manhattan
B28-TP,"Brooklyn Tennis & Sports Club, LLC",RCT1,Brooklyn
M10-74-WD-C,"Nandita, Inc.   ",RCT1,Manhattan
M10-DT-SB,New York Shakespeare Festival,RCT1,Manhattan
B248-MT,"Kavuzlu, Yasin",RCT1,Brooklyn
B406-O,"Fitmar Management, LLC     ",RCT1,Brooklyn
B73-6-C,Janani Food Service Inc.,RCT1,Brooklyn
M10-W61-HP-C,Janani Food Service,RCT1,Manhattan
B150-MT,Husamettin Ugur,RCT1,Brooklyn
M10-W60-HP-C,New York Picnic company,RCT1,Manhattan
B73-O,"Prospect Park Alliance, Inc. ",RCT1,Brooklyn
M10-72-1A-C,Mohammed J. Ahmed,RCT1,Manhattan
M10-W109-C,"Janani Food Services, Inc. ",RCT1,Manhattan
B9-SB,Crossroads To Go LLC,RCT1,Brooklyn
,James Miller Marina,RCT1,Staten Island
B159-C,"Islam, Mohammed",RCT1,Brooklyn
,Williamsburgh Yacht Club,RCT1,Queens
M124-SB,Mud LLC,RCT1,Manhattan
B73-IS,"Prospect Park Alliance, Inc. ",RCT1,Brooklyn
M168-O,"Alliance For Downtown New York, Inc.",RCT1,Manhattan
M10-W63-HP-C,Mun Trading Company,RCT1,Manhattan
B251-TP,Maksim Dubov,RCT1,Brooklyn
B58-2-C,Unlimited Nuts Inc.,RCT1,Brooklyn
M10-1-O,City Parks Foundation,RCT1,Manhattan
M10-E72-CG,Spatula LLC,RCT1,Manhattan
B169-1-MT,"Ozdemir, Ahmet",RCT1,Brooklyn
M10-96-WD-C,"Janani Food Services, Inc. ",RCT1,Manhattan
M10-72-1C-C,"IRIN NY, Inc.",RCT1,Manhattan
B329-MT,"Roytblat, Pavel",RCT1,Brooklyn
B28-H-GC,American Golf    ,RCT1,Brooklyn
B58-C,Zoila Orellana,RCT1,Brooklyn
M10-W67-C,Mohammed J. Ahmed,RCT1,Manhattan
B47-2-C,Alex Malpica,RCT1,Brooklyn
M10-72-3C,GSP Trade Inc.,RCT1,Manhattan
B7-1-C,"Yakubov, Gavriel",RCT1,Brooklyn
B16-C,"Zhirzhan, Jose",RCT1,Brooklyn
B98-MT,Abdelhafeez Abdelhafeez,RCT1,Brooklyn
2013-032362,MetroTech Area District Management Association,RCT1,Brooklyn
M10-72-6C,"Ahmed, Mohammad J.",RCT1,Manhattan
B126-CG,El Olomega Red Hook Salvadoran Pupsa,RCT1,Brooklyn
2011-006093,Chelsea Improvement Company,RCT1,Manhattan
M10-70-ED-C,"Sultana, Nadira",RCT1,Manhattan
2011-020542,Meatpacking Improvement Association,RCT1,Manhattan
,Brooklyn Union Gas Company d/b/a National Grid NY ,RCT1,Brooklyn
B223-STR,"Consolazio, Dominick",RCT1,Brooklyn
2011-025499,Fulton Mall Improvement Association,RCT1,Brooklyn
B57-TR,Superior Vending LLC  ,RCT1,Brooklyn
M10-62-CD-CG,Good To Go Organics   ,RCT1,Manhattan
M10-63-ED-CG,Good To Go Organics  ,RCT1,Manhattan
M10-O,Central Park Conservancy,RCT1,Manhattan
,NYU Medical Center ,RCT1,Manhattan
B66-MT,"Pehlivan, Osman",RCT1,Brooklyn
M10-BK,Strand Bookstore,RCT1,Manhattan
,"Riverside Machinery Co., Inc.",RCT1,Brooklyn
B219-NS,Nur Kalam,RCT1,Brooklyn
M10-E62-C,Mun Trading Company,RCT1,Manhattan
B54-TP,Eric Jordan,RCT1,Brooklyn
M10-15-SLB,"Freeze Frame, LLC  ",RCT1,Manhattan
B166-D-M,"Dimeglio, Donato",RCT1,Brooklyn
B-406-1-M,Hudson River Yacht Club,RCT1,Brooklyn
B126-BF,College of St Francis Xavier d.b.a. Xavier High School,RCT1,Brooklyn
M144-3-C,"Solano, Pedro",RCT1,Manhattan
M10-15-SB,"Knish Nosh until June 2015, then Le Pain Quotidien via assignment  ",RCT1,Manhattan
M203-C-SB,"The Patio New York, LLC d.b.a Dag's Patio Café",RCT1,Manhattan
B192-C,"Pehlivan, Osman",RCT1,Brooklyn
B406-4-M,"Sebago Canoe Club, Inc.",RCT1,Brooklyn
M10-64-SB,"AI Restaurant Central Park, LLC",RCT1,Manhattan
B-406-3-M,Diamond Point Yacht Club,RCT1,Brooklyn
M10-CC-AS,"Urban Space Holdings, Inc.",RCT1,Manhattan
B57-BR-RB,Freetime Inc. d.b.a. Wheel Fun Rentals,RCT1,Brooklyn
M14-MT,"Polonia, Carlos",RCT1,Manhattan
M101-O,Madison Square Park Conservancy,RCT1,Manhattan
M10-W93-C,"GSP Trade, Inc.",RCT1,Manhattan
M10-72-2C,"Sultana, Nadira",RCT1,Manhattan
"B251-SB,PL","City Ice Sports, Inc.   ",RCT1,Brooklyn
M10-IT,Central Park Tennis Center  ,RCT1,Manhattan
M10-W81-GL-CG,Belgo Waffle Inc,RCT1,Manhattan
B280-AP,Fair Promotions Inc.  ,RCT1,Brooklyn
M104-IT,"Island Tennis, Lp D/B/A Sportime",RCT1,Manhattan
M101-CG,Calexico Carne Asada,RCT1,Manhattan
B58-IT,MCCARREN TENNIS CENTER PARTNERS LLC,RCT1,Brooklyn
B58-IS,OSA Presents Inc.,RCT1,Brooklyn
B68-IT,Prospect Park Alliance    ,RCT1,Brooklyn
B57-TP,Bogdana Romansky- Livianu,RCT1,Brooklyn
2013-055862,Village Alliance District Management Association,RCT1,Manhattan
M10-W65-C,"Asia Food Service, Inc. ",RCT1,Manhattan
M071-W91-1C,"GSP Trade, Inc.",RCT1,Manhattan
M10-1-O,City Parks Foundation,RCT1,Manhattan
071-08S-04-1157,YMCA of Greater New York,RCT1,Brooklyn 
B111-MT,Sedat Yaman,RCT1,Brooklyn
,Ferry Street Enterprises,RCT1,Staten Island
M10-72-6C,The New York Picnic Company Inc.,RCT1,Manhattan
M10-E82-GL-C,"Sultana, Nadira",RCT1,Manhattan
M10-72-ED-C,Aa Business Management Inc.   ,RCT1,Manhattan
B58-MT,Unlimited Nuts Inc.,RCT1,Brooklyn
2015-002237,"Alliance for Downtown NY, Inc",RCT1,Manhattan
M10-59-C,Unlimited Nuts Inc.,RCT1,Manhattan
M116-TR,"Susser, Bruce Ira",RCT1,Manhattan
M10-E66-SM-C,"Nandita, Inc.",RCT1,Manhattan
M10-73-BB-C,"IRIN NY, Inc.",RCT1,Manhattan
B406-5-M,Paerdegat Squadron Inc.,RCT1,Brooklyn
M13-NS,Kantom Corp.  ,RCT1,Manhattan
M10-72-3C,"Nandita, Inc.  ",RCT1,Manhattan
B294-TP,Elliot Frank,RCT1,Brooklyn
B82-TP,"Brooklyn Tennis & Sports Club, LLC",RCT1,Brooklyn
B73-CL,"Prospect Park Alliance, Inc. ",RCT1,Brooklyn
2008-037288,"Three Brothers Baking, Inc.",RCT1,Manhattan
B-406-2-M,Midget Squadron of Jamaica Bay Inc.,RCT1,Brooklyn
M125-NS,"Mazumder, Jahangir Alam",RCT1,Manhattan
M104-SB,"R Cano Group, Inc.",RCT1,Manhattan
M10-62-WD-C,Unlimited Nuts Inc.,RCT1,Manhattan
B223-O(A)-SB,Golden Ring Inc,RCT1,Brooklyn
M007-CG,"Adameric, Inc.",RCT1,Manhattan
M170-TR,"NYC Trees, Inc.",RCT1,Manhattan
B529-O,Open Space Alliance of North Brooklyn,RCT1,Brooklyn
M10-W85-GL-C,"Sen, Krishna",RCT1,Manhattan
M10-79-ED-C,"IRIN NY, Inc.",RCT1,Manhattan
M10-34-R,The Emerald Green Group LLC,RCT1,Manhattan
B222-MT,M&T Ice Cream Corp.,RCT1,Brooklyn
B369-SB-CL,Cai Foods LLC,RCT1,Brooklyn
M10-SV,Central Park Conservancy,RCT1,Manhattan
M10-E65-C,"IRIN NY, Inc.",RCT1,Manhattan
"M10-(14)-BR,SB,R",Central Park Boathouse LLC    ,RCT1,Manhattan
M10-74-WD-C,"Nandita, Inc.",RCT1,Manhattan
M03-C,Ahmed Soliman,RCT1,Manhattan
,"Villa Marin, GMC",RCT1,Staten Island
M042-4-C,Carlos Polonia,RCT1,Manhattan
11HM000701R0X00,"HealthTran, LLC (d/b/a HealthTrans)",RCT1,
B251-PL,City University of New York: Kingsborough,RCT1,Brooklyn
B353-MT,"Kavuzlu, Yasin",RCT1,Brooklyn
M10-65-SB,Sunny Days in the Park Inc.,RCT1,Manhattan
B57-1-MT,"Ozdemir, Ahmet",RCT1,Brooklyn
M10-W96-C,"GSP Trade, Inc.",RCT1,Manhattan
M10-SV,Central Park Conservancy,RCT1,Manhattan
M144-TP,Donald Sylva,RCT1,Manhattan
,Russell Cascardo,RCT1,Brooklyn
B251-PL,City University of New York: Kingsborough,RCT1,Brooklyn
B32-TP,Opihi Brands Inc d.b.a. Bumblebee,RCT1,Brooklyn
,Distributors Vending  Corporation,RCT1,All Boroughs
2009-031416,Flatiron/23rd Street Partnership BID,RCT1,Manhattan
2009-031422,"Times Square District Management Association, Inc.",RCT1,Manhattan
M10-9-CG,Belgo Waffle Inc,RCT1,Manhattan
M10-(5)-A-IS,"Wollman Rink Operations, LLC   ",RCT1,Manhattan
2013-055865,DUMBO Area Distric Management Association,RCT1,Brooklyn
B-40-O,Council on the Environment aka GrowNYC,RCT1,Brooklyn
B126-O,Food Vendors Of Red Hook   ,RCT1,Brooklyn
M42-11-C,"Vaquero, Faustino",RCT1,Manhattan
M10-M53-TS,NYSP Outlet Corporation,RCT1,Manhattan
B336-A-IS,"City Ice Sports, Inc.    ",RCT1,Brooklyn
B57-A-GC,"Marine Park Seaside Links, LLC  ",RCT1,Brooklyn
M10-NM-SB,"Martinez, Christopher",RCT1,Manhattan
,Plaza Food Connection Corp.,RCT1,Manhattan
"M10,37,72,144,BR",Bike The Green Way LLC  ,RCT1,Manhattan
