workorder_number,workorder_added,workorder_activity_description,workorder_activity_code
1054581,2005-05-18T13:55:09.000,REPAIR CONNECTION,SA25
843017788,2015-01-21T09:42:25.000,INSTALL TOP SECTION,WA03
842142546,2010-09-24T16:56:27.000,RESET/REPLACE VALVE BOX,WA10
1418784,2007-05-19T09:58:01.000,REPAIR SEWER BREAK (CONTRACT.),SRB
843041080,2015-03-18T13:55:48.000,RESET CURB PIECE,SCCP
842964459,2014-09-17T10:32:57.000,LINE SEWER (CONTRACTOR),SRL
1624702,2008-05-07T09:46:11.000,REPAIR CONNECTION,SA25
842352749,2011-05-19T16:56:23.000,APPLY HOT PATCH,WA12I
843055506,2015-04-24T11:37:12.000,REPAIR INOPERATIVE HYDRANT,WA04
1052680,2005-05-12T10:20:10.000,REPAIR VALVE- NOTE SIZE,WA09
842694828,2013-05-13T14:15:17.000,FLUSH SEWER SECTION,SSF
843049541,2015-04-09T10:12:14.000,REPAIR INOPERATIVE HYDRANT,WA04
1038862,2005-04-19T14:22:41.000,REPAIR CONNECTION,SA25
1621813,2008-04-30T18:31:28.000,REPAIR CONNECTION,SA25
842878660,2014-04-16T13:41:02.000,REPAIR BASIN-MINOR,SA23
1105472,2005-08-19T15:57:52.000,REPAIR CONNECTION,SA25
1309976,2006-09-29T13:48:11.000,REPAIR CONNECTION,SA25
843154182,2015-10-19T10:29:04.000,REPAIR VALVE- NOTE SIZE,WA09
843049539,2015-04-09T10:08:58.000,REPAIR OPERATIVE HYDRANT,WA05
842941270,2014-08-04T11:52:58.000,REPAIR BASIN-MAJOR,SA24
100322,2000-06-01T13:20:07.000,PERFORM OTHER MANHOLE WORK,SA27
842875097,2014-04-08T13:48:05.000,REPAIR BASIN-MINOR,SA23
843176679,2015-12-01T14:22:04.000,RESET/REPLACE VALVE BOX,WA10
1066967,2005-06-17T13:14:09.000,REPAIR CONNECTION,SA25
842763911,2013-09-07T17:44:15.000,REPLACE MANHOLE CASTING,SA26
842955121,2014-09-03T15:23:10.000,LINE SEWER (CONTRACTOR),SRL
842442770,2012-04-02T10:34:29.000,REPLACE MANHOLE CASTING,SA26
843010807,2015-01-06T07:58:16.000,REPAIR SEWER BREAK (CONTRACT.),SRB
1797043,2008-12-27T23:03:12.000,PERFORM DYE TEST,SMDT
842891376,2014-05-08T15:11:52.000,REPAIR BASIN-MINOR,SA23
843454743,2016-08-01T20:54:30.000,CLEAN CATCH BASIN/INLET,SCC
842987632,2014-11-03T17:14:04.000,APPLY COLD PATCH,WA12F
841840973,2009-06-24T10:49:16.000,PERFORM OTHER MANHOLE WORK,SA27
843177936,2015-12-04T05:28:02.000,INSTALL TOP SECTION,WA03
843204490,2016-01-29T09:00:41.000,REPAIR SEWER BREAK (CONTRACT.),SRB
843086787,2015-06-06T09:44:58.000,VACTOR SEWER,SVAC
843169492,2015-11-19T14:49:55.000,REPAIR BASIN-MINOR,SA23
842978809,2014-10-15T11:37:05.000,RESTORE CEMENT AROUND HYDRANT,WA12A
842818955,2013-12-20T09:11:30.000,CAVE IN RESTORATION,SA12R
842834388,2014-01-29T18:02:40.000,REPLACE MANHOLE CASTING,SA26
1634990,2008-05-28T18:00:47.000,REPAIR CONNECTION,SA25
843019155,2015-01-25T10:25:59.000,RESET/REPLACE VALVE BOX,WA10
842795951,2013-11-25T08:06:35.000,REPLACE MANHOLE CASTING,SA26
843079691,2015-05-20T13:56:33.000,SHUT TAP/WET CON. /NON-COMP.,WA06A
843047233,2015-04-03T08:15:43.000,REPAIR SEWER BREAK (CONTRACT.),SRB
842752220,2013-08-06T10:09:57.000,REPAIR CONNECTION,SA25
842001863,2010-01-24T12:14:50.000,FLUSH HYDRANTS IN AREA,WHF
843101415,2015-06-29T23:25:53.000,REPAIR BASIN-MAJOR,SA24
843006721,2014-12-20T10:54:57.000,REPAIR BASIN-MAJOR,SA24
843075852,2014-11-19T10:35:28.000,RESTORE CEMENT AROUND HYDRANT,WA12A
843040730,2015-03-18T03:24:18.000,REPAIR BASIN-MAJOR,SA24
842899596,2014-05-28T09:10:25.000,PERFORM OTHER MANHOLE WORK,SA27
1006805,2005-02-16T11:18:09.000,REPAIR CONNECTION,SA25
842819953,2013-12-22T19:59:15.000,REPLACE MANHOLE CASTING,SA26
842882322,2014-04-23T13:47:23.000,LINE SEWER (CONTRACTOR),SRL
843104755,2015-07-08T09:40:44.000,APPLY HOT PATCH,WA12I
843147867,2015-04-05T11:34:42.000,APPLY HOT PATCH,WA12I
842385822,2012-01-05T10:49:37.000,REPLACE MANHOLE CASTING,SA26
1119824,2005-09-07T16:07:02.000,REPAIR SEWER BREAK (CONTRACT.),SRB
842832322,2014-01-24T09:41:57.000,REPLACE MANHOLE CASTING,SA26
842437073,2012-03-22T08:28:15.000,REPLACE MANHOLE CASTING,SA26
843133333,2014-11-26T11:07:02.000,APPLY HOT PATCH,WA12I
843195473,2016-01-11T11:20:56.000,FLUSH CATCH BASIN/CONNECTION,SCF
1266029,2006-07-25T15:57:56.000,REPAIR CONNECTION,SA25
843079470,2015-05-20T09:09:18.000,LINE SEWER (CONTRACTOR),SRL
842164689,2010-10-28T10:34:28.000,FLUSH HYDRANTS IN AREA,WHF
842878342,2014-04-16T01:14:50.000,REPAIR BASIN-MINOR,SA23
842768355,2013-09-20T08:50:05.000,REPLACE MANHOLE CASTING,SA26
843247532,2016-04-01T17:20:47.000,APPLY HOT PATCH,WA12I
895401,2004-07-16T10:00:04.000,REPAIR CONNECTION,SA25
843454705,2016-08-01T18:24:28.000,CLEAN CATCH BASIN/INLET,SCC
842880384,2014-04-20T10:48:46.000,PERFORM OTHER MANHOLE WORK,SA27
843454734,2016-08-01T20:16:49.000,CLEAN CATCH BASIN/INLET,SCC
841893646,2009-09-14T09:12:02.000,REPAIR CONNECTION,SA25
842466086,2012-05-20T09:17:14.000,RESET/REPLACE VALVE BOX,WA10
842001861,2010-01-24T12:09:05.000,FLUSH HYDRANTS IN AREA,WHF
842751060,2013-07-30T10:15:00.000,TV CATCH BASIN CONNECTION,SCTV
843077268,2015-05-18T07:37:21.000,SHUT TAP/WET CON. /NON-COMP.,WA06A
843040342,2015-03-17T10:33:46.000,REPAIR SEWER BREAK (CONTRACT.),SRB
1636309,2008-05-31T09:37:30.000,REPAIR CONNECTION,SA25
842966552,2014-09-22T12:32:04.000,REPAIR BASIN-MINOR,SA23
1304674,2006-09-15T16:21:33.000,REPAIR SEWER BREAK (CONTRACT.),SRB
158700,2001-03-19T07:13:25.000,RESET/REPLACE VALVE BOX,WA10
843001110,2014-12-05T11:24:42.000,REPAIR HYDRANT-MAJOR,WA02
843073716,2015-05-08T11:01:23.000,REEL TV SEWER HOUSE CONNECTION,SMRTV
843115796,2015-08-12T13:05:07.000,CAVE IN RESTORATION,SA12R
842142916,2010-09-26T22:38:01.000,REPLACE MANHOLE CASTING,SA26
1713331,2008-08-25T12:29:35.000,REPAIR BASIN-MAJOR,SA24
841794996,2009-05-01T08:27:56.000,FLUSH SEWER SECTION,SSF
842935687,2014-07-22T11:22:36.000,REPAIR CONNECTION,SA25
843089280,2002-04-08T23:03:19.000,RESET/REPLACE VALVE BOX,WA10
843014860,2015-01-13T10:34:45.000,REPAIR INOPERATIVE HYDRANT,WA04
758088,2003-10-06T12:23:07.000,REPAIR CONNECTION,SA25
843219920,2016-02-19T12:01:08.000,CLEAN CATCH BASIN/INLET,SCC
842949172,2014-08-21T15:07:37.000,REPAIR BASIN-MAJOR,SA24
842085571,2010-06-09T17:08:11.000,REPAIR CONNECTION,SA25
843038013,2015-03-10T08:58:48.000,ISSUE DEFECTIVE HOUSE CONNECT.,SDHC
843082323,2015-05-26T18:04:27.000,POLE CAMERA,SMPC
160597,2001-03-27T16:46:05.000,RESET/REPLACE VALVE BOX,WA10
842734428,2013-07-02T17:38:35.000,INSTALL CUSTODIAN LOCK,WA14A
842733412,2013-06-30T14:49:18.000,REPAIR CONNECTION,SA25
843095716,2015-06-17T14:44:55.000,REPAIR BASIN-MAJOR,SA24
842757522,2013-08-20T10:21:36.000,REPLACE CUSTODIAN LOCK,WA14B
842993884,2014-11-19T11:06:55.000,REPLACE CUSTODIAN LOCK,WA14B
843075276,2015-05-13T08:39:09.000,REPAIR INOPERATIVE HYDRANT,WA04
843114108,2015-08-07T10:00:21.000,REPLACE CURB PIECE,SA21
1804493,2009-01-14T09:22:01.000,FLUSH HYDRANTS IN AREA,WHF
