workorder_added,time_stamp,workorder_started
2009-06-24T10:49:16.000,2015-09-29T00:45:07.000,2015-09-26T08:00:00.000
2010-07-10T15:11:30.000,2016-03-05T00:45:02.000,2016-03-01T16:00:00.000
2005-06-02T15:20:21.000,2015-10-01T00:45:07.000,
2006-08-17T08:00:02.000,2016-04-16T00:45:03.000,
2006-09-08T10:01:13.000,2016-04-28T00:45:05.000,2016-04-16T07:05:00.000
2015-05-20T09:05:17.000,2015-07-02T00:45:13.000,
2014-12-20T10:54:57.000,2015-06-23T00:45:07.000,
2009-05-01T08:27:56.000,2016-02-18T00:45:01.000,
2014-08-07T11:50:19.000,2015-06-23T00:45:07.000,2015-06-17T12:00:00.000
2007-10-23T19:28:11.000,2015-11-10T00:45:07.000,
2015-07-15T09:24:17.000,2015-07-16T00:45:12.000,2015-07-14T14:15:00.000
2014-08-04T11:52:58.000,2015-08-07T00:45:08.000,
2014-08-29T08:39:50.000,2016-05-24T00:45:02.000,2016-05-19T11:20:00.000
2002-04-08T23:03:19.000,2015-06-16T00:45:01.000,2015-06-10T08:20:00.000
2014-09-22T12:32:04.000,2015-05-05T00:45:08.000,
2016-09-02T09:00:07.000,2016-09-16T00:45:03.000,2016-09-01T07:00:00.000
2015-06-06T12:16:42.000,2015-06-07T00:45:10.000,2015-05-20T08:45:00.000
2016-11-01T11:10:03.000,2017-01-31T00:45:02.000,2016-12-23T14:05:00.000
2014-05-28T09:10:25.000,2016-02-12T00:45:02.000,2016-01-19T07:50:00.000
2015-05-26T18:04:27.000,2015-05-27T00:45:08.000,2015-05-17T14:10:00.000
2015-08-12T13:05:07.000,2015-08-18T00:45:07.000,2015-08-14T19:00:00.000
2015-05-16T10:34:01.000,2015-05-25T00:45:09.000,2015-05-20T08:00:00.000
2016-01-11T11:20:56.000,2016-01-12T00:45:01.000,2016-01-09T13:15:00.000
2015-05-08T11:01:23.000,2015-05-09T00:45:08.000,
2017-09-08T13:17:44.000,2017-09-09T00:45:02.000,
2016-04-01T17:20:47.000,2016-07-21T00:45:05.000,2016-07-15T12:35:00.000
2013-12-12T09:51:55.000,2016-08-03T00:45:07.000,
2015-05-20T09:09:18.000,2015-07-02T00:45:13.000,
2001-03-27T16:46:05.000,2015-09-16T00:45:08.000,2001-04-24T12:30:00.000
2015-05-18T07:37:21.000,2015-06-02T00:45:08.000,2015-05-29T08:00:00.000
2008-01-12T15:45:28.000,2015-10-01T00:45:07.000,
2015-01-16T09:29:18.000,2016-05-03T00:45:02.000,
2004-04-10T14:52:54.000,2015-10-01T00:45:07.000,
2014-01-29T18:02:40.000,2015-09-17T00:45:09.000,2015-09-16T00:00:00.000
2015-04-03T08:15:43.000,2015-11-24T00:45:08.000,2015-11-14T07:00:00.000
2012-05-20T09:17:14.000,2018-09-27T00:50:02.000,2012-05-29T03:00:00.000
2007-10-25T17:32:31.000,2015-12-02T00:45:09.000,2010-06-15T00:00:00.000
2008-04-30T18:31:28.000,2015-10-01T00:45:07.000,
2000-06-01T13:20:07.000,2015-06-29T00:40:55.000,
2014-09-03T15:23:10.000,2016-03-05T00:45:02.000,2016-01-25T00:00:00.000
2008-08-25T12:29:35.000,2015-11-06T00:45:11.000,
2013-09-20T08:50:05.000,2015-09-17T00:45:09.000,2015-09-16T00:00:00.000
2015-09-28T09:48:50.000,2016-01-08T00:45:02.000,2016-01-06T16:30:00.000
2015-05-20T13:56:52.000,2015-05-21T00:45:09.000,2015-05-11T07:00:00.000
2014-08-21T15:07:37.000,2015-06-30T00:45:09.000,
2014-12-22T13:31:26.000,2015-07-10T00:45:08.000,2015-05-19T00:00:00.000
2013-09-03T09:13:14.000,2016-02-26T00:45:03.000,2016-02-25T00:45:00.000
2009-09-14T09:12:02.000,2015-07-07T00:45:01.000,
2009-01-14T09:22:01.000,2016-02-18T00:45:01.000,2016-02-17T17:43:00.000
2000-11-07T10:16:04.000,2015-07-25T00:45:08.000,2015-07-11T08:00:00.000
2015-06-17T14:44:55.000,2015-07-06T00:45:08.000,2015-07-01T00:00:00.000
2015-03-10T08:58:48.000,2015-06-12T00:45:08.000,2015-06-06T11:10:00.000
2015-11-19T14:49:55.000,2015-11-22T00:45:09.000,
2015-01-21T09:42:25.000,2015-05-08T00:45:09.000,2015-05-05T09:20:00.000
2010-09-26T22:38:01.000,2016-04-15T00:45:04.000,2016-03-06T01:00:00.000
2007-05-19T09:58:01.000,2017-01-15T00:45:01.000,
2009-07-17T11:44:18.000,2015-07-07T00:45:01.000,
2005-09-07T16:07:02.000,2015-09-02T00:45:08.000,2015-09-01T00:00:00.000
2016-08-01T20:54:30.000,2016-08-02T00:45:02.000,2016-06-30T11:40:00.000
2014-11-03T17:14:04.000,2015-05-12T00:45:09.000,2015-05-11T06:00:00.000
2008-12-27T23:03:12.000,2016-02-18T00:45:01.000,2008-12-27T19:45:00.000
2015-03-18T13:55:48.000,2016-04-20T00:45:03.000,2016-03-13T10:40:00.000
2016-02-19T12:01:08.000,2016-02-20T00:45:01.000,2016-01-09T08:55:00.000
2014-04-20T10:48:46.000,2015-11-25T00:45:07.000,2015-11-11T12:50:00.000
2015-01-25T10:25:59.000,2015-06-22T00:45:09.000,2015-06-20T11:15:00.000
2015-05-06T14:07:36.000,2015-05-07T00:45:07.000,2015-05-02T10:10:00.000
2013-07-02T17:38:35.000,2015-05-12T00:45:09.000,
2010-10-28T10:34:28.000,2016-02-18T00:45:01.000,2016-02-17T17:54:00.000
2001-03-19T07:13:25.000,2015-09-16T00:45:08.000,2015-09-15T15:04:00.000
2014-04-16T13:41:02.000,2015-07-15T00:45:06.000,2015-07-11T13:00:00.000
2014-11-19T10:35:28.000,2015-05-15T00:45:08.000,
2014-04-08T13:48:05.000,2015-09-09T00:45:09.000,
2007-09-24T15:50:21.000,2015-07-03T00:45:09.000,2015-07-01T17:00:00.000
2016-01-10T07:17:34.000,2016-01-11T00:45:02.000,2016-01-09T10:00:00.000
2014-09-11T16:13:56.000,2015-05-09T00:45:08.000,2015-05-05T08:00:00.000
2015-04-24T11:37:12.000,2015-05-29T00:45:03.000,2015-05-27T14:15:00.000
2015-03-18T03:24:18.000,2015-06-09T00:45:09.000,2015-06-06T07:50:00.000
2008-04-28T10:13:35.000,2015-11-11T00:45:06.000,2015-11-10T12:00:00.000
2016-08-09T11:05:06.000,2016-11-20T00:45:02.000,
2015-03-17T10:33:46.000,2015-09-23T00:45:07.000,2015-07-24T07:00:00.000
2014-04-11T00:03:22.000,2015-07-16T00:45:12.000,2015-07-14T13:00:00.000
2014-08-11T15:36:59.000,2015-05-05T00:45:08.000,2015-05-02T17:20:00.000
2008-01-16T17:53:28.000,2015-12-01T00:45:09.000,2015-11-28T00:00:00.000
2013-08-20T10:21:36.000,2015-10-15T00:45:08.000,
2015-05-07T10:25:54.000,2015-05-08T00:45:09.000,2015-05-05T10:45:00.000
2015-05-18T11:07:47.000,2015-11-25T00:45:07.000,2015-11-08T00:45:00.000
2010-01-24T12:09:05.000,2016-02-18T00:45:01.000,2016-02-17T17:51:00.000
2015-03-25T10:17:54.000,2015-06-12T00:45:08.000,2015-06-06T09:20:00.000
2002-05-05T17:07:11.000,2015-09-11T00:45:08.000,2015-09-10T00:00:00.000
2008-05-31T09:37:30.000,2015-10-01T00:45:07.000,
2005-06-17T13:14:09.000,2015-07-07T00:45:01.000,
2015-04-22T09:33:32.000,2015-05-21T00:45:09.000,2015-05-15T08:30:00.000
2016-01-25T22:45:03.000,2019-12-31T00:50:02.000,2019-12-29T19:15:00.000
2013-05-13T14:15:17.000,2015-11-14T00:45:06.000,
2015-08-17T09:33:27.000,2015-08-18T00:45:07.000,2015-08-02T11:45:00.000
2003-10-06T12:23:07.000,2015-10-01T00:45:07.000,
2013-09-17T16:58:22.000,2016-09-16T00:45:03.000,2016-09-14T00:30:00.000
2015-03-10T15:07:16.000,2016-04-27T00:45:01.000,2016-02-29T07:00:00.000
2014-05-16T15:49:12.000,2015-07-21T00:45:08.000,2015-07-17T10:30:00.000
2007-10-14T18:38:36.000,2015-09-02T00:45:08.000,2015-09-01T00:00:00.000
2008-06-05T08:59:24.000,2015-11-07T00:45:08.000,2015-10-29T11:00:00.000
2015-04-09T10:12:14.000,2015-05-28T00:45:08.000,2015-05-20T09:25:00.000
2005-12-29T12:32:33.000,2015-07-07T00:45:01.000,
2016-01-08T12:27:26.000,2016-01-09T00:45:02.000,2016-01-06T10:45:00.000
2015-04-09T10:08:58.000,2015-05-23T00:45:05.000,2015-05-20T13:10:00.000
2012-04-25T14:04:44.000,2016-02-05T00:45:02.000,2016-02-02T16:00:00.000
2008-05-28T18:00:47.000,2015-10-01T00:45:07.000,
2017-07-27T15:03:59.000,2017-07-28T00:45:01.000,
2013-09-07T17:44:15.000,2016-09-16T00:45:03.000,2016-09-14T00:05:00.000
2016-04-11T21:58:10.000,2016-04-12T00:45:02.000,2015-03-08T08:30:00.000
2009-09-10T10:36:30.000,2017-07-25T00:45:02.000,2009-09-21T21:00:00.000
2011-05-19T16:56:23.000,2016-02-03T00:45:02.000,2015-12-08T10:05:00.000
2008-05-07T09:46:11.000,2015-10-01T00:45:07.000,
2014-03-03T10:46:10.000,2015-11-03T00:45:09.000,2015-10-29T17:45:00.000
2015-12-01T14:22:04.000,2015-12-19T00:45:02.000,2015-12-17T11:45:00.000
2014-09-30T10:05:08.000,2018-10-10T00:50:01.000,2018-10-08T10:45:00.000
2015-07-20T09:41:01.000,2015-07-21T00:45:08.000,
2007-07-11T20:11:10.000,2015-05-29T00:45:03.000,2015-05-28T15:51:00.000
2016-05-20T18:25:11.000,2016-05-21T00:45:05.000,2016-04-15T08:45:00.000
2012-01-30T10:06:26.000,2015-07-27T00:45:11.000,2015-07-11T16:00:00.000
2010-07-28T09:24:36.000,2015-07-07T00:45:01.000,
2014-07-22T11:22:36.000,2016-04-28T00:45:05.000,2016-04-15T11:15:00.000
2010-01-24T12:14:50.000,2016-02-18T00:45:01.000,2016-02-17T17:52:00.000
2006-07-25T15:57:56.000,2016-03-16T00:45:02.000,2016-03-15T11:55:00.000
