oid,latitude,longitude,provider,published_date
18,40.73974,-73.73504,SPECTRUM,2019-05-30T00:00:00.000
115,40.57508,-74.08168,SPECTRUM,2019-05-30T00:00:00.000
40,40.59203,-74.13812,SPECTRUM,2019-05-30T00:00:00.000
102,40.73012,-73.77386,SPECTRUM,2019-05-30T00:00:00.000
29,40.703,-74.0168,AT&T,2019-05-30T00:00:00.000
162,40.82806,-73.92307,ALTICEUSA,2019-05-30T00:00:00.000
121,40.57231,-74.08601,SPECTRUM,2019-05-30T00:00:00.000
149,40.84669,-73.94088,SPECTRUM,2019-05-30T00:00:00.000
147,40.84647,-73.94172,SPECTRUM,2019-05-30T00:00:00.000
172,40.65815,-73.88744,ALTICEUSA,2019-05-30T00:00:00.000
182,40.8279,-73.92836,ALTICEUSA,2019-05-30T00:00:00.000
5,40.57267,-73.98575,ALTICEUSA,2019-05-30T00:00:00.000
138,40.69477,-73.91851,ALTICEUSA,2019-05-30T00:00:00.000
185,40.74249,-73.98691,SPECTRUM,2019-05-30T00:00:00.000
129,40.62331,-73.98526,ALTICEUSA,2019-05-30T00:00:00.000
42,40.87301,-73.87135,ALTICEUSA,2019-05-30T00:00:00.000
90,40.83754,-73.89366,ALTICEUSA,2019-05-30T00:00:00.000
50,40.6567,-73.9028,ALTICEUSA,2019-05-30T00:00:00.000
122,40.57777,-74.07799,SPECTRUM,2019-05-30T00:00:00.000
34,40.59716,-74.00136,ALTICEUSA,2019-05-30T00:00:00.000
165,40.72103,-73.87793,SPECTRUM,2019-05-30T00:00:00.000
66,40.74827,-74.00207,SPECTRUM,2019-05-30T00:00:00.000
132,40.87455,-73.86554,ALTICEUSA,2019-05-30T00:00:00.000
41,40.85398,-73.87047,ALTICEUSA,2019-05-30T00:00:00.000
77,40.61824,-74.10721,SPECTRUM,2019-05-30T00:00:00.000
184,40.8257,-73.92731,ALTICEUSA,2019-05-30T00:00:00.000
189,40.7411,-73.98791,SPECTRUM,2019-05-30T00:00:00.000
104,40.61299,-74.01292,SPECTRUM,2019-05-30T00:00:00.000
76,40.61806,-74.10819,SPECTRUM,2019-05-30T00:00:00.000
94,40.83822,-73.89339,ALTICEUSA,2019-05-30T00:00:00.000
91,40.83718,-73.89039,ALTICEUSA,2019-05-30T00:00:00.000
71,40.84122,-73.90678,ALTICEUSA,2019-05-30T00:00:00.000
26,40.68079,-73.78468,SPECTRUM,2019-05-30T00:00:00.000
127,40.57019,-74.08855,SPECTRUM,2019-05-30T00:00:00.000
10,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
