longitude,public_space_open_space_name,public_space_open_space,neighborhood_tabulation_area,latitude-neighborhood_tabulation_area_1
-73.9712,Central Park,Inside,MN99,40.768-park-cemetery-etc-Manhattan
-73.78482,Baisley Pond Park,Inside,QN76,40.68301-Baisley Park
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-74.0168,Battery Park,Inside,MN99,40.703-park-cemetery-etc-Manhattan
-73.88871,Crotona Park,Inside,BX99,40.83899-park-cemetery-etc-Bronx
-73.78444,Baisley Pond Park,Inside,QN76,40.67934-Baisley Park
-73.9883,Madison Square Park,Inside,MN13,40.7431-Hudson Yards-Chelsea-Flatiron-Union Square
-74.08068,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57575-Old Town-Dongan Hills-South Beach
-74.0667,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.589-Old Town-Dongan Hills-South Beach
-74.13909,Blood Root Valley,Inside,SI05,40.59205-New Springville-Bloomfield-Travis
-73.834,Ferry Point Park,Inside,BX52,40.81641-Schuylerville-Throgs Neck-Edgewater Park
-73.77386,Cunningham Park,Inside,QN99,40.73012-park-cemetery-etc-Queens
-74.13806,Blood Root Valley,Inside,SI05,40.59202-New Springville-Bloomfield-Travis
-73.89331,Crotona Park,Inside,BX99,40.83712-park-cemetery-etc-Bronx
-73.98575,Abe Stark Skating Rink,Inside,BK21,40.57267-Seagate-Coney Island
-73.73592,Alley Athletic Playground,Inside,QN43,40.73955-Bellerose
-73.94491,Marcus Garvey Park,Inside,MN34,40.80501-East Harlem North
-74.1063,Clove Lakes Park,Inside,SI07,40.6173-Westerleigh
-73.90009,Crotona Park,Inside,BX99,40.83569-park-cemetery-etc-Bronx
-73.97737,Asser Levy Park,Inside,BK21,40.57355-Seagate-Coney Island
-73.94359,Manhattan Beach Park,Inside,BK17,40.57696-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.94647,Herbert Von King Park,Inside,BK75,40.68992-Bedford
-73.8443,Flushing Meadows Corona Park,Inside,QN99,40.7432-park-cemetery-etc-Queens
-74.00111,Bensonhurst Park,Inside,BK27,40.59759-Bath Beach
-73.91851,Heckscher Playground,Inside,BK78,40.69477-Bushwick South
-74.00114,Bensonhurst Park,Inside,BK27,40.59815-Bath Beach
-74.09064,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI45,40.56837-New Dorp-Midland Beach
-73.98894,Madison Square Park,Inside,MN13,40.74148-Hudson Yards-Chelsea-Flatiron-Union Square
-74.08855,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI45,40.57019-New Dorp-Midland Beach
-74.10819,Clove Lakes Park,Inside,SI07,40.61775-Westerleigh
-73.89377,Crotona Park,Inside,BX99,40.83697-park-cemetery-etc-Bronx
-73.9988,Brooklyn Heights Promenade,Inside,BK09,40.6943-Brooklyn Heights-Cobble Hill
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-73.98164,Bryant Park,Inside,MN17,40.75278-Midtown-Midtown South
-74.13857,Blood Root Valley,Inside,SI05,40.5919-New Springville-Bloomfield-Travis
-73.92307,Joyce Kilmer Park,Inside,BX63,40.82806-West Concourse
-73.99718,Brooklyn Heights Promenade,Inside,BK09,40.69767-Brooklyn Heights-Cobble Hill
-74.0019,Brooklyn Bridge Park,Inside,MN99,40.693-park-cemetery-etc-Manhattan
-73.974,Central Park,Inside,MN99,40.7729-park-cemetery-etc-Manhattan
-73.9065,Devoe Park,Inside,BX30,40.8631-Kingsbridge Heights
-73.98562,Abe Stark Skating Rink,Inside,BK21,40.57267-Seagate-Coney Island
-73.9071,Claremont Park,Inside,BX99,40.8416-park-cemetery-etc-Bronx
-73.92646,Macombs Dam Park,Inside,BX63,40.82707-West Concourse
-73.99766,Brooklyn Heights Promenade,Inside,BK09,40.69667-Brooklyn Heights-Cobble Hill
-73.98563,Abe Stark Skating Rink,Inside,BK21,40.57278-Seagate-Coney Island
-73.73772,Alley Athletic Playground,Inside,QN43,40.73915-Bellerose
-73.99749,Brooklyn Heights Promenade,Inside,BK09,40.69699-Brooklyn Heights-Cobble Hill
-73.9771,Central Park,Inside,MN99,40.7721-park-cemetery-etc-Manhattan
-74.13915,Blood Root Valley,Inside,SI05,40.59185-New Springville-Bloomfield-Travis
-74.00872,Coffey Park,Inside,BK33,40.67719-Carroll Gardens-Columbia Street-Red Hook
-73.92916,Macombs Dam Park,Inside,BX63,40.82755-West Concourse
-73.87781,Juniper Valley Park,Inside,QN21,40.72023-Middle Village
-73.98869,Madison Square Park,Inside,MN13,40.74238-Hudson Yards-Chelsea-Flatiron-Union Square
