oid,hotspot_dataset_object_id,borough_name,ssid
111,1194,Queens,GuestWiFi
53,1367,Brooklyn,GuestWiFi
150,140,Manhattan,GuestWiFi
197,1243,Manhattan,GuestWiFi
176,1232,Queens,GuestWiFi
168,1641,Queens,GuestWiFi
153,174,Manhattan,GuestWiFi
180,727,Bronx,GuestWiFi
95,1416,Bronx,GuestWiFi
86,2106,Bronx,GuestWiFi
160,971,Bronx,attwifi
141,982,Brooklyn,attwifi
191,743,Brooklyn,GuestWiFi
60,943,Manhattan,attwifi
47,1765,Brooklyn,GuestWiFi
11,2103,Manhattan,GuestWiFi
12,1345,Manhattan,GuestWiFi
13,1346,Manhattan,GuestWiFi
92,1413,Bronx,GuestWiFi
87,1409,Bronx,GuestWiFi
16,1754,Queens,GuestWiFi
164,178,Queens,GuestWiFi
6,1405,Brooklyn,GuestWiFi
169,1642,Queens,GuestWiFi
179,2109,Bronx,GuestWiFi
35,1359,Brooklyn,GuestWiFi
56,1645,Manhattan,BryantPark.org
44,1767,Brooklyn,GuestWiFi
142,1748,Manhattan,attwifi
82,807,Brooklyn,GuestWiFi
143,963,Bronx,attwifi
187,933,Manhattan,GuestWiFi
48,1766,Brooklyn,GuestWiFi
105,21,Brooklyn,GuestWiFi
103,970,Bronx,attwifi
112,930,Brooklyn,attwifi
25,976,Queens,GuestWiFi
1,1400,Brooklyn,GuestWiFi
106,1604,Bronx,GuestWiFi
178,136,Queens,attwifi
52,1366,Brooklyn,GuestWiFi
196,736,Brooklyn,GuestWiFi
24,135,Queens,attwifi
20,1760,Queens,GuestWiFi
134,54,Manhattan,GuestWiFi
195,735,Brooklyn,GuestWiFi
181,728,Bronx,GuestWiFi
58,1739,Manhattan,attwifi
144,138,Manhattan,GuestWiFi
75,891,Staten Island,GuestWiFi
45,1763,Brooklyn,GuestWiFi
133,830,Manhattan,GuestWiFi
108,148,Queens,attwifi
145,139,Manhattan,GuestWiFi
198,1236,Manhattan,GuestWiFi
194,747,Brooklyn,GuestWiFi
17,1755,Queens,GuestWiFi
88,1410,Bronx,GuestWiFi
193,746,Brooklyn,GuestWiFi
61,944,Manhattan,attwifi
7,1750,Manhattan,GuestWiFi
70,1374,Bronx,GuestWiFi
65,1777,Manhattan,GuestWiFi
49,1634,Brooklyn,attwifi
123,909,Staten Island,GuestWiFi
18,1756,Queens,GuestWiFi
115,1183,Staten Island,GuestWiFi
40,829,Staten Island,GuestWiFi
102,811,Queens,GuestWiFi
29,1759,Manhattan,attwifi
162,1624,Bronx,GuestWiFi
121,908,Staten Island,GuestWiFi
149,133,Manhattan,GuestWiFi
147,130,Manhattan,GuestWiFi
172,1199,Brooklyn,GuestWiFi
182,731,Bronx,GuestWiFi
5,1404,Brooklyn,GuestWiFi
138,1620,Brooklyn,GuestWiFi
185,937,Manhattan,GuestWiFi
129,1609,Brooklyn,GuestWiFi
42,1360,Bronx,GuestWiFi
90,1412,Bronx,GuestWiFi
50,1364,Brooklyn,GuestWiFi
122,1188,Staten Island,GuestWiFi
34,1358,Brooklyn,GuestWiFi
165,179,Queens,GuestWiFi
66,1778,Manhattan,GuestWiFi
132,1613,Bronx,GuestWiFi
41,1361,Bronx,GuestWiFi
77,458,Staten Island,GuestWiFi
184,722,Bronx,GuestWiFi
189,935,Manhattan,GuestWiFi
104,815,Brooklyn,GuestWiFi
76,1781,Staten Island,GuestWiFi
94,1415,Bronx,GuestWiFi
91,2123,Bronx,GuestWiFi
71,1375,Bronx,GuestWiFi
26,977,Queens,GuestWiFi
127,906,Staten Island,GuestWiFi
10,1753,Manhattan,GuestWiFi
