latitude,longitude,nta,primary_vacate_reason
40.713402,-73.99252199999998,Chinatown-Two Bridges,Illegal Occupancy
40.867269,-73.893479,Bedford Park,Fire Damage
40.537676,-74.209368,Annadale-Huguenot-Prince's Bay-Woodrow,Illegal Occupancy
40.824803,-73.94421199999998,Hamilton Heights-Sugar Hill,Fire Damage
40.651486,-73.929354,East Flatbush-Rugby,Fire Damage
40.831784,-73.91515599999998,Concourse-Concourse Village,Fire Damage
40.869659,-73.863983,Allerton,Illegal Occupancy
40.875178,-73.85659099999998,Williamsbridge-Olinville,Illegal Occupancy
40.751109,-73.901804,Woodside,Habitability
40.686762,-73.727334,Cambria Heights,Illegal Occupancy
40.638919,-74.080844,St. George-New Brighton,Fire Damage
40.677088,-73.911809,Ocean Hill,Habitability
40.811593,-73.938494,Harlem (North),Fire Damage
40.663218,-73.922443,East Flatbush-Remsen Village,Fire Damage
40.826066,-73.93956799999998,Harlem (North),Fire Damage
40.637925,-73.886549,Canarsie,Illegal Occupancy
40.683569,-73.79436,Baisley Park,Illegal Occupancy
40.575781,-73.98787199999998,Coney Island-Sea Gate,Fire Damage
40.571164,-74.09100599999998,New Dorp-Midland Beach,Fire Damage
40.701909,-73.786106,South Jamaica,Illegal Occupancy
40.889347,-73.86400399999998,Williamsbridge-Olinville,Fire Damage
40.737981,-73.924239,Sunnyside,Fire Damage
40.888954,-73.898533,Kingsbridge-Marble Hill,Fire Damage
40.797152,-73.94901299999998,East Harlem (South),Fire Damage
40.882953,-73.858271,Williamsbridge-Olinville,Habitability
40.894636,-73.84244599999998,Wakefield-Woodlawn,Illegal Occupancy
40.889992,-73.862075,Williamsbridge-Olinville,Illegal Occupancy
40.702529,-73.91155899999998,Ridgewood,Fire Damage
40.841658,-73.909513,Mount Eden-Claremont (West),Habitability
40.867585,-73.893215,Bedford Park,Fire Damage
40.643797,-73.899299,Canarsie,Illegal Occupancy
40.692899,-73.944683,Bedford-Stuyvesant (West),Fire Damage
40.685236,-73.828407,South Ozone Park,Illegal Occupancy
40.878502,-73.85459899999998,Williamsbridge-Olinville,Illegal Occupancy
40.830237,-73.898984,Morrisania,Habitability
40.68015,-73.805991,South Ozone Park,Illegal Occupancy
40.683465,-73.96378199999998,Clinton Hill,Fire Damage
40.703115,-73.78690299999998,South Jamaica,Illegal Occupancy
40.718194,-73.998056,SoHo-Little Italy-Hudson Square,Fire Damage
40.601836,-73.945079,Madison,Illegal Occupancy
40.683552,-73.915006,Ocean Hill,Fire Damage
40.871783,-73.85454799999998,Pelham Gardens,Illegal Occupancy
40.663814,-73.753445,Springfield Gardens (South)-Brookville,Illegal Occupancy
40.696637,-73.933417,Bushwick (West),Illegal Occupancy
40.774334,-73.918273,Astoria (North)-Ditmars-Steinway,Fire Damage
40.63277,-73.97972,Borough Park,Illegal Occupancy
40.607067,-73.957953,Madison,Fire Damage
40.85514,-73.915925,University Heights (South)-Morris Heights,Fire Damage
40.740194,-73.855648,Corona,Illegal Occupancy
40.82685,-73.878758,Soundview-Bruckner-Bronx River,Illegal Occupancy
