vacate_order_number,building_id,latitude,longitude,community_board,postoce,council_district,actual_rescind_date,number_of_vacated_units,registration_id
189184,81868,40.867585,-73.893215,7.0,10458.0,15.0,2022-09-26T00:00:00.000,1,207519
243629,558703,40.683569,-73.79436,12.0,11436.0,28.0,,1,0
143106,67547,40.875178,-73.85659099999998,12.0,10469.0,12.0,2022-03-23T00:00:00.000,1,0
140544,55768,40.816478,-73.909699,1.0,10455.0,17.0,2018-01-08T00:00:00.000,1,214643
151966,158713,40.644987,-74.019199,7.0,11220.0,38.0,,3,820654
95359,514456,40.703115,-73.78690299999998,12.0,11433.0,27.0,,1,0
167934,59183,40.85697,-73.901427,5.0,10453.0,14.0,2021-12-14T00:00:00.000,1,204837
144466,503264,40.683465,-73.847488,9.0,11416.0,32.0,,1,0
91702,248789,40.651819,-73.96029299999998,14.0,11226.0,40.0,2012-03-23T00:00:00.000,1,337124
136039,16875,40.776752,-73.959081,8.0,10028.0,4.0,,1,122914
98079,387055,40.695377,-73.94269699999998,3.0,11206.0,36.0,,1,368748
114510,65222,40.830237,-73.898984,3.0,10456.0,17.0,2020-02-10T00:00:00.000,3,0
114128,253669,40.601836,-73.945079,15.0,11229.0,46.0,,1,0
143302,66869,40.859522,-73.88561799999998,6.0,10458.0,15.0,,1,0
144934,287677,40.671231,-73.915678,16.0,11233.0,41.0,2018-12-31T00:00:00.000,2,301215
258524,232353,40.683552,-73.915006,16.0,11233.0,41.0,,7,320604
158501,626005,40.744858,-73.706179,13.0,11004.0,23.0,,1,0
122332,119312,40.825104,-73.87645999999998,9.0,10472.0,18.0,2024-02-08T00:00:00.000,4,228868
108534,311298,40.677437,-73.909408,16.0,11233.0,37.0,,1,372474
181920,558266,40.653629,-73.731578,13.0,11422.0,31.0,,1,0
147418,409431,40.774334,-73.918273,1.0,11102.0,22.0,2019-11-22T00:00:00.000,3,408266
158552,526827,40.700882,-73.729988,13.0,11411.0,27.0,,1,0
109703,221563,40.691176,-73.960457,3.0,11205.0,33.0,,1,343849
118898,781609,40.638919,-74.080844,1.0,10301.0,49.0,2022-10-25T00:00:00.000,6,500582
179595,51305,40.868591,-73.889601,7.0,10458.0,15.0,2021-12-14T00:00:00.000,1,220753
142313,809024,40.659256,-73.950488,9.0,11225.0,40.0,,1,358585
136995,444244,40.73675,-73.86775799999998,4.0,11373.0,25.0,2018-06-06T00:00:00.000,75,420460
148247,348810,40.580057,-74.009608,13.0,11224.0,47.0,,1,0
118819,396995,40.690375,-73.907587,4.0,11207.0,37.0,2015-04-22T00:00:00.000,2,366310
220054,363795,40.665153,-73.95373499999998,9.0,11225.0,35.0,2023-04-05T00:00:00.000,3,317070
230012,85973,40.87828,-73.864113,12.0,10467.0,12.0,,1,216706
93521,618478,40.686762,-73.727334,13.0,11411.0,27.0,,1,0
126924,247159,40.636715,-73.961657,14.0,11226.0,40.0,,1,300277
145586,387743,40.702033,-73.94805499999998,1.0,11206.0,33.0,2022-09-08T00:00:00.000,6,325466
198192,380478,40.705749,-73.920157,4.0,11237.0,34.0,2023-05-05T00:00:00.000,1,360086
223753,121314,40.870488,-73.902134,8.0,10468.0,14.0,2023-07-21T00:00:00.000,2,201847
110520,95026,40.869907,-73.862449,12.0,10467.0,12.0,,1,206614
145344,226351,40.689374,-73.91631099999998,4.0,11221.0,37.0,,1,361785
221761,225087,40.58189,-73.959924,13.0,11235.0,48.0,2023-11-30T00:00:00.000,2,301261
114125,51799,40.889347,-73.86400399999998,12.0,10466.0,12.0,,1,221651
110143,544464,40.677636,-73.76587499999998,12.0,11434.0,27.0,,1,0
243639,529372,40.682756,-73.792181,12.0,11434.0,28.0,,1,0
229304,299511,40.687066,-73.94328899999998,3.0,11221.0,36.0,,4,321798
243987,22792,40.718194,-73.998056,2.0,10013.0,1.0,,21,134758
251540,267635,40.651486,-73.929354,17.0,11203.0,45.0,2024-08-06T00:00:00.000,1,309648
95531,360359,40.645912,-73.959878,14.0,11226.0,40.0,,1,335491
258521,107771,40.854559,-73.900158,5.0,10457.0,15.0,2024-12-09T00:00:00.000,6,204418
93002,109430,40.833581,-73.917022,4.0,10456.0,16.0,2013-06-13T00:00:00.000,1,211068
108306,946989,40.758723,-73.868747,3.0,11369.0,21.0,2017-06-13T00:00:00.000,1,917021
139803,99869,40.819545,-73.86738699999998,9.0,10473.0,18.0,2024-03-20T00:00:00.000,4,213080
215506,537347,40.699367,-73.826841,9.0,11418.0,29.0,,1,926481
117021,373443,40.683465,-73.96378199999998,2.0,11238.0,35.0,,1,363177
110686,26850,40.713402,-73.99252199999998,3.0,10002.0,1.0,,18,127661
131183,267774,40.645631,-73.92872599999998,17.0,11203.0,45.0,,1,0
244992,347977,40.615623,-73.96885799999998,12.0,11230.0,44.0,2024-03-26T00:00:00.000,1,373696
144054,804791,40.797152,-73.94901299999998,11.0,10029.0,9.0,2019-06-14T00:00:00.000,1,139748
134786,501915,40.726746,-73.730973,13.0,11426.0,23.0,,1,0
233810,806247,40.861915,-73.906919,7.0,10468.0,14.0,2024-09-04T00:00:00.000,3,205075
247267,189822,40.625657,-73.93808099999998,18.0,11210.0,45.0,2024-04-12T00:00:00.000,1,351284
110803,9472,40.73317,-74.00566499999998,2.0,10014.0,3.0,,1,125757
219838,633502,40.591663,-73.798964,14.0,11692.0,31.0,2023-02-10T00:00:00.000,1,925196
148447,258970,40.635264,-73.944032,17.0,11210.0,45.0,,1,821908
134434,557656,40.765867,-73.819586,7.0,11354.0,20.0,2017-01-19T00:00:00.000,1,400637
226240,398026,40.653708,-73.96271,14.0,11226.0,40.0,2023-09-14T00:00:00.000,4,301338
212140,119048,40.840814,-73.915062,4.0,10452.0,16.0,2023-09-11T00:00:00.000,2,201179
126165,21263,40.824597,-73.943168,9.0,10031.0,9.0,2017-04-27T00:00:00.000,1,127594
154981,25928,40.861829,-73.924124,12.0,10034.0,10.0,2021-12-20T00:00:00.000,1,101698
144618,6138,40.864107,-73.928539,12.0,10040.0,10.0,2019-07-10T00:00:00.000,2,118811
154815,811858,40.592069,-73.78671699999998,14.0,11692.0,31.0,,1,421694
93307,64728,40.823326,-73.899327,2.0,10459.0,17.0,,1,212869
111369,533142,40.678719,-73.79107999999998,12.0,11434.0,28.0,,1,0
140672,18912,40.790661,-73.948531,11.0,10029.0,8.0,,2,103742
167351,121224,40.860169,-73.910269,7.0,10453.0,14.0,2022-05-04T00:00:00.000,1,223199
155735,450127,40.698362,-73.894806,5.0,11385.0,30.0,2021-07-14T00:00:00.000,3,410457
150307,75970,40.82685,-73.878758,9.0,10472.0,18.0,2024-08-23T00:00:00.000,1,219294
96628,65027,40.826809,-73.89040799999998,3.0,10459.0,17.0,2013-07-09T00:00:00.000,1,204594
158539,588333,40.695507,-73.75662699999998,12.0,11412.0,27.0,,1,0
255037,44757,40.869569,-73.859995,11.0,10469.0,12.0,2024-03-22T00:00:00.000,2,715371
113956,305444,40.687602,-73.913393,4.0,11207.0,37.0,,2,817508
201934,665679,40.735121,-73.86176,4.0,11368.0,21.0,2022-07-15T00:00:00.000,1,425004
152879,209702,40.651296,-73.882108,5.0,11239.0,42.0,2020-10-09T00:00:00.000,1,374626
127024,516269,40.701909,-73.786106,12.0,11433.0,27.0,2016-02-12T00:00:00.000,1,0
155861,833361,40.871783,-73.85454799999998,11.0,10469.0,12.0,,1,223869
175551,41111,40.816312,-73.940155,10.0,10030.0,9.0,,1,104436
153130,15842,40.766492,-73.952871,8.0,10021.0,5.0,2021-03-16T00:00:00.000,1,140313
115250,47777,40.887335,-73.85732799999998,12.0,10466.0,12.0,2016-06-16T00:00:00.000,1,711998
99293,80075,40.833211,-73.921576,4.0,10452.0,16.0,,2,200741
258763,44729,40.869659,-73.863983,12.0,10467.0,12.0,,1,0
144661,600634,40.710764,-73.746072,13.0,11429.0,27.0,,1,0
157042,604369,40.713232,-73.742643,13.0,11429.0,27.0,,1,919844
237828,233405,40.696637,-73.933417,4.0,11221.0,34.0,,3,0
118117,305198,40.677088,-73.911809,16.0,11233.0,41.0,2021-09-23T00:00:00.000,3,344528
126506,374367,40.674061,-73.929175,8.0,11213.0,36.0,2016-10-21T00:00:00.000,1,370291
203463,96892,40.850722,-73.918114,5.0,10453.0,14.0,,1,205068
258446,208287,40.67568,-73.94240399999998,8.0,11213.0,36.0,,1,374542
111068,234898,40.666772,-73.89130199999998,5.0,11207.0,42.0,2014-06-23T00:00:00.000,13,303732
159756,553507,40.660195,-73.739012,13.0,11422.0,31.0,,1,0
153359,892067,40.624779,-74.07901099999998,1.0,10304.0,49.0,2021-08-05T00:00:00.000,1,0
170202,56104,40.828048,-73.85223,9.0,10472.0,18.0,,1,206303
115797,228094,40.596999,-73.998333,11.0,11214.0,47.0,2014-10-02T00:00:00.000,1,333967
154137,394585,40.575781,-73.98787199999998,13.0,11224.0,47.0,2020-12-10T00:00:00.000,1,374882
182218,588472,40.761086,-73.7861,11.0,11358.0,19.0,,1,0
144078,33524,40.762261,-73.991889,4.0,10036.0,3.0,2023-10-26T00:00:00.000,1,102932
149160,279192,40.628588,-73.89929999999998,18.0,11236.0,46.0,,1,0
200713,70794,40.889992,-73.862075,12.0,10466.0,12.0,,1,0
120445,694083,40.595996,-73.742187,14.0,11691.0,31.0,,1,421281
113553,950531,40.537676,-74.209368,3.0,10309.0,51.0,,1,0
158532,497786,40.689435,-73.85776199999998,9.0,11421.0,32.0,,1,0
124385,789516,40.644583,-74.093351,1.0,10301.0,49.0,,1,14236
248986,702795,40.740194,-73.855648,4.0,11368.0,21.0,,1,0
163766,657199,40.737584,-73.795832,8.0,11365.0,24.0,,1,417910
105436,306753,40.682452,-73.95066199999998,3.0,11216.0,36.0,,1,368043
150349,82026,40.830441,-73.916838,4.0,10456.0,16.0,2021-02-24T00:00:00.000,1,207604
95382,286430,40.637925,-73.886549,18.0,11236.0,46.0,2022-10-28T00:00:00.000,1,0
135511,676117,40.681752,-73.783513,12.0,11434.0,28.0,2017-04-05T00:00:00.000,1,0
258898,97403,40.841658,-73.909513,4.0,10457.0,16.0,,11,0
143358,207678,40.673925,-73.87299799999998,5.0,11208.0,42.0,2019-04-03T00:00:00.000,23,356498
258806,100295,40.861886,-73.868471,11.0,10467.0,15.0,,2,201060
126261,477304,40.74819,-73.88888799999998,3.0,11372.0,25.0,,4,0
125909,81996,40.835643,-73.91771699999998,4.0,10452.0,16.0,2015-11-19T00:00:00.000,1,202390
125047,761801,40.571164,-74.09100599999998,2.0,10306.0,50.0,,44,500839
108807,82036,40.831524,-73.916201,4.0,10456.0,16.0,,1,215244
185845,313106,40.661862,-73.89810699999998,5.0,11207.0,42.0,2022-02-17T00:00:00.000,2,369379
96900,245243,40.607067,-73.957953,15.0,11229.0,48.0,,1,306258
109297,357418,40.692899,-73.944683,3.0,11206.0,36.0,,1,352210
148061,28187,40.824803,-73.94421199999998,9.0,10031.0,9.0,2019-06-28T00:00:00.000,1,113891
211693,249525,40.64774,-73.959517,14.0,11226.0,40.0,2024-05-01T00:00:00.000,1,311418
134537,69025,40.884088,-73.861776,12.0,10467.0,12.0,,2,0
150257,316337,40.681883,-73.889618,5.0,11207.0,37.0,,1,0
104800,935234,40.664391,-73.866326,5.0,11208.0,42.0,2014-05-15T00:00:00.000,1,0
193903,640696,40.751109,-73.901804,2.0,11377.0,26.0,2022-09-21T00:00:00.000,1,420165
140898,845268,40.738259,-73.921587,2.0,11377.0,26.0,2018-03-09T00:00:00.000,1,426476
153928,20268,40.800097,-73.937128,11.0,10035.0,8.0,2020-07-30T00:00:00.000,2,135748
147889,150812,40.645592,-74.002076,7.0,11220.0,38.0,,54,318697
158572,612013,40.663814,-73.753445,13.0,11413.0,31.0,,1,925141
243257,328407,40.680877,-73.87759599999998,5.0,11208.0,37.0,2024-05-08T00:00:00.000,1,328580
105399,349532,40.677566,-73.94800499999998,8.0,11216.0,36.0,,5,349714
119474,124403,40.894636,-73.84244599999998,12.0,10466.0,12.0,,2,0
182231,56804,40.829762,-73.91205499999998,4.0,10456.0,16.0,,1,215958
142636,94358,40.862742,-73.89233,7.0,10458.0,15.0,2018-05-18T00:00:00.000,1,211590
119861,350014,40.675464,-73.909807,16.0,11233.0,37.0,2019-08-07T00:00:00.000,6,368425
125548,103006,40.852484,-73.917125,5.0,10453.0,14.0,,1,205457
114310,80075,40.833211,-73.921576,4.0,10452.0,16.0,,1,200741
107155,661475,40.74666,-73.882113,4.0,11373.0,25.0,,1,402483
258395,215838,40.685118,-73.910432,4.0,11207.0,37.0,,6,365756
169815,231467,40.679499,-73.964689,8.0,11238.0,35.0,,1,350684
251928,967566,40.888954,-73.898533,8.0,10463.0,11.0,2024-03-07T00:00:00.000,1,227927
95493,81809,40.858889,-73.8991,5.0,10468.0,14.0,,1,211506
153959,262330,40.63073,-73.938761,18.0,11210.0,45.0,,1,820942
137031,278455,40.634903,-73.907578,18.0,11236.0,46.0,,1,819753
139533,868029,40.691661,-73.793023,12.0,11433.0,28.0,,5,0
171453,95438,40.831784,-73.91515599999998,4.0,10456.0,16.0,2021-12-10T00:00:00.000,2,210426
121787,5846,40.846902,-73.931792,12.0,10033.0,10.0,2015-10-05T00:00:00.000,3,112213
214886,439655,40.737981,-73.924239,2.0,11104.0,26.0,2022-11-10T00:00:00.000,1,411208
108232,4175,40.826066,-73.93956799999998,10.0,10039.0,9.0,,1,127101
118278,362534,40.676739,-73.91090099999998,16.0,11233.0,41.0,2018-03-06T00:00:00.000,1,337760
156010,6435,40.727717,-73.979298,3.0,10009.0,2.0,2020-11-12T00:00:00.000,1,109848
156254,532109,40.683791,-73.823965,10.0,11419.0,28.0,,1,0
119404,526940,40.685236,-73.828407,10.0,11419.0,28.0,,1,0
155001,806475,40.807686,-73.91950699999998,1.0,10454.0,8.0,2020-09-03T00:00:00.000,1,204605
92419,629391,40.68877,-73.84670099999998,9.0,11421.0,32.0,2012-12-11T00:00:00.000,3,912779
191361,310604,40.663106,-73.88647799999998,5.0,11207.0,42.0,,3,367178
148738,336983,40.660028,-73.95216,9.0,11225.0,40.0,,1,820063
206221,211060,40.584479,-73.97261299999998,13.0,11223.0,47.0,2023-01-25T00:00:00.000,1,354921
91795,688218,40.743662,-73.883792,4.0,11373.0,25.0,,1,411211
221351,284712,40.643797,-73.899299,18.0,11236.0,46.0,,1,0
141879,36123,40.787959,-73.97977,7.0,10024.0,6.0,2018-09-05T00:00:00.000,1,124892
144769,327588,40.654221,-73.92370699999998,17.0,11203.0,41.0,2022-06-07T00:00:00.000,6,379788
154380,2700,40.811593,-73.938494,10.0,10037.0,9.0,2020-12-10T00:00:00.000,1,137798
