vacate_order_number,bbl,street_name,census_tract
144661,4110970013.0,212 STREET,540.0
148738,3050330065.0,MIDWOOD STREET,800.0
149160,3080810040.0,EAST 85 STREET,1026.0
125047,5038750026.0,MIDLAND AVENUE,11203.0
137788,1021110105.0,WEST 166 STREET,249.0
153928,1017850020.0,EAST 120 STREET,194.0
126506,3013610030.0,ST MARKS AVENUE,347.0
144934,3014680053.0,EASTERN PARKWAY EXTENSION,363.0
107151,3030790024.0,GRAHAM AVENUE,505.0
258806,2044260010.0,OLINVILLE AVENUE,33202.0
230012,2046570114.0,HOLLAND AVENUE,380.0
145434,2027630158.0,FAILE STREET,9301.0
140898,4001770001.0,44 STREET,18501.0
122405,3015110046.0,CHAUNCEY STREET,373.0
229304,3018100064.0,GATES AVENUE,265.0
211693,3051010044.0,EAST 21 STREET,51002.0
145352,2028420023.0,ELLIOT PLACE,22101.0
159756,4135700054.0,144 AVENUE,65401.0
131183,3047610019.0,EAST 51 STREET,848.0
110143,4125460318.0,132 AVENUE,33401.0
93002,2024560222.0,SHERIDAN AVENUE,18102.0
143302,2032730324.0,EAST 191 STREET,397.0
113553,5069690005.0,SHELDON AVENUE,20803.0
110686,1002830047.0,PIKE STREET,6.0
118819,3034230042.0,WILSON AVENUE,413.0
221351,3082060032.0,EAST 98 STREET,988.0
144078,1010560060.0,WEST 47 STREET,127.0
258521,2031570064.0,RYER AVENUE,381.0
118278,3015670038.0,ROCKAWAY AVENUE,301.0
113092,3026920004.0,NASSAU AVENUE,593.0
244992,3065680033.0,OCEAN PARKWAY,444.0
136995,4019020039.0,94 STREET,683.0
98079,3017570070.0,VERNON AVENUE,283.0
199535,4014440032.0,35 AVENUE,281.0
170202,2038060021.0,CHATTERTON AVENUE,78.0
176107,2048580053.0,EAST 223 STREET,398.0
200713,2048300024.0,EAST 227 STREET,408.0
114091,2032280020.0,OSBORNE PLACE,24502.0
118898,5000240012.0,SHERMAN AVENUE,11.0
182218,4053600017.0,196 STREET,1181.0
96900,3067980079.0,EAST 15 STREET,552.0
144466,4091000057.0,93 STREET,4001.0
92419,4089930037.0,ATLANTIC AVENUE,30.0
201934,4019180105.0,HORACE HARDING EXPRESSWAY,455.0
153959,3077420069.0,EAST 39 STREET,776.0
243987,1002060016.0,HESTER STREET,41.0
135511,4122450009.0,LONG STREET,28802.0
124385,5000670150.0,VAN BUREN STREET,81.0
91795,4015090017.0,PETTIT AVENUE,26902.0
147790,2031980042.0,DAVIDSON AVENUE,253.0
121787,1021520053.0,AMSTERDAM AVENUE,261.0
226240,3050530051.0,WOODRUFF AVENUE,50804.0
251928,2057760621.0,BROADWAY,285.0
155001,2022830053.0,EAST 138 STREET,39.0
215506,4093320059.0,123 STREET,14201.0
109703,3019240004.0,CLASSON AVENUE,193.0
258395,3034330004.0,BUSHWICK AVENUE,403.0
113796,2046780056.0,EAST 220 STREET,396.0
118647,2046630024.0,EAST 216 STREET,390.0
148447,3050080065.0,EAST 34 STREET,784.0
156010,1004050035.0,AVENUE B,34.0
126165,1020530014.0,EDGECOMBE AVENUE,231.0
237828,3031930011.0,DITMARS STREET,393.0
258524,3015060035.0,DECATUR STREET,373.0
95359,4102290006.0,103 ROAD,440.0
193903,4011880055.0,BROADWAY,259.0
181920,4136740032.0,148 DRIVE,66403.0
247267,3078090014.0,AVENUE K,736.0
120445,4156100001.0,SEAGIRT AVENUE,101002.0
198192,3032110038.0,SUYDAM STREET,445.0
151966,3008370030.0,56 STREET,22.0
91702,3050810015.0,EAST 21 STREET,50801.0
144618,1021750032.0,ARDEN STREET,287.0
125909,2024650038.0,GRANDVIEW PLACE,197.0
248986,4019530043.0,WALDRON STREET,439.0
114125,2048200042.0,BRONX BOULEVARD,408.0
142313,3050390040.0,NOSTRAND AVENUE,802.0
115250,2048500047.0,BARNES AVENUE,406.0
145344,3033810018.0,CORNELIA STREET,399.0
152879,3044520085.0,BETHEL LOOP,105801.0
111369,4122100016.0,119 ROAD,28801.0
189184,2033040035.0,GRAND CONCOURSE,40302.0
104800,3045290131.0,HEMLOCK STREET,1220.0
114310,2024780024.0,GERARD AVENUE,195.0
147209,2023290069.0,EAST 148 STREET,65.0
95531,3051240018.0,REGENT PLACE,51001.0
140672,1016300067.0,EAST 103 STREET,166.0
99293,2024780024.0,GERARD AVENUE,195.0
119861,3014420025.0,PACIFIC STREET,36501.0
206221,3072320001.0,BOKEE COURT,37402.0
251540,3046980018.0,EAST 51 STREET,862.0
93307,2026900138.0,EAST 164 STREET,12901.0
144055,5030190027.0,NARROWS ROAD NORTH,2001.0
