location_point,latitude,longitude,citycouncil,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-74.00497613, 40.71575994]}",40.71575994,-74.00497613,1,1
"{'type': 'Point', 'coordinates': [-74.07242765, 40.60586273]}",40.60586273,-74.07242765,49,74
"{'type': 'Point', 'coordinates': [-73.81037271, 40.69057272]}",40.69057272,-73.81037271,28,64
"{'type': 'Point', 'coordinates': [-73.89861514, 40.69515789]}",40.69515789,-73.89861514,30,62
"{'type': 'Point', 'coordinates': [-74.00281297, 40.60020309]}",40.60020309,-74.00281297,43,37
"{'type': 'Point', 'coordinates': [-73.98408782, 40.63929771]}",40.63929771,-73.98408782,39,39
"{'type': 'Point', 'coordinates': [-73.91062465, 40.66548902]}",40.66548902,-73.91062465,41,46
"{'type': 'Point', 'coordinates': [-73.89341592, 40.85790201]}",40.85790201,-73.89341592,15,31
"{'type': 'Point', 'coordinates': [-73.90770322, 40.74163074]}",40.74163074,-73.90770322,26,66
"{'type': 'Point', 'coordinates': [-73.87737336, 40.68582132]}",40.68582132,-73.87737336,37,47
"{'type': 'Point', 'coordinates': [-73.94566982, 40.78194718]}",40.78194718,-73.94566982,5,11
"{'type': 'Point', 'coordinates': [-73.93355357, 40.6725145]}",40.6725145,-73.93355357,36,49
"{'type': 'Point', 'coordinates': [-73.80792715, 40.70176553]}",40.70176553,-73.80792715,27,61
"{'type': 'Point', 'coordinates': [-74.12510919, 40.57084247]}",40.57084247,-74.12510919,50,76
"{'type': 'Point', 'coordinates': [-73.8604723, 40.72915082]}",40.72915082,-73.8604723,29,70
"{'type': 'Point', 'coordinates': [-73.9668471, 40.76984667]}",40.76984667,-73.9668471,4,11
"{'type': 'Point', 'coordinates': [-73.95814639, 40.61821719]}",40.61821719,-73.95814639,44,43
"{'type': 'Point', 'coordinates': [-73.926036, 40.85501103]}",40.85501103,-73.926036,10,22
"{'type': 'Point', 'coordinates': [-74.10790852, 40.58368564]}",40.58368564,-74.10790852,50,76
"{'type': 'Point', 'coordinates': [-73.88205387, 40.71245415]}",40.71245415,-73.88205387,30,62
"{'type': 'Point', 'coordinates': [-73.9447695, 40.787442]}",40.787442,-73.9447695,8,14
"{'type': 'Point', 'coordinates': [-73.87269698, 40.89769435]}",40.89769435,-73.87269698,11,30
"{'type': 'Point', 'coordinates': [-74.08574929, 40.63395556]}",40.63395556,-74.08574929,49,74
"{'type': 'Point', 'coordinates': [-73.90106211, 40.86828265]}",40.86828265,-73.90106211,14,34
"{'type': 'Point', 'coordinates': [-74.01582528, 40.63178263]}",40.63178263,-74.01582528,43,41
"{'type': 'Point', 'coordinates': [-74.00146275, 40.73716857]}",40.73716857,-74.00146275,3,3
"{'type': 'Point', 'coordinates': [-73.93750187, 40.78951095]}",40.78951095,-73.93750187,8,14
"{'type': 'Point', 'coordinates': [-73.84246873, 40.83615871]}",40.83615871,-73.84246873,13,28
"{'type': 'Point', 'coordinates': [-74.07601777, 40.6377481]}",40.6377481,-74.07601777,49,74
"{'type': 'Point', 'coordinates': [-73.92826618, 40.85680813]}",40.85680813,-73.92826618,10,22
"{'type': 'Point', 'coordinates': [-73.91004188, 40.65593507]}",40.65593507,-73.91004188,42,46
"{'type': 'Point', 'coordinates': [-74.16189941, 40.59529877]}",40.59529877,-74.16189941,51,75
"{'type': 'Point', 'coordinates': [-73.869288, 40.74524191]}",40.74524191,-73.869288,25,68
"{'type': 'Point', 'coordinates': [-73.757706, 40.60573893]}",40.60573893,-73.757706,31,59
"{'type': 'Point', 'coordinates': [-73.8419206, 40.89328577]}",40.89328577,-73.8419206,12,30
"{'type': 'Point', 'coordinates': [-73.9110349, 40.69953211]}",40.69953211,-73.9110349,34,53
"{'type': 'Point', 'coordinates': [-73.93994876, 40.80958142]}",40.80958142,-73.93994876,9,20
"{'type': 'Point', 'coordinates': [-73.84906246, 40.84069738]}",40.84069738,-73.84906246,13,28
"{'type': 'Point', 'coordinates': [-73.86108261, 40.70589893]}",40.70589893,-73.86108261,30,62
"{'type': 'Point', 'coordinates': [-73.87475187, 40.66329419]}",40.66329419,-73.87475187,42,47
"{'type': 'Point', 'coordinates': [-73.81429898, 40.78058083]}",40.78058083,-73.81429898,19,67
"{'type': 'Point', 'coordinates': [-73.88806563, 40.76517834]}",40.76517834,-73.88806563,22,73
"{'type': 'Point', 'coordinates': [-73.94212011, 40.7979438]}",40.7979438,-73.94212011,8,16
"{'type': 'Point', 'coordinates': [-73.91985955, 40.7114561]}",40.7114561,-73.91985955,34,62
"{'type': 'Point', 'coordinates': [-74.21812604, 40.50402832]}",40.50402832,-74.21812604,51,77
"{'type': 'Point', 'coordinates': [-74.08446979, 40.59215182]}",40.59215182,-74.08446979,50,76
"{'type': 'Point', 'coordinates': [-74.08434222, 40.60604576]}",40.60604576,-74.08434222,50,76
"{'type': 'Point', 'coordinates': [-73.86523871, 40.71997671]}",40.71997671,-73.86523871,29,62
"{'type': 'Point', 'coordinates': [-73.94351861, 40.78363246]}",40.78363246,-73.94351861,8,14
"{'type': 'Point', 'coordinates': [-73.89428989, 40.65301502]}",40.65301502,-73.89428989,42,42
"{'type': 'Point', 'coordinates': [-73.82130359, 40.68250274]}",40.68250274,-73.82130359,28,64
"{'type': 'Point', 'coordinates': [-73.94665225, 40.71790704]}",40.71790704,-73.94665225,34,57
"{'type': 'Point', 'coordinates': [-73.95829217, 40.67983113]}",40.67983113,-73.95829217,35,49
"{'type': 'Point', 'coordinates': [-73.92965062, 40.76079776]}",40.76079776,-73.92965062,26,72
"{'type': 'Point', 'coordinates': [-73.96757497, 40.80292725]}",40.80292725,-73.96757497,6,15
"{'type': 'Point', 'coordinates': [-74.01118011, 40.67422277]}",40.67422277,-74.01118011,38,48
"{'type': 'Point', 'coordinates': [-73.89309377, 40.76678469]}",40.76678469,-73.89309377,22,72
"{'type': 'Point', 'coordinates': [-73.77529928, 40.71469631]}",40.71469631,-73.77529928,24,61
"{'type': 'Point', 'coordinates': [-73.94550864, 40.80197023]}",40.80197023,-73.94550864,9,18
"{'type': 'Point', 'coordinates': [-73.76158679, 40.74341137]}",40.74341137,-73.76158679,23,69
