location,communitydistict,box_type,:@computed_region_f5dn_yrer,borough,:@computed_region_92fq_4b7q,zip
97 AVE & SUTPHIN BLVD,QN12,ERS,41,Queens,46,11435.0
4 AVE & 32 ST,BK07,ERS,9,Brooklyn,7,11232.0
CROYDEN RD & MAYFIELD RD,QN08,BARS,25,Queens,24,11432.0
VOORHIES AVE & E 26 ST,BK15,ERS,32,Brooklyn,15,11235.0
MORNINGSIDE AVE & W 119 ST,MN10,ERS,37,Manhattan,23,10026.0
50 AVE & 47 ST,QN02,BARS,53,Queens,33,11377.0
SETON AVE & E 233 ST,BX12,ERS,29,Bronx,2,10466.0
E 167 ST & STEBBINS ST/POLITE AVE,BX02,ERS,8,Bronx,43,10459.0
15 RD & 208 ST,QN07,BARS,22,Queens,20,11360.0
CEBRA AVE & VICTORY BLVD,SI01,ERS,4,Staten Island,13,10301.0
FLUSHING AVE & ONDERDONK AVE,QN05,ERS,54,Queens,30,11385.0
16 AVE & 77 ST,BK11,ERS,1,Brooklyn,44,11214.0
1 AVE & E 94 ST,MN08,ERS,23,Manhattan,1,10128.0
WYCKOFF AVE & CENTRE ST,QN05,ERS,54,Brooklyn,30,11385.0
JUNIPER VALLEY RD & 75 ST,QN05,ERS,54,Queens,34,11379.0
FURMAN ST & MONTAGUE ST,BK02,ERS,68,Brooklyn,38,11201.0
NEW YORK AVE & LEFFERTS AVE,BK09,ERS,17,Brooklyn,11,11225.0
AVENUE M & E 17 ST,BK14,ERS,60,Brooklyn,15,11230.0
68 RD & 60 ST,QN05,ERS,54,Queens,34,11385.0
109 AVE & 227 ST,QN13,BARS,63,Queens,6,11429.0
FOSTER AVE & E 21 ST,BK14,ERS,60,Brooklyn,11,11226.0
GLENMORE AVE & SHEFFIELD AVE,BK05,ERS,45,Brooklyn,37,11207.0
1 AVE & E 70 ST,MN08,ERS,23,Manhattan,1,10021.0
DWIGHT ST & COFFEY ST,BK06,ERS,14,Brooklyn,7,11231.0
LIBERTY AVE & SNEDIKER AVE,BK05,ERS,45,Brooklyn,37,11207.0
RICHMOND AVE & ARTHUR KILL RD,SI03,BARS,15,Staten Island,9,10312.0
GRAND AVE & E/S OF NY CONN RAILROAD,QN04,ERS,66,Queens,5,11373.0
WOODSIDE AVE & 69 ST,QN02,BARS,53,Queens,33,11377.0
11 AVE & 48 ST,BK12,ERS,2,Brooklyn,18,11219.0
JEWEL AVE/VAN ARSDALE AVE & 136 ST,QN08,ERS,25,Queens,24,11367.0
68 ST & 7 AVE E/S OF VZ BRIDGE APP,BK10,ERS,10,Brooklyn,44,11220.0
FIELDSTON RD & W 245 ST,BX08,ERS,48,Bronx,40,10471.0
FLATLANDS AVE & FOUNTAIN AVE,BK05,ERS,45,Brooklyn,25,11208.0
150 ST & 20 RD,QN07,BARS,22,Queens,20,11357.0
CROCHERON AVE & 170 ST,QN07,BARS,22,Queens,20,11358.0
110 AVE & SPRINGFIELD BLVD,QN13,BARS,63,Queens,6,11429.0
LGA - PARKING GARAGE E/END ARRIVAL BLD,LGA,BARS,3,Queens,21,11371.0
COURT ST & MONTAGUE ST,BK02,ERS,68,Brooklyn,38,11201.0
SANFORD AVE & 149 ST,QN07,ERS,22,Queens,3,11355.0
101 AVE & 84 ST,QN09,ERS,46,Queens,41,11416.0
VICTORY BLVD & BAY ST,SI01,BARS,4,Staten Island,13,10301.0
QUENCER RD & NEWBURGH ST,QN12,BARS,41,Queens,6,11412.0
VANDERBILT AVE & DEKALB AVE,BK02,ERS,68,Brooklyn,48,11205.0
CROPSEY AVE & 20 AVE,BK11,ERS,1,Brooklyn,44,11214.0
ROCKAWAY BEACH BLVD & BEACH 75 ST,QN14,ERS,51,Queens,41,11692.0
FDR DR & E 107 ST,MN11,ERS,7,Manhattan,35,10029.0
WILLIAMS AVE 600' S OF STANLEY AVE,BK18,ERS,5,Brooklyn,25,11236.0
93 RD & 224 ST,QN13,BARS,63,Queens,16,11428.0
MOTT AVE & MCBRIDE ST,QN14,BARS,51,Queens,47,11691.0
ADAMS AVE & NORTH RAILROAD AVE,SI02,ERS,30,Staten Island,14,10306.0
WYONA AVE & HAWTHORNE AVE,SI01,ERS,4,Staten Island,14,10314.0
NARROWS RD N 1000' W OF FINGERBOARD RD,SI01,ERS,4,Staten Island,13,10305.0
JEWETT AVE & EGBERT AVE,SI01,BARS,4,Staten Island,13,10302.0
NOSTRAND AVE & LINDEN BLVD,BK17,ERS,61,Brooklyn,11,11226.0
5 AVE & E 130 ST,MN10,ERS,18,Manhattan,36,10027.0
SEABURY AVE & HERSHELL ST,BX10,ERS,43,Bronx,12,10461.0
MYRTLE AVE & 73 ST,QN05,ERS,54,Queens,34,11385.0
HILLSIDE AVE & 187 ST,QN08,BARS,41,Queens,6,11423.0
22 AVE & 126 ST,QN07,ERS,22,Queens,20,11356.0
14 AVE & 39 ST,BK12,ERS,2,Brooklyn,27,11218.0
131 AVE & 218 ST,QN13,ERS,63,Queens,47,11413.0
NOBLE AVE & GLEASON AVE,BX09,ERS,58,Bronx,31,10472.0
LORETTO LA & WATERFRONT,SI03,BARS,15,Staten Island,9,10309.0
SHEA STADIUM 700' W OF 126 ST & 38 AVE,,BARS,67,Queens,21,11368.0
COMBS AVE 250' N OF CLARKE AVE/RVFD,SI03,BARS,15,Staten Island,14,10306.0
1 AVE & E 126 ST,MN11,ERS,7,Manhattan,35,10035.0
FOREST AVE & LIVERMORE AVE,SI01,ERS,4,Staten Island,13,10302.0
XENIA ST & HURLBERT ST,SI02,BARS,30,Staten Island,14,10305.0
4 AVE & ST MARKS PL,BK06,ERS,68,Brooklyn,38,11217.0
UNION TPK & 141 ST,QN08,ERS,25,Queens,24,11367.0
43 AVE OPP 95 ST,QN04,BARS,66,Queens,5,11373.0
ROCKAWAY BEACH BLVD & BEACH 84 ST,QN14,ERS,51,Queens,41,11693.0
AVE I & EAST 15 ST,BK14,ERS,60,Brooklyn,26,11230.0
AVE M & EAST 15 ST,BK14,ERS,60,Brooklyn,15,11230.0
PEARL ST & BEEKMAN ST,MN01,ERS,56,Manhattan,32,10038.0
78 AVE & 88 ST,QN05,ERS,54,Queens,34,11385.0
MADISON AVE & E 69 ST,MN08,ERS,23,Manhattan,51,10021.0
RIVERSIDE DR & W 111 ST,MN09,ERS,37,Manhattan,23,10025.0
MANOR RD & DOUGLAS RD,QN11,BARS,26,Queens,20,11363.0
JAMAICA AVE & SUTPHIN BLVD,QN12,ERS,41,Queens,24,11435.0
WOODHAVEN BLVD & 68 AVE,QN05,ERS,40,Queens,28,11379.0
BATH AVE & BAY 37 ST,BK11,ERS,1,Brooklyn,45,11214.0
FOCH BLVD & MERRICK BLVD,QN12,BARS,41,Queens,6,11434.0
8 AVE & 16 ST,BK07,ERS,9,Brooklyn,27,11215.0
PURDY PL & HOLTON AVE,SI03,ERS,15,Staten Island,9,10309.0
S/S QUEENS BLVD & 58 ST,QN02,ERS,53,Queens,33,11377.0
MANOR RD & CENTER DR,QN11,BARS,26,Queens,20,11363.0
BUCHANAN AVE & HAROLD ST,SI02,BARS,30,Staten Island,13,10314.0
EAST HAMPTON BLVD & HARDING XWAY N,QN11,BARS,26,Queens,16,11364.0
67 AVE & 214 ST,QN11,BARS,26,Queens,16,11364.0
SUNNYSIDE AVE & BARBEY ST,BK05,ERS,45,Brooklyn,37,11207.0
CRONSTON AVE & BEACH 135 ST,QN14,BARS,51,Queens,41,11694.0
VANDERBILT AVE & BAY ST,SI01,BARS,4,Staten Island,13,10304.0
SOLON PL & HAVEMEYER AVE,BX09,ERS,58,Bronx,31,10473.0
NELSON AVE & BELDEN ST,SI03,BARS,15,Staten Island,9,10308.0
DORSEY & SEDDON STS,BX10,ERS,43,Bronx,12,10461.0
OCEANVIEW AVE & BRIGHTON 2 ST,BK13,ERS,21,Brooklyn,15,11235.0
SLOSSON AVE & MOTLEY AVE,SI02,ERS,30,Staten Island,14,10314.0
ADEE AVE & OLINVILLE AVE,BX12,ERS,59,Bronx,22,10467.0
GLENMORE AVE & PINE ST,BK05,ERS,45,Brooklyn,25,11208.0
ST NICHOLAS AVE OPP W 193 ST,MN12,ERS,47,Manhattan,39,10040.0
BROADWAY & W 230 ST,BX08,ERS,48,Bronx,40,10463.0
NEW LOTS AVE & HINSDALE ST,BK05,ERS,45,Brooklyn,25,11207.0
AMBOY RD 75' E OF SHARROTT AVE,SI03,ERS,15,Staten Island,9,10309.0
N/B CI PWAY AT 150 ST,QN07,ERS,22,Queens,20,11357.0
60 AVE & HEWLETT ST,QN11,BARS,26,Queens,16,11362.0
SEA VIEW AVE & HYLAN BLVD,SI02,BARS,30,Staten Island,14,10305.0
PRATT AVE & MAROLLA PLACE,BX12,ERS,29,Bronx,2,10466.0
CENTRAL AVE & 69 PL,QN05,ERS,54,Queens,34,11385.0
WESTERN AVE & RAILROAD CROSSING,SI01,BARS,4,Staten Island,13,10303.0
RICHMOND AVE & DEPPE PL,SI01,ERS,4,Staten Island,13,10314.0
QUEENS BLVD & 64 RD,QN06,ERS,40,Queens,28,11374.0
AMSTERDAM AVE S OF FORT GEORGE AVE,MN12,ERS,47,Manhattan,39,10040.0
RIVER & NORTH 3 STS,BK01,ERS,36,Brooklyn,38,11211.0
37 AVE & 111 ST,QN03,BARS,65,Queens,21,11368.0
UTTER AVE & MANOR RD,SI01,ERS,4,Staten Island,14,10314.0
PRESTON CT BTW E 56 ST & RALPH AVE,BK18,ERS,5,Brooklyn,26,11234.0
66 RD & YELLOWSTONE BLVD,QN06,ERS,40,Queens,28,11375.0
5 AVE & 149 ST,QN07,ERS,22,Queens,20,11357.0
68 RD & 108 ST,QN06,ERS,40,Queens,28,11375.0
LEXINGTON AVE & E 115 ST,MN11,ERS,7,Manhattan,35,10029.0
LINDEN BLVD & 176 ST,QN12,BARS,41,Queens,6,11434.0
E NEW YORK AVE & ST MARKS AVE,BK16,ERS,55,Brooklyn,17,11212.0
GLENMORE AVE & WYONA ST,BK05,ERS,45,Brooklyn,37,11207.0
45 AVE & 160 ST,QN07,ERS,22,Queens,3,11358.0
10 AVE & W 202 ST,MN12,ERS,47,Manhattan,39,10034.0
ONEIDA AVE & E 236 ST,BX12,ERS,29,Bronx,40,10470.0
ASTORIA BLVD & 81 ST,QN03,BARS,65,Queens,4,11370.0
VINCENT AVE & COVERLY ST,SI03,BARS,15,Staten Island,14,10306.0
AVENUE B & E 4 ST,MN03,ERS,70,Manhattan,50,10009.0
41 AVE & 21 ST,QN01,BARS,39,Queens,33,11101.0
BROADWAY & THOMAS ST,MN01,ERS,56,Manhattan,32,10013.0
MANHATTAN AVE & FROST ST,BK01,ERS,36,Brooklyn,30,11211.0
DUMONT AVE & EMERALD ST,BK05,ERS,45,Brooklyn,25,11208.0
SW CORNER 73 ST & 57 AVE,QN05,ERS,54,Queens,34,11378.0
LEXINGTON AVE & MALCOLM X BLVD\REID AVE,BK03,ERS,69,Brooklyn,49,11221.0
LINDEN BLVD & WILLIAMS AVE,BK05,ERS,45,Brooklyn,25,11207.0
17 AVE & 46 ST,BK12,ERS,2,Brooklyn,18,11204.0
JEROME AVE & MOUNT HOPE PL,BX05,ERS,6,Bronx,29,10453.0
ELBE AVE & SABLE AVE,SI02,BARS,30,Staten Island,14,10304.0
109 AVE & 120 ST,QN10,ERS,62,Queens,46,11419.0
ARLINGTON AVE & W 246 ST,BX08,ERS,48,Bronx,40,10471.0
24 AVE & 201 ST,QN07,BARS,22,Queens,20,11357.0
WEST ST BTW MURRAY ST & WARREN ST,MN01,ERS,56,Manhattan,32,10007.0
3 AVE & 65 ST,BK07,ERS,10,Brooklyn,7,11220.0
TARGEE ST & STEUBEN ST,SI01,ERS,4,Staten Island,13,10304.0
YETMAN AVE & HYLAN BLVD,SI03,ERS,15,Staten Island,9,10307.0
FLATBUSH AVE & PARK PL,BK08,ERS,16,Brooklyn,48,11217.0
RICHMOND AVE & ROCKLAND AVE,SI02,BARS,30,Staten Island,14,10314.0
VICTORY BLVD & MOUNTAINVIEW AVE,SI01,BARS,4,Staten Island,14,10314.0
HAMILTON PL & W 139 ST,MN09,ERS,37,Manhattan,23,10031.0
CLARKSON AVE & E 40 ST,BK09,ERS,17,Brooklyn,11,11203.0
ATLANTIC AVE & CLASSON AVE,BK02,ERS,16,Brooklyn,48,11238.0
ETNA AVE & RICHMOND ST,BK05,ERS,45,Brooklyn,37,11208.0
HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,BK16,ERS,55,Brooklyn,25,11212.0
GOTHAM AVE & SHELL BANK CREEK,BK15,ERS,32,Brooklyn,8,11229.0
METROPOLITAN AVE & STEWART AVE,BK01,BARS,36,Brooklyn,30,11237.0
GREENWICH AVE & BANK ST,MN02,ERS,57,Manhattan,10,10014.0
