borobox,location_point,:@computed_region_yeji_bk3q
B1984,"{'type': 'Point', 'coordinates': [-73.89428989, 40.65301502]}",2
B1759,"{'type': 'Point', 'coordinates': [-73.89028339, 40.68248486]}",2
M1221,"{'type': 'Point', 'coordinates': [-73.94566982, 40.78194718]}",4
B0143,"{'type': 'Point', 'coordinates': [-73.94665225, 40.71790704]}",2
Q0034,"{'type': 'Point', 'coordinates': [-73.87158358, 40.77278489]}",3
B0482,"{'type': 'Point', 'coordinates': [-73.99824027, 40.69599978]}",2
Q4514,"{'type': 'Point', 'coordinates': [-73.84239892, 40.78015379]}",3
B1611,"{'type': 'Point', 'coordinates': [-73.90925438, 40.672948]}",2
X2875,"{'type': 'Point', 'coordinates': [-73.86968144, 40.82942885]}",5
B3828,"{'type': 'Point', 'coordinates': [-74.01118011, 40.67422277]}",2
Q4014,"{'type': 'Point', 'coordinates': [-73.89861514, 40.69515789]}",3
M1014,"{'type': 'Point', 'coordinates': [-73.9668471, 40.76984667]}",4
M1323,"{'type': 'Point', 'coordinates': [-73.96757497, 40.80292725]}",4
Q5394,"{'type': 'Point', 'coordinates': [-73.76458044, 40.69563063]}",3
B2691,"{'type': 'Point', 'coordinates': [-74.00014289, 40.63075638]}",2
Q9839,"{'type': 'Point', 'coordinates': [-73.80573926, 40.6972619]}",3
X3667,"{'type': 'Point', 'coordinates': [-73.83591285, 40.88469455]}",5
Q7019,"{'type': 'Point', 'coordinates': [-73.88858241, 40.72843098]}",3
R1031,"{'type': 'Point', 'coordinates': [-74.08434222, 40.60604576]}",1
X3468,"{'type': 'Point', 'coordinates': [-73.86822921, 40.86968361]}",5
Q3804,"{'type': 'Point', 'coordinates': [-73.77003288, 40.75281186]}",3
R3768,"{'type': 'Point', 'coordinates': [-74.20190242, 40.55520322]}",1
B1232,"{'type': 'Point', 'coordinates': [-73.97271615, 40.67752281]}",2
B2895,"{'type': 'Point', 'coordinates': [-74.00281297, 40.60020309]}",2
Q1326,"{'type': 'Point', 'coordinates': [-73.80986542, 40.58774216]}",3
R0428,"{'type': 'Point', 'coordinates': [-74.07253552, 40.62246402]}",1
B3283,"{'type': 'Point', 'coordinates': [-73.94318574, 40.58689038]}",2
Q7339,"{'type': 'Point', 'coordinates': [-73.86108261, 40.70589893]}",3
B0109,"{'type': 'Point', 'coordinates': [-73.96462115, 40.71837562]}",2
M1584,"{'type': 'Point', 'coordinates': [-73.95210583, 40.8221734]}",4
Q4123,"{'type': 'Point', 'coordinates': [-73.89981967, 40.70347577]}",3
X3785,"{'type': 'Point', 'coordinates': [-73.90990306, 40.89263163]}",5
M1782,"{'type': 'Point', 'coordinates': [-73.926036, 40.85501103]}",4
Q6353,"{'type': 'Point', 'coordinates': [-73.75132309, 40.77632656]}",3
Q8999,"{'type': 'Point', 'coordinates': [-73.81037271, 40.69057272]}",3
M0529,"{'type': 'Point', 'coordinates': [-74.00146275, 40.73716857]}",4
B1446,"{'type': 'Point', 'coordinates': [-74.00209359, 40.65654952]}",2
R1494,"{'type': 'Point', 'coordinates': [-74.09220985, 40.58663049]}",1
R3814,"{'type': 'Point', 'coordinates': [-74.14995202, 40.5474525]}",1
Q3281,"{'type': 'Point', 'coordinates': [-73.89309377, 40.76678469]}",3
B0628,"{'type': 'Point', 'coordinates': [-73.96910363, 40.68946752]}",2
Q9336,"{'type': 'Point', 'coordinates': [-73.85715508, 40.75414368]}",3
B2023,"{'type': 'Point', 'coordinates': [-73.89335128, 40.67358165]}",2
M1483,"{'type': 'Point', 'coordinates': [-73.93089359, 40.80248977]}",4
B3884,"{'type': 'Point', 'coordinates': [-73.99238931, 40.59521085]}",2
M1378,"{'type': 'Point', 'coordinates': [-73.94212011, 40.7979438]}",4
Q3867,"{'type': 'Point', 'coordinates': [-73.74718849, 40.75218624]}",3
X3822,"{'type': 'Point', 'coordinates': [-73.83643359, 40.88893566]}",5
Q6218,"{'type': 'Point', 'coordinates': [-73.81429898, 40.78058083]}",3
B0793,"{'type': 'Point', 'coordinates': [-73.93036357, 40.68997797]}",2
B1936,"{'type': 'Point', 'coordinates': [-73.87475187, 40.66329419]}",2
R1192,"{'type': 'Point', 'coordinates': [-74.18184158, 40.63448668]}",1
B1423,"{'type': 'Point', 'coordinates': [-74.00262349, 40.65954746]}",2
B2616,"{'type': 'Point', 'coordinates': [-74.01582528, 40.63178263]}",2
X4903,"{'type': 'Point', 'coordinates': [-73.90106211, 40.86828265]}",5
Q9445,"{'type': 'Point', 'coordinates': [-73.81932997, 40.7172806]}",3
Q6350,"{'type': 'Point', 'coordinates': [-73.74605457, 40.77719081]}",3
M1290,"{'type': 'Point', 'coordinates': [-73.93750187, 40.78951095]}",4
R1016,"{'type': 'Point', 'coordinates': [-74.08634215, 40.61072604]}",1
M1778,"{'type': 'Point', 'coordinates': [-73.92826618, 40.85680813]}",4
B2540,"{'type': 'Point', 'coordinates': [-73.98130754, 40.63123292]}",2
Q1422,"{'type': 'Point', 'coordinates': [-73.85511219, 40.57803909]}",3
B1311,"{'type': 'Point', 'coordinates': [-73.98273252, 40.66153948]}",2
Q1314,"{'type': 'Point', 'coordinates': [-73.80274869, 40.58866769]}",3
B1729,"{'type': 'Point', 'coordinates': [-73.89716712, 40.67301661]}",2
B2587,"{'type': 'Point', 'coordinates': [-73.99594166, 40.63824637]}",2
Q5755,"{'type': 'Point', 'coordinates': [-73.74935675, 40.6831333]}",3
B0919,"{'type': 'Point', 'coordinates': [-73.93355357, 40.6725145]}",2
R0639,"{'type': 'Point', 'coordinates': [-74.07242765, 40.60586273]}",1
X2609,"{'type': 'Point', 'coordinates': [-73.86295905, 40.82510524]}",5
R1772,"{'type': 'Point', 'coordinates': [-74.13311765, 40.60126175]}",1
B2816,"{'type': 'Point', 'coordinates': [-74.00203158, 40.61515271]}",2
Q2213,"{'type': 'Point', 'coordinates': [-73.90770322, 40.74163074]}",3
M1521,"{'type': 'Point', 'coordinates': [-73.93994876, 40.80958142]}",4
R0712,"{'type': 'Point', 'coordinates': [-74.13191628, 40.62454541]}",1
B1905,"{'type': 'Point', 'coordinates': [-73.89610851, 40.65774692]}",2
R2465,"{'type': 'Point', 'coordinates': [-74.12510919, 40.57084247]}",1
Q5768,"{'type': 'Point', 'coordinates': [-73.73117919, 40.68043734]}",3
Q4742,"{'type': 'Point', 'coordinates': [-73.79089093, 40.77589957]}",3
X2658,"{'type': 'Point', 'coordinates': [-73.84504791, 40.82025032]}",5
Q7671,"{'type': 'Point', 'coordinates': [-73.88806563, 40.76517834]}",3
X2883,"{'type': 'Point', 'coordinates': [-73.84246873, 40.83615871]}",5
Q6427,"{'type': 'Point', 'coordinates': [-73.73611089, 40.75924987]}",3
R1429,"{'type': 'Point', 'coordinates': [-74.08446979, 40.59215182]}",1
M1275,"{'type': 'Point', 'coordinates': [-73.9447695, 40.787442]}",4
R0229,"{'type': 'Point', 'coordinates': [-74.07601777, 40.6377481]}",1
B3604,"{'type': 'Point', 'coordinates': [-73.96581492, 40.57880751]}",2
Q2305,"{'type': 'Point', 'coordinates': [-73.81286381, 40.78726003]}",3
Q5121,"{'type': 'Point', 'coordinates': [-73.88287364, 40.70420133]}",3
M0107,"{'type': 'Point', 'coordinates': [-74.01291703, 40.71579721]}",4
R0026,"{'type': 'Point', 'coordinates': [-74.08785112, 40.64536605]}",1
X4030,"{'type': 'Point', 'coordinates': [-73.8378736, 40.82178334]}",5
R0224,"{'type': 'Point', 'coordinates': [-74.08574929, 40.63395556]}",1
B0455,"{'type': 'Point', 'coordinates': [-73.99044693, 40.69373505]}",2
M0089,"{'type': 'Point', 'coordinates': [-74.00340211, 40.70808367]}",4
Q7296,"{'type': 'Point', 'coordinates': [-73.91890954, 40.73735689]}",3
Q7838,"{'type': 'Point', 'coordinates': [-73.87834313, 40.74822266]}",3
B1709,"{'type': 'Point', 'coordinates': [-73.90207722, 40.67357377]}",2
Q6451,"{'type': 'Point', 'coordinates': [-73.71691484, 40.7614709]}",3
X3837,"{'type': 'Point', 'coordinates': [-73.8419206, 40.89328577]}",5
B2653,"{'type': 'Point', 'coordinates': [-74.02354939, 40.63932033]}",2
Q7989,"{'type': 'Point', 'coordinates': [-73.869288, 40.74524191]}",3
M1019,"{'type': 'Point', 'coordinates': [-73.95695607, 40.76649344]}",4
B1662,"{'type': 'Point', 'coordinates': [-73.91062465, 40.66548902]}",2
B2211,"{'type': 'Point', 'coordinates': [-73.91004188, 40.65593507]}",2
B3934,"{'type': 'Point', 'coordinates': [-73.90513693, 40.6772081]}",2
B1816,"{'type': 'Point', 'coordinates': [-73.87737336, 40.68582132]}",2
Q4818,"{'type': 'Point', 'coordinates': [-73.80792715, 40.70176553]}",3
R4392,"{'type': 'Point', 'coordinates': [-74.21401058, 40.52402543]}",1
Q5061,"{'type': 'Point', 'coordinates': [-73.77486249, 40.68701659]}",3
M0482,"{'type': 'Point', 'coordinates': [-73.981562, 40.73264377]}",4
Q3506,"{'type': 'Point', 'coordinates': [-73.82953367, 40.74424412]}",3
