location_name,highschool_network_name,y_coordinate,highschool_network_superintendent,:@computed_region_sbqj_enih,managed_by_name,field_support_center_leader_name
"Urban Assembly School for Media Studies, The",H.S. Network 03 Superintendent Office,221591,"WALSH, FRED",12,DOE,"ANORMALIZA, ALEXANDRA"
University Neighborhood High School,HS Network 04 Superintendent Office,198776,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
P.S. 333 Manhattan School for Children,,227605,,15,DOE,"CHU, YUET"
M.S. 250 West Side Collaborative Middle School,,228958,,15,DOE,"CHU, YUET"
City Knoll Middle School,,213648,,6,DOE,"CHU, YUET"
The STAR Academy - P.S.63,,203210,,5,DOE,"CHU, YUET"
P.S. 033 Chelsea Prep,,212163,,6,DOE,"CHU, YUET"
P.S. 076 A. Philip Randolph,,233123,,18,DOE,"CHU, YUET"
P.S. 034 Franklin D. Roosevelt,,203782,,5,DOE,"CHU, YUET"
Cascades High School,HS Network 10 Superintendent Office,202472,"ROTONDO, PAUL",2,DOE,"CHU, YUET"
Art and Design High School,HS Network 04 Superintendent Office,215912,"ROSALES, MARISOL",9,DOE,"CHU, YUET"
School of the Future High School,H.S. Network 12 Superintendent Office,208559,"PELLES, KATHY",7,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 011 William T. Harris,,210404,,6,DOE,"CHU, YUET"
"New Explorations into Science, Technology and Math",HS Network 04 Superintendent Office,201380,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
Tompkins Square Middle School,,202733,,5,DOE,"CHU, YUET"
M.S. 256 Academic & Athletic Excellence,,227605,,15,DOE,"CHU, YUET"
Academy for Software Engineering,H.S. Network 07 Superintendent Office,207189,"CONYERS, DONALD",7,DOE,"ANORMALIZA, ALEXANDRA"
Innovation Diploma Plus,H.S. Network 07 Superintendent Office,225688,"CONYERS, DONALD",12,DOE,"ANORMALIZA, ALEXANDRA"
Harvey Milk High School,HS Network 10 Superintendent Office,205112,"ROTONDO, PAUL",5,DOE,"CHU, YUET"
Lower East Side Preparatory High School,HS Network 10 Superintendent Office,201607,"ROTONDO, PAUL",4,DOE,"CHU, YUET"
High School of Graphic Communication Arts,HS Network 04 Superintendent Office,217497,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
The Children's Workshop School,,204339,,5,DOE,"CHU, YUET"
P.S. 140 Nathan Straus,,201282,,4,DOE,"CHU, YUET"
M.S. M247 Dual Language Middle School,,226907,,15,DOE,"CHU, YUET"
N.Y.C. Museum School,HS Network 04 Superintendent Office,209794,"ROSALES, MARISOL",6,DOE,"CHU, YUET"
P.S. 007 Samuel Stern,,230969,,16,DOE,"CHU, YUET"
P.S. 059 Beekman Hill International,,215912,,9,DOE,"CHU, YUET"
47 The American Sign Language and English Secondar,HS Network 04 Superintendent Office,208287,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
P.S. 002 Meyer London,,199008,,4,DOE,"CHU, YUET"
International High School at Union Square,H.S. Network 12 Superintendent Office,207189,"PELLES, KATHY",7,DOE,"ANORMALIZA, ALEXANDRA"
Jacqueline Kennedy Onassis High School,HS Network 04 Superintendent Office,215301,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
P.S. 191 Amsterdam,,220393,,12,DOE,"CHU, YUET"
Manhattan Village Academy,HS Network 04 Superintendent Office,209594,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
STEM Institute of Manhattan,,231315,,18,DOE,"CHU, YUET"
Satellite Academy High School,HS Network 10 Superintendent Office,211584,"ROTONDO, PAUL",8,DOE,"CHU, YUET"
P.S. 38 Roberto Clemente,,226615,,14,DOE,"CHU, YUET"
The River School,,210453,,9,DOE,"CHU, YUET"
The 47 American Sign Language & English Lower Scho,,208287,,7,DOE,"CHU, YUET"
The Global Learning Collaborative,H.S. Network 03 Superintendent Office,225688,"WALSH, FRED",12,DOE,"CHU, YUET"
P.S. 198 Isador E. Ida Straus,,225284,,11,DOE,"CHU, YUET"
Frederick Douglass Academy II Secondary School,,231693,,18,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 212 Midtown West,,216649,,10,DOE,"CHU, YUET"
Professional Performing Arts High School,HS Network 04 Superintendent Office,216649,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
J.H.S. 054 Booker T. Washington,,230996,,15,DOE,"CHU, YUET"
P.S. 166 The Richard Rodgers School of The Arts an,,226705,,15,DOE,"CHU, YUET"
Unity Center for Urban Technologies,HS Network 04 Superintendent Office,211251,"ROSALES, MARISOL",8,DOE,"CHU, YUET"
High School for Dual Language and Asian Studies,HS Network 04 Superintendent Office,200619,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
The High School For Language And Diplomacy,HS Network 04 Superintendent Office,207189,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
Fiorello H. LaGuardia High School of Music & Art a,H.S. Network 03 Superintendent Office,221340,"WALSH, FRED",12,DOE,"CHU, YUET"
Liberty High School Academy for Newcomers,HS Network 10 Superintendent Office,209542,"ROTONDO, PAUL",6,DOE,"CHU, YUET"
Independence High School,HS Network 10 Superintendent Office,219025,"ROTONDO, PAUL",10,DOE,"CHU, YUET"
Forsyth Satellite Academy,H.S. Network 12 Superintendent Office,202472,"PELLES, KATHY",2,DOE,"ANORMALIZA, ALEXANDRA"
Sixth Avenue Elementary School,,208489,,7,DOE,"CHU, YUET"
Edward A. Reynolds West Side High School,HS Network 10 Superintendent Office,229697,"ROTONDO, PAUL",15,DOE,"CHU, YUET"
NYC iSchool,HS Network 04 Superintendent Office,203279,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
High School for Health Professions and Human Servi,HS Network 04 Superintendent Office,206207,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
Manhattan Comprehensive Night and Day High School,HS Network 10 Superintendent Office,206219,"ROTONDO, PAUL",7,DOE,"CHU, YUET"
New Design High School,H.S. Network 07 Superintendent Office,200619,"CONYERS, DONALD",4,DOE,"ANORMALIZA, ALEXANDRA"
MANHATTAN BUSINESS ACADEMY,HS Network 04 Superintendent Office,210120,"ROSALES, MARISOL",6,DOE,"CHU, YUET"
Essex Street Academy,H.S. Network 12 Superintendent Office,200619,"PELLES, KATHY",4,DOE,"ANORMALIZA, ALEXANDRA"
I.S. 289,,200503,,1,DOE,"CHU, YUET"
Manhattan Bridges High School,H.S. Network 07 Superintendent Office,218160,"CONYERS, DONALD",10,DOE,"ANORMALIZA, ALEXANDRA"
Neighborhood School,,203210,,5,DOE,"CHU, YUET"
P.S. 527 - East Side School for Social Action,,223694,,11,DOE,"CHU, YUET"
"P.S. 145, The Bloomingdale School",,230412,,15,DOE,"CHU, YUET"
Yorkville Community School,,222709,,11,DOE,"CHU, YUET"
"James Baldwin School, The: A School for Expedition",H.S. Network 12 Superintendent Office,210120,"PELLES, KATHY",6,DOE,"ANORMALIZA, ALEXANDRA"
Institute for Collaborative Education,H.S. Network 12 Superintendent Office,206207,"PELLES, KATHY",7,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 149 Sojourner Truth,,231708,,18,DOE,"CHU, YUET"
High School for Environmental Studies,HS Network 04 Superintendent Office,219025,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
River East Elementary,,229613,,16,DOE,"CHU, YUET"
P.S. 208 Alain L. Locke,,230182,,18,DOE,"CHU, YUET"
P.S. 185 - The Early Childhood Discovery and Desig,,230182,,18,DOE,"CHU, YUET"
"Urban Assembly Academy of Government and Law, The",H.S. Network 03 Superintendent Office,200619,"WALSH, FRED",4,DOE,"ANORMALIZA, ALEXANDRA"
Manhattan Early College School for Advertising,H.S. Network 03 Superintendent Office,198427,"WALSH, FRED",2,DOE,"ANORMALIZA, ALEXANDRA"
Vanguard High School,H.S. Network 12 Superintendent Office,218222,"PELLES, KATHY",11,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 234 Independence School,,201421,,1,DOE,"CHU, YUET"
Earth School,,202733,,5,DOE,"CHU, YUET"
M.S. 255 Salk School of Science,,207177,,7,DOE,"CHU, YUET"
High School of Arts and Technology,H.S. Network 03 Superintendent Office,221591,"WALSH, FRED",12,DOE,"CHU, YUET"
James Weldon Johnson,,229726,,14,DOE,"CHU, YUET"
Special Music School,,221724,,12,DOE,"CHU, YUET"
Chelsea Career and Technical Education High School,HS Network 04 Superintendent Office,203279,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
New York City Lab Middle School for Collaborative,,209794,,6,DOE,"CHU, YUET"
P.S. 180 Hugo Newman,,233500,,18,DOE,"CHU, YUET"
Stuyvesant High School,HS Network 04 Superintendent Office,200873,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
P.S. 89,,200503,,1,DOE,"CHU, YUET"
P.S. 042 Benjamin Altman,,200181,,4,DOE,"CHU, YUET"
P.S. 184m Shuang Wen,,198359,,4,DOE,"CHU, YUET"
Murray Hill Academy,HS Network 10 Superintendent Office,211251,"ROTONDO, PAUL",8,DOE,"CHU, YUET"
P.S. 77 Lower Lab School,,225284,,11,DOE,"CHU, YUET"
Frank Mccourt High School,H.S. Network 07 Superintendent Office,225688,"CONYERS, DONALD",12,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 003 Charrette School,,206184,,3,DOE,"CHU, YUET"
Battery Park City School,,196632,,1,DOE,"CHU, YUET"
P.S. 188 The Island School,,201552,,5,DOE,"CHU, YUET"
P.S. 183 Robert L. Stevenson,,217554,,11,DOE,"CHU, YUET"
P.S. 126 Jacob August Riis,,198186,,2,DOE,"CHU, YUET"
P.S. 134 Henrietta Szold,,199497,,4,DOE,"CHU, YUET"
West End Secondary School,,220759,,12,DOE,"ANORMALIZA, ALEXANDRA"
P.S./I.S. 217 Roosevelt Island,,213836,,72,DOE,"CHU, YUET"
"Technology, Arts, and Sciences Studio",,205239,,5,DOE,"CHU, YUET"
Urban Assembly New York Harbor School,H.S. Network 03 Superintendent Office,190478,"WALSH, FRED",1,DOE,"ANORMALIZA, ALEXANDRA"
Business Of Sports School,H.S. Network 07 Superintendent Office,217497,"CONYERS, DONALD",10,DOE,"ANORMALIZA, ALEXANDRA"
Emma Lazarus High School,HS Network 10 Superintendent Office,200219,"ROTONDO, PAUL",2,DOE,"CHU, YUET"
P.S. 064 Robert Simon,,202733,,5,DOE,"CHU, YUET"
Repertory Company High School for Theatre Arts,HS Network 04 Superintendent Office,214741,"ROSALES, MARISOL",8,DOE,"CHU, YUET"
P.S. 199 Jessie Isador Straus,,222579,,12,DOE,"CHU, YUET"
P.S. 019 Asher Levy,,205239,,5,DOE,"CHU, YUET"
Baruch College Campus High School,HS Network 04 Superintendent Office,209567,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
Murry Bergtraum High School for Business Careers,HS Network 04 Superintendent Office,198427,"ROSALES, MARISOL",2,DOE,"CHU, YUET"
P.S. 015 Roberto Clemente,,202349,,5,DOE,"CHU, YUET"
"Ballet Tech, NYC Public School for Dance",,208340,,7,DOE,"CHU, YUET"
Gramercy Arts High School,HS Network 04 Superintendent Office,207189,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
East Side Community School,H.S. Network 12 Superintendent Office,204927,"PELLES, KATHY",5,DOE,"ANORMALIZA, ALEXANDRA"
Richard R. Green High School of Teaching,HS Network 04 Superintendent Office,196375,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
The High School of Fashion Industries,HS Network 04 Superintendent Office,210947,"ROSALES, MARISOL",6,DOE,"CHU, YUET"
Millennium High School,H.S. Network 07 Superintendent Office,196017,"CONYERS, DONALD",1,DOE,"ANORMALIZA, ALEXANDRA"
M.S. 131,,200219,,2,DOE,"CHU, YUET"
Bard High School Early College,HS Network 04 Superintendent Office,200965,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
Harvest Collegiate High School,H.S. Network 12 Superintendent Office,207573,"PELLES, KATHY",3,DOE,"ANORMALIZA, ALEXANDRA"
Urban Assembly Gateway School for Technology,H.S. Network 03 Superintendent Office,217497,"WALSH, FRED",10,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 001 Alfred E. Smith,,198878,,2,DOE,"CHU, YUET"
The Urban Assembly School for Emergency Management,H.S. Network 03 Superintendent Office,198427,"WALSH, FRED",2,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 130 Hernando De Soto,,201104,,2,DOE,"CHU, YUET"
West Prep Academy,,230412,,15,DOE,"CHU, YUET"
Humanities Preparatory Academy,H.S. Network 12 Superintendent Office,210120,"PELLES, KATHY",6,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 158 Bayard Taylor,,219891,,11,DOE,"CHU, YUET"
P.S. 116 Mary Lindley Murray,,210523,,9,DOE,"CHU, YUET"
Eleanor Roosevelt High School,HS Network 04 Superintendent Office,219917,"ROSALES, MARISOL",11,DOE,"CHU, YUET"
"High School for Law, Advocacy and Community Justic",H.S. Network 03 Superintendent Office,221591,"WALSH, FRED",12,DOE,"CHU, YUET"
"Urban Assembly School of Design and Construction,",H.S. Network 03 Superintendent Office,218160,"WALSH, FRED",10,DOE,"ANORMALIZA, ALEXANDRA"
Wadleigh Secondary School for the Performing & Vis,,231693,,18,DOE,"CHU, YUET"
M.S. 260 Clinton School Writers & Artists,,207476,,7,DOE,"CHU, YUET"
Lower Manhattan Arts Academy,HS Network 04 Superintendent Office,200619,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
Mott Hall II,,231707,,15,DOE,"CHU, YUET"
"High School for Arts, Imagination and Inquiry",H.S. Network 03 Superintendent Office,221591,"WALSH, FRED",12,DOE,"ANORMALIZA, ALEXANDRA"
Marta Valle High School,HS Network 04 Superintendent Office,201607,"ROSALES, MARISOL",4,DOE,"CHU, YUET"
N.Y.C. Lab School for Collaborative Studies,HS Network 04 Superintendent Office,209794,"ROSALES, MARISOL",6,DOE,"CHU, YUET"
High School of Hospitality Management,HS Network 04 Superintendent Office,218160,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
M.S. M245 The Computer School,,223648,,12,DOE,"CHU, YUET"
P.S. 051 Elias Howe,,216735,,10,DOE,"CHU, YUET"
