principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
Daniel Mccormick,Open,"0K,01,02,03,SE","LABOY, BONNIE",15400,4,Yorkville                                                                  ,MN32,NY,General Academic,2012-07-01T00:00:00.000,PRINCIPAL
JODI HYDE,Open,"0K,01,02,03,04,05,06,07,08","ALTSCHUL, ILENE",16100,4,Upper West Side                                                            ,MN12,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
Rocco Macri,Open,"06,07,08,SE","LABOY, BONNIE",6400,4,Gramercy                                                                   ,MN21,NY,General Academic,1956-07-01T00:00:00.000,PRINCIPAL
Jennifer Rygalski,Open,"06,07,08,09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2009-07-01T00:00:00.000,I.A. PRINCIPAL
STACY GOLDSTEIN,Open,"06,07,08,09,10,11,12,SE",,6800,4,Gramercy                                                                   ,MN21,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
MIRZA SANCHEZ MEDINA,Open,"09,10,11,12",,13500,4,Clinton                                                                    ,MN15,NY,General Academic,2003-07-01T00:00:00.000,PRINCIPAL
Suany Ramos,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","PHILLIPS, DANIELLA",2000,4,Lower East Side                                                            ,MN28,NY,General Academic,1904-07-01T00:00:00.000,PRINCIPAL
JANE HSU,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",7000,4,Murray Hill-Kips Bay                                                       ,MN20,NY,General Academic,1926-07-01T00:00:00.000,PRINCIPAL
Jennifer Bonnet,Open,"PK,0K,01,02,03,04,05","LABOY, BONNIE",3900,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,MN24,NY,General Academic,2000-07-01T00:00:00.000,PRINCIPAL
MEGAN ADAMS,Open,"06,07,08,SE","LABOY, BONNIE",8300,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Jie Zhang,Open,"09,10,11,12",,31703,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
DENISE GOMEZ,Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",22000,4,Central Harlem South                                                       ,MN11,NY,General Academic,1999-06-22T00:00:00.000,PRINCIPAL
Louise Xerri,Open,"0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",15500,4,Lincoln Square                                                             ,MN14,NY,General Academic,1963-07-01T00:00:00.000,PRINCIPAL
MILES DOYLE,Open,"07,08,09,10,11,12,SE","PHILLIPS, DANIELLA",201,4,Lower East Side                                                            ,MN28,NY,General Academic,2004-09-08T00:00:00.000,PRINCIPAL
May Lee,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",1600,4,Chinatown                                                                  ,MN27,NY,General Academic,1899-07-01T00:00:00.000,PRINCIPAL
