beds_number,school_support_team_name,grades_final_text,geographical_district_code,highschool_network_location_code,:@computed_region_efsh_h5xi,council_district,administrative_district_name,borough_block_lot
310200011459,School Support Team 4- Affinity Group,"09,10,11,12",2,HS12,10090.0,5,,1014420001
310200011411,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12073.0,2,,1008550016
310100010110,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,0
310200011407,School Support Team 4- Affinity Group,"06,07,08,09,10,11,12",2,HS12,11724.0,2,,1009220008
310300010076,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",3,,12424.0,9,COMMUNITY SCHOOL DISTRICT 03,1019260017
310200010177,School Support Team 4- Manhattan,"06,07,08",2,,10092.0,5,COMMUNITY SCHOOL DISTRICT 02,1014890001
310200011507,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,12081.0,3,,1010590015
310200010234,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12076.0,1,COMMUNITY SCHOOL DISTRICT 02,1001420025
310300010243,School Support Team 5- Manhattan,"05,06,07,08",3,,12421.0,6,COMMUNITY SCHOOL DISTRICT 03,1012140029
310300011860,School Support Team 2- Affinity Group,"06,07,08,09,10,11,12",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1018300019
310200011305,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,11723.0,1,,1004080030
310300010185,School Support Team 5- Manhattan,"PK,0K,01,02",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1015950015
310400010007,School Support Team 6- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",4,,13093.0,8,COMMUNITY SCHOOL DISTRICT 04,1017680021
310200010077,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,10099.0,5,COMMUNITY SCHOOL DISTRICT 02,1015240023
310200010011,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,12074.0,3,COMMUNITY SCHOOL DISTRICT 02,1007440024
310200010212,School Support Team 3- Manhattan,"0K,01,02,03,04,05",2,,13094.0,3,COMMUNITY SCHOOL DISTRICT 02,1010380014
310200011520,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,13096.0,1,,1001130100
310200011575,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,11724.0,2,,1009210064
310300011859,School Support Team 5- Manhattan,"0K,01,02,03,04,05,06,07,08,09,10,11,12",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011390008
310300010247,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012050006
310100010345,School Support Team 3- Manhattan,"06,07,08",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002690041
310200011449,School Support Team 4- Affinity Group,"09,10,11,12",2,HS12,10090.0,5,,1014420001
310200011544,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,12081.0,3,,1010650001
310300011415,School Support Team 2- Manhattan,"06,07,08,09,10,11,12",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1018300019
310300010084,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012050006
310200011586,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,11724.0,2,,1005450026
310100011696,School Support Team 1- Manhattan,"09,10,11,12",1,HS04,11723.0,2,,1003250025
310100011448,School Support Team 1- Manhattan,"09,10,11,12",1,HS04,11723.0,1,,1002590044
310200011605,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12074.0,3,,1007420007
310300010452,School Support Team 5- Manhattan,"0K,01,02,03,04,05",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011480014
310100011458,School Support Team 1- Affinity Group,"09,10,11,12",1,HS12,11723.0,1,,1004220072
310300010208,School Support Team 5- Manhattan,"03,04,05",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1015950015
310100010063,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1004310014
310200010158,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,10092.0,5,COMMUNITY SCHOOL DISTRICT 02,1014890001
310200011580,School Support Team 2- Manhattan,"09,10,11,12",2,HS04,11725.0,1,,0
310300011541,School Support Team 1- Affinity Group,"09,10,11,12",3,HS03,12420.0,6,,1011570025
310300010009,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12421.0,6,COMMUNITY SCHOOL DISTRICT 03,1012140029
310200011280,School Support Team 1- Affinity Group,"09,10,11,12",2,HS03,13096.0,1,,1001130100
310200010002,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,11723.0,1,COMMUNITY SCHOOL DISTRICT 02,1002730001
310200011437,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12074.0,3,,1007420007
310300010191,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011520029
310200011534,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12074.0,3,,1005770019
310200011519,School Support Team 2- Manhattan,"09,10,11,12",2,HS04,10090.0,5,,1014420001
310200011288,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12081.0,3,,1010790029
310200011442,School Support Team 4- Manhattan,"04,05,06,07,08",2,,11724.0,2,COMMUNITY SCHOOL DISTRICT 02,1008487502
310200011546,School Support Team 2- Affinity Group,"09,10,11,12",2,HS07,11724.0,2,,1008720057
310300011299,School Support Team 1- Affinity Group,"09,10,11,12",3,HS03,12420.0,6,,1011570025
310200010414,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12074.0,3,,1007410010
310200010289,School Support Team 4- Manhattan,"06,07,08",2,,10368.0,1,COMMUNITY SCHOOL DISTRICT 02,1000160221
310100010361,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003940012
310300010256,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012230005
310200011489,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11727.0,1,,1000520001
310200011420,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11724.0,2,,1009220008
310200011303,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12081.0,3,,1010790029
310200011560,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12077.0,3,,1005810054
310300010862,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018800013
310200011399,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11724.0,2,,1008720057
310200010167,School Support Team 4- Manhattan,"06,07,08",2,,12083.0,4,COMMUNITY SCHOOL DISTRICT 02,1014300005
310200011630,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12419.0,4,,1013300013
310300010054,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018620011
310100010332,School Support Team 3- Manhattan,"06,07,08",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002690041
310300011505,School Support Team 2- Manhattan,"09,10,11,12",3,HS10,12422.0,7,,1018550009
310200011394,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,11723.0,1,,1003010003
310200010033,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,11722.0,3,COMMUNITY SCHOOL DISTRICT 02,1007240023
310200010343,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,13096.0,1,COMMUNITY SCHOOL DISTRICT 02,1001060009
310400010057,School Support Team 6- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",4,,12426.0,8,COMMUNITY SCHOOL DISTRICT 04,1016400139
310200011135,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,13096.0,1,,1001130100
310200011550,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,12074.0,3,,1007670068
310300010250,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012530065
310200010416,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12083.0,5,,1014710005
310200011313,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12074.0,3,,1007420007
310200010041,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,12074.0,3,COMMUNITY SCHOOL DISTRICT 02,1006060049
310200011531,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,13094.0,4,,1009960021
310200011400,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12081.0,3,,1010650001
310200011615,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12076.0,3,,1004910016
310200010059,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12419.0,4,COMMUNITY SCHOOL DISTRICT 02,1013300013
310200010527,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,10099.0,5,COMMUNITY SCHOOL DISTRICT 02,1015540015
310300010334,School Support Team 5- Manhattan,"0K,01,02,03,04,05,06,07,08",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011480014
310200010104,School Support Team 4- Manhattan,"06,07,08",2,,12073.0,2,COMMUNITY SCHOOL DISTRICT 02,1009260001
310200011422,School Support Team 2- Affinity Group,"06,07,08,09,10,11,12",2,HS07,12074.0,3,,1007420007
310200010413,School Support Team 4- Affinity Group,"06,07,08,09,10,11,12",2,HS12,12073.0,2,,1008780016
310200011542,School Support Team 2- Affinity Group,"09,10,11,12",2,HS07,12081.0,3,,1010790029
310100010188,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",1,,11723.0,2,COMMUNITY SCHOOL DISTRICT 01,1003560100
310200010116,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12078.0,2,COMMUNITY SCHOOL DISTRICT 02,1009130007
310200010150,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,12076.0,1,COMMUNITY SCHOOL DISTRICT 02,1001420025
310200010312,School Support Team 4- Manhattan,"06,07,08",2,,12074.0,3,COMMUNITY SCHOOL DISTRICT 02,1007410010
310200011475,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,10368.0,1,,1000160215
310300010242,School Support Team 5- Manhattan,"0K,01,02,03,04,05",3,,12424.0,9,COMMUNITY SCHOOL DISTRICT 03,1019060011
310300010199,School Support Team 5- Manhattan,"0K,01,02,03,04,05",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011580040
310100011292,School Support Team 1- Manhattan,"06,07,08,09,10,11,12",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002690041
310200010042,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,11723.0,1,COMMUNITY SCHOOL DISTRICT 02,1003090001
310200011408,School Support Team 2- Manhattan,"06,07,08,09,10,11,12",2,HS04,13094.0,3,,1010380014
310300010333,School Support Team 5- Manhattan,"0K,01,02,03,04,05,06,07,08",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012230005
310200011425,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11727.0,1,,1000510015
310200010896,School Support Team 4- Manhattan,"06,07,08",2,,11725.0,1,COMMUNITY SCHOOL DISTRICT 02,0
310200010151,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,10099.0,5,COMMUNITY SCHOOL DISTRICT 02,1015680008
310300010166,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12421.0,6,COMMUNITY SCHOOL DISTRICT 03,1012190047
310200011419,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,12074.0,3,,1007420007
310200011308,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11723.0,1,,1004080030
310300010165,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018800013
310100011515,School Support Team 2- Manhattan,"09,10,11,12",1,HS10,11723.0,1,,1003540080
310200011374,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11724.0,2,,1008720057
310200011543,School Support Team 2- Affinity Group,"09,10,11,12",2,HS07,11723.0,1,,1004080030
310300011291,School Support Team 4- Affinity Group,"06,07,08",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011540108
310200010183,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,10090.0,5,COMMUNITY SCHOOL DISTRICT 02,1014610007
310100010064,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003870001
310300010149,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1016010001
310200010281,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,12078.0,4,COMMUNITY SCHOOL DISTRICT 02,1009670001
310100010015,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003740020
310300010075,School Support Team 5- Manhattan,"0K,01,02,03,04,05",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012530065
310200011376,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12076.0,3,,1004910016
310300011417,School Support Team 2- Affinity Group,"09,10,11,12",3,HS07,12421.0,6,,1012150001
310200010255,School Support Team 3- Manhattan,"06,07,08",2,,11724.0,2,COMMUNITY SCHOOL DISTRICT 02,1009250012
310300010087,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12421.0,6,COMMUNITY SCHOOL DISTRICT 03,1011490007
310100010034,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003810038
310100011539,School Support Team 1- Manhattan,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1,HS04,11723.0,2,,1003350001
310200011392,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12074.0,3,,1007420007
310200011139,School Support Team 1- Affinity Group,"09,10,11,12",2,HS03,12081.0,3,,1010590015
310200011545,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11723.0,1,,1004080030
310300010241,School Support Team 5- Manhattan,"0K,01,02,03,04,05",3,,12423.0,9,COMMUNITY SCHOOL DISTRICT 03,1018280015
310200010040,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,11724.0,2,COMMUNITY SCHOOL DISTRICT 02,1009250012
310200010126,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",2,,13096.0,1,COMMUNITY SCHOOL DISTRICT 02,1001110160
310100010364,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003870001
310200011393,School Support Team 2- Affinity Group,"09,10,11,12",2,HS07,12081.0,3,,1010590015
310400010012,School Support Team 6- Manhattan,"0K,01,02,03,04,05,06,07,08",4,,12426.0,8,COMMUNITY SCHOOL DISTRICT 04,1016560100
310100011509,School Support Team 1- Manhattan,"09,10,11,12",1,HS04,11723.0,1,,1003540080
310200011655,School Support Team 2- Manhattan,"06,07,08,09,10,11,12",2,HS04,10099.0,5,,1015580034
310300011479,School Support Team 4- Affinity Group,"09,10,11,12",2,HS12,13094.0,3,,1010720015
310100010301,School Support Team 3- Manhattan,"06,07,08",1,,11724.0,2,COMMUNITY SCHOOL DISTRICT 01,1004530034
310200010111,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,12081.0,3,COMMUNITY SCHOOL DISTRICT 02,1010620003
310300010145,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018590001
310200010290,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12425.0,5,COMMUNITY SCHOOL DISTRICT 02,1015450005
310200010340,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12074.0,3,COMMUNITY SCHOOL DISTRICT 02,1008187501
310200010089,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,10368.0,1,COMMUNITY SCHOOL DISTRICT 02,1000160221
310300011492,School Support Team 2- Manhattan,"09,10,11,12",3,HS03,12420.0,6,,1011570025
310200011225,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",2,,10090.0,5,COMMUNITY SCHOOL DISTRICT 02,1014420001
310300010258,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,6,COMMUNITY SCHOOL DISTRICT 03,1012230005
310300011494,School Support Team 2- Manhattan,"09,10,11,12",3,HS03,12420.0,6,,1011570025
310200011565,School Support Team 4- Affinity Group,"09,10,11,12",2,HS12,10090.0,5,,1014420001
310400010038,School Support Team 6- Manhattan,"PK,0K,01,02,03,04,05",4,,12426.0,8,COMMUNITY SCHOOL DISTRICT 04,1016520016
310200010412,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12074.0,3,,1007410010
310100010363,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1004310014
310200010114,School Support Team 4- Manhattan,"06,07,08",2,,10099.0,5,COMMUNITY SCHOOL DISTRICT 02,1015540032
310200010267,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,10090.0,4,COMMUNITY SCHOOL DISTRICT 02,1014180007
310200010933,School Support Team 4- Manhattan,"06,07,08",2,,11722.0,3,COMMUNITY SCHOOL DISTRICT 02,0
310200010124,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,11723.0,1,COMMUNITY SCHOOL DISTRICT 02,1002890001
310400010050,School Support Team 6- Manhattan,"0K,01,02,03,04,05,06,07,08",4,,12426.0,8,COMMUNITY SCHOOL DISTRICT 04,1016940001
310100010142,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1003430001
310200010006,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,12425.0,4,COMMUNITY SCHOOL DISTRICT 02,1014930021
310100010184,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002450007
310300010163,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018520099
310300011307,School Support Team 5- Affinity Group,"09,10,11,12",3,HS03,12420.0,6,,1011570025
310200011438,School Support Team 4- Affinity Group,"09,10,11,12",2,HS12,11724.0,2,,1008720057
310200010198,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05",2,,10099.0,5,COMMUNITY SCHOOL DISTRICT 02,1015240023
310100010315,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003940012
310200011533,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11724.0,2,,1008720057
310400010037,School Support Team 6- Manhattan,"0K,01,02,03,04,05",4,,13093.0,8,COMMUNITY SCHOOL DISTRICT 04,1018160001
310300010245,School Support Team 5- Manhattan,"06,07,08",3,,12420.0,6,COMMUNITY SCHOOL DISTRICT 03,1011480014
310200011316,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,11725.0,1,,0
310200011427,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12078.0,2,,1008897501
310200011529,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,13094.0,4,,1009980041
310200010418,School Support Team 2- Affinity Group,"09,10,11,12",2,HS07,11725.0,1,,1000290070
310100010019,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11724.0,2,COMMUNITY SCHOOL DISTRICT 01,1004530034
310100010134,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002880001
310200010260,School Support Team 4- Manhattan,"06,07,08",2,,11724.0,2,COMMUNITY SCHOOL DISTRICT 02,1008420034
310200010047,School Support Team 1- Manhattan,"09,10,11,12,SE",2,HS04,12073.0,2,,1009040024
310200011296,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12081.0,3,,1010790029
310300011485,School Support Team 2- Manhattan,"09,10,11,12",3,HS03,12420.0,6,,1011560030
310200010131,School Support Team 3- Manhattan,"06,07,08",2,,11723.0,1,COMMUNITY SCHOOL DISTRICT 02,1003010003
310200011600,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11722.0,3,,1007740019
310200010347,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",2,,12073.0,2,COMMUNITY SCHOOL DISTRICT 02,1009040024
310200010130,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,12076.0,1,COMMUNITY SCHOOL DISTRICT 02,1002360038
310200011500,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12078.0,2,,1008897501
310300010180,School Support Team 5- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",3,,12424.0,9,COMMUNITY SCHOOL DISTRICT 03,1019460001
310200010217,School Support Team 4- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",2,,,5,COMMUNITY SCHOOL DISTRICT 02,1013730001
310100010137,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1002880001
