pivot-metric,pivot-value,ats_system_code,location_code,location_name,:@computed_region_f5dn_yrer,location_category_description,field_support_center_name
school_support_team_leader_name,,02M047      ,M047,47 The American Sign Language and English Secondar,71,High school,Field Support Center - Manhattan
beds_number,310200011542.0,02M542      ,M542,Manhattan Bridges High School,12,High school,Affinity Group
school_support_team_leader_name,,02M158      ,M158,P.S. 158 Bayard Taylor,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M543      ,M543,New Design High School,70,High school,Affinity Group
beds_number,310200010040.0,02M040      ,M040,P.S. 040 Augustus Saint-Gaudens,71,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M084      ,M084,P.S. 084 Lillian Weber,20,Elementary,Field Support Center - Manhattan
beds_number,310400010057.0,04M057      ,M057,James Weldon Johnson,7,K-8,Field Support Center - Manhattan
beds_number,310300010149.0,03M149      ,M149,P.S. 149 Sojourner Truth,18,K-8,Field Support Center - Manhattan
beds_number,310300010084.0,03M084      ,M084,P.S. 084 Lillian Weber,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M140      ,M140,P.S. 140 Nathan Straus,70,K-8,Field Support Center - Manhattan
beds_number,310200011655.0,02M655      ,M655,Life Sciences Secondary School,23,Secondary School,Field Support Center - Manhattan
beds_number,310200010158.0,02M158      ,M158,P.S. 158 Bayard Taylor,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M009      ,M009,P.S. 009 Sarah Anderson,20,Elementary,Field Support Center - Manhattan
beds_number,310200011570.0,02M570      ,M570,Satellite Academy High School,11,High school,Field Support Center - Manhattan
beds_number,310100010137.0,01M137      ,M137,P.S. 137 John L. Bernstein,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M165      ,M165,P.S. 165 Robert E. Simon,20,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,01M142      ,M142,P.S. 142 Amalia Castro,70,Elementary,Field Support Center - Manhattan
beds_number,310300010191.0,03M191      ,M191,P.S. 191 Amsterdam,20,K-8,Field Support Center - Manhattan
beds_number,310300010452.0,03M452      ,M452,P.S. 452,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M413      ,M413,School of the Future High School,11,Secondary School,Affinity Group
beds_number,310200010003.0,02M003      ,M003,P.S. 003 Charrette School,57,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M550      ,M550,Liberty High School Academy for Newcomers,12,High school,Field Support Center - Manhattan
beds_number,310200010896.0,02M896      ,M896,Lower Manhattan Community Middle School,56,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310100010361.0,01M361      ,M361,The Children's Workshop School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M177      ,M177,Yorkville East Middle School,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M542      ,M542,Manhattan Bridges High School,12,High school,Affinity Group
beds_number,310300010076.0,03M076      ,M076,P.S. 076 A. Philip Randolph,18,K-8,Field Support Center - Manhattan
beds_number,310200011630.0,02M630      ,M630,Art and Design High School,71,High school,Field Support Center - Manhattan
beds_number,310200011580.0,02M580      ,M580,Richard R. Green High School of Teaching,56,High school,Field Support Center - Manhattan
beds_number,310200011282.0,02M282      ,M282,Urban Assembly Maker Academy,56,High school,Affinity Group
school_support_team_leader_name,,02M255      ,M255,M.S. 255 Salk School of Science,71,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M374      ,M374,Gramercy Arts High School,71,High school,Field Support Center - Manhattan
beds_number,310200010418.0,02M418      ,M418,Millennium High School,56,High school,Affinity Group
school_support_team_leader_name,,03M076      ,M076,P.S. 076 A. Philip Randolph,18,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M126      ,M126,P.S. 126 Jacob August Riis,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M560      ,M560,High School M560 - City As School,57,High school,Affinity Group
school_support_team_leader_name,,03M191      ,M191,P.S. 191 Amsterdam,20,K-8,Field Support Center - Manhattan
beds_number,310200011605.0,02M605      ,M605,Humanities Preparatory Academy,12,High school,Affinity Group
beds_number,310200011313.0,02M313      ,M313,"James Baldwin School, The: A School for Expedition",12,High school,Affinity Group
beds_number,310300010163.0,03M163      ,M163,P.S. 163 Alfred E. Smith,20,Elementary,Field Support Center - Manhattan
beds_number,310200011399.0,02M399      ,M399,The High School For Language And Diplomacy,71,High school,Field Support Center - Manhattan
beds_number,310200011296.0,02M296      ,M296,High School of Hospitality Management,12,High school,Field Support Center - Manhattan
beds_number,310300011860.0,03M860      ,M860,Frederick Douglass Academy II Secondary School,18,Secondary School,Affinity Group
beds_number,310300010333.0,03M333      ,M333,P.S. 333 Manhattan School for Children,20,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M489      ,M489,High School of Economics and Finance,56,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M150      ,M150,P.S. 150,56,Elementary,Field Support Center - Manhattan
beds_number,310200011519.0,02M519      ,M519,Talent Unlimited High School,23,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M041      ,M041,P.S. 041 Greenwich Village,57,Elementary,Field Support Center - Manhattan
beds_number,310200010077.0,02M077      ,M077,P.S. 77 Lower Lab School,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M250      ,M250,M.S. 250 West Side Collaborative Middle School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M347      ,M347,The 47 American Sign Language & English Lower Scho,71,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,01M015      ,M015,P.S. 015 Roberto Clemente,70,Elementary,Field Support Center - Manhattan
beds_number,310100010188.0,01M188      ,M188,P.S. 188 The Island School,70,K-8,Field Support Center - Manhattan
beds_number,310200010033.0,02M033      ,M033,P.S. 033 Chelsea Prep,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M281      ,M281,The River School,71,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M570      ,M570,Satellite Academy High School,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M064      ,M064,P.S. 064 Robert Simon,70,Elementary,Field Support Center - Manhattan
beds_number,310200010042.0,02M042      ,M042,P.S. 042 Benjamin Altman,70,Elementary,Field Support Center - Manhattan
beds_number,310300011307.0,03M307      ,M307,"Urban Assembly School for Media Studies, The",20,High school,Affinity Group
school_support_team_leader_name,,02M412      ,M412,N.Y.C. Lab School for Collaborative Studies,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M407      ,M407,Institute for Collaborative Education,71,Secondary School,Affinity Group
beds_number,310200011376.0,02M376      ,M376,NYC iSchool,57,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M565      ,M565,Urban Academy Laboratory High School,23,High school,Affinity Group
school_support_team_leader_name,,03M334      ,M334,The Anderson School,20,K-8,Field Support Center - Manhattan
beds_number,310200010116.0,02M116      ,M116,P.S. 116 Mary Lindley Murray,71,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M408      ,M408,Professional Performing Arts High School,12,Secondary School,Field Support Center - Manhattan
school_support_team_leader_name,,04M057      ,M057,James Weldon Johnson,7,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,03M404      ,M404,Innovation Diploma Plus,20,High school,Affinity Group
beds_number,310200011298.0,02M298      ,M298,Pace High School,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M545      ,M545,High School for Dual Language and Asian Studies,70,High school,Field Support Center - Manhattan
beds_number,310200010011.0,02M011      ,M011,P.S. 011 William T. Harris,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M034      ,M034,P.S. 034 Franklin D. Roosevelt,70,K-8,Field Support Center - Manhattan
beds_number,310100010020.0,01M020      ,M020,P.S. 020 Anna Silver,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M145      ,M145,"P.S. 145, The Bloomingdale School",20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M415      ,M415,Wadleigh Secondary School for the Performing & Vis,18,Secondary School,Field Support Center - Manhattan
school_support_team_leader_name,,03M243      ,M243,M.S. 243 Center School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010124.0,02M124      ,M124,P.S. 124 Yung Wing,70,Elementary,Field Support Center - Manhattan
beds_number,310200010267.0,02M267      ,M267,"East Side Elementary School, PS 267",23,Elementary,Field Support Center - Manhattan
beds_number,310200010416.0,02M416      ,M416,Eleanor Roosevelt High School,23,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M551      ,M551,Urban Assembly New York Harbor School,56,High school,Affinity Group
school_support_team_leader_name,,03M299      ,M299,"High School for Arts, Imagination and Inquiry",20,High school,Affinity Group
beds_number,310100010315.0,01M315      ,M315,The East Village Community School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M393      ,M393,Business Of Sports School,12,High school,Affinity Group
school_support_team_leader_name,,02M124      ,M124,P.S. 124 Yung Wing,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M650      ,M650,Cascades High School,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M475      ,M475,Stuyvesant High School,56,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M256      ,M256,M.S. 256 Academic & Athletic Excellence,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M312      ,M312,New York City Lab Middle School for Collaborative,12,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M933      ,M933,City Knoll Middle School,12,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M111      ,M111,P.S. 111 Adolph S. Ochs,12,Elementary,Field Support Center - Manhattan
beds_number,310100011539.0,01M539      ,M539,"New Explorations into Science, Technology and Math",70,K-12 all grades,Field Support Center - Manhattan
beds_number,310200010150.0,02M150      ,M150,P.S. 150,56,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M130      ,M130,P.S. 130 Hernando De Soto,57,Elementary,Field Support Center - Manhattan
beds_number,310200010126.0,02M126      ,M126,P.S. 126 Jacob August Riis,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M600      ,M600,The High School of Fashion Industries,12,High school,Field Support Center - Manhattan
beds_number,310200010260.0,02M260      ,M260,M.S. 260 Clinton School Writers & Artists,11,Secondary School,Field Support Center - Manhattan
school_support_team_leader_name,,02M294      ,M294,Essex Street Academy,70,High school,Affinity Group
beds_number,310200011545.0,02M545      ,M545,High School for Dual Language and Asian Studies,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M427      ,M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,11,High school,Field Support Center - Manhattan
beds_number,310200011625.0,02M625      ,M625,High School of Graphic Communication Arts,12,High school,Field Support Center - Manhattan
beds_number,310400010050.0,04M050      ,M050,P.S. 050 Vito Marcantonio,7,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M059      ,M059,P.S. 059 Beekman Hill International,71,Elementary,Field Support Center - Manhattan
beds_number,310100010839.0,01M839      ,M839,Tompkins Square Middle School,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010242.0,03M242      ,M242,P.S. 242 - The Young Diplomats Magnet Academy,18,Elementary,Field Support Center - Manhattan
beds_number,310200010412.0,02M412      ,M412,N.Y.C. Lab School for Collaborative Studies,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M131      ,M131,M.S. 131,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011420.0,02M420      ,M420,High School for Health Professions and Human Servi,71,High school,Field Support Center - Manhattan
beds_number,310200011422.0,02M422      ,M422,Quest to Learn,12,Secondary School,Affinity Group
beds_number,310200011544.0,02M544      ,M544,Independence High School,12,High school,Field Support Center - Manhattan
beds_number,310200011507.0,02M507      ,M507,Urban Assembly Gateway School for Technology,12,High school,Affinity Group
beds_number,310200011439.0,02M439      ,M439,Manhattan Village Academy,11,High school,Field Support Center - Manhattan
beds_number,310300011291.0,03M291      ,M291,West End Secondary School,20,Secondary School,Affinity Group
school_support_team_leader_name,,02M276      ,M276,Battery Park City School,56,K-8,Field Support Center - Manhattan
beds_number,310100010364.0,01M364      ,M364,Earth School,70,Elementary,Field Support Center - Manhattan
beds_number,310300011402.0,03M402      ,M402,The Urban Assembly School for Green Careers,20,High school,Affinity Group
beds_number,310200011305.0,02M305      ,M305,"Urban Assembly Academy of Government and Law, The",70,High school,Affinity Group
beds_number,310200011551.0,02M551      ,M551,Urban Assembly New York Harbor School,56,High school,Affinity Group
school_support_team_leader_name,,01M020      ,M020,P.S. 020 Anna Silver,70,Elementary,Field Support Center - Manhattan
beds_number,310200010312.0,02M312      ,M312,New York City Lab Middle School for Collaborative,12,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,03M247      ,M247,M.S. M247 Dual Language Middle School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010527.0,02M527      ,M527,P.S. 527 - East Side School for Social Action,23,Elementary,Field Support Center - Manhattan
beds_number,310200010131.0,02M131      ,M131,M.S. 131,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M546      ,M546,Academy for Software Engineering,71,High school,Affinity Group
beds_number,310200011316.0,02M316      ,M316,"Urban Assembly School of Business for Young Women,",56,High school,Affinity Group
beds_number,310300010256.0,03M256      ,M256,M.S. 256 Academic & Athletic Excellence,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010087.0,03M087      ,M087,P.S. 087 William Sherman,20,Elementary,Field Support Center - Manhattan
beds_number,310300011417.0,03M417      ,M417,Frank Mccourt High School,20,High school,Affinity Group
school_support_team_leader_name,,02M077      ,M077,P.S. 77 Lower Lab School,23,Elementary,Field Support Center - Manhattan
beds_number,310200011531.0,02M531      ,M531,Repertory Company High School for Theatre Arts,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M459      ,M459,Manhattan International High School,23,High school,Affinity Group
beds_number,310200011300.0,02M300      ,M300,"Urban Assembly School of Design and Construction,",12,High school,Affinity Group
school_support_team_leader_name,,02M104      ,M104,J.H.S. 104 Simon Baruch,71,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010111.0,02M111      ,M111,P.S. 111 Adolph S. Ochs,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M075      ,M075,P.S. 075 Emily Dickinson,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M315      ,M315,The East Village Community School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M011      ,M011,P.S. 011 William T. Harris,12,Elementary,Field Support Center - Manhattan
beds_number,310200011560.0,02M560      ,M560,High School M560 - City As School,57,High school,Affinity Group
beds_number,310100010063.0,01M063      ,M063,The STAR Academy - P.S.63,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M135      ,M135,The Urban Assembly School for Emergency Management,56,High school,Affinity Group
beds_number,310200010413.0,02M413      ,M413,School of the Future High School,11,Secondary School,Affinity Group
school_support_team_leader_name,,04M012      ,M012,Tag Young Scholars,7,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,01M363      ,M363,Neighborhood School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M298      ,M298,Pace High School,70,High school,Field Support Center - Manhattan
beds_number,310200010397.0,02M397      ,M397,Spruce Street School,56,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M896      ,M896,Lower Manhattan Community Middle School,56,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011400.0,02M400      ,M400,High School for Environmental Studies,12,High school,Field Support Center - Manhattan
beds_number,310200011529.0,02M529      ,M529,Jacqueline Kennedy Onassis High School,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M696      ,M696,Bard High School Early College,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M292      ,M292,Henry Street School for International Studies,70,Secondary School,Field Support Center - Manhattan
beds_number,310300011494.0,03M494      ,M494,High School of Arts and Technology,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M411      ,M411,Baruch College Campus High School,11,High school,Field Support Center - Manhattan
beds_number,310200010114.0,02M114      ,M114,East Side Middle School,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M439      ,M439,Manhattan Village Academy,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M290      ,M290,P.S. 290 Manhattan New School,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M534      ,M534,Harvest Collegiate High School,57,High school,Affinity Group
school_support_team_leader_name,,04M038      ,M038,P.S. 38 Roberto Clemente,7,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M421      ,M421,West Prep Academy,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,03M862      ,M862,Mott Hall II,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M438      ,M438,International High School at Union Square,71,High school,Affinity Group
school_support_team_leader_name,,02M260      ,M260,M.S. 260 Clinton School Writers & Artists,11,Secondary School,Field Support Center - Manhattan
beds_number,310200011442.0,02M442      ,M442,"Ballet Tech, NYC Public School for Dance",11,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M296      ,M296,High School of Hospitality Management,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M340      ,M340,Sixth Avenue Elementary School,11,Elementary,Field Support Center - Manhattan
beds_number,310200010041.0,02M041      ,M041,P.S. 041 Greenwich Village,57,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M002      ,M002,P.S. 002 Meyer London,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M234      ,M234,P.S. 234 Independence School,56,Elementary,Field Support Center - Manhattan
beds_number,310200011280.0,02M280      ,M280,Manhattan Early College School for Advertising,56,High school,Affinity Group
school_support_team_leader_name,,02M033      ,M033,P.S. 033 Chelsea Prep,12,Elementary,Field Support Center - Manhattan
beds_number,310200010289.0,02M289      ,M289,I.S. 289,56,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310100011650.0,01M650      ,M650,Cascades High School,70,High school,Field Support Center - Manhattan
beds_number,310200010255.0,02M255      ,M255,M.S. 255 Salk School of Science,71,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200010002.0,02M002      ,M002,P.S. 002 Meyer London,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M167      ,M167,J.H.S. 167 Robert F. Wagner,23,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M615      ,M615,Chelsea Career and Technical Education High School,57,High school,Field Support Center - Manhattan
beds_number,310200011392.0,02M392      ,M392,MANHATTAN BUSINESS ACADEMY,12,High school,Field Support Center - Manhattan
beds_number,310200011500.0,02M500      ,M500,Unity Center for Urban Technologies,11,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M527      ,M527,P.S. 527 - East Side School for Social Action,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M399      ,M399,The High School For Language And Diplomacy,71,High school,Field Support Center - Manhattan
beds_number,310200011550.0,02M550      ,M550,Liberty High School Academy for Newcomers,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M188      ,M188,P.S. 188 The Island School,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,03M860      ,M860,Frederick Douglass Academy II Secondary School,18,Secondary School,Affinity Group
school_support_team_leader_name,,02M289      ,M289,I.S. 289,56,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010334.0,03M334      ,M334,The Anderson School,20,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,03M307      ,M307,"Urban Assembly School for Media Studies, The",20,High school,Affinity Group
beds_number,310300010247.0,03M247      ,M247,M.S. M247 Dual Language Middle School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,01M137      ,M137,P.S. 137 John L. Bernstein,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M040      ,M040,P.S. 040 Augustus Saint-Gaudens,71,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M505      ,M505,Edward A. Reynolds West Side High School,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M364      ,M364,Earth School,70,Elementary,Field Support Center - Manhattan
beds_number,310200011407.0,02M407      ,M407,Institute for Collaborative Education,71,Secondary School,Affinity Group
beds_number,310300011415.0,03M415      ,M415,Wadleigh Secondary School for the Performing & Vis,18,Secondary School,Field Support Center - Manhattan
beds_number,310100011515.0,01M515      ,M515,Lower East Side Preparatory High School,70,High school,Field Support Center - Manhattan
beds_number,310200011135.0,02M135      ,M135,The Urban Assembly School for Emergency Management,56,High school,Affinity Group
school_support_team_leader_name,,03M479      ,M479,Beacon High School,12,High school,Affinity Group
school_support_team_leader_name,,04M007      ,M007,P.S. 007 Samuel Stern,7,K-8,Field Support Center - Manhattan
beds_number,310200010006.0,02M006      ,M006,P.S. 006 Lillie D. Blake,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M054      ,M054,J.H.S. 054 Booker T. Washington,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310300010862.0,03M862      ,M862,Mott Hall II,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011534.0,02M534      ,M534,Harvest Collegiate High School,57,High school,Affinity Group
beds_number,310200010281.0,02M281      ,M281,The River School,71,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M313      ,M313,"James Baldwin School, The: A School for Expedition",12,High school,Affinity Group
school_support_team_leader_name,,01M063      ,M063,The STAR Academy - P.S.63,70,Elementary,Field Support Center - Manhattan
beds_number,310400010012.0,04M012      ,M012,Tag Young Scholars,7,K-8,Field Support Center - Manhattan
beds_number,310100010332.0,01M332      ,M332,University Neighborhood Middle School,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,01M019      ,M019,P.S. 019 Asher Levy,70,Elementary,Field Support Center - Manhattan
beds_number,310300011403.0,03M403      ,M403,The Global Learning Collaborative,20,High school,Field Support Center - Manhattan
beds_number,310400010037.0,04M037      ,M037,River East Elementary,7,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M291      ,M291,West End Secondary School,20,Secondary School,Affinity Group
beds_number,310200011546.0,02M546      ,M546,Academy for Software Engineering,71,High school,Affinity Group
school_support_team_leader_name,,02M212      ,M212,P.S. 212 Midtown West,12,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M006      ,M006,P.S. 006 Lillie D. Blake,23,Elementary,Field Support Center - Manhattan
beds_number,310200011565.0,02M565      ,M565,Urban Academy Laboratory High School,23,High school,Affinity Group
beds_number,310400010038.0,04M038      ,M038,P.S. 38 Roberto Clemente,7,Elementary,Field Support Center - Manhattan
beds_number,310300011859.0,03M859      ,M859,Special Music School,20,K-12 all grades,Field Support Center - Manhattan
beds_number,310200011308.0,02M308      ,M308,Lower Manhattan Arts Academy,70,High school,Field Support Center - Manhattan
beds_number,310200011449.0,02M449      ,M449,Vanguard High School,23,High school,Affinity Group
beds_number,310100011450.0,01M450      ,M450,East Side Community School,70,Secondary School,Affinity Group
