complaint_id,victim_allegedvictim_age_range_at_incident,investigator_recommendation,allegation,as_of_date
202400146,20 < Age <= 24,Unfounded,Physical force,2025-12-23T00:00:00.000
201704060,34 < Age <= 39,Unsubstantiated,Refusal to show search warrant,2025-12-23T00:00:00.000
201701829,,Officer(s) Unidentified,Word,2025-12-23T00:00:00.000
201016116,34 < Age <= 39,Substantiated,Stop,2025-12-23T00:00:00.000
201309002,39 < Age <= 44,Unsubstantiated,Physical force,2025-12-23T00:00:00.000
200506039,,Complainant Unavailable,Physical force,2025-12-23T00:00:00.000
201802885,17 < Age <= 20,Unsubstantiated,Vehicle search,2025-12-23T00:00:00.000
200911523,24 < Age <= 29,Unsubstantiated,Refusal to obtain medical treatment,2025-12-23T00:00:00.000
202311084,29 < Age <= 34,Unable to Determine,Unlawful Summons,2025-12-23T00:00:00.000
200306839,14 < Age <= 17,Unsubstantiated,Question and/or stop,2025-12-23T00:00:00.000
201304223,34 < Age <= 39,Unsubstantiated,Word,2025-12-23T00:00:00.000
201810571,29 < Age <= 34,Complainant Uncooperative,Vehicle search,2025-12-23T00:00:00.000
202000478,24 < Age <= 29,Substantiated,Threat of force (verbal or physical),2025-12-23T00:00:00.000
200605897,39 < Age <= 44,Exonerated,Search (of person),2025-12-23T00:00:00.000
201810023,,Exonerated,Search of Premises,2025-12-23T00:00:00.000
201704532,20 < Age <= 24,Complainant Uncooperative,Property damaged,2025-12-23T00:00:00.000
201702936,34 < Age <= 39,Complainant Uncooperative,Threat of force (verbal or physical),2025-12-23T00:00:00.000
201404587,24 < Age <= 29,Exonerated,Physical force,2025-12-23T00:00:00.000
201208484,,Complainant Uncooperative,Physical force,2025-12-23T00:00:00.000
201001702,,Complainant Unavailable,Physical force,2025-12-23T00:00:00.000
