school,_2011_2012_performance,_2011_2012_overall_score
ESPERANZA PREPARATORY ACADEMY,17.6,54.6
P.S. 007 Louis F. Simeone,16.6,43.4
P.S. 723,11.5,60.4
P.S. 182 Samantha Smith,7.1,25.4
P.S. R373,12.8,71.1
P.S. Q256,19.6,87.5
M.S. 224 Manhattan East School for Arts & Academ,10.9,30.3
P.S. X017,16.7,83.8
P.S. 042 Benjamin Altman,20.2,86.2
Professional Performing Arts High School,21.4,58.6
P.S. 171 Patrick Henry,23.1,88.7
Frederick Douglass Academy II Secondary School,13.6,63.4
J.H.S. 054 Booker T. Washington,17.9,54.5
New York French American Charter School,11.4,24.8
P.S. X010,17.0,79.8
P.S. 228 Early Childhood Magnet School of the Ar,18.6,59.1
P.S. 076 A. Philip Randolph,13.1,50.5
P.S. 111 Adolph S. Ochs,10.3,43.7
P.S. 102 Jacques Cartier,14.6,60.4
P.S. 023 The New Children's School,7.7,38.5
M.S. M247 Dual Language Middle School,20.7,89.0
P.S. 150,17.2,42.6
P.S. 188 The Island School,17.7,65.4
GRANT AVENUE ELEMENTARY SCHOOL,16.5,48.5
New Hope Academy Charter School,14.6,38.8
P.S. 206 Jose Celso Barbosa,15.1,60.3
P.S. 126 Jacob August Riis,21.2,71.1
P.S. 361 East Flatbush Early Childhood School,5.9,22.5
P.S. 36,14.0,57.0
M.S. M245 The Computer School,19.5,61.5
P.S. 134 Henrietta Szold,10.4,38.0
"New Explorations into Science, Technology and Ma",23.9,70.3
P.S. 155 William Paca,9.6,46.6
P.S. 075 Emily Dickinson,11.7,40.2
School for Global Leaders,19.8,64.3
P.S. 146 Ann M. Short,7.9,54.1
P.S. 168,11.9,45.7
The Anderson School,24.6,72.3
P.S. M169 - Robert F. Kennedy,15.0,75.8
New York City Lab Middle School for Collaborativ,21.9,70.2
P.S. 123 Mahalia Jackson,6.3,42.3
P.S./I.S. 217 Roosevelt Island,9.3,33.2
"Technology, Arts, and Sciences Studio",17.9,62.3
School of the Future High School,20.7,46.9
P.S. 368,7.9,27.1
P.S. 034 Franklin D. Roosevelt,19.3,67.5
The Ethical Community Charter School (TECCS),7.7,23.9
