dbn,progress_report_type,_2011_2012_environment_grade,_2011_2012_performance_grade,_2011_2012_environment,_2011_12_overall_percentile
75M811,D75,A,F,15.0,
01M839,EMS,A,A,11.0,92.3
03M243,EMS,A,A,13.1,76.5
04M497,EMS,A,A,11.6,33.9
04M012,EMS,A,A,12.0,93.1
02M150,EMS,C,A,7.2,20.8
03M250,EMS,A,A,13.5,48.3
75X168,D75,A,C,11.7,
05M046,EMS,B,C,9.5,14.4
75X188,D75,B,C,10.1,
04M102,EMS,A,B,9.9,64.9
04M045,EMS,F,D,1.5,4.4
02M040,EMS,B,A,9.3,74.4
01M332,EMS,A,C,13.0,44.8
02M158,EMS,C,A,6.2,62.1
04M037,EMS,B,B,8.8,12.6
01M015,EMS,A,C,11.3,14.6
02M167,EMS,B,A,7.9,69.6
05M129,EMS,C,C,6.7,41.3
01M184,EMS,C,A,6.4,83.1
01M137,EMS,F,D,2.7,23.9
09X236,EC,B,C,8.9,
01M364,EMS,A,B,11.7,35.6
01M134,EMS,C,C,5.3,13.1
11X169,EC,B,C,10.4,
02M001,EMS,C,B,6.5,36.2
01M019,EMS,B,C,8.0,55.6
04M038,EMS,C,B,6.4,65.3
03M258,EMS,A,A,11.0,84.3
02M041,EMS,A,A,11.2,47.9
02M116,EMS,B,A,8.9,33.1
75R373,D75,B,F,10.7,
04M610,EMS,A,B,10.8,24.6
02M198,EMS,F,C,2.0,3.3
06M178,EC,B,F,11.2,
28Q182,EC,C,F,6.7,
05M036,EMS,D,C,4.6,28.5
02M042,EMS,A,A,10.2,98.0
01M034,EMS,B,A,8.4,82.5
02M655,EMS,C,B,6.0,42.8
75Q009,D75,B,C,8.9,
03M859,EMS,A,A,10.4,89.4
01M301,EMS,B,A,8.6,68.2
01M315,EMS,B,A,9.4,67.4
75K053,D75,A,A,15.0,
03M145,EMS,B,C,8.8,23.1
01M363,EMS,B,B,8.5,9.2
22K361,EC,C,F,7.4,
03M165,EMS,C,B,7.0,64.4
75X352,D75,F,D,8.4,
09X449,EC,A,B,12.7,
84M483,EC,F,C,3.5,
03M163,EMS,A,A,10.2,64.3
04M206,EMS,B,B,9.5,64.8
75K771,D75,A,A,12.5,
02M089,EMS,B,A,7.5,48.7
05M123,EMS,B,F,9.5,19.4
03M862,EMS,B,A,9.1,87.6
02M130,EMS,A,A,11.9,89.5
05M133,EMS,F,D,2.5,1.5
29Q251,EC,C,B,7.1,
05M175,EMS,C,C,5.8,10.8
84Q321,EC,B,C,10.3,
02M051,EMS,A,B,10.2,22.0
02M011,EMS,A,A,9.8,66.7
01M345,EMS,F,B,2.9,24.9
03M241,EMS,B,F,7.6,0.2
75K372,D75,A,A,12.2,
10X207,EC,C,C,7.9,
02M006,EMS,C,A,7.2,61.6
03M333,EMS,B,D,8.6,1.9
04M964,EMS,A,B,11.5,24.8
04M007,EMS,C,A,7.1,51.3
84K746,EC,F,C,2.7,
04M406,EMS,A,A,13.6,71.0
02M217,EMS,C,D,5.8,6.9
02M033,EMS,A,A,12.0,83.3
84X491,EC,B,B,11.5,
25Q244,EC,B,A,10.0,
04M171,EMS,A,A,11.8,98.1
02M212,EMS,A,A,11.3,51.5
01M361,EMS,A,D,10.1,14.1
09X088,EC,B,B,10.1,
84X461,EC,B,C,9.0,
20K682,EC,C,F,7.8,
03M208,EMS,A,C,11.0,42.1
02M003,EMS,B,B,8.8,35.7
03M054,EMS,B,A,8.8,48.3
01M140,EMS,B,C,8.1,37.5
20K686,EC,A,A,12.4,
02M347,EMS,B,B,7.9,20.0
03M149,EMS,B,F,8.1,0.6
75K369,D75,B,D,9.5,
03M185,EC,B,B,9.7,
24Q007,EC,C,B,6.4,
75M169,D75,D,B,6.3,
04M072,EMS,A,A,11.7,88.7
01M292,EMS,C,D,5.7,12.7
03M256,EMS,C,B,7.0,67.7
03M087,EMS,D,A,3.9,39.7
09X170,EC,A,C,12.9,
02M312,EMS,A,A,11.6,82.6
01M063,EMS,B,B,8.5,62.6
04M381,EMS,B,C,9.4,45.9
02M124,EMS,C,A,6.8,52.3
75Q004,D75,B,F,9.8,
02M059,EMS,A,A,11.4,44.9
02M104,EMS,B,A,8.4,62.2
03M166,EMS,C,B,6.7,42.3
01M064,EMS,B,C,9.2,37.2
01M142,EMS,A,B,9.8,50.3
02M002,EMS,B,A,8.7,88.9
02M407,EMS,B,B,9.5,7.7
02M276,EMS,B,B,9.0,31.9
75Q075,D75,A,A,10.3,
03M860,EMS,C,B,7.0,69.9
75K140,D75,F,F,2.9,
03M199,EMS,B,A,8.6,59.7
