peer_index,_2010_11_progress_report,_2011_2012_progress_category,_2011_2012_overall_grade,school_level
25.76,.,25.6,A,K-3
54.7,B,48.3,A,K-8
20.06,B,20.1,B,Elementary
32.59,B,19.1,C,Elementary
67.3,B,17.0,B,K-3
55.85,.,12.2,C,K-3
18.77,.,7.0,D,K-3
65.75,D,25.6,B,Elementary
17.08,C,21.3,C,Elementary
3.43,B,26.0,B,Middle
64.64,D,25.7,C,K-8
8.62,.,24.4,A,K-3
68.03,A,17.4,C,K-8
65.26,C,11.1,F,K-8
,B,25.0,C,K-8
61.11,C,14.2,B,K-2
35.55,B,16.3,B,K-3
,B,50.2,B,Middle
71.69,D,37.8,A,Elementary
1.82,C,23.2,C,Middle
1.95,B,35.8,B,Middle
14.5,B,25.1,B,Elementary
59.63,B,12.1,B,K-2
3.61,A,33.6,A,Middle
59.43,B,32.7,B,Elementary
1.86,B,27.9,B,Middle
21.55,A,26.7,B,Elementary
,A,30.9,D,Elementary
14.61,A,21.4,B,Elementary
3.06,B,30.8,B,Middle
23.34,B,27.2,B,Elementary
60.73,C,26.4,C,Elementary
62.7,C,27.0,B,Elementary
46.15,A,40.8,A,Elementary
3.51,B,6.0,C,Middle
13.23,A,18.6,C,K-8
,A,40.4,A,K-8
2.09,F,39.9,B,Middle
,F,22.4,D,K-8
10.8,A,28.1,B,Elementary
