the_geom,distance,approx_length_flag,lot_face_length
"{'type': 'MultiLineString', 'coordinates': [[[-73.96268533939, 40.813787421688], [-73.962678304819, 40.81378632609], [-73.962671312872, 40.813785085057], [-73.962664368173, 40.81378369859], [-73.96265747627, 40.8137821688], [-73.962650642712, 40.813780495688], [-73.962643870273, 40.813778681363], [-73.96263716635, 40.81377672653], [-73.962630535567, 40.813774633298], [-73.962623982548, 40.81377240167], [-73.962617512838, 40.813770037267], [-73.962611131064, 40.813767537282], [-73.962604840923, 40.813764905228], [-73.962598647962, 40.813762143918], [-73.96259255773, 40.813759254758], [-73.962586572999, 40.813756240561], [-73.962580699318, 40.813753102734], [-73.96257494131, 40.813749843386], [-73.962569302672, 40.813746465328], [-73.962563788026, 40.813742972076], [-73.962558401072, 40.813739364334], [-73.962553146431, 40.813735647021], [-73.962548027801, 40.813731820841], [-73.962543049805, 40.813727891417], [-73.962538213366, 40.813723857345], [-73.962533524956, 40.813719725652], [-73.962528987349, 40.813715497746], [-73.962524603315, 40.813711177842], [-73.962520376554, 40.813706765941], [-73.962516310762, 40.813702270478], [-73.962512408712, 40.813697690751], [-73.962508673176, 40.813693031677], [-73.962505106003, 40.813688297475], [-73.962501711814, 40.813683490254], [-73.962498491532, 40.81367861423], [-73.962495448855, 40.813673672917], [-73.962492584704, 40.813668670531], [-73.962489901853, 40.813663609885], [-73.962487403074, 40.813658495897], [-73.962485089289, 40.813653331378], [-73.96248296142, 40.813648121248], [-73.962481023166, 40.813642868318], [-73.962479274524, 40.813637576804], [-73.962477718266, 40.813632251625], [-73.962476354389, 40.813626895592], [-73.962475181967, 40.813621512921], [-73.962474204696, 40.813616108532], [-73.962473423499, 40.813610685937], [-73.962472838374, 40.81360524865], [-73.962472448394, 40.813599800887], [-73.962472254481, 40.813594347567], [-73.962472258481, 40.813588892204], [-73.96247245762, 40.813583439011], [-73.962472854668, 40.813577991505], [-73.962473446848, 40.813572555304], [-73.962474235083, 40.81356713322], [-73.962475219372, 40.813561728766], [-73.962476396012, 40.813556347562], [-73.962477766851, 40.813550992419], [-73.962479330035, 40.813545668255], [-73.962481085565, 40.813540377881], [-73.962483029737, 40.813535126214], [-73.962485163474, 40.813529917471], [-73.962487484, 40.813524755162], [-73.962489989463, 40.8135196421], [-73.962492678011, 40.813514583903], [-73.962495547791, 40.813509584085], [-73.962498596953, 40.813504644051], [-73.962501821794, 40.813499770825], [-73.962505223238, 40.813494965814], [-73.962508795734, 40.81349023323], [-73.96251253558, 40.81348557729]]]}",119.92512633,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.981181936133, 40.752837690435], [-73.98105469992, 40.753012764247]]]}",72.87829418,0,73.25
"{'type': 'MultiLineString', 'coordinates': [[[-73.946447907475, 40.8138727923], [-73.946400149609, 40.813852715809]]]}",15.10841283,0,15.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951740984176, 40.807990056416], [-73.951740124421, 40.807989694894]]]}",0.27202287,0,0.25
"{'type': 'MultiLineString', 'coordinates': [[[-73.950575082396, 40.807813368928], [-73.950759446549, 40.807559591801]]]}",105.6112255,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.943060981703, 40.812940332587], [-73.943092575081, 40.812953643005], [-73.943103761362, 40.812958356273]]]}",13.54072723,0,12.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.951081106509, 40.808842074472], [-73.951259818385, 40.808596078839]]]}",102.37265158,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.96519300239, 40.799761835222], [-73.965017517123, 40.800005657269]]]}",101.25146454,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.971326885522, 40.750768359783], [-73.971154410042, 40.751004709003]]]}",98.48109388,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.935819161123, 40.806358150114], [-73.935497517167, 40.806801593405]]]}",184.47483749,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-74.000268794679, 40.718420041443], [-74.000338576974, 40.718469792298]]]}",26.50907168,0,24.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.955787878, 40.804758328945], [-73.955608384233, 40.805004046863]]]}",102.39029103,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.974895950049, 40.751435864626], [-73.974719247921, 40.751361245433]]]}",56.00005416,0,55.69
"{'type': 'MultiLineString', 'coordinates': [[[-73.960028499735, 40.757567541006], [-73.960087629676, 40.757592238745]]]}",18.69007322,0,19.08
"{'type': 'MultiLineString', 'coordinates': [[[-73.944459872005, 40.815073600389], [-73.944492592452, 40.815028963524], [-73.944557785074, 40.814940027622], [-73.944593291417, 40.81489158863]]]}",75.90357518,0,71.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.956124309272, 40.805220602872], [-73.956172706393, 40.805240917319], [-73.956214421569, 40.80525842704]]]}",28.50014108,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945189148591, 40.813680722669], [-73.945234202573, 40.813618896225]]]}",25.74752932,0,24.8
"{'type': 'MultiLineString', 'coordinates': [[[-73.970025479199, 40.800484365845], [-73.969689026786, 40.800343711992]]]}",106.31660409,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956693084936, 40.80543030311], [-73.956723201948, 40.805389073799]]]}",17.18009851,0,18.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943017676729, 40.812105718797], [-73.943026069108, 40.812109247432], [-73.943065719829, 40.812125921205]]]}",15.20001278,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.951351207852, 40.812387767609], [-73.951598012847, 40.81214269126]]]}",112.42865584,0,111.04
"{'type': 'MultiLineString', 'coordinates': [[[-73.967615449187, 40.747889037216], [-73.967873124693, 40.747994302565]]]}",81.04556825,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933272635518, 40.796906853067], [-73.933340191125, 40.796935488635]]]}",21.41750595,0,20.83
"{'type': 'MultiLineString', 'coordinates': [[[-73.965108544003, 40.757451978899], [-73.964898185741, 40.757363525936]]]}",66.59480374,0,65.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.958020956627, 40.801783094743], [-73.958099873302, 40.80181636583]]]}",24.98604888,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96063172868, 40.798778317591], [-73.960729221526, 40.79881944114], [-73.960826521295, 40.79886048233], [-73.960918688944, 40.798899359643], [-73.961009796418, 40.798937789637]]]}",119.71927549,0,120.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951980795417, 40.807253647787], [-73.951796040711, 40.807506518189]]]}",105.37467697,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.956082927121, 40.805438438043], [-73.956127558974, 40.805377338563]]]}",25.45994546,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950919199521, 40.807459606144], [-73.95080992061, 40.807413612616]]]}",34.58308026,0,33.33
"{'type': 'MultiLineString', 'coordinates': [[[-73.967891804304, 40.754211862296], [-73.967944471124, 40.754233912931]]]}",16.65702991,0,18.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.843497667372, 40.874527350596], [-73.843813945584, 40.874425505248]]]}",95.01362275,0,95.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.953540127237, 40.803508796855], [-73.953472823256, 40.803480528805]]]}",21.28999205,0,21.0
"{'type': 'MultiLineString', 'coordinates': [[[-74.001967905653, 40.718208287153], [-74.00252640718, 40.718462262038]]]}",180.36329439,0,175.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951121067464, 40.809186923606], [-73.951303607868, 40.808935660375]]]}",104.56490298,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.96939073945, 40.749700450497], [-73.969439160953, 40.749634818455]]]}",27.41852553,0,25.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.943021481314, 40.809663282689], [-73.9431067785, 40.809699222462]]]}",26.99999646,0,27.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964370109034, 40.798257131314], [-73.964191796427, 40.798505895136]]]}",103.20738852,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.947416346232, 40.806804519633], [-73.94759807757, 40.806556761698]]]}",103.34029606,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.956077214828, 40.804879776619], [-73.956152718451, 40.804911468867]]]}",23.87989662,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964352583654, 40.757953005958], [-73.964533957686, 40.757705668421]]]}",103.17570463,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.955221670132, 40.803071449945], [-73.955041955826, 40.803317386187]]]}",102.49006176,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.934934129314, 40.797930353614], [-73.93505506942, 40.797981382257], [-73.93517285161, 40.798031078176], [-73.935225901621, 40.798053461423], [-73.935276740901, 40.798074912392], [-73.935329790057, 40.798097295591]]]}",125.30017843,0,125.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.950649361512, 40.805379114745], [-73.950470034486, 40.805624030724]]]}",102.11226201,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.966495360217, 40.757387818693], [-73.966455896622, 40.757441637596]]]}",22.45005249,0,20.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.938347497186, 40.800514595402], [-73.938394737254, 40.800449767435]]]}",26.99856088,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.943259423251, 40.8118908499], [-73.943319003698, 40.811915904051]]]}",18.85031613,0,18.75
"{'type': 'MultiLineString', 'coordinates': [[[-73.930952636508, 40.796250314716], [-73.931130009296, 40.796007206656]]]}",101.27698241,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-74.001968153032, 40.707023045899], [-74.002127027051, 40.707218825134]]]}",83.83284507,0,81.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944969130883, 40.813982651461], [-73.945013963989, 40.813921127842]]]}",25.62136479,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93562973872, 40.802660739969], [-73.935811326548, 40.802412433316]]]}",103.49713306,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.978013457502, 40.762919617388], [-73.977314173099, 40.762622956107]]]}",221.82819019,0,223.0
"{'type': 'MultiLineString', 'coordinates': [[[-74.009340780544, 40.716168021533], [-74.009359303209, 40.715934964249]]]}",85.06497538,0,84.54
"{'type': 'MultiLineString', 'coordinates': [[[-73.953988280319, 40.809748958856], [-73.953846202167, 40.809944301792]]]}",81.31493403,0,80.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933613447738, 40.797373621195], [-73.933611907076, 40.797372968248], [-73.933455274564, 40.797306575107]]]}",50.1461216,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.971329737132, 40.765608040897], [-73.971285876094, 40.765668847488], [-73.971240481795, 40.765731781314]]]}",51.41738622,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956299890438, 40.806116862701], [-73.956119526719, 40.806363769915]]]}",102.88555068,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.969600729456, 40.75197952285], [-73.969214843285, 40.751817997944]]]}",122.04139314,0,125.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944238873084, 40.808594883335], [-73.944266202173, 40.80855768775]]]}",15.52044923,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955718891263, 40.808005590616], [-73.955773581424, 40.808028595973]]]}",17.30522164,0,17.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.971980418162, 40.755435837941], [-73.972158793112, 40.755194302059]]]}",100.9262821,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.941258877309, 40.800271227994], [-73.941075830865, 40.800522446608]]]}",104.62153492,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.941219805211, 40.810035490612], [-73.941142368146, 40.810002862234]]]}",24.51193611,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.95520475168, 40.805500217218], [-73.955120678397, 40.805615442962]]]}",48.00117333,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951434872388, 40.807843202726], [-73.951250520206, 40.808096968278]]]}",105.60583058,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.940142021817, 40.798644175051], [-73.939814494656, 40.798505954757]]]}",103.72717724,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93705273702, 40.798757667927], [-73.937069564917, 40.798764747887], [-73.937136239727, 40.79879280035]]]}",26.42622413,0,26.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962680354834, 40.758926566678], [-73.962726219249, 40.758863615232]]]}",26.21966771,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.966946813308, 40.753073691976], [-73.967080698563, 40.752887795075]]]}",77.22112852,0,75.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935772588986, 40.79663859996], [-73.935838809954, 40.796666617096], [-73.935853177816, 40.796672695995]]]}",25.53821067,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951566202344, 40.808229512801], [-73.951620812804, 40.808154338189]]]}",31.2840908,0,30.75
"{'type': 'MultiLineString', 'coordinates': [[[-73.802440625129, 40.76831554176], [-73.802446048001, 40.768315968436]]]}",1.51013957,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969157373802, 40.801761672888], [-73.969344730781, 40.801502994447]]]}",107.57725284,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.965376949925, 40.759824687371], [-73.965309377764, 40.759918053353]]]}",38.82694714,0,40.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944272399074, 40.812954718163], [-73.944208550803, 40.812927871393]]]}",20.19998798,0,20.25
"{'type': 'MultiLineString', 'coordinates': [[[-73.956600664384, 40.804472899615], [-73.956417030176, 40.804722375014]]]}",104.14419413,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.956864300096, 40.805502167559], [-73.956894417033, 40.805460938204], [-73.956925181808, 40.805418820934], [-73.956957314481, 40.805374831604], [-73.956989745133, 40.80533043484], [-73.9570275577, 40.805278669979]]]}",93.13034338,0,91.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.791669552984, 40.75451913789], [-73.791650732764, 40.754382645738]]]}",50.0011282,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964109561069, 40.798471257001], [-73.96428787389, 40.798222493304]]]}",103.20738852,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.962959091949, 40.75896130032], [-73.962726219249, 40.758863615232]]]}",73.67972985,0,73.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.956753967722, 40.805346956575], [-73.956925181808, 40.805418820934]]]}",54.15007946,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.999461408093, 40.71846742711], [-73.999360336358, 40.718593344423]]]}",53.75445808,0,49.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.949774639631, 40.810876949873], [-73.949594525214, 40.81112177189]]]}",102.18659577,0,99.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.955998019025, 40.804846534272], [-73.956077214828, 40.804879776619]]]}",25.04770712,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.957830513507, 40.802847682715], [-73.958009627124, 40.802601900691]]]}",102.36043927,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.947090029009, 40.814636267879], [-73.947043321606, 40.814616620756]]]}",14.77812229,0,15.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948791479695, 40.805093873958], [-73.948611323439, 40.805337805792]]]}",101.91133482,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.969410559924, 40.764798701941], [-73.969618738177, 40.764886792549]]]}",65.99701801,0,66.33
"{'type': 'MultiLineString', 'coordinates': [[[-73.950404003859, 40.807410338623], [-73.950219634135, 40.807664122213]]]}",105.61408536,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.940121154264, 40.806683602816], [-73.940397825873, 40.80680013869]]]}",87.57375899,0,85.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.967974431158, 40.755381101283], [-73.967629184696, 40.755235540438]]]}",109.36874704,0,106.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.947294207104, 40.80346133135], [-73.947242945777, 40.803439634664]]]}",16.24475036,0,17.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962101505585, 40.754652662552], [-73.962130904914, 40.754665455625]]]}",9.38447214,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.955675859847, 40.805032368531], [-73.955855352516, 40.804786650508]]]}",102.39016691,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.945148310675, 40.81688593201], [-73.945199642764, 40.816907574802]]]}",16.2498301,0,17.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.959838415938, 40.758254612283], [-73.95959376203, 40.75815242678]]]}",77.33029664,0,75.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965527152757, 40.807907752661], [-73.965609365594, 40.807941958296]]]}",25.9477885,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935298895864, 40.799226648527], [-73.935236939758, 40.799200508161]]]}",19.6201957,0,19.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.945056282322, 40.813863054418], [-73.945102187435, 40.813800059225]]]}",26.23416212,0,25.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.957059873035, 40.805937545394], [-73.957240028494, 40.805690914163]]]}",102.76980464,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.935983473446, 40.799195549177], [-73.935947211814, 40.799245077138]]]}",20.64966811,0,20.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951512241922, 40.80820685708], [-73.951566202344, 40.808229512801]]]}",17.06675162,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.944237119395, 40.816819965958], [-73.944195951216, 40.81680260819], [-73.944180448437, 40.816796071677]]]}",17.94002394,0,17.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946530636245, 40.813591006685], [-73.946538511269, 40.813594318408], [-73.946577025678, 40.813610508425]]]}",14.67563739,0,15.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.933325239816, 40.793330137054], [-73.933538470788, 40.793200432043], [-73.933799269076, 40.793043344245]]]}",167.767249,0,171.61
"{'type': 'MultiLineString', 'coordinates': [[[-73.965400169193, 40.753977140557], [-73.965584570088, 40.753726647917]]]}",104.5896551,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.945926024026, 40.806774230445], [-73.945894003055, 40.806817751592]]]}",18.16597454,0,18.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945654601006, 40.806557869425], [-73.945838525163, 40.80630789421]]]}",104.34164858,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.966141699469, 40.757502531206], [-73.966177334219, 40.757453934119]]]}",20.2718344,0,20.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.942366063725, 40.811675670218], [-73.942336081271, 40.811716691338], [-73.942308420937, 40.811754537638]]]}",32.86735559,0,33.16
"{'type': 'MultiLineString', 'coordinates': [[[-73.963048954023, 40.758837959172], [-73.963004348548, 40.75889918262]]]}",25.49995155,0,25.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.945358299596, 40.809511890486], [-73.946307560689, 40.809910664124]]]}",300.26832017,0,300.0
"{'type': 'MultiLineString', 'coordinates': [[[-74.001705353026, 40.717796130748], [-74.001629142281, 40.717759945634]]]}",24.9020933,0,24.79
"{'type': 'MultiLineString', 'coordinates': [[[-73.967442566988, 40.755156859342], [-73.967385053293, 40.755132609203]]]}",18.21975698,0,20.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.948692904227, 40.814420986803], [-73.949101690995, 40.814593434959]]]}",129.42688983,0,125.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947396674794, 40.815089740251], [-73.94706768301, 40.814951350592]]]}",104.09212479,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.964614241468, 40.756736151652], [-73.964512243183, 40.756875215033], [-73.96432953417, 40.757124408566]]]}",161.95956864,0,160.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.946148994393, 40.813747132601], [-73.946099177813, 40.813726190766]]]}",15.75970163,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.936232932966, 40.800450894463], [-73.936150138633, 40.800415917776]]]}",26.22669771,0,27.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.965019445979, 40.755692974003], [-73.965355723186, 40.755835181274]]]}",106.60256775,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94406937138, 40.81707326326], [-73.944015285296, 40.817050466987]]]}",17.12025498,0,16.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.945159157978, 40.822035002639], [-73.945109323428, 40.822141960578]]]}",41.33761628,0,40.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934099389622, 40.798560429666], [-73.934009830885, 40.798682752058]]]}",51.00006087,0,50.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.961487944618, 40.804063459898], [-73.96149914826, 40.804068200202]]]}",3.55011402,0,3.9
"{'type': 'MultiLineString', 'coordinates': [[[-73.945511434867, 40.813816299742], [-73.945471030741, 40.813871747035]]]}",23.09075733,0,25.11
"{'type': 'MultiLineString', 'coordinates': [[[-73.940427265147, 40.807749257829], [-73.940399560043, 40.807737554233], [-73.940373052041, 40.807726357156]]]}",17.17129102,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.948303393854, 40.806853654472], [-73.948121666181, 40.80710141421]]]}",103.34027077,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-74.114899374078, 40.615199235824], [-74.115107552987, 40.615181070165]]]}",58.17512398,0,60.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.939202461923, 40.808867239215], [-73.939252320747, 40.808888224825]]]}",15.77853532,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.951250520206, 40.808096968278], [-73.951201798027, 40.808076511108], [-73.951190538025, 40.808071783132]]]}",18.97156041,0,18.33
"{'type': 'MultiLineString', 'coordinates': [[[-73.951481885482, 40.802927335269], [-73.951662594956, 40.80300338943]]]}",57.19080243,0,57.25
"{'type': 'MultiLineString', 'coordinates': [[[-73.962633639674, 40.759563707545], [-73.962545019296, 40.759686055207]]]}",50.8890169,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.962583648346, 40.754032152199], [-73.963075705942, 40.753418056089]]]}",261.99761367,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.945407283146, 40.811477912777], [-73.945398790878, 40.811474339299], [-73.945352740722, 40.811454969337]]]}",17.25783224,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96932893877, 40.752363983877], [-73.96932716548, 40.752366374541]]]}",1.00001127,0,1.0
